sample_id	source	group	p_DM2	p_DM2_oof	DM_call	score_basis	n_panel_genes	p_DM2_prev_v4	abs_delta_prev_v4
TCGA-EM-A3AR-01A	TCGA-THCA	TCGA_DM1	0.19775292046452386	0.18335474254404197	DM1	centered_panel8_log2	8		
TCGA-DJ-A3US-01A	TCGA-THCA	TCGA_DM1	0.06658473349147151	0.08012900530752019	DM1	centered_panel8_log2	8		
TCGA-BJ-A2N8-01A	TCGA-THCA	TCGA_DM1	0.21382585582013694	0.27234768938322035	DM1	centered_panel8_log2	8		
TCGA-FE-A231-01A	TCGA-THCA	TCGA_DM2	0.9984045250524926	0.9987295263319707	DM2	centered_panel8_log2	8		
TCGA-DE-A2OL-01A	TCGA-THCA	TCGA_DM1	0.32005463249129257	0.3141502625821528	DM1	centered_panel8_log2	8		
TCGA-EM-A1CV-01A	TCGA-THCA	TCGA_DM2	0.9997863747430219	0.9997650243260077	DM2	centered_panel8_log2	8		
TCGA-DJ-A13O-01A	TCGA-THCA	TCGA_DM2	0.2191921680200364	0.23054266936316917	DM1	centered_panel8_log2	8		
TCGA-EL-A3MY-01A	TCGA-THCA	TCGA_DM2	0.996814768754644	0.9960622815205304	DM2	centered_panel8_log2	8		
TCGA-BJ-A45H-01A	TCGA-THCA	TCGA_DM2	0.8636021747212488	0.8324270623983839	DM2	centered_panel8_log2	8		
TCGA-DJ-A3V2-01A	TCGA-THCA	TCGA_DM2	0.9966019014385553	0.9963939620348936	DM2	centered_panel8_log2	8		
TCGA-FK-A3S3-01A	TCGA-THCA	TCGA_DM2	0.9728711391063529	0.9823991007703182	DM2	centered_panel8_log2	8		
TCGA-ET-A39T-01A	TCGA-THCA	TCGA_DM2	0.9886124550785963	0.9809466099404754	DM2	centered_panel8_log2	8		
TCGA-DJ-A2Q7-01A	TCGA-THCA	TCGA_DM2	0.9664485112137515	0.9629785549750447	DM2	centered_panel8_log2	8		
TCGA-DE-A69K-01A	TCGA-THCA	TCGA_DM2	0.9646342078674601	0.9551523100248188	DM2	centered_panel8_log2	8		
TCGA-ET-A25M-01A	TCGA-THCA	TCGA_DM2	0.9911980453783018	0.9869571313424224	DM2	centered_panel8_log2	8		
TCGA-DJ-A4V5-01A	TCGA-THCA	TCGA_DM2	0.7213276884775731	0.7100486266156875	DM2	centered_panel8_log2	8		
TCGA-DE-A4M9-01A	TCGA-THCA	TCGA_DM1	0.05514707839293164	0.07993175488375959	DM1	centered_panel8_log2	8		
TCGA-BJ-A0Z9-01A	TCGA-THCA	TCGA_DM2	0.9998997142989883	0.9999360962565034	DM2	centered_panel8_log2	8		
TCGA-ET-A39N-01A	TCGA-THCA	TCGA_DM1	0.08354167517583348	0.10060973740688287	DM1	centered_panel8_log2	8		
TCGA-BJ-A0ZH-01A	TCGA-THCA	TCGA_DM2	0.9879622547741265	0.9887536639087343	DM2	centered_panel8_log2	8		
TCGA-E8-A416-01A	TCGA-THCA	TCGA_DM1	0.35742664726885026	0.337695773023516	DM1	centered_panel8_log2	8		
TCGA-KS-A4ID-01A	TCGA-THCA	TCGA_DM2	0.1643356948573735	0.17792020113962873	DM1	centered_panel8_log2	8		
TCGA-DJ-A13U-01A	TCGA-THCA	TCGA_DM2	0.9541624440418943	0.9418267887928445	DM2	centered_panel8_log2	8		
TCGA-EL-A3T2-01A	TCGA-THCA	TCGA_DM1	0.04735746299190105	0.05376194677562843	DM1	centered_panel8_log2	8		
TCGA-FY-A40K-01A	TCGA-THCA	TCGA_DM2	0.9865166634782115	0.9936282494752812	DM2	centered_panel8_log2	8		
TCGA-DE-A4MA-01A	TCGA-THCA	TCGA_DM2	0.999096236543382	0.9994282795431442	DM2	centered_panel8_log2	8		
TCGA-DJ-A2Q0-01A	TCGA-THCA	TCGA_DM1	0.3065669684954912	0.42534679522716057	DM1	centered_panel8_log2	8		
TCGA-EL-A3T6-01A	TCGA-THCA	TCGA_DM2	0.9844910874731314	0.9843945736361689	DM2	centered_panel8_log2	8		
TCGA-KS-A41F-01A	TCGA-THCA	TCGA_DM2	0.9997048787974484	0.9996088621127218	DM2	centered_panel8_log2	8		
