sample_id	stage	covariate_family	target	r2	n	n_covariates
GSM7980874_ATC-3	ATC	epithelial_qc_microenv	Panel8_z	0.00733211446090043	811	8
GSM7980874_ATC-3	ATC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.6725733802501952	811	15
GSM7980874_ATC-3	ATC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.5874241860147316	811	15
GSM7980875_ATC-4	ATC	epithelial	MAPK_z	0.0013855344679877257	1293	1
GSM7980875_ATC-4	ATC	epithelial	Panel8_z	0.035803161183283305	1293	1
GSM7980875_ATC-4	ATC	qc	MAPK_z	0.07645456844718335	1293	3
GSM7980875_ATC-4	ATC	qc	Panel8_z	0.07603748335363036	1293	3
GSM7980875_ATC-4	ATC	microenv	MAPK_z	0.013926233412428712	1293	4
GSM7980875_ATC-4	ATC	microenv	Panel8_z	0.1440803266302756	1293	4
GSM7980875_ATC-4	ATC	spatial	MAPK_z	0.014519867075546089	1293	5
GSM7980875_ATC-4	ATC	spatial	Panel8_z	0.05269765473974197	1293	5
GSM7980875_ATC-4	ATC	detection	MAPK_z	0.7553076450456104	1293	2
GSM7980875_ATC-4	ATC	detection	Panel8_z	0.7389386703456373	1293	2
GSM7980875_ATC-4	ATC	epithelial_qc_microenv	MAPK_z	0.09300590183901636	1293	8
GSM7980875_ATC-4	ATC	epithelial_qc_microenv	Panel8_z	0.24510581948174048	1293	8
GSM7980875_ATC-4	ATC	epithelial_qc_microenv_spatial_detection	MAPK_z	0.8187636726053782	1293	15
GSM7980875_ATC-4	ATC	epithelial_qc_microenv_spatial_detection	Panel8_z	0.8396878128566195	1293	15
