sample	mapk	panel	ht	patient	sample_id	sub_cluster	axis_class	ht_class
TCGA-EL-A3D5-01A	-1.2854011423709324	0.5829595144896286	-1.0183229096498032	TCGA-EL-A3D5	TCGA-EL-A3D5-01A	sub_B	mapk_low	ht_low
TCGA-EL-A4K6-01A	-0.6179406691437094	0.2685217434906687	-0.9480583682652569	TCGA-EL-A4K6	TCGA-EL-A4K6-01A	sub_A	mapk_low	ht_low
TCGA-H2-A3RH-01A	0.7541139156804112	0.42860911469694635	-0.8321881863716585	TCGA-H2-A3RH	TCGA-H2-A3RH-01A	sub_A	mapk_high	ht_low
TCGA-FY-A3NP-01A	-0.3341770140056288	0.964162430348946	-0.7894196559220724	TCGA-FY-A3NP	TCGA-FY-A3NP-01A	sub_A	mapk_low	ht_low
TCGA-DJ-A2PP-01A	-0.09660702400590411	0.26109452976293	-0.9989554226961848	TCGA-DJ-A2PP	TCGA-DJ-A2PP-01A	sub_A	mapk_high	ht_low
TCGA-EM-A1CW-11A	-1.4445281215187933	0.9265383866362584	-0.12715975292244647	TCGA-EM-A1CW	TCGA-EM-A1CW-01A	sub_B	mapk_low	ht_high
TCGA-H2-A2K9-01A	0.8246941423612589	0.9733133408003491	-0.7888725788653234	TCGA-H2-A2K9	TCGA-H2-A2K9-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A0ZA-01A	0.2643333467881938	1.1807487912033108	-0.2062289788292681	TCGA-BJ-A0ZA	TCGA-BJ-A0ZA-01A	sub_A	mapk_high	ht_high
TCGA-KS-A41L-11A	-1.1573787287914026	1.139066887033211	-0.32848253481794887	TCGA-KS-A41L	TCGA-KS-A41L-01A	sub_B	mapk_low	ht_high
TCGA-KS-A41L-01A	-1.1825460914549408	1.1453621452059966	-1.242181288913803	TCGA-KS-A41L	TCGA-KS-A41L-01A	sub_B	mapk_low	ht_low
TCGA-BJ-A28S-01A	-0.056328101429583145	0.7488042941600546	-1.0030438494079446	TCGA-BJ-A28S	TCGA-BJ-A28S-01A	sub_A	mapk_high	ht_low
