sample_id	stage	subset	adjustment	rho_linear_resid_spearman	p_linear_resid_spearman	n_linear	rho_rank_partial_spearman	p_rank_partial_spearman	n_rank	n_MAPK_genes	n_panel_genes
GSM7980866_PTC-3	PTC	epithelial_top50	epithelial_qc_microenv	-0.05686585502141557	0.0068744372232250415	2258	-0.008760163230026607	0.6773759216741242	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	epithelial_qc_microenv_spatial	-0.06318568397291795	0.0026661047038593825	2258	0.0014013229349920473	0.9469385115562113	2258	9	8
GSM7980866_PTC-3	PTC	epithelial_top50	epithelial_qc_microenv_spatial_detection	0.03720826910699664	0.07710920843959736	2258	0.0197276372126159	0.34875948354066183	2258	9	8
GSM7980867_PTC-4	PTC	all_spots	raw	0.38754234324132814	4.0105147178205366e-161	4498	0.3875423432413281	4.0105147178209014e-161	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	epithelial	0.19281910101703542	6.281801823196301e-39	4498	0.23538016033666156	1.1363860921931442e-57	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	qc	0.01353055335584667	0.36427741062726504	4498	0.05223564485118088	0.00045709842367568006	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	microenv	0.22054344065502118	1.1221569701694785e-50	4498	0.1984805154679902	3.4416062236019236e-41	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	spatial	0.3764245328503209	2.114298745931441e-151	4498	0.3513193959581579	8.291175911741455e-131	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	detection	0.2841533607850925	2.672826170031075e-84	4498	0.2183528360243575	1.0977350271586202e-49	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	epithelial_qc	0.0020686566078657403	0.8896868620698117	4498	0.03372802657911022	0.023693894200773186	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	epithelial_qc_microenv	-0.019391031270888464	0.19351131996905868	4498	0.024099093409720274	0.10608512334917673	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	epithelial_qc_microenv_spatial	-0.014845585754752057	0.31952767920994224	4498	0.0323484996224383	0.030045821841299027	4498	9	8
GSM7980867_PTC-4	PTC	all_spots	epithelial_qc_microenv_spatial_detection	0.12862251667196495	4.720228096965361e-18	4498	0.042554431323417775	0.0043104174939465134	4498	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	raw	0.158284260922515	4.35657880389694e-14	2249	0.19231048803130701	3.5463336571981796e-20	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	epithelial	0.1962575727606892	5.800310134393771e-21	2249	0.25581102580157367	6.208800664255806e-35	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	qc	0.007429516321211958	0.7247306012502289	2249	0.07196147340843023	0.0006373408462431905	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	microenv	0.13117962129068528	4.250065834722038e-10	2249	0.15442137900018094	1.7934134351568674e-13	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	spatial	0.21778220767157883	1.49763322365122e-25	2249	0.21705588879398768	2.180618357807749e-25	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	detection	0.19398483622165935	1.6530285205000544e-20	2249	0.2015042668980474	4.92058976179118e-22	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	epithelial_qc	0.014557445064552216	0.4901819002713896	2249	0.053247523002379664	0.011550803138879323	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	epithelial_qc_microenv	0.004918880514708791	0.8156504753836257	2249	0.039653155246461416	0.06008214956215048	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	epithelial_qc_microenv_spatial	-0.013331827985233453	0.5274390422740648	2249	0.03745032734241803	0.07578803306142624	2249	9	8
GSM7980867_PTC-4	PTC	epithelial_top50	epithelial_qc_microenv_spatial_detection	0.045155569339635326	0.03224643475889261	2249	0.02132969657811437	0.3119761564058417	2249	9	8
