tcga_sample_id	B cell	Endothelial cell	Epithelial cell	Fibroblast	Malignant cell	Myeloid cell	NK cell	T cell
TCGA-CE-A484-01A	0.0	0.5893366379285343	0.4106633620714658	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3VJ-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-ET-A39M-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3MX-11A	0.0	0.20831836864362255	0.6369567408187443	0.154724890537633	0.0	0.0	0.0	0.0
TCGA-BJ-A2P4-01A	0.0	0.44007124273130216	0.45420693508903837	0.1057218221796595	0.0	0.0	0.0	0.0
TCGA-ET-A2MY-01A	0.0	0.4651337969086269	0.534866203091373	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3ZP-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A418-01A	0.0	0.48508741628715313	0.5149125837128469	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A2Q4-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3MW-01A	0.0	0.7174921925559921	0.28250780744400794	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A0YZ-01A	0.0	0.39291755082357566	0.4719774272050964	0.135105021971328	0.0	0.0	0.0	0.0
TCGA-E8-A2JQ-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A2JQ-11A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-FY-A3NM-01A	0.0	0.3246282013896509	0.675371798610349	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A4FN-01A	0.0	0.7722532645563568	0.22774673544364313	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3H7-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3H7-11A	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A2NA-11A	0.0	0.04458696601109676	0.9554130339889032	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A1QF-01A	0.0	0.7924182408520623	0.14045613784477218	0.06712562130316552	0.0	0.0	0.0	0.0
TCGA-BJ-A2NA-01A	0.0	0.8625624547386342	0.13743754526136578	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A3PR-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-KS-A4I3-01A	0.0	0.6334804706063791	0.3665195293936208	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A2PY-01A	0.0	0.5081279994127679	0.0	0.49187200058723207	0.0	0.0	0.0	0.0
TCGA-EL-A3H8-01A	0.0	0.9526153594126905	0.04738464058730959	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3CO-01A	0.0	0.03015109177731412	0.6096466650144688	0.36020224320821703	0.0	0.0	0.0	0.0
TCGA-EL-A4K2-01A	0.0	0.32777469069966686	0.6375441632669483	0.034681146033384874	0.0	0.0	0.0	0.0
TCGA-FE-A23A-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A4K1-01A	0.0	0.6599253610162248	0.23028008429978303	0.1097945546839922	0.0	0.0	0.0	0.0
TCGA-DJ-A3VF-01A	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
TCGA-CE-A482-01A	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A3SU-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-FE-A3PC-01A	0.0	0.8214359018177634	0.17856409818223665	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A3FQ-01A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-EL-A3GO-01A	0.0	0.4571047220291586	0.5428952779708414	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A44K-01A	0.0	0.6950949080339937	0.30490509196600635	0.0	0.0	0.0	0.0	0.0
TCGA-EM-A3SU-06A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DJ-A3UZ-01A	0.0	0.19890931436831305	0.801090685631687	0.0	0.0	0.0	0.0	0.0
TCGA-BJ-A0ZE-01A	0.0	0.3722432459577514	0.6277567540422485	0.0	0.0	0.0	0.0	0.0
TCGA-E8-A432-01A	0.0	0.70320231888018	0.0	0.29679768111981997	0.0	0.0	0.0	0.0
TCGA-BJ-A18Y-01A	0.0	0.3786887359896316	0.5635995134659885	0.05771175054437984	0.0	0.0	0.0	0.0
