sample_short	DIO1	FOXE1	NKX2-1	PAX8	SLC5A5	TG	TPO	TSHR	mean_8g_beta
TCGA-EL-A3N3	0.3523	0.1459	0.1846	0.1186	0.465	0.5173	0.8887	0.2862	0.36982499999999996
TCGA-EL-A3T0	0.5031	0.0607	0.0185	0.0643	0.4662	0.6073	0.8063	0.1035	0.32873749999999996
TCGA-EL-A3T1	0.568	0.1169	0.0553	0.1102	0.4264	0.5492	0.9141	0.2244	0.3705625
TCGA-EL-A3T2	0.209	0.0539	0.0204	0.0308	0.6001	0.3939	0.3207	0.0562	0.210625
TCGA-EL-A3T3	0.5738	0.0585	0.017	0.0443	0.4359	0.7025	0.9102	0.122	0.35802500000000004
TCGA-EL-A3T6	0.6314	0.1199	0.0911	0.1144	0.4708	0.9264	0.8636	0.2505	0.4335125
TCGA-EL-A3T7	0.8353	0.0408	0.0184	0.0347	0.6777	0.5962	0.9102	0.0658	0.3973875
TCGA-EL-A3T8	0.2855	0.0533	0.0185	0.04	0.3392	0.5267	0.8903	0.1082	0.2827125
TCGA-EL-A3T9	0.8768	0.177	0.0295	0.1011	0.6381	0.5565	0.9	0.2356	0.43932499999999997
TCGA-EL-A3TA	0.5633	0.0994	0.0387	0.0839	0.5943	0.6062	0.8454	0.2079	0.37988750000000004
TCGA-EL-A3TB	0.5231	0.0639	0.0202	0.0472	0.6569	0.5338	0.9194	0.0795	0.3555
TCGA-EL-A3ZG	0.3179	0.0467	0.0205	0.0329	0.4655	0.8752	0.9314	0.0608	0.3438625
TCGA-EL-A3ZH	0.3524	0.0883	0.0151	0.0394	0.2444	0.3732	0.226	0.0559	0.17433749999999998
TCGA-EL-A3ZK	0.5625	0.1114	0.0273	0.1249	0.4445	0.8742	0.9252	0.2164	0.4108
TCGA-EL-A3ZL	0.1998	0.0516	0.0172	0.027	0.6363	0.5989	0.8898	0.0777	0.3122875
TCGA-EL-A3ZM	0.3047	0.0852	0.0188	0.0556	0.4537	0.7461	0.9304	0.108	0.3378125
TCGA-EL-A3ZN	0.8014	0.0498	0.0157	0.042	0.5855	0.5647	0.8822	0.0936	0.3793625
TCGA-EL-A3ZO	0.3646	0.1482	0.0501	0.0955	0.6029	0.888	0.9074	0.2688	0.41568749999999993
TCGA-EL-A3ZP	0.3454	0.0726	0.0188	0.0598	0.6602	0.7329	0.8719	0.1255	0.3608875
TCGA-EL-A3ZQ	0.8881	0.1068	0.2891	0.0737	0.6303	0.6386	0.924	0.3033	0.4817375
TCGA-EL-A3ZR	0.5891	0.0558	0.0155	0.024	0.6799	0.281	0.2488	0.0355	0.2412
TCGA-EL-A3ZS	0.6161	0.096	0.0479	0.1047	0.5218	0.7361	0.8627	0.2783	0.40795000000000003
TCGA-EL-A3ZT	0.6001	0.0724	0.0179	0.0528	0.6466	0.772	0.9184	0.0807	0.3951125
TCGA-EL-A4JV	0.7778	0.0566	0.0136	0.0316	0.6459	0.4296	0.5561	0.0836	0.32434999999999997
TCGA-EL-A4JW	0.631	0.0672	0.023	0.0504	0.6378	0.6299	0.8703	0.1824	0.38650000000000007
TCGA-EL-A4JX	0.5189	0.2228	0.2007	0.1789	0.5218	0.8553	0.7638	0.4875	0.4687125
TCGA-EL-A4JZ	0.3678	0.1253	0.0461	0.0949	0.6663	0.4772	0.9125	0.2256	0.3644625
TCGA-EL-A4K0	0.5493	0.0568	0.0224	0.0451	0.7096	0.4541	0.9287	0.1184	0.36055
TCGA-EL-A4K1	0.5013	0.0733	0.0178	0.0495	0.6511	0.7105	0.9248	0.1016	0.3787375
TCGA-EL-A4K2	0.6234	0.0694	0.0193	0.0324	0.6728	0.4095	0.3349	0.1194	0.2851375
TCGA-EL-A4K4	0.5617	0.0876	0.0199	0.0888	0.3155	0.7726	0.9287	0.1956	0.37129999999999996
TCGA-EL-A4K6	0.0485	0.046	0.0156	0.0229	0.7416	0.5051	0.1195	0.0511	0.19378750000000003
TCGA-EL-A4K7	0.8906	0.0454	0.0185	0.021	0.6569	0.9104	0.9084	0.0458	0.43712499999999993
TCGA-EL-A4K9	0.6672	0.0835	0.0151	0.05	0.6324	0.5309	0.8927	0.2045	0.3845375
TCGA-EL-A4KD	0.7789	0.0629	0.015	0.0353	0.6518	0.5566	0.8717	0.0971	0.3836625
TCGA-EL-A4KG	0.9195	0.0449	0.0224	0.0539	0.6038	0.6834	0.908	0.1523	0.42352500000000004
TCGA-EL-A4KH	0.5144	0.0379	0.0113	0.0331	0.6448	0.333	0.9045	0.0436	0.31532499999999997
TCGA-EL-A4KI	0.1419	0.0451	0.0105	0.0222	0.6893	0.6148	0.1545	0.0416	0.2149875
TCGA-EM-A1CS	0.9235	0.0724	0.0292	0.0455	0.1884	0.6573	0.8945	0.0586	0.35867499999999997
TCGA-EM-A1CT	0.5138	0.1004	0.0271	0.0452	0.4623	0.92	0.8731	0.1573	0.3874
TCGA-EM-A1CU	0.6555	0.0702	0.0214	0.0669	0.4539	0.9256	0.8759	0.0741	0.3929375
TCGA-EM-A1CV	0.4484	0.0569	0.0171	0.0327	0.6561	0.5285	0.7508	0.053	0.3179375
TCGA-EM-A1CW	0.3174	0.1738	0.3253	0.1116	0.6419	0.7316	0.6073	0.2555	0.39554999999999996
TCGA-EM-A1YA	0.5404	0.0443	0.018	0.0543	0.4274	0.7608	0.3668	0.0635	0.2844375
TCGA-EM-A1YB	0.3307	0.0767	0.0197	0.0487	0.68	0.7251	0.6555	0.0536	0.32375
TCGA-EM-A1YC	0.2123	0.0813	0.0181	0.0659	0.1981	0.3297	0.3055	0.0465	0.157175
TCGA-EM-A1YD	0.3073	0.0517	0.0191	0.0564	0.6133	0.4456	0.3522	0.0488	0.2368
TCGA-EM-A1YE	0.2179	0.048	0.0136	0.0307	0.656	0.3178	0.3213	0.0426	0.2059875
TCGA-EM-A22I	0.503	0.0746	0.0159	0.0405	0.4423	0.619	0.9029	0.0846	0.33535
TCGA-EM-A22J	0.9335	0.0688	0.0154	0.0961	0.6636	0.2693	0.3016	0.133	0.3101625
TCGA-EM-A22K	0.4266	0.0456	0.0141	0.0329	0.6524	0.4034	0.6646	0.0574	0.287125
TCGA-EM-A22L	0.1871	0.0238	0.0173	0.0538	0.6583	0.2095	0.2659	0.0455	0.18265
TCGA-EM-A22M	0.6178	0.3183	0.4714	0.2047	0.4961	0.758	0.8634	0.3707	0.5125500000000001
TCGA-EM-A22N	0.3374	0.1118	0.0344	0.064	0.4815	0.5015	0.5317	0.0756	0.26723749999999996
TCGA-EM-A22O	0.4618	0.0425	0.0172	0.0328	0.2166	0.6421	0.9351	0.0708	0.3023625
TCGA-EM-A22P	0.9084	0.2041	0.1283	0.1758	0.503	0.699	0.8541	0.362	0.47933749999999997
TCGA-EM-A22Q	0.207	0.0452	0.0289	0.0486	0.632	0.4916	0.2921	0.0875	0.2291125
TCGA-EM-A2CJ	0.3287	0.0349	0.0202	0.031	0.3361	0.5075	0.1243	0.0837	0.18329999999999996
TCGA-EM-A2CK	0.4745	0.0245	0.0169	0.0265	0.6828	0.454	0.1797	0.0664	0.2406625
TCGA-EM-A2CL	0.4872	0.0286	0.0148	0.0283	0.7264	0.4633	0.1516	0.0604	0.245075
TCGA-EM-A2CN	0.4827	0.0385	0.014	0.0266	0.7158	0.3369	0.0981	0.0569	0.22118749999999998
TCGA-EM-A2CO	0.7003	0.0467	0.0148	0.064	0.6209	0.4695	0.4333	0.0605	0.30125
TCGA-EM-A2CP	0.5858	0.2864	0.3999	0.2219	0.5324	0.7332	0.6017	0.4556	0.4771125
TCGA-EM-A2CQ	0.6967	0.0517	0.0311	0.0299	0.6764	0.5272	0.4343	0.0556	0.3128625
TCGA-EM-A2CR	0.4152	0.0492	0.0154	0.0479	0.6327	0.4297	0.733	0.0918	0.30186250000000003
TCGA-EM-A2CS	0.3943	0.0476	0.01655	0.050199999999999995	0.5558000000000001	0.6722	0.74745	0.07494999999999999	0.31988125
TCGA-EM-A2CT	0.503	0.0519	0.0142	0.0345	0.4416	0.7037	0.539	0.088	0.29698749999999996
TCGA-EM-A2CU	0.5296	0.0772	0.0226	0.0604	0.6848	0.625	0.7816	0.1353	0.3645625
TCGA-EM-A2OV	0.5469	0.0581	0.0175	0.031	0.4432	0.579	0.4173	0.0501	0.2678875
TCGA-EM-A2OW	0.3261	0.0521	0.0172	0.0706	0.6168	0.6647	0.4671	0.0953	0.2887375
TCGA-EM-A2OX	0.2824	0.0612	0.0156	0.0637	0.6294	0.7041	0.9129	0.1138	0.34788749999999996
TCGA-EM-A2OY	0.1231	0.0407	0.0168	0.02	0.4969	0.6396	0.1966	0.0344	0.19601249999999998
TCGA-EM-A2OZ	0.2346	0.0544	0.025	0.0451	0.5951	0.7049	0.9249	0.0725	0.3320624999999999
TCGA-EM-A2P0	0.2563	0.0476	0.0149	0.0279	0.6438	0.4948	0.8545	0.0441	0.2979875
TCGA-EM-A2P1	0.64525	0.1663	0.21075	0.1854	0.6131	0.6272	0.8661	0.37485	0.46111875
TCGA-EM-A2P2	0.1841	0.0524	0.0152	0.032	0.6236	0.8939	0.8839	0.0559	0.342625
TCGA-EM-A2P3	0.5065	0.0568	0.0175	0.0565	0.632	0.7047	0.9202	0.0819	0.37201249999999997
TCGA-EM-A3AI	0.2118	0.069	0.0133	0.0502	0.6078	0.6064	0.2697	0.0659	0.2367625
TCGA-EM-A3AJ	0.4165	0.1919	0.274	0.1451	0.5477	0.5681	0.7273	0.3301	0.4000875
TCGA-EM-A3AK	0.7523	0.0653	0.0188	0.0596	0.6198	0.7443	0.8649	0.0966	0.4027
TCGA-EM-A3AL	0.3805	0.0563	0.0127	0.0444	0.5696	0.4021	0.3245	0.0319	0.22775
TCGA-EM-A3AN	0.3693	0.0461	0.0153	0.0513	0.6294	0.6182	0.9236	0.072	0.34065
TCGA-EM-A3AO	0.8877	0.0732	0.0432	0.0478	0.6433	0.733	0.838	0.1855	0.43146249999999997
TCGA-EM-A3AP	0.5518	0.0659	0.015	0.0369	0.626	0.2951	0.4807	0.0672	0.26732500000000003
TCGA-EM-A3AQ	0.5368	0.0648	0.017	0.0316	0.6533	0.8699	0.874	0.0539	0.3876625
TCGA-EM-A3AR	0.3445	0.0517	0.0165	0.0495	0.5398	0.3968	0.6907	0.0786	0.2710125
TCGA-EM-A3FJ	0.7054	0.0448	0.0145	0.0377	0.6272	0.623	0.8796	0.0564	0.373575
TCGA-EM-A3FK	0.7193	0.0482	0.0154	0.0204	0.6496	0.7596	0.8744	0.045	0.3914875
TCGA-EM-A3FL	0.2664	0.0737	0.0934	0.051	0.6119	0.5106	0.2143	0.0629	0.23552500000000004
TCGA-EM-A3FM	0.4902	0.0403	0.0158	0.053	0.6547	0.7793	0.851	0.1056	0.3737375
TCGA-EM-A3FN	0.2958	0.0475	0.0145	0.0397	0.6488	0.444	0.2404	0.0307	0.220175
TCGA-EM-A3FO	0.5799	0.0373	0.0134	0.0229	0.6642	0.9137	0.8832	0.0336	0.393525
TCGA-EM-A3FP	0.4037	0.1127	0.0877	0.0737	0.6705	0.4034	0.5914	0.2034	0.3183125
TCGA-EM-A3FQ	0.50185	0.06025	0.025	0.0587	0.589	0.5225	0.86955	0.14305	0.3462375
TCGA-EM-A3FR	0.3617	0.0462	0.0267	0.0388	0.4864	0.737	0.1711	0.063	0.2413625
TCGA-EM-A3O3	0.9178	0.4139	0.253	0.1122	0.6102	0.8914	0.8538	0.2331	0.5356749999999999
TCGA-EM-A3O6	0.671	0.0814	0.0192	0.0492	0.6156	0.4217	0.4033	0.0531	0.28931250000000003
TCGA-EM-A3O7	0.534	0.0683	0.0218	0.0383	0.4327	0.6371	0.8656	0.0636	0.332675
TCGA-EM-A3O8	0.5489	0.0573	0.0234	0.0346	0.4167	0.2616	0.4725	0.0343	0.2311625
TCGA-EM-A3O9	0.4429	0.0503	0.0179	0.0805	0.5727	0.6997	0.6535	0.1269	0.33055
TCGA-EM-A3OA	0.5267	0.0552	0.0258	0.0459	0.6362	0.929	0.8721	0.0729	0.39547499999999997
TCGA-EM-A3OB	0.3316	0.049	0.02	0.0405	0.4295	0.2513	0.2012	0.0414	0.1705625
TCGA-EM-A3ST	0.2037	0.0644	0.0166	0.048	0.6345	0.8761	0.9301	0.0473	0.3525875
TCGA-EM-A3SU	0.5699000000000001	0.165	0.2631	0.147	0.5944	0.7356	0.90345	0.2932	0.45895625
TCGA-EM-A3SX	0.943	0.0712	0.0165	0.038	0.6473	0.5212	0.9265	0.0504	0.4017625
TCGA-EM-A3SY	0.3243	0.0774	0.0205	0.0677	0.4059	0.8292	0.4761	0.148	0.2936375
TCGA-EM-A3SZ	0.5506	0.1311	0.1251	0.1089	0.6241	0.5318	0.9195	0.2428	0.4042375
TCGA-EM-A4FF	0.5289	0.1016	0.0372	0.09	0.6709	0.4206	0.904	0.167	0.36502499999999993
TCGA-EM-A4FH	0.2333	0.0473	0.0206	0.0269	0.4488	0.5883	0.143	0.0467	0.19436250000000002
TCGA-EM-A4FK	0.2623	0.054	0.0144	0.0477	0.656	0.6601	0.6969	0.0669	0.3072875
TCGA-EM-A4FM	0.4672	0.0632	0.0191	0.0568	0.6781	0.5614	0.9153	0.1569	0.36475
TCGA-EM-A4FN	0.4689	0.07	0.0196	0.0381	0.6969	0.6683	0.9105	0.1223	0.37432499999999996
TCGA-EM-A4FO	0.493	0.2061	0.3687	0.1421	0.5451	0.6579	0.7069	0.3847	0.4380625
TCGA-EM-A4FQ	0.4963	0.0794	0.019	0.0658	0.6538	0.5351	0.9269	0.1745	0.36885
TCGA-EM-A4FR	0.3068	0.0426	0.016	0.0254	0.657	0.4007	0.9082	0.0612	0.3022375
TCGA-EM-A4FU	0.5126	0.0563	0.0136	0.0359	0.6586	0.4253	0.4089	0.0653	0.2720625
TCGA-EM-A4FV	0.3747	0.1097	0.0905	0.0915	0.6346	0.6442	0.9206	0.1998	0.3832
TCGA-EM-A4G1	0.1359	0.0482	0.0153	0.0286	0.414	0.5379	0.2235	0.0361	0.1799375
TCGA-ET-A25G	0.529	0.0827	0.0162	0.0425	0.7184	0.8648	0.9215	0.1254	0.4125625
TCGA-ET-A25I	0.4285	0.0906	0.1787	0.0966	0.4589	0.7439	0.5756	0.1519	0.3405875
TCGA-ET-A25J	0.5612	0.0563	0.0216	0.0385	0.676	0.5134	0.936	0.1107	0.3642125
TCGA-ET-A25K	0.5614	0.0614	0.0166	0.0674	0.4787	0.6689	0.9351	0.0826	0.3590125
TCGA-ET-A25L	0.435	0.1016	0.0213	0.0875	0.6814	0.661	0.9406	0.2011	0.39118749999999997
TCGA-ET-A25M	0.205	0.0556	0.0152	0.059	0.6603	0.4294	0.9219	0.0741	0.3025625
TCGA-ET-A25N	0.6216	0.0659	0.0195	0.0498	0.5979	0.7653	0.9123	0.121	0.3941625
TCGA-ET-A25O	0.522	0.0608	0.0189	0.037	0.4663	0.3616	0.942	0.0577	0.3082875
TCGA-ET-A25P	0.4104	0.07	0.0194	0.0459	0.4633	0.4765	0.6924	0.0627	0.280075
TCGA-ET-A25R	0.2508	0.0775	0.016	0.0569	0.4513	0.7084	0.9419	0.1839	0.3358375
TCGA-ET-A2MX	0.9463	0.0373	0.0171	0.0255	0.6753	0.9293	0.9201	0.0524	0.4504125
TCGA-ET-A2MY	0.5926	0.0756	0.019	0.0386	0.7091	0.4278	0.9366	0.0774	0.3595875
TCGA-ET-A2MZ	0.9025	0.055	0.0192	0.0439	0.6309	0.385	0.8864	0.1575	0.38505
TCGA-ET-A2N0	0.8806	0.0885	0.03	0.0503	0.434	0.497	0.9122	0.1569	0.3811875
TCGA-ET-A2N1	0.5195	0.0463	0.016	0.0419	0.6986	0.7049	0.9169	0.0717	0.376975
TCGA-ET-A2N3	0.202	0.0586	0.0232	0.0292	0.3008	0.5813	0.4025	0.0364	0.20425000000000001
TCGA-ET-A2N4	0.2552	0.0479	0.0193	0.056	0.5767	0.7062	0.9346	0.0488	0.33058750000000003
TCGA-ET-A2N5	0.8888	0.0672	0.0198	0.0466	0.4637	0.3516	0.2404	0.0918	0.2712375
TCGA-ET-A39I	0.2373	0.0529	0.015	0.0367	0.6937	0.2464	0.3151	0.0532	0.20628749999999998
TCGA-ET-A39J	0.5395	0.0459	0.0128	0.0484	0.6826	0.8049	0.9229	0.1052	0.39527500000000004
TCGA-ET-A39K	0.5165	0.077	0.015	0.0544	0.4749	0.8195	0.9379	0.1328	0.3785
TCGA-ET-A39L	0.2393	0.0369	0.0148	0.0455	0.6227	0.365	0.9063	0.0825	0.289125
TCGA-ET-A39M	0.3871	0.1601	0.108	0.103	0.6353	0.5624	0.9163	0.3441	0.4020375
TCGA-ET-A39N	0.1766	0.0523	0.0157	0.0364	0.3961	0.5762	0.1172	0.0536	0.1780125
TCGA-ET-A39O	0.5352	0.0922	0.0176	0.0782	0.6488	0.7238	0.8842	0.1947	0.3968375
TCGA-ET-A39P	0.2019	0.0519	0.0141	0.0459	0.4414	0.6399	0.925	0.0651	0.29815
TCGA-ET-A39R	0.6002	0.1303	0.0623	0.1208	0.6528	0.4544	0.9141	0.2363	0.3964
TCGA-ET-A39S	0.5568	0.0573	0.0142	0.0499	0.6187	0.3926	0.8092	0.0906	0.3236625
TCGA-ET-A39T	0.502	0.0409	0.0166	0.0415	0.6939	0.6403	0.9244	0.0679	0.3659375
TCGA-ET-A3BN	0.2957	0.0618	0.0141	0.0392	0.6585	0.5328	0.9295	0.0782	0.326225
TCGA-ET-A3BO	0.5917	0.122	0.0541	0.0886	0.3813	0.5271	0.9112	0.2498	0.36572499999999997
TCGA-ET-A3BP	0.571	0.0512	0.0156	0.0499	0.4454	0.6804	0.9379	0.0687	0.35251249999999995
TCGA-ET-A3BQ	0.5207	0.0481	0.0166	0.04	0.6589	0.6582	0.9217	0.0854	0.36869999999999997
TCGA-ET-A3BS	0.8979	0.1487	0.2361	0.1286	0.6562	0.4568	0.703	0.2979	0.44065
TCGA-ET-A3BT	0.559	0.0587	0.0187	0.0527	0.5337	0.335	0.923	0.1272	0.326
TCGA-ET-A3BU	0.2772	0.0438	0.0127	0.033	0.6898	0.6437	0.8627	0.1126	0.33443749999999994
TCGA-ET-A3BV	0.627	0.1287	0.0298	0.1652	0.612	0.59	0.8818	0.2756	0.41376250000000003
TCGA-ET-A3BW	0.1498	0.0702	0.0148	0.036	0.4301	0.5565	0.9368	0.0629	0.2821375
TCGA-ET-A3BX	0.4482	0.0612	0.0141	0.0505	0.6495	0.5498	0.9283	0.0986	0.350025
TCGA-ET-A3DO	0.8693	0.1661	0.0552	0.1532	0.4906	0.5813	0.8967	0.3718	0.44802499999999995
TCGA-ET-A3DP	0.3875	0.071	0.0196	0.0328	0.7149	0.7708	0.8871	0.1117	0.374425
TCGA-ET-A3DQ	0.6033	0.1281	0.0322	0.1384	0.4982	0.6871	0.8357	0.2986	0.40270000000000006
TCGA-ET-A3DR	0.8078	0.0729	0.0141	0.0385	0.6384	0.6269	0.8815	0.0548	0.3918625
TCGA-ET-A3DS	0.3572	0.0655	0.0325	0.0366	0.671	0.3461	0.2969	0.1275	0.2416625
TCGA-ET-A3DT	0.9279	0.1991	0.0906	0.1861	0.6233	0.7366	0.8898	0.4052	0.507325
TCGA-ET-A3DU	0.5038	0.1881	0.2159	0.1824	0.6324	0.7079	0.8473	0.481	0.46985
TCGA-ET-A3DV	0.1101	0.0348	0.0134	0.0572	0.6881	0.7097	0.1673	0.0749	0.23193750000000002
TCGA-ET-A3DW	0.5099	0.0641	0.0201	0.0425	0.4735	0.7074	0.916	0.1125	0.35575
TCGA-ET-A40P	0.7038	0.1079	0.0174	0.0438	0.6574	0.5676	0.9002	0.112	0.3887625
TCGA-ET-A40Q	0.9075	0.1121	0.0429	0.0955	0.6271	0.8728	0.9063	0.2323	0.4745625
TCGA-ET-A40R	0.3497	0.0784	0.0182	0.0521	0.6335	0.6553	0.9303	0.1246	0.35526250000000004
TCGA-ET-A40S	0.6919	0.1015	0.0473	0.0925	0.6707	0.6314	0.9197	0.3006	0.43194999999999995
TCGA-ET-A40T	0.8082	0.0934	0.0208	0.0581	0.6272	0.7442	0.9164	0.1661	0.4293
TCGA-ET-A4KN	0.65	0.197	0.3404	0.1681	0.5121	0.7475	0.8059	0.4084	0.47867499999999996
TCGA-ET-A4KQ	0.3989	0.08	0.0132	0.0285	0.6402	0.5069	0.3036	0.0529	0.253025
TCGA-FE-A22Z	0.3583	0.0637	0.0213	0.052	0.4546	0.5961	0.9398	0.0949	0.3225875
TCGA-FE-A230	0.5525	0.1377	0.0685	0.0962	0.7685	0.6856	0.8738	0.1909	0.42171249999999993
TCGA-FE-A231	0.8373	0.0585	0.0132	0.0496	0.7454	0.8749	0.9094	0.0495	0.442225
TCGA-FE-A232	0.2472	0.0734	0.0371	0.0601	0.6869	0.3894	0.8386	0.1303	0.307875
TCGA-FE-A233	0.4843	0.0719	0.1616	0.0371	0.7796	0.7617	0.7127	0.0461	0.381875
TCGA-FE-A234	0.3552	0.062	0.0176	0.0322	0.7632	0.5957	0.9064	0.0996	0.3539875
TCGA-FE-A235	0.3254	0.0565	0.0142	0.0514	0.6607	0.7261	0.8892	0.083	0.35081249999999997
TCGA-FE-A236	0.3511	0.0624	0.0157	0.048	0.6611	0.6354	0.9329	0.0886	0.34939999999999993
TCGA-FE-A237	0.3228	0.0829	0.0235	0.0496	0.643	0.7819	0.9208	0.1561	0.37257500000000005
TCGA-FE-A238	0.9406	0.0885	0.0264	0.0682	0.6717	0.6795	0.9015	0.1965	0.44661249999999997
TCGA-FE-A239	0.1187	0.0615	0.0184	0.0397	0.6247	0.6392	0.7543	0.0457	0.287775
TCGA-FE-A23A	0.3838	0.1431	0.1201	0.1308	0.6803	0.9344	0.9225	0.2864	0.450175
TCGA-FE-A3PA	0.2421	0.0525	0.0217	0.0429	0.6686	0.4042	0.7566	0.0668	0.281925
TCGA-FE-A3PB	0.5751	0.0672	0.0367	0.1021	0.6198	0.6784	0.8991	0.1865	0.3956125
TCGA-FE-A3PC	0.3921	0.0595	0.0193	0.0681	0.4162	0.6155	0.8947	0.0583	0.31546250000000003
TCGA-FE-A3PD	0.5421	0.0617	0.0205	0.0546	0.4318	0.8474	0.9055	0.123	0.373325
TCGA-FK-A3S3	0.3976	0.045	0.0256	0.0495	0.6017	0.5461	0.8861	0.0944	0.33075000000000004
TCGA-FK-A3SB	0.2696	0.0393	0.0151	0.043	0.617	0.4078	0.9113	0.102	0.3006375
TCGA-FK-A3SD	0.2304	0.0363	0.0146	0.0287	0.6247	0.2526	0.2318	0.0443	0.182925
TCGA-FK-A3SE	0.5036	0.0427	0.0179	0.0393	0.6053	0.5934	0.8924	0.0581	0.3440875
TCGA-FK-A3SG	0.5799	0.0383	0.0187	0.0473	0.4446	0.4539	0.9142	0.082	0.3223625
TCGA-FK-A3SH	0.1943	0.0554	0.0183	0.033	0.4482	0.5324	0.9277	0.0357	0.280625
TCGA-FK-A4UB	0.3495	0.0404	0.0133	0.0368	0.4274	0.6399	0.9083	0.0747	0.3112875
TCGA-FY-A2QD	0.1484	0.0386	0.0202	0.0297	0.7087	0.4548	0.6765	0.0448	0.26521249999999996
TCGA-FY-A3BL	0.1331	0.0453	0.0135	0.0262	0.6352	0.8618	0.9329	0.056	0.338
TCGA-FY-A3I4	0.447	0.0343	0.0149	0.0501	0.6028	0.566	0.5109	0.0698	0.286975
TCGA-FY-A3I5	0.3513	0.0961	0.0278	0.1203	0.3499	0.8473	0.4551	0.2021	0.3062375
TCGA-FY-A3NM	0.1977	0.0356	0.0144	0.0317	0.4456	0.4663	0.1965	0.0358	0.17795
TCGA-FY-A3NN	0.3143	0.0754	0.0221	0.0264	0.4601	0.4952	0.8838	0.061	0.29228750000000003
TCGA-FY-A3NP	0.7152	0.0636	0.0132	0.042	0.6642	0.3859	0.3093	0.1066	0.28750000000000003
TCGA-FY-A3ON	0.3715	0.0527	0.0215	0.0454	0.6256	0.702	0.8677	0.1139	0.35003749999999995
TCGA-FY-A3R6	0.8133	0.1331	0.3589	0.1202	0.6134	0.6974	0.754	0.3263	0.47707499999999997
TCGA-FY-A3R7	0.5772	0.0593	0.0284	0.0486	0.5338	0.5927	0.7761	0.0847	0.3376
TCGA-FY-A3R8	0.5465	0.0681	0.0264	0.0773	0.6257	0.3571	0.8747	0.0965	0.33403750000000004
TCGA-FY-A3R9	0.2996	0.0531	0.021	0.0372	0.5984	0.505	0.5101	0.0379	0.2577875
TCGA-FY-A3RA	0.9489	0.0588	0.0223	0.0425	0.4212	0.7056	0.9068	0.064	0.39626249999999996
TCGA-FY-A3TY	0.5488	0.0864	0.0203	0.086	0.5367	0.5374	0.7644	0.2357	0.3519625
TCGA-FY-A3W9	0.1864	0.0461	0.0162	0.0318	0.6969	0.4242	0.1055	0.0306	0.1922125
TCGA-FY-A3WA	0.1428	0.0442	0.0181	0.0336	0.2819	0.3615	0.141	0.0552	0.13478749999999998
TCGA-FY-A3YR	0.9336	0.0986	0.0215	0.0797	0.4542	0.5313	0.8962	0.0938	0.3886125
TCGA-FY-A40K	0.5257	0.063	0.0143	0.0523	0.6869	0.6686	0.8779	0.1128	0.3751875
TCGA-FY-A40L	0.2673	0.0717	0.0251	0.0541	0.6389	0.8767	0.9197	0.1323	0.37322500000000003
TCGA-FY-A40M	0.104	0.0452	0.0164	0.0342	0.6233	0.8486	0.9039	0.0395	0.32688750000000005
TCGA-FY-A40N	0.2081	0.082	0.0578	0.0445	0.6331	0.8779	0.6677	0.1226	0.3367125
TCGA-FY-A4B0	0.454	0.0709	0.0208	0.0812	0.6077	0.59	0.3648	0.1197	0.2886375
TCGA-FY-A4B3	0.5175	0.0553	0.0179	0.0571	0.6314	0.737	0.8788	0.0597	0.3693375
TCGA-FY-A4B4	0.2914	0.0943	0.0176	0.0674	0.5662	0.5375	0.8974	0.1471	0.3273625
TCGA-FY-A76V	0.9009	0.0889	0.0163	0.0554	0.6447	0.5794	0.648	0.0671	0.3750875
TCGA-GE-A2C6	0.6795	0.1357	0.0351	0.165	0.5753	0.6617	0.922	0.2875	0.432725
TCGA-H2-A26U	0.6489	0.1529	0.0556	0.1485	0.6481	0.6966	0.8637	0.3298	0.4430125
TCGA-H2-A2K9	0.0854	0.0467	0.0139	0.0262	0.4872	0.5105	0.1464	0.0341	0.16879999999999998
TCGA-H2-A3RH	0.2562	0.0416	0.0205	0.0253	0.5849	0.7884	0.906	0.0536	0.3345625
TCGA-H2-A3RI	0.4957	0.0619	0.0264	0.0478	0.6589	0.7268	0.8643	0.0923	0.3717625
TCGA-H2-A421	0.5685	0.1366	0.2343	0.1466	0.4432	0.5359	0.8987	0.3294	0.41165000000000007
TCGA-H2-A422	0.4804	0.0455	0.0182	0.0282	0.6269	0.6633	0.9218	0.0537	0.35475
TCGA-IM-A3EB	0.6263	0.1002	0.1826	0.1083	0.4648	0.7297	0.8554	0.2519	0.4149
TCGA-IM-A3ED	0.44	0.081	0.0543	0.0894	0.6621	0.6544	0.8918	0.1615	0.37931250000000005
TCGA-IM-A3U2	0.5331	0.0683	0.0197	0.0659	0.2737	0.8824	0.8903	0.1242	0.35719999999999996
TCGA-IM-A3U3	0.385	0.1035	0.0439	0.06	0.4405	0.4552	0.925	0.153	0.3207625
TCGA-IM-A41Y	0.5086	0.0649	0.0203	0.0491	0.479	0.6875	0.9117	0.0751	0.349525
TCGA-IM-A41Z	0.914	0.042	0.0179	0.0846	0.6461	0.6389	0.6501	0.183	0.397075
TCGA-IM-A420	0.3226	0.1411	0.1529	0.1082	0.5976	0.735	0.8455	0.3045	0.400925
TCGA-IM-A4EB	0.3429	0.1319	0.2058	0.0982	0.6439	0.7157	0.8875	0.3117	0.41719999999999996
TCGA-J8-A3NZ	0.942	0.0595	0.0186	0.0406	0.6714	0.3736	0.8928	0.1003	0.38734999999999997
