sample	lineage	DM1_like	HT13_score
TCGA-AB-2954-03	acute myeloid leukemia	1.6174497390320033	0.1522251500189161
TCGA-AB-2955-03	acute myeloid leukemia	1.3441724977807257	-0.2776151368981291
TCGA-AB-2956-03	acute myeloid leukemia	1.4242949741008557	-0.06346793792522906
TCGA-AB-2959-03	acute myeloid leukemia	1.6217968240483045	0.684901457699095
TCGA-AB-2963-03	acute myeloid leukemia	1.7820349443336645	-0.7209581667088649
TCGA-AB-2964-03	acute myeloid leukemia	1.5869998955797335	-0.7019622539530679
TCGA-AB-2965-03	acute myeloid leukemia	1.5914467437996327	0.07396118150791914
TCGA-AB-2966-03	acute myeloid leukemia	1.482666523841324	0.03224118910610941
TCGA-AB-2967-03	acute myeloid leukemia	1.7098722372227144	0.06583348436687542
TCGA-AB-2969-03	acute myeloid leukemia	1.6666194470044609	0.3812114933690207
TCGA-AB-2970-03	acute myeloid leukemia	1.6720911751232226	0.6192438256080486
TCGA-AB-2971-03	acute myeloid leukemia	1.5233326150664075	0.45569371551265875
TCGA-AB-2972-03	acute myeloid leukemia	1.4767411512144208	-0.6686772500360101
TCGA-AB-2973-03	acute myeloid leukemia	1.6034600741542937	0.6073399637144624
TCGA-AB-2975-03	acute myeloid leukemia	1.5800168870352795	-0.3163778618265457
TCGA-AB-2976-03	acute myeloid leukemia	1.4776227265491393	-0.3754274621969271
TCGA-AB-2977-03	acute myeloid leukemia	1.5913648787929366	0.10848835176765113
TCGA-AB-2978-03	acute myeloid leukemia	1.8562833007510569	0.5055648126000539
TCGA-AB-2979-03	acute myeloid leukemia	1.8597613106992024	0.33201743923919275
TCGA-AB-2980-03	acute myeloid leukemia	1.8784994626381488	-1.0848055649667223
TCGA-AB-2981-03	acute myeloid leukemia	1.4038580059364938	0.7254702668330674
TCGA-AB-2982-03	acute myeloid leukemia	1.7823461381629386	0.2879031944713937
TCGA-AB-2983-03	acute myeloid leukemia	1.6912638059551863	0.5418210352751465
TCGA-AB-2984-03	acute myeloid leukemia	1.535249883148459	-1.3580635979899103
TCGA-AB-2985-03	acute myeloid leukemia	1.633897697393231	0.7260828282445277
TCGA-AB-2986-03	acute myeloid leukemia	1.5226625653729442	-0.458600511651568
TCGA-AB-2987-03	acute myeloid leukemia	1.5422707267203768	1.4274346584330997
TCGA-AB-2988-03	acute myeloid leukemia	1.527085486763733	-0.2749628005758801
TCGA-AB-2990-03	acute myeloid leukemia	1.6433878839596876	-0.5285157532565855
TCGA-AB-2991-03	acute myeloid leukemia	1.9352019828528528	-0.26458919711963785
TCGA-AB-2992-03	acute myeloid leukemia	1.828099400962918	0.030080419970783197
TCGA-AB-2993-03	acute myeloid leukemia	1.802116367450931	-1.1384213523049957
TCGA-AB-2994-03	acute myeloid leukemia	1.779558310392099	-0.3160558364832404
TCGA-AB-2995-03	acute myeloid leukemia	1.8554792205917627	0.5760628223330299
TCGA-AB-2996-03	acute myeloid leukemia	1.8044719330314407	0.3843015738712892
TCGA-AB-2998-03	acute myeloid leukemia	1.5356640496459282	-0.36132120677400825
TCGA-AB-2999-03	acute myeloid leukemia	1.6022802373130671	-0.3690657819180476
TCGA-AB-3000-03	acute myeloid leukemia	1.6027802834391676	0.38983987036452944
TCGA-AB-3001-03	acute myeloid leukemia	1.819813266359101	-0.24752882904274645
TCGA-AB-3002-03	acute myeloid leukemia	1.6657986592576048	0.4803955180860765
TCGA-AB-3005-03	acute myeloid leukemia	1.5265180192343148	1.0371894505574348
TCGA-AB-3006-03	acute myeloid leukemia	1.534403982415433	-0.12126542119202807
TCGA-AB-3007-03	acute myeloid leukemia	1.6109590073335651	-0.7100943750493596
TCGA-AB-3008-03	acute myeloid leukemia	1.6805666858004666	0.3749380848038101
TCGA-AB-3009-03	acute myeloid leukemia	1.7581962257310444	0.17345851091154682
TCGA-AB-3011-03	acute myeloid leukemia	1.4475919110343565	-0.6713240480044177
TCGA-AB-3012-03	acute myeloid leukemia	1.8784148903596016	-0.8272865657356997
TCGA-OR-A5J1-01	adrenocortical cancer	1.216317310611304	0.20155242673941057
TCGA-OR-A5J2-01	adrenocortical cancer	1.5341782733043408	-0.086447428897742
TCGA-OR-A5J3-01	adrenocortical cancer	1.3693865988305125	-0.3244679804869778
TCGA-OR-A5J5-01	adrenocortical cancer	1.1959708860898368	-0.1855410078068237
TCGA-OR-A5J6-01	adrenocortical cancer	1.4966784270035622	0.2864791231397439
TCGA-OR-A5J7-01	adrenocortical cancer	1.5990297768593185	-0.8889331145705902
TCGA-OR-A5J8-01	adrenocortical cancer	1.5056064623265648	1.2703807190380816
TCGA-OR-A5J9-01	adrenocortical cancer	1.4346087680617383	-0.4607939685307668
TCGA-OR-A5JA-01	adrenocortical cancer	1.488976828935622	-0.3038912429431916
TCGA-OR-A5JB-01	adrenocortical cancer	1.6376640060510477	1.1105967763182574
TCGA-OR-A5JC-01	adrenocortical cancer	1.383708416401388	0.24827672735817502
TCGA-OR-A5JD-01	adrenocortical cancer	1.5092931464878885	0.637672939242088
TCGA-OR-A5JE-01	adrenocortical cancer	1.3696089019052542	-0.20741001584821997
TCGA-OR-A5JF-01	adrenocortical cancer	1.4563120943656402	-0.6170232981386756
TCGA-OR-A5JG-01	adrenocortical cancer	1.46023087708813	-0.27265203043285735
TCGA-OR-A5JI-01	adrenocortical cancer	1.5683464973758667	0.8123371886724237
TCGA-OR-A5JJ-01	adrenocortical cancer	1.4024353585530591	0.08842916808683758
TCGA-OR-A5JK-01	adrenocortical cancer	1.5679137605656854	1.759306214332693
TCGA-OR-A5JL-01	adrenocortical cancer	1.4158227361294369	0.07466576658122909
TCGA-OR-A5JM-01	adrenocortical cancer	1.4885472206880188	-1.2982645676147562
TCGA-OR-A5JO-01	adrenocortical cancer	1.7202233561219495	1.3137063611968691
TCGA-OR-A5JP-01	adrenocortical cancer	1.3777139321978866	-0.6085561549521259
TCGA-OR-A5JQ-01	adrenocortical cancer	1.6495281627392673	0.9821820989678698
TCGA-OR-A5JR-01	adrenocortical cancer	1.5379753013009307	0.5126887541537344
TCGA-OR-A5JS-01	adrenocortical cancer	1.5969978006851266	-0.8976819428255965
TCGA-OR-A5JT-01	adrenocortical cancer	1.5847670628431936	-0.09309409851091624
TCGA-OR-A5JV-01	adrenocortical cancer	1.4500046075551056	0.6038136062726973
TCGA-OR-A5JW-01	adrenocortical cancer	1.522322275923038	-0.14544246257091978
TCGA-OR-A5JX-01	adrenocortical cancer	1.4071117978521857	0.07739561831575154
TCGA-OR-A5JY-01	adrenocortical cancer	1.4117661694863046	0.15383447274943826
TCGA-OR-A5JZ-01	adrenocortical cancer	1.547993923730775	-0.11251486183376688
TCGA-OR-A5K0-01	adrenocortical cancer	1.406250393600748	0.675996740309376
