panel	removed_gene	cohort	AUC
Iodide-handling 6	SLC5A5	GSE286332	0.889
Iodide-handling 6	SLC26A4	TCGA	0.805
Iodide-handling 6	SLC26A4	K2_n260	0.464
Iodide-handling 6	SLC26A4	K2_n23	0.365
Iodide-handling 6	SLC26A4	K2_balanced	0.417
Iodide-handling 6	SLC26A4	GSE286332	0.827
Iodide-handling 6	TPO	TCGA	0.769
Iodide-handling 6	TPO	K2_n23	0.571
Iodide-handling 6	TPO	K2_balanced	0.667
Iodide-handling 6	TPO	GSE286332	0.827
Iodide-handling 6	DUOX1	TCGA	0.852
Iodide-handling 6	DUOX1	K2_n260	0.464
Iodide-handling 6	DUOX1	K2_n23	0.444
Iodide-handling 6	DUOX1	K2_balanced	0.429
Iodide-handling 6	DUOX1	GSE286332	0.827
Iodide-handling 6	DUOX2	TCGA	0.848
Iodide-handling 6	DUOX2	K2_n260	0.464
Iodide-handling 6	DUOX2	K2_n23	0.437
Iodide-handling 6	DUOX2	K2_balanced	0.429
Iodide-handling 6	DUOX2	GSE286332	0.778
Iodide-handling 6	IYD	TCGA	0.766
Iodide-handling 6	IYD	K2_n260	0.464
Iodide-handling 6	IYD	K2_n23	0.389
Iodide-handling 6	IYD	K2_balanced	0.381
Iodide-handling 6	IYD	GSE286332	0.778
Lineage TF + Effector minimal 6	FOXE1	TCGA	0.857
Lineage TF + Effector minimal 6	FOXE1	K2_n260	0.398
Lineage TF + Effector minimal 6	FOXE1	K2_n23	0.27
Lineage TF + Effector minimal 6	FOXE1	K2_balanced	0.286
Lineage TF + Effector minimal 6	FOXE1	GSE286332	0.926
Lineage TF + Effector minimal 6	NKX2-1	TCGA	0.915
Lineage TF + Effector minimal 6	NKX2-1	K2_n260	0.335
Lineage TF + Effector minimal 6	NKX2-1	K2_n23	0.159
Lineage TF + Effector minimal 6	NKX2-1	K2_balanced	0.226
Lineage TF + Effector minimal 6	NKX2-1	GSE286332	0.877
Lineage TF + Effector minimal 6	PAX8	TCGA	0.899
Lineage TF + Effector minimal 6	PAX8	K2_n260	0.366
Lineage TF + Effector minimal 6	PAX8	K2_n23	0.151
Lineage TF + Effector minimal 6	PAX8	K2_balanced	0.214
Lineage TF + Effector minimal 6	PAX8	GSE286332	0.901
Lineage TF + Effector minimal 6	TG	TCGA	0.895
Lineage TF + Effector minimal 6	TG	K2_n260	0.485
Lineage TF + Effector minimal 6	TG	K2_n23	0.246
Lineage TF + Effector minimal 6	TG	K2_balanced	0.333
Lineage TF + Effector minimal 6	TG	GSE286332	0.914
Lineage TF + Effector minimal 6	TPO	TCGA	0.871
Lineage TF + Effector minimal 6	TPO	K2_n260	0.627
Lineage TF + Effector minimal 6	TPO	K2_n23	0.365
Lineage TF + Effector minimal 6	TPO	K2_balanced	0.429
Lineage TF + Effector minimal 6	TPO	GSE286332	0.926
Lineage TF + Effector minimal 6	DIO1	TCGA	0.871
Lineage TF + Effector minimal 6	DIO1	K2_n260	0.645
Lineage TF + Effector minimal 6	DIO1	K2_n23	0.413
Lineage TF + Effector minimal 6	DIO1	K2_balanced	0.5
Lineage TF + Effector minimal 6	DIO1	GSE286332	0.951
Lineage TF + Effector minimal 4	FOXE1	TCGA	0.803
Lineage TF + Effector minimal 4	FOXE1	K2_n260	0.515
Lineage TF + Effector minimal 4	FOXE1	K2_n23	0.333
Lineage TF + Effector minimal 4	FOXE1	K2_balanced	0.429
Lineage TF + Effector minimal 4	FOXE1	GSE286332	0.926
Lineage TF + Effector minimal 4	NKX2-1	TCGA	0.909
Lineage TF + Effector minimal 4	NKX2-1	K2_n260	0.31
Lineage TF + Effector minimal 4	NKX2-1	K2_n23	0.19
Lineage TF + Effector minimal 4	NKX2-1	K2_balanced	0.226
Lineage TF + Effector minimal 4	NKX2-1	GSE286332	0.889
Lineage TF + Effector minimal 4	TG	TCGA	0.86
Lineage TF + Effector minimal 4	TG	K2_n260	0.57
Lineage TF + Effector minimal 4	TG	K2_n23	0.294
Lineage TF + Effector minimal 4	TG	K2_balanced	0.405
Lineage TF + Effector minimal 4	TG	GSE286332	0.951
Lineage TF + Effector minimal 4	TPO	TCGA	0.803
Lineage TF + Effector minimal 4	TPO	K2_n260	0.824
Lineage TF + Effector minimal 4	TPO	K2_n23	0.508
Lineage TF + Effector minimal 4	TPO	K2_balanced	0.714
Lineage TF + Effector minimal 4	TPO	GSE286332	0.926
TIERA TDS-extended 12	DIO1	TCGA	0.906
TIERA TDS-extended 12	DIO1	K2_n260	0.754
TIERA TDS-extended 12	DIO1	K2_n23	0.54
TIERA TDS-extended 12	DIO1	K2_balanced	0.536
TIERA TDS-extended 12	DIO1	GSE286332	0.901
TIERA TDS-extended 12	DIO2	TCGA	0.9
TIERA TDS-extended 12	DIO2	K2_n260	0.652
TIERA TDS-extended 12	DIO2	K2_n23	0.452
TIERA TDS-extended 12	DIO2	K2_balanced	0.417
TIERA TDS-extended 12	DIO2	GSE286332	0.914
TIERA TDS-extended 12	FOXE1	TCGA	0.904
TIERA TDS-extended 12	FOXE1	K2_n260	0.648
TIERA TDS-extended 12	FOXE1	K2_n23	0.444
TIERA TDS-extended 12	FOXE1	K2_balanced	0.393
TIERA TDS-extended 12	FOXE1	GSE286332	0.877
TIERA TDS-extended 12	NKX2-1	TCGA	0.926
TIERA TDS-extended 12	NKX2-1	K2_n260	0.581
TIERA TDS-extended 12	NKX2-1	K2_n23	0.397
TIERA TDS-extended 12	NKX2-1	K2_balanced	0.357
TIERA TDS-extended 12	NKX2-1	GSE286332	0.864
TIERA TDS-extended 12	PAX8	TCGA	0.918
TIERA TDS-extended 12	PAX8	K2_n260	0.619
TIERA TDS-extended 12	PAX8	K2_n23	0.413
TIERA TDS-extended 12	PAX8	K2_balanced	0.405
TIERA TDS-extended 12	PAX8	GSE286332	0.84
TIERA TDS-extended 12	SLC5A5	TCGA	0.935
TIERA TDS-extended 12	SLC5A5	K2_n260	0.581
TIERA TDS-extended 12	SLC5A5	K2_n23	0.452
TIERA TDS-extended 12	SLC5A5	K2_balanced	0.452
TIERA TDS-extended 12	SLC5A5	GSE286332	0.901
TIERA TDS-extended 12	SLC5A8	TCGA	0.901
TIERA TDS-extended 12	SLC5A8	K2_n260	0.652
TIERA TDS-extended 12	SLC5A8	K2_n23	0.46
TIERA TDS-extended 12	SLC5A8	K2_balanced	0.512
TIERA TDS-extended 12	SLC5A8	GSE286332	0.852
TIERA TDS-extended 12	TG	TCGA	0.929
TIERA TDS-extended 12	TG	K2_n260	0.632
TIERA TDS-extended 12	TG	K2_n23	0.468
TIERA TDS-extended 12	TG	K2_balanced	0.452
TIERA TDS-extended 12	TG	GSE286332	0.877
TIERA TDS-extended 12	THRA	TCGA	0.905
TIERA TDS-extended 12	THRA	K2_n260	0.652
TIERA TDS-extended 12	THRA	K2_n23	0.365
TIERA TDS-extended 12	THRA	K2_balanced	0.357
TIERA TDS-extended 12	THRA	GSE286332	0.864
TIERA TDS-extended 12	THRB	TCGA	0.914
TIERA TDS-extended 12	THRB	K2_n260	0.652
TIERA TDS-extended 12	THRB	K2_n23	0.389
TIERA TDS-extended 12	THRB	K2_balanced	0.369
TIERA TDS-extended 12	THRB	GSE286332	0.852
TIERA TDS-extended 12	TPO	TCGA	0.909
TIERA TDS-extended 12	TPO	K2_n260	0.731
TIERA TDS-extended 12	TPO	K2_n23	0.548
TIERA TDS-extended 12	TPO	K2_balanced	0.512
TIERA TDS-extended 12	TPO	GSE286332	0.889
TIERA TDS-extended 12	TSHR	TCGA	0.926
TIERA TDS-extended 12	TSHR	K2_n260	0.588
TIERA TDS-extended 12	TSHR	K2_n23	0.421
TIERA TDS-extended 12	TSHR	K2_balanced	0.405
TIERA TDS-extended 12	TSHR	GSE286332	0.877
Mechanism arm 5	STAT3	TCGA	0.231
Mechanism arm 5	STAT3	K2_n23	0.571
Mechanism arm 5	STAT3	K2_balanced	0.619
Mechanism arm 5	STAT3	GSE286332	0.42
Mechanism arm 5	FOSL1	TCGA	0.246
Mechanism arm 5	FOSL1	K2_n23	0.571
Mechanism arm 5	FOSL1	K2_balanced	0.655
Mechanism arm 5	FOSL1	GSE286332	0.296
Mechanism arm 5	JUNB	TCGA	0.163
Mechanism arm 5	JUNB	K2_n23	0.524
Mechanism arm 5	JUNB	K2_balanced	0.643
Mechanism arm 5	JUNB	GSE286332	0.296
Mechanism arm 5	DNMT1	TCGA	0.222
Mechanism arm 5	DNMT1	K2_n23	0.635
Mechanism arm 5	DNMT1	K2_balanced	0.679
Mechanism arm 5	DNMT1	GSE286332	0.444
Mechanism arm 5	DNMT3B	TCGA	0.111
Mechanism arm 5	DNMT3B	K2_n23	0.571
Mechanism arm 5	DNMT3B	K2_balanced	0.619
Mechanism arm 5	DNMT3B	GSE286332	0.173
