population	country	region	locus	shannon_H	exp_het	n_alleles_observed
China Yunnan Province Nu pop 2	China	East Asia	DPB1	1.0926372069983934	0.6625885584095378	3
China Yunnan Province Pumi	China	East Asia	DPB1	0.8560900328768274	0.5265164889485205	3
China Yunnan Province Puyi	China	East Asia	DPB1	1.0363747178205756	0.6225850340136054	3
China Yunnan Province Yao	China	East Asia	DPB1	1.0597760813019232	0.6421769312922748	3
China Zhejiang Han pop 2	China	East Asia	DPB1	0.8874014531208256	0.525187876978481	3
India Bombay	India	South Asia	DPB1	2.002566206163643	0.7944686969128638	14
India Delhi	India	South Asia	DPB1	2.0045661313981724	0.7762982808168737	16
India Lucknow	India	South Asia	DPB1	2.300729940130697	0.80785995157574	24
Indonesia Java	Indonesia	Southeast Asia	DPB1	2.2315574323788883	0.8599438796292106	16
Indonesia Moluccan Islands	Indonesia	Southeast Asia	DPB1	1.9878020767138034	0.8111928032007951	12
Indonesia Nusa Tenggara Islands	Indonesia	Southeast Asia	DPB1	1.6856127064576822	0.7405282030656655	9
Japan	Japan	East Asia	DPB1	1.7236860389352577	0.7748188960310172	9
Japan Central	Japan	East Asia	DPB1	1.7562588258919178	0.7778820291486833	9
Japan Fukuoka	Japan	East Asia	DPB1	1.5898572085136924	0.718817343422777	9
Japan Hyogo	Japan	East Asia	DPB1	1.7240769692075264	0.7612892568314907	8
Japan South	Japan	East Asia	DPB1	1.6937889234198267	0.7497211633891306	9
Japan pop 17	Japan	East Asia	DPB1	1.7177825759842293	0.7651860227103066	10
Japan pop 2	Japan	East Asia	DPB1	1.5238584906745896	0.7126437301946582	10
Japan pop 4	Japan	East Asia	DPB1	1.7145660548812798	0.7598885018672795	11
Japan pop 7	Japan	East Asia	DPB1	1.6828679421567971	0.7528739340944165	10
Japan pop 9	Japan	East Asia	DPB1	1.5803842067777794	0.7381659665334974	9
Malaysia	Malaysia	Southeast Asia	DPB1	2.3062164169773447	0.8638327314966794	18
Mongolia Tarialan Khoton	Mongolia	East Asia	DPB1	1.6914541123640947	0.7697406343139529	10
Mongolia Ulaanbaatar Khalkha	Mongolia	East Asia	DPB1	1.8060459619570293	0.8098964881510704	9
Pakistan Mixed Punjabi	Pakistan	South Asia	DPB1	2.291526781996896	0.8088918124473116	25
Singapore Riau Malay	Singapore	Southeast Asia	DPB1	2.3956255260767114	0.8697408479988119	20
Singapore SGVP Chinese CHS	Singapore	Southeast Asia	DPB1	1.7513775758284034	0.7317265067971321	15
Singapore SGVP Malay MAS	Singapore	Southeast Asia	DPB1	1.8568837903322746	0.7768894342827426	12
Singapore SGVP. Indian INS	Singapore	Southeast Asia	DPB1	1.884204005828839	0.750766248342006	17
South Korea pop 1	South Korea	East Asia	DPB1	1.8465184154873726	0.7786327890391334	13
South Korea pop 11	South Korea	East Asia	DPB1	1.8056317670727666	0.7653001564490896	14
South Korea pop 2	South Korea	East Asia	DPB1	1.882084024963896	0.78836	13
Sri Lanka Colombo	Sri Lanka	South Asia	DPB1	2.2175377810298578	0.8354217844545225	30
Taiwan Aborigine pop 2	Taiwan	East Asia	DPB1	0.7505035207280469	0.3499702857142857	5
Taiwan Ami pop 2	Taiwan	East Asia	DPB1	0.617704048943378	0.2555208694646779	6
Taiwan Atayal pop 2	Taiwan	East Asia	DPB1	0.3811105699746385	0.1853301350839539	3
Taiwan Bunun pop 2	Taiwan	East Asia	DPB1	0.5017717193243282	0.2249715944956444	5
Taiwan Han	Taiwan	East Asia	DPB1	1.144454863862759	0.5187724615844613	7
Taiwan Han Chinese	Taiwan	East Asia	DPB1	1.4460260685465525	0.6800081825571569	8
Taiwan Orchid Island Yami	Taiwan	East Asia	DPB1	1.2420584004833644	0.6874	4
Taiwan Paiwan pop 2	Taiwan	East Asia	DPB1	0.3893772362904818	0.2285318559556786	2
Taiwan Puyuma pop 2	Taiwan	East Asia	DPB1	0.6718619390755641	0.2941673710904479	6
Taiwan Rukai pop 2	Taiwan	East Asia	DPB1	0.2798908563867938	0.14797199101598624	2
Taiwan Saisiat pop 2	Taiwan	East Asia	DPB1	0.47498917898057613	0.24251033057851235	3
Taiwan Tsou pop 2	Taiwan	East Asia	DPB1	0.3900630977043954	0.19775390624999978	3
Thailand Bangkok	Thailand	Southeast Asia	DPB1	2.3245837801505553	0.8736619999999999	16
Thailand East Chanthaburi Khmer	Thailand	Southeast Asia	DPB1	2.0490425814926323	0.8330312294276259	13
Thailand Kamphaeng Phet	Thailand	Southeast Asia	DPB1	2.2820153387268025	0.86104	18
Thailand North Dai Lue	Thailand	Southeast Asia	DPB1	1.8846761618535368	0.7906547814449131	13
Thailand Northeast	Thailand	Southeast Asia	DPB1	2.2737784953163267	0.87043	13
China Beijing and Xian	China	East Asia	DQB1	0.9933233915408914	0.5989821949187839	3
China Canton Han	China	East Asia	DQB1	0.976030446961892	0.5834155603795422	3
China Guangzhou Han pop 2	China	East Asia	DQB1	1.0478135446150894	0.6328415467809407	3
China Guizhou Province Miao	China	East Asia	DQB1	0.7214636866925115	0.4027777777777778	3
China Harbin Manchu pop 2	China	East Asia	DQB1	0.920825083462141	0.5461841976276836	3
China Hong Kong and Singapore	China	East Asia	DQB1	0.9812698465179888	0.5845850873309058	3
China Hubei Han	China	East Asia	DQB1	1.1754489155615562	0.6272674004531227	4
China Inner Mongolia Autonomous Region Northeast	China	East Asia	DQB1	2.356286379941748	0.8767949798400423	18
China Inner Mongolia Region Ewenki	China	East Asia	DQB1	1.3571265790378901	0.7166649567388256	5
China Lijiang Naxi	China	East Asia	DQB1	0.8059974174266306	0.48077662437524027	3
China Shandong Province Han	China	East Asia	DQB1	0.9064227212946181	0.5604237536556933	3
China Shanghai pop 3	China	East Asia	DQB1	0.8371114209011301	0.4836987488568295	3
China Urumqi Han	China	East Asia	DQB1	1.0028793232864441	0.6112044621811479	3
China Urumqi Kazak	China	East Asia	DQB1	0.9950125179493959	0.6070581181520058	3
China Urumqi Uyghur	China	East Asia	DQB1	0.6878989824426505	0.494760989521979	2
China Wanwei, Wutou and Shanxin Islands Jing	China	East Asia	DQB1	0.16362124518028373	0.07430745174916575	2
China Wuhan	China	East Asia	DQB1	0.9628822134552429	0.5738827670645853	3
China Xinjiang Province Uyghur	China	East Asia	DQB1	0.9818649081955027	0.5909793935227858	3
China Yunnan Province Bai	China	East Asia	DQB1	0.4542675403942847	0.28085348079561046	2
China Yunnan Province Drung	China	East Asia	DQB1	-0.0	0.0	1
China Yunnan Province Lahu	China	East Asia	DQB1	1.0397207708399179	0.625	3
China Yunnan Province Lisu	China	East Asia	DQB1	0.20465893610979424	0.08308634576070806	3
China Yunnan Province Nu	China	East Asia	DQB1	0.4017529015695798	0.19085281171292034	3
China Yunnan Province Yao	China	East Asia	DQB1	0.5684916008392015	0.38061725206611563	2
China Zhejiang Han	China	East Asia	DQB1	0.8959095316958643	0.5205859720520676	3
China Zhejiang Han pop 2	China	East Asia	DQB1	1.172098994211872	0.6254991629960066	4
China pop1	China	East Asia	DQB1	0.6132087985008033	0.42221552038856536	2
China, Xinjiang Uyghur Autonomous Region Han	China	East Asia	DQB1	0.996856629341025	0.6068842766997319	3
China, Xinjiang Uyghur Autonomous Region Hui	China	East Asia	DQB1	1.026477643379256	0.618459587618546	3
China, Xinjiang Uyghur Autonomous Region Kazakh	China	East Asia	DQB1	0.9582731702824694	0.5761778080761181	3
China, Xinjiang Uyghur Autonomous Region Uyghur	China	East Asia	DQB1	0.8702185790753674	0.5169658399999999	3
India Andhra Pradesh Telugu Speaking	India	South Asia	DQB1	1.0445132644770514	0.6323419497495719	3
India Bombay	India	South Asia	DQB1	0.6824410737934514	0.4893321550309304	2
India Central UCBB	India	South Asia	DQB1	1.4000556367000152	0.7409038166538595	9
India Delhi	India	South Asia	DQB1	1.0878375761704184	0.6051878374283051	4
India East UCBB	India	South Asia	DQB1	1.2932339409524503	0.7012021175688391	6
India Karnataka Kannada Speaking	India	South Asia	DQB1	0.8422705654102921	0.5004510675264795	4
India Kerala Malayalam speaking	India	South Asia	DQB1	0.2721140041018207	0.10898760330578516	4
India Lucknow	India	South Asia	DQB1	0.9906960857082697	0.5947975614569387	3
India Mumbai Maratha	India	South Asia	DQB1	1.0765504225707114	0.6525724449453636	3
India North UCBB	India	South Asia	DQB1	1.3611700301096392	0.7335214721656185	8
India North pop 2	India	South Asia	DQB1	0.9196881326213862	0.5673826381864698	3
India Northeast Kayastha	India	South Asia	DQB1	0.6558865483098835	0.46320450430058857	2
India Northeast Lachung	India	South Asia	DQB1	0.687971390887175	0.4948331461082329	2
India Northeast Mathur	India	South Asia	DQB1	0.5958875897984424	0.4059370010161125	2
India Northeast Mech	India	South Asia	DQB1	0.6880541416262023	0.49491561330414513	2
India Northeast Rajbanshi	India	South Asia	DQB1	0.6770687146287411	0.4840078929502757	2
India Northeast Rastogi	India	South Asia	DQB1	0.581215016242409	0.3923109795183296	2
India Northeast Shia	India	South Asia	DQB1	0.6730116670092565	0.48	2
India Northeast Sunni	India	South Asia	DQB1	0.6742212344154441	0.4811937557392103	2
India Northeast UCBB	India	South Asia	DQB1	0.8370275284925723	0.49728817462087127	3
India Northeast Vaish	India	South Asia	DQB1	0.6908683591827749	0.49772291015845527	2
India South UCBB	India	South Asia	DQB1	1.0686006933535686	0.6378965301668196	5
India Tamil Nadu	India	South Asia	DQB1	0.7519680464854661	0.4975744622260001	6
India Uttar Pradesh	India	South Asia	DQB1	0.6747678674274388	0.4817335655803747	2
India West UCBB	India	South Asia	DQB1	1.1116732003944505	0.6597945908914045	5
Indonesia Java Yogyakarta Region	Indonesia	Southeast Asia	DQB1	1.6354823172029394	0.7069034618498119	12
Indonesia Moluccan Islands	Indonesia	Southeast Asia	DQB1	1.6858111740654886	0.7557080383173677	8
Indonesia Nusa Tenggara Islands	Indonesia	Southeast Asia	DQB1	1.7976725584543536	0.8072090835796829	9
Japan	Japan	East Asia	DQB1	2.1453072852643134	0.8657844990548205	10
Japan Central	Japan	East Asia	DQB1	2.184817284701367	0.8746138517572128	12
Japan Fukuoka	Japan	East Asia	DQB1	1.8580475582752745	0.82210380216767	8
Japan Hokkaido Wajin	Japan	East Asia	DQB1	2.047754255905414	0.8592562156815862	9
Japan Hyogo	Japan	East Asia	DQB1	2.0517584860882643	0.8580577416251973	9
Japan Nagano	Japan	East Asia	DQB1	2.0409646054909167	0.854782745935971	9
Japan pop 11	Japan	East Asia	DQB1	2.056206395905088	0.8562804765018316	9
Japan pop 17	Japan	East Asia	DQB1	2.051674966095703	0.8550609926059827	12
Japan pop 2	Japan	East Asia	DQB1	2.096934731973682	0.8625479216142249	11
Malaysia	Malaysia	Southeast Asia	DQB1	1.918739130736646	0.8100101614217587	9
Malaysia Jelebu Temuan	Malaysia	Southeast Asia	DQB1	1.775609407944485	0.8025652372942358	8
Malaysia Kedah Baling Kensiu	Malaysia	Southeast Asia	DQB1	1.8616732470118613	0.8211805555555556	8
Malaysia Peninsular Chinese	Malaysia	Southeast Asia	DQB1	2.245539043890959	0.8744570992784748	15
Malaysia Peninsular Indian	Malaysia	Southeast Asia	DQB1	2.1648919095657426	0.873263682518827	11
Malaysia Peninsular Malay	Malaysia	Southeast Asia	DQB1	2.0681253335042817	0.836194043668671	15
Malaysia Perak Grik Jehai	Malaysia	Southeast Asia	DQB1	1.6169278061631922	0.7656979034654288	7
Malaysia Sarawak Bau Bidayuh	Malaysia	Southeast Asia	DQB1	1.4804954144874527	0.7381852551984878	6
Mongolia Khalkha	Mongolia	East Asia	DQB1	2.3513152422831176	0.8757762374706898	14
Mongolia Oold	Mongolia	East Asia	DQB1	2.0138134574940025	0.773308	13
Mongolia Tarialan Khoton	Mongolia	East Asia	DQB1	1.9314295050809855	0.8100857473113318	11
Mongolia Tsaatan	Mongolia	East Asia	DQB1	2.3911318998496744	0.890009930306067	13
Mongolia Ulaanbaatar Khalkha	Mongolia	East Asia	DQB1	2.2398115650223827	0.8488185393300833	14
Pakistan Baloch	Pakistan	South Asia	DQB1	0.8177099784722823	0.4826211734693877	3
Pakistan Brahui	Pakistan	South Asia	DQB1	0.9295776887159249	0.49173553719008267	4
Pakistan Burusho	Pakistan	South Asia	DQB1	1.1085485664875747	0.6112418502372593	4
Pakistan Kalash	Pakistan	South Asia	DQB1	1.2987512283127516	0.7067937600150815	4
Pakistan Karachi Parsi	Pakistan	South Asia	DQB1	0.8331470655075726	0.4700990861664506	4
Pakistan Mixed Pathan	Pakistan	South Asia	DQB1	0.9933352305217215	0.5493827160493828	4
Pakistan Mixed Punjabi	Pakistan	South Asia	DQB1	2.3475221375513806	0.8824443989066009	21
Pakistan Mixed Sindhi	Pakistan	South Asia	DQB1	0.9382985033333806	0.5187456517818032	4
Singapore Riau Malay	Singapore	Southeast Asia	DQB1	2.039860163133166	0.819042	12
Singapore SGVP Chinese CHS	Singapore	Southeast Asia	DQB1	2.2255749672548006	0.8773829586336309	12
Singapore SGVP Malay MAS	Singapore	Southeast Asia	DQB1	1.89010293709193	0.8151855559262967	10
Singapore SGVP. Indian INS	Singapore	Southeast Asia	DQB1	1.906810901638168	0.820604	10
South Korea pop 1	South Korea	East Asia	DQB1	2.5963497804986586	0.917788	17
South Korea pop 2	South Korea	East Asia	DQB1	2.535587277352794	0.911988	15
South Korea pop 3	South Korea	East Asia	DQB1	2.1170574979553742	0.8675778615354097	10
South Korea pop 4	South Korea	East Asia	DQB1	2.427475083825283	0.9017678017846716	14
Sri Lanka Colombo	Sri Lanka	South Asia	DQB1	2.4339686629036357	0.8976659254539472	21
Taiwan	Taiwan	East Asia	DQB1	2.231636594590682	0.865192	12
Taiwan Han Chinese	Taiwan	East Asia	DQB1	2.3304380607838975	0.8808052557559531	16
Taiwan pop 2	Taiwan	East Asia	DQB1	2.2649837270959217	0.8682585685483871	16
Thailand	Thailand	Southeast Asia	DQB1	2.319562963399742	0.8831208751288671	14
Thailand Kamphaeng Phet	Thailand	Southeast Asia	DQB1	2.1281159431159082	0.8611219999999999	12
Thailand North Dai Lue	Thailand	Southeast Asia	DQB1	2.164807361793061	0.8750221642392779	10
Thailand Northeast	Thailand	Southeast Asia	DQB1	2.1568057582150497	0.862796	13
Thailand Northeast pop 2	Thailand	Southeast Asia	DQB1	2.0352466978228776	0.8400548696844994	12
Thailand pop 2	Thailand	Southeast Asia	DQB1	2.2847420122582487	0.878958	15
Vietnam Hanoi Kinh	Vietnam	Southeast Asia	DQB1	1.9962477056045271	0.80345	13
Vietnam Hanoi Kinh pop 2	Vietnam	Southeast Asia	DQB1	1.9712513582074949	0.7904123848179793	14
Vietnam HoaBinh Muong	Vietnam	Southeast Asia	DQB1	1.7892841882027433	0.7262248128538071	15
Vietnam Kinh	Vietnam	Southeast Asia	DQB1	2.061605851531896	0.7948917624125919	18
Vietnam Kinh  DQB1	Vietnam	Southeast Asia	DQB1	2.1416034284387013	0.8210714501544634	21
China Beijing Shijiazhuang Tianjian Han	China	East Asia	DRB1	0.9382676996330896	0.509090909090909	6
China Beijing and Xian	China	East Asia	DRB1	0.9540365141242575	0.5873959571938169	3
China Canton Han	China	East Asia	DRB1	0.21903252178902116	0.10775510204081629	2
China Guangxi Region Maonan	China	East Asia	DRB1	-0.0	0.0	1
China Guizhou Province Miao	China	East Asia	DRB1		1.0	0
China Han Guandong Province	China	East Asia	DRB1		1.0	0
China Harbin Korean	China	East Asia	DRB1	0.6287993940937804	0.437044745057232	2
China Harbin Manchu	China	East Asia	DRB1	0.671588715399869	0.4785969084423306	2
China Harbin Manchu pop 2	China	East Asia	DRB1	-0.0	0.0	1
China Hong Kong and Singapore	China	East Asia	DRB1	0.2261453774932628	0.1122744486522611	2
China Hubei Han	China	East Asia	DRB1	0.7513641785351141	0.47348184450879927	3
China Inner Mongolia Autonomous Region Northeast	China	East Asia	DRB1	1.9883545859711895	0.8256749260355029	13
China Inner Mongolia Region Ewenki	China	East Asia	DRB1	1.2163665434143531	0.6379709270157438	6
China Jiangsu Han	China	East Asia	DRB1	0.733769742732399	0.4642074506939373	3
China Jiangsu Province Han	China	East Asia	DRB1	0.7375049172143344	0.4751997597554929	3
China Lijiang Naxi	China	East Asia	DRB1	-0.0	0.0	1
China Shandong Province Han	China	East Asia	DRB1	-0.0	0.0	1
China Southwest Dai	China	East Asia	DRB1	-0.0	0.0	1
China Urumqi Han	China	East Asia	DRB1	0.4756063672315696	0.29876286275870045	2
China Urumqi Kazak	China	East Asia	DRB1	0.521242129040882	0.33819785578543526	2
China Urumqi Uyghur	China	East Asia	DRB1	0.6484196629383533	0.346332644628099	3
China Wanwei, Wutou and Shanxin Islands Jing	China	East Asia	DRB1	-0.0	0.0	1
China Wuhan	China	East Asia	DRB1	0.4450450518184774	0.2732194918783839	2
China Xinjiang Province Uyghur	China	East Asia	DRB1	0.8836518764696625	0.5515450336858747	3
China Yunnan Hani	China	East Asia	DRB1	0.6474466390346325	0.4550000000000002	2
China Yunnan Province Bai	China	East Asia	DRB1	-0.0	0.0	1
China Yunnan Province Drung	China	East Asia	DRB1		1.0	0
China Yunnan Province Han	China	East Asia	DRB1	0.500402423538188	0.32000000000000006	2
China Yunnan Province Han pop 2	China	East Asia	DRB1	-0.0	0.0	1
China Yunnan Province Lahu	China	East Asia	DRB1	-0.0	0.0	1
China Yunnan Province Lisu	China	East Asia	DRB1	-0.0	0.0	1
China Yunnan Province Naxi	China	East Asia	DRB1	-0.0	0.0	1
China Yunnan Province Nu	China	East Asia	DRB1	-0.0	0.0	1
China Yunnan Province Yao	China	East Asia	DRB1	-0.0	0.0	1
China Zhejiang Han	China	East Asia	DRB1	0.17052985644751145	0.07830070803831746	2
China Zhejiang Han pop 2	China	East Asia	DRB1	0.5916490920915192	0.3448516986189617	3
China pop1	China	East Asia	DRB1	0.9184277849930977	0.5694444444444444	3
China, Xinjiang Uyghur Autonomous Region Han	China	East Asia	DRB1	-0.0	0.0	1
China, Xinjiang Uyghur Autonomous Region Kazakh	China	East Asia	DRB1	-0.0	0.0	1
China, Xinjiang Uyghur Autonomous Region Uyghur	China	East Asia	DRB1	-0.0	0.0	1
Germany DKMS - China minority	China	East Asia	DRB1	0.42880639203230153	0.2599355198710398	2
India Andhra Pradesh Golla	India	South Asia	DRB1	0.43369317095830084	0.2639118629256265	2
India Andhra Pradesh Telugu Speaking	India	South Asia	DRB1	0.4750619264713951	0.2983016800584368	2
India Central UCBB	India	South Asia	DRB1	0.5226067742372476	0.31073532553951366	3
India Delhi	India	South Asia	DRB1	0.16593703118593145	0.07564015128030266	2
India East UCBB	India	South Asia	DRB1	0.6497025138777404	0.44343619800861533	3
India Karnataka Kannada Speaking	India	South Asia	DRB1	0.6905193791272948	0.49737450115521964	2
India Kerala Malayalam speaking	India	South Asia	DRB1	0.7434650558843662	0.46924259900038456	3
India Lucknow	India	South Asia	DRB1	0.4353456535872843	0.26526063100137187	2
India Mumbai Maratha	India	South Asia	DRB1	0.7203071146936662	0.4357369614512472	3
India North	India	South Asia	DRB1	-0.0	0.0	1
India North UCBB	India	South Asia	DRB1	0.46707878819318555	0.2667087242537499	3
India North pop 2	India	South Asia	DRB1	0.6365141682948128	0.4444444444444444	2
India Northeast Kayastha	India	South Asia	DRB1	0.6393712027646198	0.3819304797471992	3
India Northeast Lachung	India	South Asia	DRB1	0.5960740318257864	0.4061111111111111	2
India Northeast Mathur	India	South Asia	DRB1	0.6397189022705627	0.4475302519341402	2
India Northeast Mech	India	South Asia	DRB1	0.5335989651593098	0.34913707597698873	2
India Northeast Rajbanshi	India	South Asia	DRB1	0.6512725092269067	0.4587131721495572	2
India Northeast Rastogi	India	South Asia	DRB1	0.915488368544972	0.5682301512287333	3
India Northeast Shia	India	South Asia	DRB1	0.8664340731033895	0.5497211599017899	3
India Northeast Sunni	India	South Asia	DRB1	0.6904513812647557	0.497306624021547	2
India Northeast UCBB	India	South Asia	DRB1	0.6927772149328393	0.49963008	2
India Northeast Vaish	India	South Asia	DRB1	0.6849558716284034	0.4918310814630563	2
India South UCBB	India	South Asia	DRB1	0.6471280785620401	0.41114653894083164	3
India Tamil Nadu	India	South Asia	DRB1	0.6787942334469541	0.4031514827661925	4
India Uttar Pradesh	India	South Asia	DRB1	0.6517757275485935	0.34860240195557424	3
India West UCBB	India	South Asia	DRB1	0.6392471972819304	0.4048555859635288	4
Indonesia Java	Indonesia	Southeast Asia	DRB1	1.8490972387523308	0.7772174568762372	9
Indonesia Java Western	Indonesia	Southeast Asia	DRB1	1.4947252743286388	0.6584274451310461	8
Indonesia Java Yogyakarta Region	Indonesia	Southeast Asia	DRB1	1.7883663519542445	0.8009495982468956	7
Indonesia Java pop 2	Indonesia	Southeast Asia	DRB1	1.3349256078106055	0.6752399737015121	5
Indonesia Moluccan Islands	Indonesia	Southeast Asia	DRB1	0.9960089155446614	0.5959882377651753	3
Indonesia Nusa Tenggara Islands	Indonesia	Southeast Asia	DRB1	1.754105330999288	0.8203125	6
Indonesia Singaporean	Indonesia	Southeast Asia	DRB1	1.8838289463952103	0.8136094674556213	8
Indonesia Sundanese and Javanese	Indonesia	Southeast Asia	DRB1	1.5345228937563058	0.6675623740411505	9
Japan	Japan	East Asia	DRB1	1.4002832397083775	0.7075962539021853	5
Japan Aichi	Japan	East Asia	DRB1	1.2967584964125334	0.7023881722368831	4
Japan Central	Japan	East Asia	DRB1	1.37969738326117	0.7061544911737917	6
Japan Hokkaido Ainu	Japan	East Asia	DRB1	-0.0	0.0	1
Japan Hokkaido Wajin	Japan	East Asia	DRB1	1.1647913009911872	0.6198546915294585	4
Japan Hyogo	Japan	East Asia	DRB1	1.1182904859325173	0.623585332729742	4
Japan Hyogo Osaka and Nagano	Japan	East Asia	DRB1	1.3132873402672705	0.661528750311945	6
Japan Kyoto and Osaka	Japan	East Asia	DRB1	1.0813950280901918	0.5571344953173778	5
Japan Nagano	Japan	East Asia	DRB1	1.2910147616928815	0.6567559868388109	5
Japan South	Japan	East Asia	DRB1	1.0434384436910085	0.5656013668299322	5
Japan pop 11	Japan	East Asia	DRB1	1.3265701186291723	0.6826991107372555	5
Japan pop 16	Japan	East Asia	DRB1	1.1477914810860916	0.5991332359058463	8
Japan pop 17	Japan	East Asia	DRB1	1.1319258395970706	0.6100514779787228	6
Japan pop 2	Japan	East Asia	DRB1	1.0910435325465455	0.5583780906759568	6
Japan pop 3	Japan	East Asia	DRB1	1.1476880531786557	0.5966908838422327	6
Japan pop 4	Japan	East Asia	DRB1	1.1445588392712112	0.5904320000000001	6
Japan pop 6	Japan	East Asia	DRB1	1.0539851618617886	0.5826692483519629	6
Malaysia	Malaysia	Southeast Asia	DRB1	1.2831924538299888	0.6481701677896684	5
Malaysia Champa	Malaysia	Southeast Asia	DRB1	0.6365141682948128	0.4444444444444444	2
Malaysia Jelebu Temuan	Malaysia	Southeast Asia	DRB1	0.5623351446188083	0.375	2
Malaysia Kedah Baling Kensiu	Malaysia	Southeast Asia	DRB1	0.6931471805599453	0.5	2
Malaysia Kedah Kensiu	Malaysia	Southeast Asia	DRB1	0.5652078053028137	0.37761772853185616	2
Malaysia Kelantan	Malaysia	Southeast Asia	DRB1	1.3296613488547582	0.7222222222222221	4
Malaysia Mandailing	Malaysia	Southeast Asia	DRB1	1.3365183505644358	0.7224988682661838	4
Malaysia Pahang Semai	Malaysia	Southeast Asia	DRB1	-0.0	0.0	1
Malaysia Patani	Malaysia	Southeast Asia	DRB1	0.9404479886553261	0.47999999999999987	4
Malaysia Peninsular Chinese	Malaysia	Southeast Asia	DRB1	1.8902498926410194	0.7780010786025366	14
Malaysia Peninsular Indian	Malaysia	Southeast Asia	DRB1	1.7641306014537266	0.7599393638755741	12
Malaysia Peninsular Malay	Malaysia	Southeast Asia	DRB1	1.7905873196433126	0.759184359043268	15
Malaysia Perak Grik Jehai	Malaysia	Southeast Asia	DRB1	-0.0	0.0	1
Malaysia Sabah Dusun	Malaysia	Southeast Asia	DRB1	0.3028067679021556	0.16399067063277428	2
Malaysia Sabah Kadazan	Malaysia	Southeast Asia	DRB1	0.5474151273494064	0.30427797941333967	3
Malaysia Sarawak Bau Bidayuh	Malaysia	Southeast Asia	DRB1	0.500402423538188	0.32000000000000006	2
Malaysia Sarawak Bidayuh	Malaysia	Southeast Asia	DRB1	0.8486855577264172	0.49382716049382713	3
Malaysia Sarawak Iban	Malaysia	Southeast Asia	DRB1	0.9003096152940002	0.5412146667010231	3
Mongolia Hoton	Mongolia	East Asia	DRB1	1.779188096339702	0.8056128486897718	8
Mongolia Khalkha	Mongolia	East Asia	DRB1	1.559947172060239	0.7620146097654749	6
Mongolia Khalkha pop 2	Mongolia	East Asia	DRB1	1.7847425188223565	0.7770919067215364	9
Mongolia Oold	Mongolia	East Asia	DRB1	1.508307762806072	0.737006051975792	6
Mongolia Tarialan Khoton	Mongolia	East Asia	DRB1	1.781194916382363	0.8065366266543552	8
Mongolia Tsaatan	Mongolia	East Asia	DRB1	1.627038395856948	0.7844486161031112	6
Mongolia Ulaanbaatar Khalkha	Mongolia	East Asia	DRB1	1.8819910219126974	0.7910131685030906	10
Pakistan Baloch	Pakistan	South Asia	DRB1	-0.0	0.0	1
Pakistan Brahui	Pakistan	South Asia	DRB1	-0.0	0.0	1
Pakistan Burusho	Pakistan	South Asia	DRB1	-0.0	0.0	1
Pakistan Kalash	Pakistan	South Asia	DRB1	-0.0	0.0	1
Pakistan Karachi Parsi	Pakistan	South Asia	DRB1	-0.0	0.0	1
Pakistan Mixed Pathan	Pakistan	South Asia	DRB1	-0.0	0.0	1
Pakistan Mixed Punjabi	Pakistan	South Asia	DRB1	2.437497454715288	0.8617532461099886	30
Pakistan Mixed Sindhi	Pakistan	South Asia	DRB1	-0.0	0.0	1
Philippines	Philippines	Southeast Asia	DRB1	1.6738226398172542	0.7100353606860115	11
Philippines Ivatan	Philippines	Southeast Asia	DRB1	1.7047480922384253	0.78099173553719	7
Singapore Riau Malay	Singapore	Southeast Asia	DRB1	2.3463467054262894	0.847342428489078	20
Singapore SGVP Chinese CHS	Singapore	Southeast Asia	DRB1	1.9172155185650603	0.835	8
Singapore SGVP Malay MAS	Singapore	Southeast Asia	DRB1	1.3044816734241191	0.6918449981513044	5
Singapore SGVP. Indian INS	Singapore	Southeast Asia	DRB1	0.37758607798774463	0.1778274771267766	3
South Korea pop 1	South Korea	East Asia	DRB1	1.7828870426508847	0.80110235646906	9
South Korea pop 10	South Korea	East Asia	DRB1	1.7727565601776805	0.798303317837459	10
South Korea pop 11	South Korea	East Asia	DRB1	1.7194968794500878	0.7958284023668639	7
South Korea pop 2	South Korea	East Asia	DRB1	1.6195642737897245	0.7680109220751943	7
South Korea pop 3	South Korea	East Asia	DRB1	1.1241761929205716	0.6315960207612457	4
South Korea pop 4	South Korea	East Asia	DRB1	1.7618079055330413	0.7998072369251075	8
South Korea pop 6	South Korea	East Asia	DRB1	1.7082919742757086	0.7925263608850072	7
Sri Lanka Colombo	Sri Lanka	South Asia	DRB1	2.724307058532864	0.9026438097367169	43
Taiwan Aborigine pop 2	Taiwan	East Asia	DRB1		1.0	0
Taiwan Ami	Taiwan	East Asia	DRB1		1.0	0
Taiwan Ami pop 2	Taiwan	East Asia	DRB1	-0.0	0.0	1
Taiwan Atayal	Taiwan	East Asia	DRB1		1.0	0
Taiwan Atayal pop 2	Taiwan	East Asia	DRB1	-0.0	0.0	1
Taiwan Bunun	Taiwan	East Asia	DRB1		1.0	0
Taiwan Bunun pop 2	Taiwan	East Asia	DRB1	-0.0	0.0	1
Taiwan Hakka	Taiwan	East Asia	DRB1		1.0	0
Taiwan Han	Taiwan	East Asia	DRB1	0.3250829733914482	0.17999999999999994	2
Taiwan Han Chinese	Taiwan	East Asia	DRB1	0.2111234043847003	0.10278827977315697	2
Taiwan Minnan and Hakka	Taiwan	East Asia	DRB1	0.2999595524512934	0.16197530864197507	2
