sample_id	cluster	Treg_proxy	M2_proxy	ExhaustedT_proxy
TCGA-EM-A2CO-01A	DM2	0.1867543334362872	2.676868312151899	0.570114383126796
TCGA-EL-A3ZM-01A	DM1	1.6723137021220154	3.50592070958562	1.7143873747861214
TCGA-FE-A3PA-01A	DM1	1.10291611828418	2.860253699953871	1.6529336168091397
TCGA-ET-A25P-01A	DM1	0.4874587848346327	2.652351701710106	0.7993838623777902
TCGA-BJ-A191-01A	DM2	1.56289167269756	2.570735846124025	2.258905672121627
TCGA-EM-A3O9-01A	DM2	0.38662319585656557	4.116610580427361	1.2185027925853695
TCGA-DJ-A3UV-01A	DM1	1.728815767990167	3.5153781952069467	2.549178757365008
TCGA-FE-A3PD-01A	DM1	1.7762235678233929	3.320411810042728	2.455919242378462
TCGA-ET-A3BN-01A	DM1	0.5315385356282196	3.0006104270677545	0.8183873965425169
TCGA-BJ-A45E-01A	DM1	3.21775377380549	4.983697960159409	5.08950776562114
TCGA-EL-A3D5-01A	DM2	0.30299116671241044	1.6545768817990862	0.8007087373538984
TCGA-EL-A3CW-01A	DM1	3.1702517275977904	3.8437731286330825	3.6464575075443633
TCGA-KS-A41J-01A	DM1	1.7690135380766692	3.730353754731939	2.4648515767079244
TCGA-BJ-A0ZA-01A	DM2	0.7951017344893454	3.238948245180102	1.922720114144956
TCGA-KS-A41L-01A	DM2	0.25644289394424374	1.5780446677754396	0.6317225403496934
TCGA-BJ-A28S-01A	DM2	0.2680475658919952	2.0175626966149096	0.6219061292081707
TCGA-BJ-A28Z-01A	DM1	2.9012237645398904	5.176823358174119	4.263752998166451
TCGA-DJ-A3US-01A	DM1	2.692530316840896	3.6574623781809628	3.7033078629314695
TCGA-DE-A2OL-01A	DM2	0.2147413929853077	1.7363007868810176	1.1793510190559344
TCGA-FK-A3S3-01A	DM1	0.6430104873753376	2.7150160941172947	1.0240498582769795
TCGA-ET-A39T-01A	DM1	0.4991615157444024	2.9783379503617065	1.044101081374124
TCGA-DE-A69K-01A	DM1	1.0545314173681248	3.9056492857854037	1.748851352302895
TCGA-ET-A25M-01A	DM1	1.0609456961113994	3.25038345075981	1.2749202614107822
TCGA-DJ-A4V5-01A	DM1	2.660745615869308	4.285215132131548	3.2012807815468918
TCGA-DE-A4M9-01A	DM2	0.3488540036744543	2.3673269166136937	0.9517008260916947
TCGA-ET-A39N-01A	DM2	0.3832630193464645	2.2835202472047778	1.0513615325548973
TCGA-E8-A416-01A	DM2	1.3496113182769598	2.719948103298603	2.071448469356425
TCGA-KS-A4ID-01A	DM1	2.2291303245458285	3.8502711880218348	3.439822863920786
TCGA-DJ-A13U-01A	DM1	1.4006097586057538	2.7795878303705184	1.2436544653152972
TCGA-EL-A3T2-01A	DM2	0.36644796603012353	2.9890516627518204	1.1033313362185204
TCGA-DE-A4MA-01A	DM1	1.8634108205469224	3.0586840779022215	1.7403565714385631
TCGA-DJ-A2Q0-01A	DM2	0.3502374130671119	2.995173784951499	0.47479427229571736
TCGA-EL-A3T6-01A	DM1	2.7434728950569647	4.309989014923233	3.3996538031152945
TCGA-EM-A3O8-01A	DM2	0.28757120685390314	1.9468366406615563	0.6730338900612057
TCGA-DJ-A2Q2-01A	DM2	1.2107595026674267	3.886381938565954	2.102406352667529
TCGA-BJ-A0ZG-01A	DM2	0.8018055747120718	2.4456237583123146	1.2978855841436407
TCGA-EM-A2OW-01A	DM2	0.6435699487733746	2.636629697559286	1.011230532790345
TCGA-BJ-A3F0-01A	DM2	0.43909623229295003	2.377421165445413	0.7901598521562134
TCGA-EL-A3CY-01A	DM1	4.597888585107889	5.856220405468436	4.433281282744931
TCGA-EM-A3AQ-01A	DM1	0.8740492796187033	2.9864953112173307	1.137775006968731
TCGA-J8-A4HW-06A	DM1	3.2754883621841153	4.738407282072155	3.35733628824221
TCGA-J8-A4HW-01A	DM1	0.2961701658789776	2.4672772914212735	0.9694356860870302
TCGA-BJ-A291-01A	DM2	0.2743954537733472	2.176844638166198	1.3953028765714293
TCGA-CE-A3MD-01A	DM1	1.1739796023812195	3.293655813652068	1.5694016696168624
TCGA-EL-A3ZN-01A	DM1	0.8109464829212281	3.3586084621739376	1.276822245601998
