cohort	classifier	sample_id	pseudo_cluster	prob_dm2	predicted_cluster	confidence
GSE76039	SVM_RBF	GSM2024841	DM2	0.21868621393490822	DM1	0.5626275721301836
GSE76039	SVM_RBF	GSM2024842	DM1	0.1908275387603606	DM1	0.6183449224792787
GSE76039	SVM_RBF	GSM2024843	DM2	0.2030984096712223	DM1	0.5938031806575554
GSE76039	SVM_RBF	GSM2024844	DM1	0.18893288152650986	DM1	0.6221342369469802
GSE76039	SVM_RBF	GSM2024845	DM1	0.2020493741908735	DM1	0.595901251618253
GSE76039	SVM_RBF	GSM2024846	DM1	0.1911260088367055	DM1	0.617747982326589
GSE76039	SVM_RBF	GSM2024847	DM1	0.2095238792321751	DM1	0.5809522415356498
GSE76039	SVM_RBF	GSM2024848	DM1	0.220407635355869	DM1	0.559184729288262
GSE76039	SVM_RBF	GSM2024849	DM1	0.2184476842845615	DM1	0.563104631430877
GSE76039	SVM_RBF	GSM2024850	DM1	0.19516466175935773	DM1	0.6096706764812845
GSE76039	SVM_RBF	GSM2024851	DM1	0.22296943007420195	DM1	0.5540611398515961
GSE76039	SVM_RBF	GSM2024852	DM1	0.2169395814355752	DM1	0.5661208371288495
GSE76039	SVM_RBF	GSM2024853	DM1	0.1352541065569277	DM1	0.7294917868861446
GSE76039	SVM_RBF	GSM2024854	DM1	0.21212691248702514	DM1	0.5757461750259497
GSE76039	SVM_RBF	GSM2024855	DM1	0.21277035654679713	DM1	0.5744592869064058
GSE76039	SVM_RBF	GSM2024856	DM1	0.2102514501709586	DM1	0.5794970996580828
GSE76039	SVM_RBF	GSM2024857	DM1	0.19188034221876551	DM1	0.616239315562469
GSE76039	SVM_RBF	GSM2024858	DM1	0.1443835479018719	DM1	0.7112329041962562
GSE76039	SVM_RBF	GSM2024859	DM1	0.17535498575558678	DM1	0.6492900284888264
GSE76039	SVM_RBF	GSM2024860	DM1	0.20903827951711537	DM1	0.5819234409657692
GSE76039	kNN_marker20	GSM2024824	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024825	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024826	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024827	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024828	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024829	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024830	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024831	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024832	DM2	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024833	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024834	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024835	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024836	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024837	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024838	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024839	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024840	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024841	DM2	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024842	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024843	DM2	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024844	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024845	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024846	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024847	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024848	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024849	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024850	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024851	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024852	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024853	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024854	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024855	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024856	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024857	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024858	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024859	DM1	0.0	DM1	1.0
GSE76039	kNN_marker20	GSM2024860	DM1	0.0	DM1	1.0
