	subB_score	subB_GMM	subB_otsu_call
GSM6591169	-0.9500240862080822	0	0
GSM6591170	0.8779023325105861	1	1
GSM6591171	1.033854647788651	1	1
GSM6591172	-2.0148660830916914	0	0
GSM6591173	-0.9385468008391248	0	0
GSM6591174	-0.7168258945971469	0	0
GSM6591175	-0.48000853969364954	0	0
GSM6591176	-1.3762095514819692	0	0
GSM6591177	-1.5760673981019027	0	0
GSM6591178	-0.8496549593532543	0	0
GSM6591179	-0.272322463446875	0	0
GSM6591180	-0.9724990688885047	0	0
GSM6591181	-0.847979640373609	0	0
GSM6591182	-1.2414180572425164	0	0
GSM6591183	-0.33187795086759303	0	0
GSM6591184	-0.8317256043040901	0	0
GSM6591185	-1.2189869396806026	0	0
GSM6591186	1.2503306433663661	1	1
GSM6591187	-2.04983808012634	0	0
GSM6591188	-2.7961162139702367	0	0
GSM6591189	-1.4386497204043383	0	0
GSM6591190	-0.6103360928116969	0	0
GSM6591191	1.164838919627185	1	1
GSM6591192	-1.2567624096584256	0	0
GSM6591193	0.1868558630192968	0	1
GSM6591194	-0.4006997776221378	0	0
GSM6591195	-0.9727919823727633	0	0
GSM6591196	0.09449068983429851	0	1
GSM6591197	-1.5104758386946755	0	0
GSM6591198	0.5099633034704745	1	1
GSM6591199	-1.2864478505881576	0	0
GSM6591200	0.24535099057403892	0	1
GSM6591201	-1.0820855000158338	0	0
GSM6591202	-1.4945573645842822	0	0
GSM6591203	-0.9914788874286817	0	0
GSM6591204	-0.08786655512538333	0	0
GSM6591205	-1.5425195868177142	0	0
GSM6591206	-1.382572095945509	0	0
GSM6591207	-1.5485555745419066	0	0
GSM6591208	-1.8747866215023667	0	0
GSM6591209	-1.585734116650773	0	0
GSM6591210	-0.992969540870174	0	0
GSM6591211	-0.14307518594113622	0	0
GSM6591212	0.0035246744575265776	0	1
GSM6591213	-1.2601807200350672	0	0
GSM6591214	-1.4578830165777616	0	0
GSM6591215	-1.4818173349808865	0	0
GSM6591216	-0.11764290447428627	0	0
GSM6591217	-0.8923530999741782	0	0
GSM6591218	-0.7722460511483096	0	0
GSM6591219	0.07306329270991141	0	1
GSM6591220	1.4955499593544412	1	1
GSM6591221	-0.2657043273786136	0	0
GSM6591222	-0.6672342210878924	0	0
GSM6591223	0.21431052506521392	0	1
GSM6591224	0.06628397105597082	0	1
GSM6591225	0.8675653695942562	1	1
GSM6591226	-0.2754107875240609	0	0
GSM6591227	-1.4202500407875402	0	0
GSM6591228	-0.793212253596823	0	0
GSM6591229	-0.9584770727942702	0	0
GSM6591230	-1.5331961977776711	0	0
GSM6591231	-1.3911788949977117	0	0
GSM6591232	-0.15980551207509172	0	0
GSM6591233	-0.19724040376793017	0	0
GSM6591234	-1.6697102733861713	0	0
GSM6591235	-1.2297588241031145	0	0
