gene	target_ATC4	others_mean	log2FC
H2AFZ	0.6724141240119934	1.3496856093406677	-1.0041260213143492
VAPB	0.11245254427194595	0.2265601853529612	-1.0041591981901359
MXD3	0.03314893692731857	0.067509975284338	-1.0044733972193574
AL390195.1	0.0017580895218998194	0.004533969603168468	-1.004645435056525
CHRNA10	0.0015602133935317397	0.004137206822633743	-1.004720093662642
MGME1	0.05824754759669304	0.11792005350192387	-1.0051646737997322
KRT78	0.0	0.0010072464065160602	-1.0052177306209078
MRPS7	0.23197543621063232	0.4667941431204478	-1.005695946766633
SERPINB6	0.369804322719574	0.7436709801355997	-1.005945074205393
CARMIL3	0.0	0.001008571785253783	-1.0061700234341409
PUS3	0.03617319464683533	0.07368576154112816	-1.0065705487303034
CD80	0.006375613156706095	0.013820563908666372	-1.006765446892964
MS4A4A	0.10287612676620483	0.20777002473672232	-1.0070504578897936
SCLT1	0.026564843952655792	0.05440804734826088	-1.0072660912745652
CCDC141	0.0011368871200829744	0.0032968303421512246	-1.00776211384313
SIAH2	0.09278488904237747	0.18761629859606424	-1.0080269523000274
IL4I1	0.0387304313480854	0.07890815349916618	-1.0080982606673263
DOT1L	0.05385240167379379	0.10945072770118713	-1.0097762293651522
TMEM11	0.08603596687316895	0.17431195576985678	-1.0102407763455523
ANAPC15	0.13955605030059814	0.282168909907341	-1.0105173191100176
ITGA4	0.05719050019979477	0.11623450616995494	-1.0105417147945217
LSM11	0.015406277030706406	0.03205661475658417	-1.0106910948552645
ZGPAT	0.09842872619628906	0.1993819773197174	-1.0110181263613018
EIF2S2	0.568524181842804	1.1467868487040203	-1.0110257444822588
AP5S1	0.05370158329606056	0.10924462229013443	-1.0110537866791995
FAM241A	0.043310195207595825	0.08831085761388142	-1.0111968933463626
C16orf91	0.04944277182221413	0.10067174832026164	-1.0111993922502118
PCBD2	0.025001823902130127	0.0514236589272817	-1.0116052256969494
CTSA	0.5336329340934753	1.0769450465838115	-1.0116630143221255
SH3RF3	0.03040636144578457	0.062329359352588654	-1.0118176743979506
PIGW	0.02301526628434658	0.04742577796181043	-1.0118234205095087
ESF1	0.08609997481107712	0.17464803159236908	-1.0119432023075907
MUTYH	0.03694047033786774	0.07551466052730878	-1.0119986370983205
COA1	0.13487717509269714	0.2730669528245926	-1.0122252477332536
AL590617.2	0.03605622425675392	0.07374893454834819	-1.0123371262976528
AC002553.1	0.0007727931370027363	0.0025764955789782107	-1.0125224567457423
AL049629.1	0.0	0.0010176195743648957	-1.012654177459071
IFI27	0.805808961391449	1.6271260380744934	-1.012913373777111
TMEM39A	0.0690774992108345	0.1404169350862503	-1.012931700506583
AIFM1	0.06999624520540237	0.14227717369794846	-1.012994152342273
CA3-AS1	0.0003749870811589062	0.0017748965183272958	-1.0130159076595842
SZT2-AS1	0.0	0.001018291290771837	-1.0131344070629993
LINC02185	0.00025018316227942705	0.0015233902668114752	-1.0132238731190277
SNAPC1	0.04491940885782242	0.09169607733686765	-1.0134042193033101
AL031666.1	0.00911309290677309	0.019418712239712477	-1.013667594751821
TGFB1I1	0.24990412592887878	0.5057524393002192	-1.0141449332836427
ARHGAP21	0.1000717282295227	0.2031503568092982	-1.0142525858699107
HSPD1	0.5497058033943176	1.1114110549290974	-1.014336270146841
C21orf58	0.011143560521304607	0.02353537129238248	-1.0146716185012785
TFAP4	0.018581366166472435	0.038571840773026146	-1.0149927536593868
DGUOK	0.25823289155960083	0.5231505533059438	-1.0157324813439148
APOL6	0.2354058027267456	0.477020929257075	-1.015808337514474
SRGAP1	0.06758024543523788	0.1376780221859614	-1.0158741936895637
ATP2A3	0.10042420029640198	0.20424323032299677	-1.016932710084848
SLC2A5	0.00652575958520174	0.014229387355347475	-1.0169487990376451
AC090503.2	0.0	0.0010242191298554342	-1.0173654760221176
