target	feature_set	heldout_sample	heldout_stage	alpha	n	spearman_r	pearson_r	r2	mae	auroc_q50	auroc_q75	auroc_q90
RAI_8_score	morphology_plus_text	GSM7980871_LPTC-4	LPTC	2.227542951999559	200	0.17882928779319035	0.10001038495173462	-0.048478502507750765	0.3895718945277001	0.5666	0.5474666666666667	0.5422222222222223
RAI_8_score	morphology_plus_text	GSM7980872_ATC-1	ATC	606.1898993497572	200	0.15437954438766824	0.11856731496423606	-0.06114790517929958	0.18274311288851336		0.5804	0.5372222222222223
RAI_8_score	morphology_plus_text	GSM7980873_ATC-2	ATC	606.1898993497572	200	-0.1593121901068747	-0.04938435660007119	-0.08981262143595625	0.16932198100688978			
RAI_8_score	morphology_plus_text	GSM7980874_ATC-3	ATC	606.1898993497572	200	-0.10485662897226843	-0.12057195671501358	-0.22729040585560134	0.1352221468170575			
RAI_8_score	morphology_plus_text	GSM7980875_ATC-4	ATC	300.7882518043102	200	0.24410045669448718	0.23055055158002338	0.0496239957423068	0.3276993522151287	0.5827	0.5945333333333334	0.44666666666666666
TDS_like_score	morphology_only	GSM7980860_N-1	PT	606.1898993497572	200	0.2897569171079557	0.4033299559273482	0.14397337069506833	0.3712536226427959	0.6211	0.6204000000000001	0.5805555555555556
TDS_like_score	morphology_only	GSM7980861_N-2	PT	149.24955450518323	200	0.2094007350183755	0.2406470590451701	0.039031684950063816	0.39450293824610355	0.5798000000000001	0.5829333333333333	0.5425
TDS_like_score	morphology_only	GSM7980862_N-3	PT	149.24955450518323	200	0.2024765619140479	0.23880859122418852	0.032870755751490566	0.3450355105848588	0.6002000000000001	0.5949333333333333	0.5038888888888888
TDS_like_score	morphology_only	GSM7980863_N-4	PT	74.05684692262442	200	0.0036015900397509946	0.0804578383619347	0.0001409014131714681	0.36040569216786833	0.5027	0.4474666666666667	0.42583333333333334
TDS_like_score	morphology_only	GSM7980864_PTC-1	PTC	74.05684692262442	200	0.018043420947812926	0.03415338457130356	-0.021039653746792952	0.3972666786975028	0.5505	0.4876	0.4680555555555555
TDS_like_score	morphology_only	GSM7980865_PTC-2	PTC	149.24955450518323	200	0.36644416110402767	0.3652121979687173	0.08082725085386111	0.3750653670407163	0.6533	0.634	0.6033333333333334
TDS_like_score	morphology_only	GSM7980866_PTC-3	PTC	300.7882518043102	200	0.06382136946725472	0.0021774744605466954	-0.025634631474448444	0.3054523297332737	0.5322	0.4682666666666667	0.29833333333333334
TDS_like_score	morphology_only	GSM7980867_PTC-4	PTC	74.05684692262442	200	0.28444492779367414	0.36203005282108114	0.09588659585106918	0.2772140150855391	0.6462	0.5685333333333333	0.5077777777777779
TDS_like_score	morphology_only	GSM7980868_LPTC-1	LPTC	149.24955450518323	200	0.2690737268431711	0.3592207875962791	0.12698013685968867	0.2765631955852378	0.6124	0.5781333333333334	0.5986111111111112
TDS_like_score	morphology_only	GSM7980869_LPTC-2	LPTC	300.7882518043102	200	0.24084154879652436	0.27511866633363524	0.05098443744575987	0.3376545011253826	0.6131000000000001	0.6299999999999999	0.6933333333333334
