	M001	M002	M003	M004	M005	M006	M007	M008	M009	M010	M011	M012	M013	M014	M015	M016	M017	M018	M019	M020	M021
S0107	2.349998	1.179056	3.8127277	3.0476508	6.4867306	6.87514	4.687624	7.190952	5.3058968	5.9018683	3.6896434	0.5615582	0.12139283	-0.96966404	3.9239664	4.5708585	4.2143784	3.097242	1.3414129	0.7248894	2.317575
S0108	5.0890317	2.1285355	2.7424967	4.561137	5.731178	7.354382	4.2711535	5.3307514	7.0919824	6.6241183	3.4939442	0.6934718	-0.3241418	-0.25433344	2.2850296	1.4321196	0.12790085	-0.42989013	1.7830089	-0.414445	-0.8047739
S0109	5.552166	3.7753792	1.916057	4.7432594	2.2915971	2.0624373	-0.4368762	0.22919385	5.020764	3.4996142	1.3399743	4.3328013	3.1962848	3.1752183	-0.24955313	-1.4185919	-2.050745	-1.986977	2.034401	0.15777259	0.24560162
S0110	2.7936158	2.0319343	2.683619	3.752454	3.670866	4.311997	2.7048204	3.1706264	4.104675	3.8364809	3.2422988	3.6075308	1.6662086	1.570504	4.386327	2.9302843	2.881113	0.78749704	3.4214785	1.4278514	2.2965128
S0111	5.3403783	1.451838	1.2044065	4.3814387	6.309657	8.8074	4.4815454	5.030812	7.9091706	7.4748693	1.9217504	0.8118251	-0.80056536	-0.19526005	2.5312617	2.8927908	0.30311373	-0.8255213	3.2075987	-1.1653302	-0.62727547
S0112	2.235385	3.4744346	4.0095105	3.9646134	2.8224888	1.2371539	1.2479478	3.2985554	2.6813288	1.4967072	3.3503878	5.097094	6.341553	3.4169493	3.4353445	2.034837	2.1933913	2.7745137	3.0020041	3.8312109	3.8689966
S0113	4.8001823	1.9495656	1.2172401	4.3274727	1.3973933	-0.5510705	-1.6590167	-1.3621227	2.75771	0.74813026	-0.6463418	1.4493731	2.1507382	2.0681207	-1.7716165	-2.963411	-2.7238207	-0.80017865	1.0638659	1.4952661	0.18362357
S0114	3.1291044	3.3017786	2.99596	3.4835129	3.7252593	2.1894236	1.4635603	3.3517365	4.1325173	2.9341903	1.9899659	2.7787328	3.6864827	2.1875021	1.5087428	1.0684763	1.7362516	2.7872062	0.8147145	2.282612	2.56034
S0115	4.277908	3.308438	4.555164	4.1978316	4.136896	3.9893763	2.437788	4.766844	4.383912	5.5475154	3.3320632	0.9613209	2.9154327	0.9995997	0.52554774	1.1323035	-0.0025821656	1.9465401	0.27057207	2.0926492	1.0205615
S0116	1.9609222	1.9631352	2.8888412	3.1233878	2.582663	3.9885356	2.5775912	4.2166877	3.2196918	2.5716329	2.6843638	2.136954	0.818897	0.66127384	2.951075	2.1210213	2.079907	1.6732597	2.0041454	1.3442945	0.9989345
S0117	3.2900956	1.0493587	2.6817193	3.0410354	5.6667867	6.7416735	4.205431	5.2890763	6.226655	6.554196	1.6676981	-1.9367827	-1.5690461	-2.188066	1.5452088	2.8455186	1.7381616	2.829213	0.7264015	0.45098507	-0.0057089822
S0118	3.0970528	2.5329754	2.9135485	3.7845783	3.4129028	4.0011883	2.1555624	3.4268146	4.286464	3.6057897	2.9129524	4.1432085	2.1618223	2.619637	3.2901268	2.4599204	1.7168499	0.62013626	2.532882	1.1924459	1.789668
S0119	3.192023	4.624161	4.8925123	3.8880317	4.770466	2.3546927	2.3658855	5.4904237	3.6494017	3.3139026	2.310248	2.917273	3.4387643	2.6876435	0.76301855	0.6951486	0.26812446	3.127448	0.79917544	2.817867	0.7917202
S0120	4.756741	2.4567354	3.1738608	4.8678293	5.8826337	6.242828	4.178795	6.088334	6.7978954	6.1400886	3.3013456	0.4961145	0.5555279	-0.42819935	1.948162	1.5998898	1.1218641	2.0765333	1.8110709	1.2852455	-0.108337335
S0121	4.209732	0.2863645	0.6038805	3.4615304	3.7230704	6.1330624	2.4491854	3.0156078	6.056071	4.391306	1.5412419	-0.43258616	-2.2908068	-0.7994489	1.6961793	1.3120029	0.24115992	-1.641672	1.4785501	-1.4084833	-1.2872853
S0122	-2.060925	-1.2118236	2.1709359	-0.32935873	5.6459494	3.9724095	5.1384034	6.9138393	1.798101	-1.7264285	-0.57844365	0.24548908	-0.11393147	-1.3669462	5.717314	6.65393	7.901063	5.7259903	2.6095226	1.6318401	4.767733
S0123	3.9553998	1.8065673	2.23913	3.6389935	5.218095	6.950555	4.4726315	5.257556	6.0204716	6.2665777	3.7561123	1.2056792	-0.6727444	-0.18359181	3.6397033	2.7057402	1.8493803	-0.3652238	2.8371913	-0.088568576	-0.031746164
S0124	4.502606	4.246986	5.0084524	4.0128384	3.4300485	2.9017358	1.6850411	4.6612754	3.9126742	5.458135	3.08959	2.2904365	3.0701365	1.7471967	0.5521913	-0.07442084	-0.18281198	3.1467767	0.62760466	2.1420112	1.4613134
S0125	4.688337	1.977501	2.3614962	3.454474	3.1591353	4.5539746	2.317998	2.7892196	5.3766713	4.351048	2.2137272	0.25794974	0.11271696	-0.17697869	0.9856966	0.6587112	0.24874029	0.4522553	1.1242415	0.027692812	-0.41313088
S0126	5.2706966	0.91953963	0.58891743	4.312066	4.393102	5.7033525	2.3651521	2.8731003	6.251902	4.764485	1.2683012	0.22790368	-1.0332224	0.099255376	0.52196884	0.40679774	-0.94282275	-2.2200758	1.2035756	-0.9587028	-1.1570367
S0127	4.379214	2.3159013	1.8506088	4.4207997	3.901485	5.033012	2.3249927	2.964759	5.5570407	4.8262897	2.8381674	2.8292098	0.018856958	1.0172141	1.994397	1.2373797	0.17620979	-1.6425792	2.0789807	0.05889291	0.22294052
S0128	4.615287	2.0996861	2.0606236	3.8307288	3.721311	4.4271092	1.7645509	2.9074395	5.826405	4.327184	1.9672201	0.95814645	0.509455	0.52124596	0.6811443	0.6683268	0.03714296	0.40958086	1.4521961	0.42213956	0.08672061
S0129	-4.797665	-0.3389816	-0.34897536	-1.3637849	1.7690282	0.78119457	2.22597	1.3632059	-1.6675045	-3.6774864	0.62555104	8.119963	4.73084	3.8972907	9.645734	8.066546	9.365697	5.775524	9.725867	4.470089	8.2477455
S0130	4.055482	1.0792009	3.1090088	3.8248608	7.2432623	8.388649	5.5497193	7.338123	7.010548	8.255764	4.107879	-1.1721815	-2.279358	-1.6100832	3.2948096	3.8021889	2.297012	0.85747457	1.1781136	-0.5954778	-0.30606356
S0131	1.8205249	2.6423576	4.487231	3.3825226	4.601065	2.7839525	3.3712575	6.402778	2.9409664	3.2595947	3.1768184	1.5737884	3.4404106	0.33977002	2.7996185	2.8229687	2.7752895	5.618114	1.8572979	3.4367163	3.2751472
S0132	-5.22975	-1.0853744	1.0980259	-2.7620492	1.5583661	-0.11193434	2.5828805	2.8319929	-2.078643	-4.1573687	-2.3793437	5.379757	4.122375	1.7575572	5.7254596	6.039232	8.346366	7.0775347	4.071296	3.1030512	7.75685
S0133	5.2825356	3.5205245	1.3640156	4.3425736	1.6351035	1.5534401	-0.59668815	-0.12513024	4.422693	2.9292924	1.3389316	2.2778978	1.7387767	2.6680186	-1.3786412	-1.9520909	-3.1431258	-2.264015	0.59925926	0.5612888	-1.2002257
S0134	3.7891047	1.8391994	2.8624854	4.0516105	6.178806	7.145653	4.0194297	6.0526996	6.404414	6.663304	3.9081805	0.04106386	-0.6353139	-0.90133226	2.6719937	2.6874804	1.7429562	0.7831247	1.7403799	0.31975362	-0.23654777
S0135	4.165473	2.7438247	3.6332653	4.462518	6.052238	5.7474375	4.0231924	5.6658993	6.296465	6.224818	3.2618356	1.11254	2.08238	0.68648726	1.7471954	2.2949522	1.3041978	2.2200332	1.6918628	1.6064104	1.2263566
S0136	2.790177	3.8011997	1.5830042	2.5563483	-1.1495477	-2.2634075	-2.4120731	-0.16521052	0.8539589	-0.5403391	-1.399683	4.925532	6.6234207	4.6661215	-0.33019248	-0.63550514	-0.8136645	3.9670198	1.8363428	3.3488097	2.5048745
S0137	2.466876	2.691667	3.1115582	3.245609	4.920394	6.2577662	4.5895867	5.9914603	4.264215	3.556276	4.9713993	4.0184007	2.2805398	1.4576668	6.273655	4.8726153	4.819133	1.6192052	4.978832	1.6524228	2.9685032
S0138	4.0763083	1.8819084	3.4599156	3.5631433	4.800997	4.3194265	2.1028948	4.1423836	5.187253	5.7476296	3.2153103	-1.2858344	-0.04122272	-0.87701255	0.79503894	1.3415835	0.847051	1.9252714	-0.030087326	1.2986951	-0.21099074
S0139	2.1221545	1.2084349	2.1472883	1.860976	3.6837435	5.661438	3.7708917	3.7948143	3.605111	3.4562962	2.9372897	1.2368641	0.7933041	0.25908765	4.2132	3.7967105	3.7360713	1.2097013	3.4144428	0.66713876	1.3715433
S0140	3.8098352	7.3006597	0.73016614	3.351112	-6.039449	-8.981135	-7.7260737	-9.468219	-2.487301	-2.606812	-1.9058782	9.415395	13.125171	10.277223	-5.2079077	-7.213613	-6.119427	-2.5925508	-0.44637382	1.8312936	3.0827057
S0141	3.0873153	2.125371	4.159879	2.935657	6.1709633	6.4994154	5.1112857	8.452748	4.7389026	6.3612614	5.054711	-1.0805324	0.71427155	-0.919424	1.3135804	2.9822454	2.1286488	2.8209028	-0.070474975	0.49965397	0.5356461
S0142	0.123600066	-0.9864519	-0.47586405	0.2346277	1.7400192	2.0616605	1.2456977	0.59222627	2.3126986	0.7171784	-1.038961	2.3523445	1.5577059	0.14432271	3.457908	4.2300463	5.831321	3.4606702	3.866772	1.890067	4.3778143
S0143	4.659423	2.080978	2.2344992	4.046518	4.951493	5.7059445	2.9681764	4.009118	7.069116	4.970977	2.591593	1.0011992	-0.20507957	0.043816846	1.8059547	1.2003976	0.62625366	0.5365821	2.1250343	0.2892864	0.12984934
S0144	2.2166803	4.4375515	5.5607996	3.2815022	4.631416	3.3295398	3.4004617	6.4639754	2.909848	4.6142025	4.369729	2.884773	4.4298654	1.8519639	2.365178	2.2306604	2.701372	4.306516	1.9287021	2.8891888	3.3966737
S0145	4.659693	1.1894007	1.1940005	4.61584	5.229024	6.565654	3.0732684	3.825568	6.6862507	5.1896906	2.7699509	2.336075	-0.40950847	1.2334195	3.5992446	2.1321023	1.3282043	-1.4203215	2.936068	-0.43096206	0.50418156
S0146	6.4339366	4.083439	0.8313939	5.424677	1.8633724	1.4766513	-1.4370607	-1.4695355	5.5048304	1.5311184	-0.80682117	4.423831	2.4298933	4.807714	-1.1004614	-2.331155	-3.19721	-2.4301867	2.2540655	0.6926053	0.06680983
S0147	0.3221808	-2.1287692	-2.8494008	-1.418778	-1.1285698	-0.0137292035	-1.5559468	-3.5287545	1.6162618	-0.3407133	-2.5126457	-5.69707	-9.337572	-3.0284433	-5.216113	-4.3004694	-4.7299457	-7.3582397	-5.481074	-5.0297985	-6.4384484
S0148	2.5086846	2.4650702	3.448105	3.7343516	4.7769046	4.3864865	3.082696	4.894355	4.1356263	3.980636	4.0852504	1.9433701	2.4051578	0.37485346	2.4886467	2.0803354	2.1893623	1.7861067	1.90076	1.8641319	1.8093516
S0149	3.9866	2.8111293	3.4634914	4.8698235	6.4396753	6.0602717	4.0374384	6.477934	6.3935766	5.68101	2.16336	2.0673962	1.7453542	1.0351931	2.506748	3.2896843	1.5031805	3.9419076	2.0657945	1.5679759	2.2074764
S0150	4.432053	2.0275004	0.9932692	4.705018	4.210269	4.7244425	1.2927523	2.1728437	5.859148	3.2112029	1.3883926	0.26807895	-0.69429296	0.28158948	1.1570847	0.50878376	-0.07275583	-1.1960225	2.0055935	-0.053216796	-1.3436021
S0151	2.5616257	-0.94452244	0.028652286	2.8608904	4.7488966	7.394122	3.4025533	3.691866	6.173142	5.523659	3.3747644	-1.6325231	-6.2724853	-2.9796083	3.4171996	2.1289754	1.1477154	-3.2423742	0.9397875	-2.0228324	-2.360118
S0152	2.0759501	1.577813	3.3858204	3.1222386	4.725954	4.452639	3.6580582	5.2803273	3.7451825	4.582645	4.070086	0.31095314	1.1135057	-0.54461753	2.6943023	1.7615118	2.487298	1.4251952	0.9725808	1.2392286	1.853179
S0153	-2.802845	0.5482756	-0.4246044	0.250562	-0.9641452	-2.4704762	-1.1425177	-1.264441	-1.4100102	-4.3970494	-1.3776698	6.7906704	5.403346	4.2333946	4.541269	3.6270852	4.429067	4.5356436	5.131617	4.2275167	5.385095
S0154	4.8364835	2.371399	3.7087524	4.3952775	5.55096	5.781586	2.9826717	4.892196	6.4225974	6.8991694	3.1883814	0.09646442	0.6526823	-0.41478595	0.58470464	1.678652	-0.13924445	2.1240954	1.3317893	1.3172448	0.25351807
S0155	2.7729564	1.5471708	2.633088	2.935354	5.894337	5.0860853	3.4892035	5.0558653	6.110473	3.06485	0.50982726	2.2906697	0.20053893	0.22975549	3.207532	3.0225873	3.3221035	3.661526	2.9644928	1.3741001	2.3723407
S0156	-3.5646124	0.15446614	2.00073	-0.5254533	2.6468422	0.2446355	2.0581956	3.6796932	-1.4953253	-1.8359141	0.8421115	4.7712708	4.896707	1.9187555	6.1682534	5.5429983	6.9583883	7.8461895	5.3161454	4.444405	7.5903025
S0157	5.0360637	7.607963	3.6951275	5.6325064	-1.0216862	-5.9150066	-4.478884	-3.4123042	0.6950824	-0.56043273	0.36145458	8.337841	11.434428	7.3736925	-2.2863512	-4.6044836	-2.707486	1.6642897	1.6586812	5.2136087	4.642292
S0158	4.469836	2.7150338	2.3762171	4.2781825	2.0656807	2.4228616	0.75255716	1.3037004	4.2092752	2.6049953	1.9875427	3.8018463	3.2335672	2.0633087	2.1630716	0.6289096	2.206756	1.3116224	3.25135	2.1094773	2.305771
S0159	-4.4211397	-0.18920642	1.3580844	-2.1975307	0.9629184	-0.6277835	1.7448221	1.6700361	-1.5132706	-5.0152183	-2.5090444	6.940975	5.8381743	2.769687	6.6131864	5.9100366	8.014254	7.6930065	5.1391087	4.1672063	8.60622
S0160	2.6749825	1.5306373	3.6559343	3.0285795	6.878128	6.4711266	5.099821	7.5683227	5.4609933	6.3251143	3.7483845	-2.3670297	-0.5177329	-2.056717	1.7628447	3.1767788	2.3374648	3.4626744	0.8650312	1.4644499	-0.038256068
S0161	-3.3589487	2.3786054	2.3092818	0.4661139	0.7119167	-0.18232068	1.0773164	1.8795242	-2.062603	-2.045415	0.14022334	7.5856876	7.464896	3.9520564	5.433696	5.1397357	6.0857306	6.917127	5.2508497	5.519356	6.479881
S0162	5.021221	2.7769313	2.111291	4.4910192	2.8005114	1.1452699	-0.69289374	-0.45010155	5.2267113	1.9564697	-0.08822125	4.372468	2.8082554	3.218933	1.048483	-0.8599483	-0.26565224	-0.4710412	2.507957	0.33898336	2.1517568
S0163	3.8493073	3.8870778	3.2216227	4.306208	2.451669	3.274825	1.2092239	2.3023183	4.0038257	2.3747015	2.7529957	5.278534	3.6340945	3.059897	3.1476789	1.049854	1.2594193	0.6687229	2.922358	2.1546311	2.240836
S0164	4.1013703	2.7854345	2.9341304	4.470632	4.444485	4.597494	2.4160516	3.7211335	4.5891976	5.6607194	3.5178573	2.8822815	3.1638193	2.0719159	2.01475	1.1891376	0.722428	2.3722467	1.2724292	1.4076028	1.3305842
S0165	-3.3349025	1.4497982	0.51444876	-0.6168813	-1.7292293	-3.7609057	-1.6556929	-1.8633014	-3.0247087	-5.501647	-2.113123	8.813503	7.3910465	5.132215	4.898185	3.4294817	5.91471	5.9818215	4.8866463	5.015037	7.513165
S0166	3.7485468	4.6195617	5.6418095	4.213676	4.60566	2.188473	1.8770512	4.79081	4.2322397	4.294504	3.9057152	4.132628	4.982589	2.366087	2.285067	1.1342748	1.3006616	4.6033177	2.217385	3.5708694	3.6299665
S0167	-0.89483255	0.48077005	2.0194087	0.5747685	3.222973	3.944814	3.8070762	4.668498	1.8251017	2.9788988	5.324406	1.3654715	-0.1721363	-0.4196525	4.261296	3.6997457	4.2140145	-0.58139145	1.1478406	-0.034136385	1.3485109
S0168	2.590081	3.1126812	2.492644	3.2456546	1.6597407	1.3300613	0.5290333	1.5718398	2.6956801	1.4387664	1.6673574	4.0532284	3.8851666	2.9370918	1.924231	1.0236168	1.2874323	1.7095025	2.0657275	2.556609	2.1496074
S0169	4.1728373	2.3934913	2.5270143	4.139858	3.5973334	3.8152137	2.0298393	3.2182646	4.7972608	3.7748106	2.6871645	1.5554378	1.1561222	0.8860646	1.8563135	1.2809132	0.56043094	0.8266684	1.3766094	1.4031197	0.41393346
S0170	-0.92591465	3.446261	2.0038285	1.6988426	-1.1610043	-6.125007	-3.1439552	-3.6458728	-2.96985	-5.3615875	-0.59738266	11.24737	10.966933	7.6555543	5.239702	1.5689704	4.8415995	5.2624764	7.17723	5.702125	10.280305
S0171	6.4300566	6.198874	1.5992026	6.635735	-1.8896341	-6.1010966	-5.7072973	-6.6794143	1.9211961	-0.6785364	-1.5690576	8.145135	10.55942	7.855538	-2.0246468	-4.993344	-3.6710186	0.12790926	2.860862	3.8993227	3.1097841
S0172	2.7147343	1.5090514	1.4577601	3.166021	3.958463	5.2431946	3.4490764	4.028065	4.865011	4.0270195	2.4115505	2.1759484	0.15060008	0.79461974	3.0398571	2.461234	1.4528003	-0.82559	1.7442825	0.08974707	0.5296424
S0173	2.353891	3.002352	3.940556	3.3950717	3.1936374	3.5328033	3.0303307	4.893946	3.5124805	2.8775525	3.6074502	3.3918498	2.8293383	1.4386214	3.0770855	2.5168889	2.618683	2.2404866	2.5426629	2.0869732	2.0485725
S0174	5.548689	1.1084691	-0.09267189	4.2240314	0.86789167	1.2920947	-1.0435975	-1.6007234	4.3082037	1.9303226	-1.0955641	0.19356567	-0.106159024	1.116975	-1.619048	-2.6064386	-2.214987	-2.6404462	0.8006113	-0.3997365	-1.7693805
S0175	3.2242742	1.2134143	1.9063165	3.4138277	3.867219	6.7014294	4.322851	4.9479446	5.3381753	5.55859	3.8731034	-0.61214143	-1.1832606	-1.601899	2.7674825	3.1315897	1.6072341	-0.2515122	1.6558607	0.077329636	-0.79631364
S0176	0.82636243	1.8654871	2.4722652	2.2319539	1.607709	3.601048	2.6972148	3.5240085	1.7245866	3.13524	3.250102	1.9043362	1.6240146	1.1714486	2.4039176	2.5735493	1.9199173	0.65197355	2.2373002	1.1651365	0.83921206
S0177	-4.0615654	-0.4489841	0.6745543	-1.1719899	-0.06412479	-2.0085611	0.28958136	0.91973054	-2.5711002	-3.5831916	-1.2111495	4.0771875	4.7376223	1.7881478	5.0221477	4.005117	6.388169	6.526925	4.4259844	4.175835	6.3340116
S0178	4.100619	2.8910255	2.6155107	4.1645613	5.0308075	6.0418262	3.85006	5.1249223	6.2050495	4.7804666	3.6364746	2.6299813	0.8719729	0.8767144	2.7307677	2.2784536	0.89969623	1.0430359	1.887348	0.62156594	0.76408184
S0179	-4.9087033	-1.9967067	-1.9435234	-2.5158818	-1.0521691	-0.64200306	0.6145798	-0.4083303	-2.9781678	-5.295255	0.0706397	5.2379165	2.204477	1.5879866	6.8202047	5.7870727	8.311349	3.1259806	6.601254	2.6942832	5.804799
S0180	5.683025	6.508179	3.9776492	6.312373	1.9116142	-1.3833389	-2.1685965	-0.52175504	3.958304	1.9242253	1.7133313	4.9338546	6.4454007	4.1797185	-1.0444628	-2.4017987	-1.2427344	0.85788393	1.4495183	3.0958662	2.7685087
S0181	2.7767365	1.7360342	4.4647894	3.1981015	4.7706757	3.2826622	2.5262718	4.982083	3.810903	3.9726698	3.135273	-0.53483105	-0.831896	-0.90794927	1.3788874	0.14845721	0.67485666	1.2840255	-0.59408456	0.4092158	1.5529245
S0182	0.1627851	2.6309552	2.8167646	1.0597018	2.9077814	4.007923	3.4048598	3.5962956	1.7387586	1.6523764	3.1464574	5.971604	2.910682	3.3909547	5.0789404	3.8356595	4.0176363	2.031761	4.3899546	1.4411205	3.4122946
S0183	-3.950642	0.41419837	0.23855838	-0.4084873	2.366193	1.5487142	2.7321408	1.958154	-0.746893	-3.6302543	1.6948563	8.154558	4.7055097	4.079438	9.975817	8.401905	8.943583	4.677924	9.096602	3.6183612	8.015324
S0184	4.1429515	4.4768276	4.824747	4.0969925	3.5641456	3.0549893	1.9259439	4.3373575	3.5898535	4.601398	4.071039	3.3838072	4.708912	2.5867894	1.2716289	0.80907786	1.0275815	2.304972	0.3450372	2.6615949	2.324716
S0185	-3.2663295	-0.5136175	-0.7200927	-0.8709339	0.34100306	0.47063538	1.2349645	1.1551034	-0.9384522	-3.3271298	0.25117582	3.4113445	0.28750518	1.3455774	5.830399	4.9562793	4.8806443	1.9465369	4.355807	2.4498	2.853496
S0186	-2.6390672	1.2759997	0.72954255	0.6610134	1.169095	0.64584637	1.8957952	2.1154013	-0.18857324	-2.4802942	0.24562217	5.387623	3.0736039	2.6000063	5.173873	4.7805614	5.030468	3.5478725	4.7285995	3.1292198	3.7451673
S0187	1.0302852	2.9999888	4.3885984	2.3447766	2.4850833	2.7754533	2.8537269	4.042633	0.90817493	1.1971891	3.892204	4.4014654	4.7018657	2.1098425	5.365619	3.1376715	4.6176066	2.6618106	4.4944434	3.6587763	3.3808153
S0188	0.23645903	1.7624831	0.014208929	1.6842712	0.7531445	3.2625644	2.6883845	2.1394954	1.1220856	0.4301986	1.2092605	1.0223764	-0.29260778	0.09439148	2.1962554	1.8997587	0.90661526	-0.34630382	2.012773	0.75725436	-1.6898313
S0189	2.8751495	3.6642284	-0.31299892	3.31296	-0.8261954	-1.6806059	-2.381959	-2.8277793	1.6304886	-2.8643165	-1.3858608	4.998533	3.9248512	4.7766476	-0.5162174	-1.7836614	-1.7938676	-1.5368395	1.8753812	2.2461205	-0.39542398
S0190	4.817161	1.8543214	1.677293	4.034636	3.4515257	2.3529031	-0.059581365	0.5889421	5.554998	3.0086222	-1.164331	2.3556285	2.706448	1.287415	1.2884375	0.6414778	1.2260666	3.636551	3.2325974	2.3977246	2.089398
S0191	3.8344197	2.1231968	2.8821177	3.8618574	4.015659	4.7080584	2.4336143	3.8375237	5.422784	4.9752183	3.225387	0.70201	0.7888024	-0.11003304	1.7594064	1.6296589	1.0958362	1.200788	1.5532775	1.0065848	0.4621063
S0192	1.6525095	2.8929555	5.3112626	2.8398013	5.090673	3.9963782	3.3880546	6.2251873	4.041215	4.265219	3.2532086	0.9748923	2.2082343	0.17369394	1.8452921	2.7345703	2.3953228	5.427561	1.3397834	2.7950838	2.8646393
S0193	-8.215134	-2.2301915	-2.8827858	-4.362987	-3.0154793	-3.077778	-0.95875955	-2.5710542	-5.5281734	-7.326406	-1.0388362	8.137835	2.5128243	3.1146402	7.091381	5.796359	7.832498	2.7146602	5.7759933	1.8306292	6.809967
S0194	4.1240487	5.494045	5.180898	4.9187665	2.8336966	0.7905518	0.20583105	2.5237057	3.787103	3.6282465	2.7265723	4.3023753	6.67884	2.939625	1.2784697	-0.5312299	-0.1011201	3.599448	2.9458613	4.5098357	2.8776555
S0195	3.7534225	2.7241752	3.439055	4.875036	2.917726	1.7136585	0.9664526	2.4129767	3.7904656	4.0489635	2.9721398	3.2102673	3.9631264	1.8623805	1.6779019	0.79280466	1.1046535	3.4094737	1.9342461	2.8099852	1.1983676
S0196	2.768987	1.1353093	2.1932209	2.8865106	5.7106013	7.841311	4.811885	5.902803	5.749657	5.773297	3.7269242	-0.56056184	-1.8527901	-1.3925995	3.3905296	3.5624928	2.962211	-0.19170481	1.684798	-0.68367887	-0.2719711
S0197	4.7063084	1.6819147	2.3173447	4.4671674	5.240325	6.4497285	3.083158	4.4222136	6.5134554	5.79186	2.5388412	1.0226122	0.23474316	-0.04970043	2.295496	2.794257	1.2392495	0.46217	2.6197255	0.418429	0.25197747
S0198	4.8374333	6.2638726	1.5418547	4.7463365	-1.8009244	-3.497036	-3.3200326	-3.5649033	1.429422	0.18222138	-0.53020316	8.097217	9.339598	7.638862	-1.1136308	-3.0022912	-3.3581052	0.583226	2.8804376	3.4369173	3.0674977
S0199	4.991854	0.14731675	0.9028758	3.9117858	4.905154	8.045969	2.93252	3.2707682	6.8388047	6.549282	2.8412929	-2.1097198	-3.8855035	-2.264599	0.89090055	1.0496279	-1.3750601	-2.3106103	1.056196	-1.2084625	-3.212716
S0200	1.0547464	-0.75658137	-0.21413296	2.5709937	3.9139016	3.3478906	1.9934605	2.061703	5.2208586	-0.43470362	-1.3276755	-0.8135589	-3.5617197	-0.36544934	1.7418855	1.3324718	0.89046025	-1.2395973	2.0634756	0.6399114	-0.8921952
S0201	3.587008	1.6624228	1.0469109	3.6228807	5.189567	5.207166	2.3280315	3.6329134	6.1293273	4.393668	2.004111	0.4061617	-1.2647734	0.38075146	1.3631185	1.0975965	0.2554267	-1.1836095	1.1881988	-0.062792055	-1.5067993
S0202	3.5956411	2.8259099	3.100853	3.5826535	4.1725097	5.3584695	3.663319	4.4216475	4.486799	4.3377657	3.3358724	3.62673	2.4945493	1.8919628	4.718042	3.0977583	3.079039	1.8890017	4.6757646	1.8827915	2.563742
S0203	3.2043474	2.0701735	1.3800107	4.14812	3.2148745	1.0706164	0.5141133	1.9576974	3.4153283	0.3738347	-0.018616341	2.991648	3.6777651	2.6763299	1.7255992	1.2554748	1.6644844	2.299322	3.0104363	2.457244	2.613382
S0204	4.6963625	2.5407977	1.5621076	4.550774	2.7077556	3.148179	0.5586187	1.4303548	5.34892	3.0403996	0.5505722	2.7362077	1.3610157	1.7449775	1.2709212	0.3791716	-0.6266494	-0.190478	2.7725017	1.076118	0.6439406
S0205	5.618668	5.8149276	3.0255089	5.334709	0.9667429	-0.9855821	-0.82283986	0.8653796	2.4338334	2.855742	0.18428247	5.101407	8.454025	6.555761	-1.0466553	-1.052933	-2.4976711	3.3695161	1.7893062	3.6417959	1.739046
S0206	6.95274	4.087099	3.2581365	5.643216	2.3742657	1.4044944	-1.1406435	1.0031931	4.9674687	4.457107	0.9605268	2.4962409	4.1880255	3.0067546	-1.0883698	-1.6079805	-2.3194447	1.5589426	0.80936533	2.1893702	0.9614511
S0207	2.833678	0.89978546	3.1685908	3.4849787	6.7058363	7.3457174	5.310255	7.4218845	5.7450347	6.393114	4.8787255	-1.1959722	-1.1860536	-1.64664	3.1128736	3.568981	3.1524127	1.4498198	1.1443061	0.46495956	-0.1324574
S0208	3.359974	0.9494275	1.9118356	3.0236487	4.865915	7.1227098	4.299002	5.011178	5.3391786	5.472754	2.9234035	-0.63997173	-1.3358994	-1.1809666	3.2820642	3.7024715	2.1583247	0.35548848	2.8771572	0.0013027942	-0.09015508
S0209	2.6156507	5.153383	1.9159228	2.4305432	-1.2495208	-2.9883754	-1.3378159	0.43123043	0.64155287	1.3531221	-2.5901773	2.1740904	6.3077507	5.480444	-3.2444413	-1.9417673	-2.9711616	4.852993	0.7145751	4.339072	0.24547015
S0210	1.457659	4.502204	-0.01395771	3.4339416	-2.980711	-7.9505014	-6.147732	-7.217241	-1.6133958	-6.2389	-2.9929514	12.688535	12.573345	9.048202	3.5949697	-0.91361094	2.0914721	3.620728	7.539067	6.3717256	9.068199
S0211	3.9818537	3.130268	4.8809786	3.5411022	5.9048424	6.018916	4.1929407	7.133541	4.405306	6.7308393	4.873605	-0.7991451	1.0323778	-0.5791638	0.85352683	1.5723071	0.35650384	1.2793591	-0.071247436	0.9005852	-0.033959303
S0212	2.9867332	2.7992027	4.6558857	3.7132823	5.198119	4.737679	3.6429064	6.6473775	3.0790067	4.612002	5.248142	2.3316057	3.1628087	1.1678965	2.5756996	2.3352013	2.584984	1.9227498	0.92770594	1.7162114	3.2317746
S0213	3.9870663	1.0789398	1.273367	3.4017894	4.12015	5.38756	2.289722	3.1778643	5.532539	5.0672984	2.5730858	-0.48232758	-1.6581542	-1.0905772	1.1730664	0.9414224	-0.4705445	-1.7838593	0.9454655	-1.1397703	-1.5511951
S0214	4.0674257	0.9361129	0.059393506	3.860863	3.2536843	4.616065	1.5413891	1.305408	6.0038447	3.9767087	0.4102644	2.290503	0.71614176	1.0678705	2.7889771	2.0357528	1.3833594	-0.85023654	3.5778906	0.22800401	0.41204098
