gene	module_id	module_size	eigengene_corr_Y	eigengene_pval_Y	eigengene_corr_cohort	module_preserved
SCARA3	M010	67	0.429704	4.7946997e-19	0.8822221	True
G0S2	M000	1182				False
MAP3K5	M010	67	0.429704	4.7946997e-19	0.8822221	True
MMP7	M000	1182				False
PPT1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
FAS	M000	1182				False
MRC1	M000	1182				False
PDZK1IP1	M000	1182				False
ZMAT4	M000	1182				False
MISP	M000	1182				False
PRSS22	M000	1182				False
EPPK1	M000	1182				False
ITGAM	M000	1182				False
IRF5	M000	1182				False
SNTA1	M021	54	-0.14418523	0.0042288513	0.91452366	True
MPC1	M000	1182				False
TUBA1A	M001	63	0.39597368	3.627845e-16	0.91419816	True
GALE	M000	1182				False
DHRS3	M004	89	0.26029536	1.7180874e-07	0.9743594	True
TFCP2L1	M000	1182				False
SLC39A14	M017	44	-0.14110602	0.0051284735	0.88136363	True
SLC43A1	M000	1182				False
SERTAD2	M010	67	0.429704	4.7946997e-19	0.8822221	True
NOL3	M012	88	-0.056926005	0.2608475	0.94203234	True
ELK3	M010	67	0.429704	4.7946997e-19	0.8822221	True
HSPB11	M012	88	-0.056926005	0.2608475	0.94203234	True
LYZ	M000	1182				False
SULT2B1	M000	1182				False
PRSS2	M000	1182				False
COL3A1	M000	1182				False
HMGA1	M001	63	0.39597368	3.627845e-16	0.91419816	True
UGT8	M000	1182				False
TACC2	M015	61	-0.040188447	0.42750406	0.94782305	True
QDPR	M021	54	-0.14418523	0.0042288513	0.91452366	True
KLF8	M010	67	0.429704	4.7946997e-19	0.8822221	True
MAPKAPK2	M004	89	0.26029536	1.7180874e-07	0.9743594	True
NAB2	M004	89	0.26029536	1.7180874e-07	0.9743594	True
BAIAP3	M000	1182				False
CNN3	M010	67	0.429704	4.7946997e-19	0.8822221	True
PARVA	M009	117	0.324656	4.5004084e-11	0.9549998	True
WIPF1	M009	117	0.324656	4.5004084e-11	0.9549998	True
CTSK	M000	1182				False
PRKG1	M000	1182				False
LEPROT	M006	83	0.32443193	4.6484528e-11	0.9076619	True
ARHGAP22	M000	1182				False
RASA1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
TP63	M000	1182				False
SRPX2	M000	1182				False
LTBP3	M009	117	0.324656	4.5004084e-11	0.9549998	True
CDC42EP3	M000	1182				False
PLEKHA4	M000	1182				False
EMILIN1	M000	1182				False
CD1A	M000	1182				False
SLIT2	M000	1182				False
HIF1A	M006	83	0.32443193	4.6484528e-11	0.9076619	True
SVIL	M006	83	0.32443193	4.6484528e-11	0.9076619	True
PMEPA1	M001	63	0.39597368	3.627845e-16	0.91419816	True
HCP5	M000	1182				False
ADCY1	M000	1182				False
SLC2A3	M009	117	0.324656	4.5004084e-11	0.9549998	True
MAP4	M009	117	0.324656	4.5004084e-11	0.9549998	True
BMP1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
ENTPD2	M000	1182				False
SLC22A4	M000	1182				False
SOD3	M000	1182				False
GRAMD1B	M000	1182				False
NBL1	M000	1182				False
RAP1GAP	M000	1182				False
OGDHL	M000	1182				False
ICAM5	M000	1182				False
LCN2	M000	1182				False
ACTN1	M009	117	0.324656	4.5004084e-11	0.9549998	True
EDEM1	M011	30	0.30460626	7.33937e-10	0.9156813	True
DCXR	M013	72	-0.06164761	0.2232916	0.90925777	True
GLS	M009	117	0.324656	4.5004084e-11	0.9549998	True
ARHGEF38	M000	1182				False
PKM	M001	63	0.39597368	3.627845e-16	0.91419816	True
RAMP1	M000	1182				False
KCTD17	M000	1182				False
CCR1	M000	1182				False
MED15	M001	63	0.39597368	3.627845e-16	0.91419816	True
PIAS3	M006	83	0.32443193	4.6484528e-11	0.9076619	True
ZNF467	M000	1182				False
VDAC3	M021	54	-0.14418523	0.0042288513	0.91452366	True
CD74	M001	63	0.39597368	3.627845e-16	0.91419816	True
CDCP1	M010	67	0.429704	4.7946997e-19	0.8822221	True
BIRC3	M000	1182				False
ARPC2	M004	89	0.26029536	1.7180874e-07	0.9743594	True
NCF4	M000	1182				False
BTN3A1	M000	1182				False
FAM111A	M010	67	0.429704	4.7946997e-19	0.8822221	True
IL1R1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
KCTD15	M000	1182				False
LRP1	M009	117	0.324656	4.5004084e-11	0.9549998	True
ARMCX3	M000	1182				False
GPNMB	M000	1182				False
TRIM58	M000	1182				False
CACNB2	M000	1182				False
PTGS2	M000	1182				False
BCAS4	M001	63	0.39597368	3.627845e-16	0.91419816	True
UBE2L6	M001	63	0.39597368	3.627845e-16	0.91419816	True
VWA5A	M009	117	0.324656	4.5004084e-11	0.9549998	True
MCTP2	M010	67	0.429704	4.7946997e-19	0.8822221	True
SNRNP25	M000	1182				False
CLEC5A	M000	1182				False
ITPKC	M004	89	0.26029536	1.7180874e-07	0.9743594	True
TCIRG1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
CLPB	M000	1182				False
SIRT2	M012	88	-0.056926005	0.2608475	0.94203234	True
COPZ2	M000	1182				False
FOSL2	M009	117	0.324656	4.5004084e-11	0.9549998	True
TMEM14B	M012	88	-0.056926005	0.2608475	0.94203234	True
NR2F1	M000	1182				False
SYNM	M000	1182				False
MRC2	M001	63	0.39597368	3.627845e-16	0.91419816	True
COL10A1	M000	1182				False
SRPRB	M021	54	-0.14418523	0.0042288513	0.91452366	True
MEAF6	M003	51	0.22109962	9.944808e-06	0.97000235	True
LTBP1	M000	1182				False
LAD1	M000	1182				False
SLC6A6	M010	67	0.429704	4.7946997e-19	0.8822221	True
COL16A1	M009	117	0.324656	4.5004084e-11	0.9549998	True
PRKACB	M017	44	-0.14110602	0.0051284735	0.88136363	True
CSGALNACT2	M006	83	0.32443193	4.6484528e-11	0.9076619	True
GALNT7	M010	67	0.429704	4.7946997e-19	0.8822221	True
SERPINB9	M000	1182				False
KLHL2	M010	67	0.429704	4.7946997e-19	0.8822221	True
CLEC16A	M010	67	0.429704	4.7946997e-19	0.8822221	True
HNRNPF	M006	83	0.32443193	4.6484528e-11	0.9076619	True
QPCT	M000	1182				False
ARHGEF2	M004	89	0.26029536	1.7180874e-07	0.9743594	True
ALDH2	M021	54	-0.14418523	0.0042288513	0.91452366	True
CORO1A	M000	1182				False
TMOD3	M006	83	0.32443193	4.6484528e-11	0.9076619	True
GNLY	M000	1182				False
SIRT4	M010	67	0.429704	4.7946997e-19	0.8822221	True
LCP1	M000	1182				False
ADIPOR2	M017	44	-0.14110602	0.0051284735	0.88136363	True
FUCA1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
SPN	M000	1182				False
S100A11	M001	63	0.39597368	3.627845e-16	0.91419816	True
ANAPC13	M021	54	-0.14418523	0.0042288513	0.91452366	True
VCAN	M000	1182				False
MICALL2	M000	1182				False
CHI3L2	M000	1182				False
ID4	M018	47	-0.10684348	0.034456037	0.9061806	True
TNFSF4	M000	1182				False
BCL9	M005	96	0.25215718	4.225999e-07	0.958717	True
MT1X	M000	1182				False
S100A9	M000	1182				False
PHYHIP	M000	1182				False
NTAN1	M000	1182				False
TRIM22	M000	1182				False
TOMM34	M004	89	0.26029536	1.7180874e-07	0.9743594	True
HMBS	M000	1182				False
PIK3CD	M000	1182				False
MACF1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
SMURF2	M006	83	0.32443193	4.6484528e-11	0.9076619	True
LMNA	M004	89	0.26029536	1.7180874e-07	0.9743594	True
ANKH	M000	1182				False
SEH1L	M011	30	0.30460626	7.33937e-10	0.9156813	True
PDZRN3	M000	1182				False
NQO1	M021	54	-0.14418523	0.0042288513	0.91452366	True
C19orf54	M000	1182				False
C7	M000	1182				False
GOLGA8N	M001	63	0.39597368	3.627845e-16	0.91419816	True
MAFF	M000	1182				False
DYNC1I2	M006	83	0.32443193	4.6484528e-11	0.9076619	True
PNPO	M021	54	-0.14418523	0.0042288513	0.91452366	True
LAMC2	M009	117	0.324656	4.5004084e-11	0.9549998	True
ITPR1	M000	1182				False
CLDN1	M010	67	0.429704	4.7946997e-19	0.8822221	True
RABGGTA	M000	1182				False
MYO6	M009	117	0.324656	4.5004084e-11	0.9549998	True
SRGAP3	M010	67	0.429704	4.7946997e-19	0.8822221	True
PARP12	M001	63	0.39597368	3.627845e-16	0.91419816	True
FGR	M000	1182				False
LIF	M000	1182				False
ADCY8	M000	1182				False
FAXDC2	M000	1182				False
TEP1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
ECE1	M001	63	0.39597368	3.627845e-16	0.91419816	True
FPR3	M000	1182				False
TTC30A	M000	1182				False
SAMHD1	M009	117	0.324656	4.5004084e-11	0.9549998	True
GALNT10	M000	1182				False
QPRT	M000	1182				False
CXCL8	M000	1182				False
SELPLG	M000	1182				False
PAIP2B	M000	1182				False
GLCE	M010	67	0.429704	4.7946997e-19	0.8822221	True
CTSS	M009	117	0.324656	4.5004084e-11	0.9549998	True
BCAT1	M000	1182				False
MOXD1	M000	1182				False
WLS	M009	117	0.324656	4.5004084e-11	0.9549998	True
MAP2	M010	67	0.429704	4.7946997e-19	0.8822221	True
SERPINB1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
DNM3	M000	1182				False
MEX3D	M001	63	0.39597368	3.627845e-16	0.91419816	True
ANKEF1	M000	1182				False
HERC6	M000	1182				False
FCGR2A	M000	1182				False
CXCL2	M000	1182				False
SUCLG1	M012	88	-0.056926005	0.2608475	0.94203234	True
CCL18	M000	1182				False
LASP1	M010	67	0.429704	4.7946997e-19	0.8822221	True
RAB17	M012	88	-0.056926005	0.2608475	0.94203234	True
RAPGEF5	M010	67	0.429704	4.7946997e-19	0.8822221	True
ACVR1	M010	67	0.429704	4.7946997e-19	0.8822221	True
TMPO	M005	96	0.25215718	4.225999e-07	0.958717	True
CLEC2B	M000	1182				False
RELB	M001	63	0.39597368	3.627845e-16	0.91419816	True
HLA-DQB2	M000	1182				False
PLP2	M001	63	0.39597368	3.627845e-16	0.91419816	True
NBEAL2	M009	117	0.324656	4.5004084e-11	0.9549998	True
HLA-B	M001	63	0.39597368	3.627845e-16	0.91419816	True
AMIGO2	M000	1182				False
FBLN2	M000	1182				False
FYN	M001	63	0.39597368	3.627845e-16	0.91419816	True
PLSCR1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
TRAF5	M000	1182				False
ATP2C2	M000	1182				False
RYR1	M000	1182				False
MSRB2	M000	1182				False
SLC35D2	M000	1182				False
RFTN1	M003	51	0.22109962	9.944808e-06	0.97000235	True
PLS3	M006	83	0.32443193	4.6484528e-11	0.9076619	True
PYGL	M000	1182				False
TRIM14	M010	67	0.429704	4.7946997e-19	0.8822221	True
FMNL1	M000	1182				False
MAP7D1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
TIMP2	M009	117	0.324656	4.5004084e-11	0.9549998	True
TGIF1	M004	89	0.26029536	1.7180874e-07	0.9743594	True
CXXC4	M000	1182				False
TMEM161A	M013	72	-0.06164761	0.2232916	0.90925777	True
ALDH6A1	M017	44	-0.14110602	0.0051284735	0.88136363	True
ATP6V1B2	M009	117	0.324656	4.5004084e-11	0.9549998	True
COL7A1	M000	1182				False
CSF1	M000	1182				False
SIGLEC15	M000	1182				False
GPR161	M000	1182				False
SEMA3D	M000	1182				False
NOX4	M000	1182				False
BCAT2	M012	88	-0.056926005	0.2608475	0.94203234	True
HMGN5	M000	1182				False
CD86	M000	1182				False
PLA2G4A	M000	1182				False
SLC25A37	M009	117	0.324656	4.5004084e-11	0.9549998	True
FGF2	M000	1182				False
CTH	M000	1182				False
TMEM176B	M000	1182				False
IL1RN	M000	1182				False
CAV2	M009	117	0.324656	4.5004084e-11	0.9549998	True
SYNJ2	M008	82	0.24246262	1.186607e-06	0.9276763	True
ZNF267	M000	1182				False
COX8A	M000	1182				False
NPC1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
LTBP2	M009	117	0.324656	4.5004084e-11	0.9549998	True
MT1H	M000	1182				False
DCBLD2	M009	117	0.324656	4.5004084e-11	0.9549998	True
WNT5A	M010	67	0.429704	4.7946997e-19	0.8822221	True
LETM1	M018	47	-0.10684348	0.034456037	0.9061806	True
NRSN2	M020	35	-0.0680788	0.1785777	0.94541353	True
EHBP1	M006	83	0.32443193	4.6484528e-11	0.9076619	True
PPP1R13L	M001	63	0.39597368	3.627845e-16	0.91419816	True
FADS3	M000	1182				False
CYBB	M000	1182				False
ETV7	M000	1182				False
CD53	M000	1182				False
ELAC1	M000	1182				False
CTIF	M019	60	-0.035307113	0.48578322	0.9705414	True
ASAP2	M000	1182				False
CYB561	M000	1182				False
CFLAR	M005	96	0.25215718	4.225999e-07	0.958717	True
SYNPO	M009	117	0.324656	4.5004084e-11	0.9549998	True
PC	M000	1182				False
RDH11	M021	54	-0.14418523	0.0042288513	0.91452366	True
C1QL1	M000	1182				False
RARRES2	M000	1182				False
SLAMF8	M000	1182				False
TRIM38	M009	117	0.324656	4.5004084e-11	0.9549998	True
CLCF1	M000	1182				False
POLR3K	M000	1182				False
MAP3K1	M010	67	0.429704	4.7946997e-19	0.8822221	True
SLC35B1	M021	54	-0.14418523	0.0042288513	0.91452366	True
GSTM3	M000	1182				False
INHBA	M000	1182				False
CCDC88C	M000	1182				False
ACAD8	M015	61	-0.040188447	0.42750406	0.94782305	True
BRINP1	M000	1182				False
MRPL34	M012	88	-0.056926005	0.2608475	0.94203234	True
UST	M000	1182				False
HNMT	M000	1182				False
MED13	M010	67	0.429704	4.7946997e-19	0.8822221	True
CCR2	M000	1182				False
ARL4C	M000	1182				False
TRAPPC6A	M000	1182				False
EPS8	M011	30	0.30460626	7.33937e-10	0.9156813	True
RCAN2	M000	1182				False
CAV1	M009	117	0.324656	4.5004084e-11	0.9549998	True
PYGM	M000	1182				False
WFS1	M000	1182				False
SPINT1	M001	63	0.39597368	3.627845e-16	0.91419816	True
