pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
40353950	Combination of RNA-sequencing data analysis, network pharmacology, molecular docking techniques to investigate the mechanism of Prunella vulgaris L. in the treatment of non-small cell lung cancer.	2025	Discover oncology	cancer,drug		0	0	0
29666465	Molecular epidemiology of lung cancer in Iran: implications for drug development and cancer prevention.	2018	Journal of human genetics	braf		0	0	0
40900788	Network toxicological insights into DEHP exposure and thyroid cancer development and progression.	2025	Frontiers in oncology	thyroid,cancer		1	0	0
18797454	A new role for tamoxifen in oestrogen receptor-negative breast cancer when it is combined with epigallocatechin gallate.	2008	British journal of cancer	braf	down	0	0	0
40374694	Effects of metformin on transcriptomic and metabolomic profiles in breast cancer survivors enrolled in the randomized placebo-controlled MetBreCS trial.	2025	Scientific reports	cancer		1	1	0
40092865	Effect of cyp1a1, cyp1b1 and cyp2c gene polymorphisms on doxorubicin and paclitaxel.	2024	Bioinformation	cancer,drug		0	0	0
41438119	Identification the Tumor Mechanics-Related Biomarkers in Gastric Cancer Patients Based on Bioinformatics and Machine Learning.	2025	International journal of general medicine	cancer,drug	up	1	0	1
40226460	Tissue inhibitor of metalloproteinase 1 as a biomarker of venous invasion in pancreatic ductal adenocarcinoma.	2025	American journal of cancer research	cancer,drug	up	1	0	1
41833880	H3K27 acetylation activated-CYP1B1 promotes invasion, migration and radioresistance in gastric cancer via p38 MAPK-mediated fatty acid metabolism.	2026	Experimental cell research	cancer	mixed	1	0	0
41600570	Biomass-Haze PM2.5 from Northern Thailand Drives Genotype-Specific Oxidative Stress and Transcriptomic Remodeling in Non-Small-Cell Lung Cancer Cells.	2025	Toxics	cancer		0	0	0
39980243	Normal bronchial field basal cells show persistent methylome-wide impact of tobacco smoking, including in known cancer genes.	2025	Epigenetics	cancer		0	0	0
41507801	Integrated Bioinformatics and Experimental Validation Reveal Fuzheng Yi'ai Formula Induces Immunogenic Cell Death Via the PERK-eIF2&#x3b1;-ATF4 Pathway for Prostate Cancer Treatment.	2026	Biological procedures online	cancer,drug	up	0	0	1
40560854	CYP450 gene polymorphisms and the risk of taxane-induced neurotoxicity in breast cancer patients: a systematic review and meta-analysis.	2025	Biomarkers : biochemical indicators of exposure, response, and susceptibility to	cancer		0	0	0
27588699	Relative effect potency estimates of dioxin-like activity for dioxins, furans, and dioxin-like PCBs in adults based on cytochrome P450 1A1 and 1B1 gene expression in blood.	2016	Environment international	thyroid		0	0	0
41239394	Pediococcus acidilactici attenuates chronic stress-induced depression via generating metabolite indole-3-lactic acid and downregulating neuroinflammation.	2025	Journal of neuroinflammation	drug	up	0	0	1
40774111	Discovery of novel selective CYP1B1 inhibitors: Design, synthesis and biological evaluation.	2025	Bioorganic chemistry	cancer,drug	up	0	0	1
40142473	Insight into the Role of the Aryl Hydrocarbon Receptor in Bovine Coronavirus Infection by an Integrated Approach Combining In Vitro and In Silico Methods.	2025	Microorganisms	drug		0	0	1
41160218	Characterization of PANoptosis-based markers for ischemic stroke and their appealing implications in improving prognosis and in glioma patients.	2025	Discover oncology	cancer		1	0	0
41318222	Paeoniflorin as a natural mixed-type CYP1B1 inhibitor: enzyme kinetics, molecular simulation and drug-likeness assessment.	2025	Natural product research	cancer,drug	up	0	0	1
39885324	Integrating multiomics analysis and machine learning to refine the molecular subtyping and prognostic analysis of stomach adenocarcinoma.	2025	Scientific reports	cancer		1	0	1
27565560	The impact of serotonergic system dysfunction on the regulation of P4501A isoforms during liver insufficiency and consequences for thyroid hormone homeostasis.	2016	Food and chemical toxicology : an international journal published for the Britis	thyroid	down	0	0	0
