pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
39754504	Natural Saponins on Cholesterol-Related Diseases: Treatment and Mechanism.	2025	Phytotherapy research : PTR	cancer		0	0	0
39914449	ENO1-BACE2-mediated LDLR cleavage promotes liver cancer progression by remodelling cholesterol metabolism.	2025	Journal of molecular cell biology	cancer	mixed	1	0	0
40767085	User testing of a previsit chatbot developed for population genomic screening and counseling.	2025	Journal of genetic counseling	cancer		0	0	0
41775618	LDL-C target achievement after adding evinacumab in 2 patients with autosomal recessive hypercholesterolemia.	2026	Journal of clinical lipidology	drug		1	0	1
41683619	Ectopic FGFR1 Increases Intracellular Pool of Cholesterol in Prostate Cancer Cells.	2026	International journal of molecular sciences	cancer,drug	up	0	0	0
41558599	Distinct effector functions and synergy of CAR mRNA-engineered T cells and macrophages in the clearance of CD19+ leukemia cells.	2026	Journal of advanced research	cancer,drug	up	0	1	0
39606095	Novel Insights into Causal Effects of Lipid and Lipid-Lowering Targets with Autoimmune Thyroid Disease: A Mendelian Randomization Study.	2024	ImmunoTargets and therapy	thyroid		0	0	0
40544893	EGFR inhibitor suppresses tumor growth by blocking lipid uptake and cholesterol synthesis in non-small cell lung cancer.	2025	Biochimica et biophysica acta. Molecular basis of disease	cancer	down	0	0	1
30720493	The biochemical and genetic diagnosis of lipid disorders.	2019	Current opinion in lipidology	thyroid		1	0	0
41125790	High serum LDL promotes EMT and stemness through LDLR/FOXQ1/NF-&#x3ba;B1 pathway in epithelial ovarian cancer.	2025	Oncogene	cancer	up	1	0	0
37137431	Sleep deprivation modulates APOE and LDL receptor-related protein 1 through thyroid hormone T4 and impairs A&#x3b2; clearance in hippocampus of rats.	2023	Biochimica et biophysica acta. Molecular basis of disease	thyroid	up	0	0	0
41510568	Neratinib, a Clinical Drug Treating Breast Cancer, Protects Against Vascular Inflammation and Atherosclerosis.	2026	Circulation research	cancer,drug	down	0	1	0
41779414	Management and Consequences of Genotype-Positive Familial Hypercholesterolemia.	2026	JAMA cardiology	drug	up	0	0	0
41097384	Safety, Pharmacokinetics, Translational and Molecular Mechanistic Insights on the Prostate Cancer Recurrence Suppressor Pseurotin A.	2025	Molecules (Basel, Switzerland)	cancer	mixed	1	0	1
40405007	Integrating Mendelian randomization and multi-transcriptomic analyses to unveil the genetic association risk of regulatory T cell-mediated free cholesterol and gastric cancer.	2025	Discover oncology	cancer		0	0	0
39355401	The Effects of Anti-thyroid Drugs on Lipoproteins and Insulin Resistance in Graves' Disease: A Randomized Clinical Trial.	2024	Journal of lipid and atherosclerosis	thyroid	mixed	0	1	0
37612751	Anlotinib affects systemic lipid metabolism and induces lipid accumulation in human lung cancer cells.	2023	Lipids in health and disease	thyroid	mixed	0	0	0
34557027	Identification of Prognosis-Associated Biomarkers in Thyroid Carcinoma by a Bioinformatics Analysis.	2021	International journal of general medicine	thyroid	mixed	1	0	0
41622197	Sex&#x2011;specific cardiovascular risk in estrogen&#x2011;treated androgen&#x2011;deprived males: metabolic characterization of glucose, adipose, and lipid pathways.	2026	Cardiovascular diabetology	cancer,drug	mixed	0	0	0
41472234	Switchable Retargeting of Lentiviral Vectors Through a VSV-G-Binding Adapter Molecule.	2025	Viruses	cancer	up	0	0	0
40338666	PCSK9 deficiency promotes the development of peripheral neuropathy.	2025	JCI insight	cancer	up	0	0	0
41777553	Sex-based multiomics analysis uncovers metabolic and molecular mediators linking MASH and atherosclerosis.	2026	JHEP reports : innovation in hepatology	drug		0	0	0
40022442	Physical and functional interactions between LDLR family members and CXCR4 in breast cancer.	2025	The FEBS journal	cancer		1	0	1
