plate_v4_arm	candidate_success_rate	unlock_probability	threshold_successes	n_candidates	endpoint
A_clean_discovery	0.26	0.48962847648	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.27	0.512828175645	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.28	0.53561976832	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.29	0.5579638090049999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.3	0.5798249999999998	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.31	0.6011720060049999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.32	0.6219772723199999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.33	0.6422168466449998	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.34	0.6618702044799999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.35000000000000003	0.6809200781249998	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.36	0.69935228928	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.37	0.717155585245	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.38	0.73432147872	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.39	0.750844091205	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.4	0.7667200000000001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.41000000000000003	0.7819480888050001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.42	0.7965294019200002	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.43	0.8104670020450002	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.44	0.8237658316800002	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.45	0.8364325781250003	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.46	0.8484755420800002	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.47000000000000003	0.8599045098450003	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.48	0.87073062912	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.49	0.8809662884049999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.5	0.890625	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.51	0.899721286605	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.52	0.90827057152	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.53	0.916289072445	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.54	0.92379369888	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.55	0.930801953125	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.56	0.93733183488	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.5700000000000001	0.943401749445	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.58	0.9490304195199999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.59	0.9542368006049999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.6	0.95904	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.61	0.9634591994049999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.62	0.96751358112	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.63	0.971222257845	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.64	0.97460420608	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.65	0.977678203125	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.66	0.98046276768	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.67	0.982976104045	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.68	0.98523604992	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.6900000000000001	0.987260027805	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.7000000000000001	0.989065	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.71	0.990667427205	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.72	0.9920832307199999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.73	0.993327758245	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.74	0.99441575328	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.75	0.995361328125	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.76	0.99617794048	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.77	0.996878373645	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.78	0.9974747203200001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.79	0.997978370005	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.8	0.9984	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.81	0.998749570005	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.8200000000000001	0.99903632032	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.8300000000000001	0.999268773645	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.84	0.99945474048	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.85	0.999601328125	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.86	0.9997149532799999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.87	0.999801358245	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.88	0.99986563072	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.89	0.9999122272050001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.9	0.999945	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.91	0.999967227805	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.92	0.9999816499199999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.93	0.999990504045	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.9400000000000001	0.99999556768	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.9500000000000001	0.9999982031250001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.96	0.99999940608	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.97	0.9999998578449999	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.98	0.99999998112	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
A_clean_discovery	0.99	0.9999999994050001	2	6	mutant_pMHC_binding_with_WT_decoy_specificity
