pathway	Name	pathway	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	source
283	prerank	Glutamate And Glutamine Metabolism R-HSA-8964539	0.8888602801401772	1.2332508798281783	0.2146341463414634	1.0	1.0	4/12	3.42%	RIMKLA;GOT2;OAT;PYCR1	Reactome
284	prerank	STING Mediated Induction Of Host Immune Responses R-HSA-1834941	-0.9251762314884363	-1.2332170282269954	0.11260504201680673	0.7342869690695778	1.0	6/14	4.91%	STING1;DTX4;IFI16;TRIM21;IRF3;STAT6	Reactome
285	prerank	LDL Clearance R-HSA-8964038	-0.892597176329953	-1.2326976234868072	0.163575042158516	0.7363444957779013	1.0	6/17	6.84%	LDLR;NPC2;LSR;SOAT2;CLTA;PCSK9	Reactome
286	prerank	Molybdenum Cofactor Biosynthesis R-HSA-947581	0.9470340756985773	1.232184843712453	0.13852813852813853	1.0	1.0	3/5	2.93%	NFS1;MOCS2;MOCS1	Reactome
287	prerank	Keratan Sulfate/Keratin Metabolism R-HSA-1638074	-0.8527832338860373	-1.2319075262992227	0.14696969696969697	0.7408348984435941	1.0	9/32	4.81%	B3GNT3;LUM;B3GNT7;CHST2;B4GALT5;PRELP;OMD;B4GALT6;CHST1	Reactome
288	prerank	Interleukin-12 Family Signaling R-HSA-447115	-0.8065621485635625	-1.231826229182488	0.15013774104683195	0.7382894936999052	1.0	17/53	7.05%	STAT4;EBI3;S100A9;STAT1;CRLF1;IL12RB1;MSN;IL27RA;PSME2;CNN2;IL23A;CAPZA1;IFNG;LMNB1;IL10;STAT3;IL12B	Reactome
289	prerank	Regulation Of Apoptosis R-HSA-169911	-0.8188982001022891	-1.2312942651906083	0.13709677419354838	0.7405759774645645	1.0	5/51	4.84%	PSMB9;PSMB8;PSMB10;PSME2;PSME1	Reactome
290	prerank	Regulation Of RUNX1 Expression And Activity R-HSA-8934593	-0.9114452972235444	-1.231163568703209	0.15422885572139303	0.7385212082603387	1.0	8/16	5.07%	RUNX1;SRC;CCND3;CCND2;CBFB;PML;CCND1;MOV10	Reactome
291	prerank	CYP2E1 Reactions R-HSA-211999	-0.9516656668308497	-1.230413008480841	0.10526315789473684	0.7427296635646001	1.0	1/9	0.14%	CYP2S1	Reactome
292	prerank	Cargo Concentration In ER R-HSA-5694530	-0.8565393510606877	-1.2304042589799267	0.15453194650817237	0.7395512604189103	1.0	7/31	2.68%	SERPINA1;CTSC;COL7A1;TGFA;F5;FOLR2;CNIH3	Reactome
293	prerank	Nucleotide-like (Purinergic) Receptors R-HSA-418038	-0.9094953437430321	-1.2303701977198256	0.14023372287145242	0.7366507009813646	1.0	5/15	4.29%	P2RY6;P2RY10;P2RY13;P2RY12;ADORA3	Reactome
294	prerank	Xenobiotics R-HSA-211981	-0.8876370051799175	-1.2293945441318745	0.16	0.7429593179640644	1.0	1/22	0.14%	CYP2S1	Reactome
295	prerank	Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815	-0.8170895792093564	-1.2278561217383577	0.1560379918588874	0.7544020787026459	1.0	5/50	4.84%	PSMB9;PSMB8;PSMB10;PSME2;PSME1	Reactome
296	prerank	Integration Of Provirus R-HSA-162592	-0.9230862880842816	-1.227578882257213	0.16428571428571428	0.7538791781027806	1.0	1/9	1.17%	HMGA1	Reactome
297	prerank	SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113	-0.8101939298470887	-1.2271413803703846	0.15712383488681758	0.7551574258658217	1.0	5/53	4.84%	PSMB9;PSMB8;PSMB10;PSME2;PSME1	Reactome
298	prerank	Pre-NOTCH Expression And Processing R-HSA-1912422	-0.7878523462521254	-1.2268518845116738	0.13784461152882205	0.7547604693620742	1.0	11/75	6.85%	RUNX1;MAMLD1;ELF3;H2AX;LFNG;CCND1;MOV10;NOTCH2;MAML2;SIRT6;MFNG	Reactome
299	prerank	Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202	-0.7470461336382598	-1.2264726343796128	0.11842105263157894	0.7552981402758437	1.0	27/129	6.26%	CARD11;FCER1G;FCER1A;PSMB9;VAV1;BTK;PSMB8;ITK;RASGRP1;LCP2;LYN;GRAP2;RASGRP4;PSMB10;TXK;FYN;IGLL5;PSME2;ITPR2;PSME1;TEC;MAP3K1;MS4A2;RASGRP2;GAB2;MAP2K7;RELA	Reactome
300	prerank	Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410	-0.7724584468885066	-1.2263669514728073	0.14393939393939395	0.7529733356375354	1.0	20/81	10.65%	STAT1;FLNA;OASL;UBE2L6;MX2;ISG15;HERC5;IRF3;OAS1;OAS3;UBA7;IFIT1;OAS2;MX1;KPNA2;EIF4E3;SEH1L;JAK1;EIF4A1;NUP62	Reactome
301	prerank	VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399	0.9421935609158889	1.2259856823944424	0.1511879049676026	1.0	1.0	5/7	3.23%	PGF;KDR;VEGFB;FLT4;VEGFA	Reactome
302	prerank	Bicarbonate Transporters R-HSA-425381	0.9197423511766485	1.2259166850157046	0.1425438596491228	1.0	1.0	1/9	0.00%	SLC4A4	Reactome
303	prerank	Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957	-0.7535205373011734	-1.2258814668612539	0.15230224321133412	0.754560477801082	1.0	56/111	13.64%	RPLP1;RPL36;RPL39L;RPS9;RPL22L1;RPL12;SMG9;RPS2;RPL28;RPS4X;RPLP2;RPS8;RPL14;RPS20;RPSA;RPS19;RPS3;RPS27;RPL35;RPL7A;RPL32;PABPC1;RPL13A;RPLP0;RPL4;RPS15;RPL3;RPL8;RPL18;RPS29;RPL37A;RPL34;FAU;RPS17;RPL10A;RPS28;RPS24;RPS5;RPS11;RPS6;RPL9;RPL31;RPL27A;RPL23;RPS10;RPS7;UBA52;RPL11;RPS25;RPL35A;RPL21;RPS12;RPL37;RPL38;RPL29;RPL23A	Reactome
304	prerank	RNA Polymerase III Transcription Termination R-HSA-73980	0.7977539907965391	1.2257233618220496	0.21114369501466276	1.0	1.0	6/20	5.04%	POLR3B;POLR3K;NFIA;POLR3F;POLR3E;POLR3H	Reactome
305	prerank	Transcriptional Regulation Of Granulopoiesis R-HSA-9616222	-0.8102455405446505	-1.2255071536949642	0.1478029294274301	0.7549271576789464	1.0	10/56	4.77%	RUNX1;SPI1;IL6R;MYC;GFI1;H2AX;KLF5;CSF3R;RARA;PML	Reactome
306	prerank	RUNX3 Regulates NOTCH Signaling R-HSA-8941856	-0.9300599025355266	-1.2252819861621083	0.14214876033057852	0.7540699780469601	1.0	2/12	1.82%	MAMLD1;RUNX3	Reactome
307	prerank	Nectin/Necl Trans Heterodimerization R-HSA-420597	-0.9602669340613685	-1.2251785484578477	0.12226277372262774	0.7519388419879597	1.0	3/6	3.51%	NECTIN4;CADM3;NECTIN1	Reactome
308	prerank	Histidine Catabolism R-HSA-70921	-0.9540225718790113	-1.225116302433485	0.12307692307692308	0.7494203783334218	1.0	1/7	1.54%	HNMT	Reactome
309	prerank	Cobalamin (Cbl) Metabolism R-HSA-9759218	0.9469767014128507	1.2250591534527304	0.11233480176211454	1.0	1.0	3/5	5.27%	MMACHC;MMUT;MTR	Reactome
310	prerank	TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989	-0.818265976904345	-1.225016858063002	0.19941775836972345	0.7472659419078326	1.0	8/44	3.29%	NOD1;S100B;NOD2;NFKB2;IRAK2;NLRC5;CASP8;RIPK2	Reactome
311	prerank	Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531	-0.7721462911393493	-1.224649741528852	0.14925373134328357	0.7476182469265474	1.0	17/87	10.46%	PSMB9;PSMB8;ZFP36L1;PSMB10;PSME2;PSME1;MAPKAPK2;ZFP36;YWHAZ;MAPK11;ENPP2;PABPC1;PSMD4;EXOSC8;EXOSC9;HSPB1;PSMD13	Reactome
312	prerank	Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877	-0.8363661548471897	-1.2245139218128993	0.19533527696793002	0.7458108669327135	1.0	9/36	3.50%	PROS1;F5;SERPING1;CD177;FAM110A;SERPINE2;PROCR;PROC;F3	Reactome
313	prerank	Na+/Cl- Dependent Neurotransmitter Transporters R-HSA-442660	-0.8931830462948942	-1.2244464739152003	0.1625207296849088	0.7434046026437331	1.0	4/18	4.16%	SLC6A20;SLC6A6;SLC6A14;SLC6A12	Reactome
314	prerank	Erythropoietin Activates RAS R-HSA-9027284	-0.9136242581734969	-1.2240345223716567	0.16415410385259632	0.7442837641506674	1.0	2/12	1.75%	VAV1;LYN	Reactome
315	prerank	GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114	-0.8095038991487509	-1.2237546577519218	0.16780354706684858	0.7437521121508396	1.0	5/50	4.84%	PSMB9;PSMB8;PSMB10;PSME2;PSME1	Reactome
316	prerank	Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553	-0.7390078972471108	-1.2236906458246557	0.1	0.7413019728809203	1.0	64/166	12.39%	SLIT2;PSMB9;PSMB8;PSMB10;RPLP1;RPL36;RPL39L;PSME2;RPS9;RPL22L1;RPL12;ROBO1;RPS2;PSME1;RPL28;RPS4X;RPLP2;RPS8;RPL14;RPS20;RPSA;RPS19;RPS3;RPS27;RPL35;RPL7A;RPL32;PABPC1;RPL13A;RPLP0;PSMD4;RPL4;RPS15;RPL3;RPL8;RPL18;RPS29;RPL37A;RPL34;FAU;RPS17;RPL10A;RPS28;RPS24;RPS5;PSMD13;ROBO3;RPS11;RPS6;RPL9;RPL31;RPL27A;RPL23;RPS10;RPS7;UBA52;RPL11;HOXA2;RBX1;PSMA4;RPS25;RPL35A;RPL21;ROBO2	Reactome
317	prerank	Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973	-0.9542554922174663	-1.2236781113809327	0.12147887323943662	0.7384660551385657	1.0	5/7	3.90%	NCF2;NCF4;CYBB;NCF1;CYBA	Reactome
318	prerank	Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851	-0.7281504916850967	-1.223636931384962	0.12211981566820276	0.7358279430830506	1.0	47/160	8.09%	CYSLTR2;RAMP1;HCK;FGR;ADCY8;PTGER4;FCGR2A;ADCY7;GNB4;C1QTNF1;NLRP3;CD163;CD247;LYN;GPR84;INSL3;GIPR;SRC;ADM;GGT5;FCGR1A;GNAI2;DPEP2;PTGER2;ADRB2;FYN;IL6;IGLL5;GNGT2;ITPR2;PTGIR;CPAMD8;GNB5;PRKAR1B;HTR7;GPBAR1;GNB3;IL10;GPR27;PTGDR;GPR25;GPR150;ADRB3;GLP1R;LHB;DPEP1;ADCYAP1	Reactome
319	prerank	Coenzyme A Biosynthesis R-HSA-196783	0.931030214305426	1.2223166773273133	0.15454545454545454	1.0	1.0	3/7	5.44%	PANK1;PPCS;PANK3	Reactome
320	prerank	RUNX1 Regulates Transcription Of Genes Involved In BCR Signaling R-HSA-8939245	-0.9502644349690984	-1.2219489206495484	0.13398058252427184	0.7486947603121517	1.0	3/5	4.63%	RUNX1;PAX5;CBFB	Reactome
321	prerank	AKT Phosphorylates Targets In Nucleus R-HSA-198693	0.9039109767675289	1.2219157240049354	0.19222462203023757	1.0	1.0	1/9	0.28%	AKT2	Reactome
322	prerank	FOXO-mediated Transcription Of Oxidative Stress, Metabolic And Neuronal Genes R-HSA-9615017	0.7630951383766141	1.221442442202308	0.19705882352941176	1.0	1.0	1/27	0.02%	PPARGC1A	Reactome
323	prerank	Methionine Salvage Pathway R-HSA-1237112	-0.9549611054566476	-1.2213295479711137	0.1285140562248996	0.7513750064243742	1.0	1/5	0.77%	GOLT1A	Reactome
324	prerank	Degradation Of AXIN R-HSA-4641257	-0.8085327110176027	-1.2210071435948329	0.1532258064516129	0.7513954826325427	1.0	7/53	6.72%	PSMB9;PSMB8;PSMB10;PSME2;PSME1;SMURF2;RNF146	Reactome
325	prerank	SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577	-0.7963682328536837	-1.2208061403637995	0.1529255319148936	0.7502055600354277	1.0	11/58	9.07%	PSMB9;PSMB8;PSMB10;PSME2;PTK6;PSME1;CCND1;CCNA2;CKS1B;PSMD4;CDKN1A	Reactome
326	prerank	Signaling To RAS R-HSA-167044	-0.8755283247437305	-1.220531291020789	0.18838304552590268	0.7497333318285048	1.0	11/18	11.13%	SRC;SHC3;MAPK13;RALGDS;MAPKAPK3;MAPKAPK2;MAPK11;NTRK1;RALB;SHC1;HRAS	Reactome
327	prerank	Dual Incision In TC-NER R-HSA-6782135	0.6763638476045526	1.2202569139545838	0.16942148760330578	1.0	1.0	18/63	11.43%	POLD2;ERCC8;ERCC2;XPA;GTF2H1;SLC19A1;POLR2C;USP7;POLR2G;TCEA1;POLR1B;UBB;GTF2H2;PPIE;CUL4A;ERCC4;RFC5;DDB1	Reactome
328	prerank	Signaling By NOTCH1 R-HSA-1980143	-0.7753939383763833	-1.2199516004744348	0.165374677002584	0.7521571125663197	1.0	17/72	7.72%	MAMLD1;DTX4;HEY2;ARRB2;MYC;NEURL1;DTX1;DTX2;TLE4;MAML2;HDAC9;HIF1A;HDAC7;CNTN1;NEURL1B;HEYL;FBXW7	Reactome
329	prerank	RUNX1 And FOXP3 Control Development Of Regulatory T Lymphocytes (Tregs) R-HSA-8877330	-0.9467861208234093	-1.2197868286233529	0.10463121783876501	0.7507075191942719	1.0	6/9	2.52%	RUNX1;TNFRSF18;IL2RA;CTLA4;FOXP3;CR1	Reactome
330	prerank	TYSND1 Cleaves Peroxisomal Proteins R-HSA-9033500	0.929920566094157	1.219099417363672	0.163135593220339	1.0	1.0	3/6	5.08%	PHYH;HSD17B4;TYSND1	Reactome
331	prerank	Organic Cation Transport R-HSA-549127	-0.9339303506422244	-1.2189975309092278	0.14647377938517178	0.7548044363388637	1.0	2/9	2.91%	RUNX1;SLC22A4	Reactome
332	prerank	Diseases Associated With TLR Signaling Cascade R-HSA-5602358	-0.8448451507090518	-1.2187235885823933	0.17008797653958943	0.7542697285113868	1.0	14/30	6.26%	S100A9;S100A8;NFKB2;LY96;TLR2;TLR10;UNC93B1;TLR6;TLR5;MYD88;TLR1;TICAM1;S100A1;RELA	Reactome
333	prerank	Fertilization R-HSA-1187000	-0.8762734902739368	-1.2181415574919863	0.15022761760242792	0.7568672351281047	1.0	4/24	8.12%	CATSPER1;CATSPERG;HVCN1;CATSPER2	Reactome
334	prerank	CD28 Dependent Vav1 Pathway R-HSA-389359	-0.9372915766734815	-1.2180439933706129	0.12110726643598616	0.7547728284350357	1.0	6/11	5.48%	CD86;LCK;VAV1;CD28;FYN;CD80	Reactome
335	prerank	FLT3 Signaling Thru SRC Family Kinases R-HSA-9706374	-0.9517938226582692	-1.2169520399586093	0.15526802218114602	0.7620282247968405	1.0	3/5	3.69%	HCK;LCK;FYN	Reactome
336	prerank	Regulation Of Gene Expression In Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells R-HSA-210744	-0.9103843671831456	-1.2166967321549687	0.1691542288557214	0.7613760092103935	1.0	3/14	7.08%	MAMLD1;MAML2;HNF1B	Reactome
337	prerank	Activation Of Matrix Metalloproteinases R-HSA-1592389	-0.8424272372935441	-1.2163514194599097	0.16807909604519775	0.7616040431712444	1.0	13/32	5.06%	TIMP1;PRSS2;MMP7;MMP16;CTSK;MMP9;MMP11;TPSAB1;TIMP2;MMP2;SPOCK3;MMP14;MMP13	Reactome
338	prerank	Interleukin-35 Signaling R-HSA-8984722	-0.9234567259056448	-1.2155808011196174	0.1643835616438356	0.7656780417649983	1.0	4/11	3.89%	STAT4;EBI3;STAT1;IL27RA	Reactome
339	prerank	Host Interactions Of HIV Factors R-HSA-162909	-0.7425569607332122	-1.215417639914544	0.12733644859813084	0.7642983449874345	1.0	18/129	5.06%	HCK;PSMB9;LCK;CD4;PSMB8;HMGA1;DOCK2;HLA-A;CD247;APOBEC3G;CD28;CD8B;B2M;PSMB10;FYN;PSME2;PSME1;CDK9	Reactome
340	prerank	Signaling By RNF43 Mutants R-HSA-5340588	0.9230566322180711	1.2152857275314812	0.18859649122807018	1.0	1.0	2/6	2.33%	FZD8;LRP6	Reactome
341	prerank	ATF6 (ATF6-alpha) Activates Chaperones R-HSA-381033	0.9008291007283938	1.2152163863552934	0.18937644341801385	1.0	1.0	6/10	7.20%	HSP90B1;CALR;NFYC;HSPA5;MBTPS1;DDIT3	Reactome
342	prerank	Biosynthesis Of EPA-derived SPMs R-HSA-9018679	-0.9722291388736883	-1.215152949606341	0.07909604519774012	0.7636642071016049	1.0	2/5	0.66%	ALOX5;PTGS2	Reactome
343	prerank	Eicosanoids R-HSA-211979	-0.9051280621973701	-1.214769901381227	0.18632478632478633	0.764030926463755	1.0	4/11	8.73%	TBXAS1;CYP4B1;PTGIS;CYP4F22	Reactome
344	prerank	Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406	0.6832891343410117	1.2147145549450202	0.1607843137254902	1.0	1.0	29/53	7.07%	LDHD;OGDH;NNT;L2HGDH;MPC1;SUCLG1;MDH2;SUCLA2;IDH3B;SDHD;PDHA1;DLAT;DLST;SUCLG2;CS;PDPK1;GSTZ1;PDHX;PDHB;RXRA;SDHB;SDHA;IDH3A;PDPR;PLPP6;PDK2;PDP2;LDHB;HAGH	Reactome
345	prerank	Mismatch Repair (MMR) Directed By MSH2:MSH6 (MutSalpha) R-HSA-5358565	0.8748147380844074	1.2142215977145487	0.21411764705882352	1.0	1.0	4/13	4.34%	POLD2;LRIG1;PMS2;MLH1	Reactome
346	prerank	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	-0.7063898917888066	-1.2139870850173606	0.05046343975283213	0.7684770525458391	1.0	84/421	7.76%	FN1;RAC2;DUSP6;MAMLD1;CD86;STAT1;PSMB9;LCK;VAV1;TGFA;BCL2A1;BIN2;PSMB8;CNKSR2;ERBB3;TGFBR1;HEY2;APBB1IP;LMNA;LYN;TGFB1;PDGFRA;ATIC;CD28;ARRB2;ICOS;AREG;PAPSS1;MYC;RHOG;STAT5A;MSN;ALK;SRC;EREG;CD19;BCL2L1;CSK;PSMB10;TRAT1;PROC;NEURL1;FAM131B;HIP1;FLT3;HBEGF;DUSP8;FYN;FGF20;IQGAP1;TPM4;ESR1;NOX4;SPRED3;PSME2;FGF18;TPM3;PSME1;KL;CD80;MAML2;LMO7;CNTRL;HDAC9;GAB2;DKK2;PIK3AP1;AGTRAP;MAP3K11;FGF9;STAT3;DHH;FGF1;SPRED2;PDGFA;HDAC7;RNF213;CEBPB;CTNNB1;NEURL1B;EGFR;HEYL;FBXW7;PIK3R1	Reactome
347	prerank	Signaling By BRAF And RAF1 Fusions R-HSA-6802952	-0.7889912814816533	-1.2132619718633917	0.17801047120418848	0.7717809487891918	1.0	10/61	3.78%	FN1;CNKSR2;APBB1IP;LMNA;ARRB2;PAPSS1;SRC;CSK;FAM131B;IQGAP1	Reactome
348	prerank	Diseases Associated With Visual Transduction R-HSA-2474795	-0.9271917877665805	-1.2126736796407558	0.11403508771929824	0.7739263348925185	1.0	2/11	1.30%	STRA6;RDH5	Reactome
349	prerank	Ca2+ Activated K+ Channels R-HSA-1296052	-0.961496662751695	-1.2126094685765365	0.09660107334525939	0.771783891990855	1.0	2/7	3.28%	KCNN4;KCNMB1	Reactome
350	prerank	DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586	-0.789550984583157	-1.2124270095110252	0.17754569190600522	0.7705240722264379	1.0	4/58	2.71%	HMGA2;CCNA1;HMGA1;H2AX	Reactome
351	prerank	Ketone Body Metabolism R-HSA-74182	0.9117164774814681	1.212351492590637	0.17555555555555555	1.0	1.0	5/9	6.04%	BDH1;OXCT1;HMGCL;HMGCS2;ACSS3	Reactome
352	prerank	Metal Sequestration By Antimicrobial Proteins R-HSA-6799990	-0.9630060411237711	-1.212293149940222	0.10133843212237094	0.7689214547551863	1.0	2/5	1.03%	S100A9;S100A8	Reactome
353	prerank	Keratan Sulfate Biosynthesis R-HSA-2022854	-0.8651997686248558	-1.2121161611517564	0.16588419405320814	0.7675670824115762	1.0	9/27	4.81%	B3GNT3;LUM;B3GNT7;CHST2;B4GALT5;PRELP;OMD;B4GALT6;CHST1	Reactome
354	prerank	G1/S DNA Damage Checkpoints R-HSA-69615	-0.7839219131097175	-1.2119703107820752	0.16344916344916344	0.7659950001689132	1.0	10/66	5.72%	CCNA1;PSMB9;PSMB8;CDKN2A;PSMB10;CARD16;CHEK2;PSME2;PSME1;CCNA2	Reactome
355	prerank	Synthesis, Secretion, And Inactivation Of Glucagon-like Peptide-1 (GLP-1) R-HSA-381771	-0.8785745489995505	-1.2118502421912047	0.18151815181518152	0.7642480629011821	1.0	2/20	2.10%	DPP4;FFAR4	Reactome
356	prerank	Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530	-0.7604958092251815	-1.2115255540291143	0.14866581956797967	0.7641153279828526	1.0	25/77	6.30%	RAC2;CD86;LCK;VAV1;TGFA;ERBB3;PDGFRA;CD28;ICOS;RHOG;SRC;EREG;CD19;TRAT1;FLT3;HBEGF;FYN;FGF20;ESR1;FGF18;KL;CD80;GAB2;PIK3AP1;FGF9	Reactome
357	prerank	AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408	-0.8002150005783457	-1.2110354685246802	0.1876675603217158	0.765442705558439	1.0	5/53	4.84%	PSMB9;PSMB8;PSMB10;PSME2;PSME1	Reactome
358	prerank	Signaling By NOTCH3 R-HSA-9012852	-0.8067814645481268	-1.2105177279029542	0.1794871794871795	0.7669167749812912	1.0	12/47	7.65%	MAMLD1;STAT1;IKZF1;HEY2;NEURL1;DLGAP5;MAML2;PTCRA;PLXND1;NEURL1B;EGFR;HEYL	Reactome
359	prerank	Diseases Associated With Surfactant Metabolism R-HSA-5687613	-0.9303192001348267	-1.2099013132091596	0.1783783783783784	0.7695776169999773	1.0	6/8	2.54%	SFTPB;SLC34A2;CSF2RA;CSF2RB;SFTPA1;SFTPA2	Reactome
360	prerank	CD22 Mediated BCR Regulation R-HSA-5690714	-0.9613262876720283	-1.2094371601327054	0.12637362637362637	0.7710145494301458	1.0	5/5	3.88%	LYN;CD79A;CD79B;IGLL5;PTPN6	Reactome
361	prerank	Inactivation Of CDC42 And RAC1 R-HSA-428543	-0.9422531431328727	-1.209247127767419	0.1638418079096045	0.7698536473975882	1.0	3/6	4.70%	SLIT2;SRGAP2;ROBO1	Reactome
362	prerank	Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	-0.7865621490181179	-1.2085029345070397	0.16644993498049415	0.7734077977126064	1.0	16/61	7.42%	STING1;DTX4;IFI16;NFKB2;ZBP1;CGAS;TRIM21;IRF3;MYD88;IRF7;STAT6;TICAM1;RELA;NLRC3;POLR3C;CTNNB1	Reactome
363	prerank	Classical Antibody-Mediated Complement Activation R-HSA-173623	-0.9621198923794592	-1.2082403816963416	0.09940357852882704	0.7730690161033088	1.0	5/5	3.80%	C1S;C1QB;C1R;C1QC;IGLL5	Reactome
364	prerank	Synthesis Of 5-Eicosatetraenoic Acids R-HSA-2142688	-0.9335470093493362	-1.2081759520828494	0.16206261510128914	0.7708387747518183	1.0	5/8	6.17%	ALOX5AP;GPX1;PON2;GPX4;LTC4S	Reactome
365	prerank	RHO GTPase Effectors R-HSA-195258	-0.707393837586753	-1.2080886999411888	0.10615711252653928	0.7688312152358976	1.0	77/266	8.74%	RAC2;FMNL1;S100A9;NCF2;NCF4;WAS;NCKAP1L;CYBB;S100A8;BTK;FLNA;SRGAP2;MYH10;NCF1;WIPF1;WASF1;AREG;RHOG;IQGAP3;H2AX;FMNL2;SRC;YWHAH;ARPC2;AURKB;LIMK1;IQGAP1;BUB1;CYBA;SPC24;BAIAP2;RCC2;NDC80;PFN1;CTTN;MYL12B;RTKN;KIF18A;LLGL1;NOXA1;KNL1;MYL9;KNTC1;PRKCB;NUF2;CENPF;BIRC5;REXO2;KIF14;RANGAP1;PLK1;MAD1L1;RHOC;RPS27;SGO1;YWHAZ;CENPE;ARPC5;CTNNB1;ERCC6L;MAPK11;ACTG1;ACTR3;DYNC1I2;CDCA8;ZWILCH;CENPM;CENPA;ARPC3;CENPK;DYNC1LI1;NDEL1;NOX1;BUB1B;CENPH;CYFIP2;SPC25	Reactome
366	prerank	Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219	-0.7829072896076475	-1.2079809730400124	0.19790301441677588	0.7670401162069092	1.0	10/62	5.90%	SLPI;ST6GALNAC5;FUOM;ST8SIA4;ST3GAL5;GFUS;ST6GALNAC4;ST6GALNAC1;RENBP;SLC17A5	Reactome
367	prerank	Death Receptor Signaling R-HSA-73887	-0.729800686785374	-1.207942835010844	0.1415204678362573	0.7647453961765555	1.0	33/138	7.51%	NGEF;BIRC3;CLIP3;NGFR;TIAM1;VAV1;ARHGEF38;TNFRSF1A;TNFRSF10A;TRAF1;PLEKHG2;CASP8;RIPK2;PLEKHG5;FASLG;ABR;MYD88;CFLAR;ARHGEF1;TNFAIP3;CASP10;TNFRSF10B;ARHGEF2;TNF;USP4;TANK;ARHGEF18;RELA;CASP3;MAG;TNFRSF10D;ARHGEF6;AKAP13	Reactome
368	prerank	Mismatch Repair R-HSA-5358508	0.8573252429422576	1.2077636623387014	0.2564705882352941	1.0	1.0	4/14	4.34%	POLD2;LRIG1;PMS2;MLH1	Reactome
369	prerank	Neurotoxicity Of Clostridium Toxins R-HSA-168799	-0.9276995639453377	-1.207762128109053	0.1776937618147448	0.7636072384229449	1.0	3/9	5.13%	SYT1;STX1B;SV2A	Reactome
370	prerank	Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710	0.8408803937504946	1.2075259260988842	0.22685185185185186	1.0	1.0	8/16	10.46%	PIGN;PIGO;PIGV;PIGX;PIGH;PIGP;PIGZ;PIGQ	Reactome
371	prerank	Erythrocytes Take Up Oxygen And Release Carbon Dioxide R-HSA-1247673	0.9321565577532471	1.207052651628	0.14123006833712984	1.0	1.0	3/6	6.63%	CA4;CA2;SLC4A1	Reactome
372	prerank	APOBEC3G Mediated Resistance To HIV-1 R-HSA-180689	-0.956389821716055	-1.2068112869867453	0.14931237721021612	0.7686731725712236	1.0	1/5	1.17%	HMGA1	Reactome
373	prerank	Incretin Synthesis, Secretion, And Inactivation R-HSA-400508	-0.863551356896363	-1.206796040419032	0.19642857142857142	0.7661545685750079	1.0	2/23	2.10%	DPP4;FFAR4	Reactome
374	prerank	Hydrolysis Of LPC R-HSA-1483115	-0.9285904328497198	-1.2067839484773624	0.17122040072859745	0.7636340803330083	1.0	2/8	3.30%	PLA2G4A;PLBD1	Reactome
375	prerank	Crosslinking Of Collagen Fibrils R-HSA-2243919	-0.922274139148784	-1.2066951256722938	0.16423357664233576	0.7617410256229072	1.0	4/9	3.32%	LOXL1;PCOLCE;LOX;LOXL3	Reactome
376	prerank	NOTCH2 Intracellular Domain Regulates Transcription R-HSA-2197563	-0.9332880185513757	-1.2065848642175414	0.1438474870017331	0.7600622995920245	1.0	5/10	5.67%	MAMLD1;GZMB;FCER2;NOTCH2;MAML2	Reactome
377	prerank	Processive Synthesis On Lagging Strand R-HSA-69183	0.8604677929364047	1.2065454174533476	0.23809523809523808	1.0	1.0	2/14	1.35%	POLD2;LRIG1	Reactome
378	prerank	PECAM1 Interactions R-HSA-210990	-0.9368339029547967	-1.2064353711522229	0.14586994727592267	0.7588154308640676	1.0	5/11	3.88%	LCK;INPP5D;LYN;SRC;PTPN6	Reactome
379	prerank	Interleukin-15 Signaling R-HSA-8983432	-0.9185846693611962	-1.206424648240454	0.16901408450704225	0.7563537976581455	1.0	5/13	3.17%	JAK3;IL2RG;IL2RB;STAT5A;IL15RA	Reactome
