candidate_id	exact_peptide_train_overlap	exact_peptide_hla_train_overlap	near_peptide_train_overlap	source_protein_window_train_overlap	study_train_overlap	patient_train_overlap	public_tool_training_overlap_any	public_tool_training_overlap_detail	leakage_risk_level
CNV0_00288	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00289	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00290	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00291	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00292	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00293	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00294	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00295	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00296	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00297	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00298	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00299	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00300	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00301	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00302	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00303	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00304	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00305	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00306	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00307	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00308	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00309	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00310	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00311	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00312	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00313	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00314	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00315	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00316	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00317	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00318	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00319	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00320	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00321	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00322	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00323	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00324	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00325	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00326	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00327	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00328	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00329	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00330	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00331	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00332	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00333	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00334	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00335	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00336	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00337	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00338	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00339	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00340	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00341	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00342	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00343	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00344	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00345	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00346	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00347	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00348	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00349	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00350	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00351	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00352	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00353	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00354	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00355	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00356	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00357	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
CNV0_00358	True	True	True	False	True	False	False	no_inhouse_master_overlap	high
