target	mode	n	pooled_rho	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class
null_random_matched_157	raw_smoothed	15489	0.645822079951206	0.5690552297443436	0.0	0.487320712359721	4	random_matched
null_random_matched_158	raw_smoothed	15489	0.5636726362674455	0.48062420397241024	0.0	0.383426121887213	3	random_matched
null_random_matched_159	raw_smoothed	15489	0.6304161708813593	0.5682499155085794	0.0	0.4576789809489027	4	random_matched
null_random_matched_160	raw_smoothed	15489	0.600560959261887	0.5707364854927738	0.0	0.5017497696536857	4	random_matched
null_random_matched_161	raw_smoothed	15489	0.42452260982260065	0.45174183535643964	0.0	0.3041658507778566	3	random_matched
null_random_matched_162	raw_smoothed	15489	0.6460550028267168	0.5959784961603863	0.0	0.5446663649457983	4	random_matched
null_random_matched_163	raw_smoothed	15489	0.6562650257426652	0.5898181021964116	0.0	0.4527104549047283	4	random_matched
null_random_matched_164	raw_smoothed	15489	0.6183165732734119	0.592420634400436	0.0	0.4456088073816522	4	random_matched
null_random_matched_165	raw_smoothed	15489	0.652176531385595	0.6155768412491348	0.0	0.5395911898431152	4	random_matched
null_random_matched_166	raw_smoothed	15489	0.4351194125568271	0.5351943356543926	0.0	0.4330865532898106	3	random_matched
null_random_matched_167	raw_smoothed	15489	0.5697593598074927	0.5807996929500597	0.0	0.49448475891883736	4	random_matched
null_random_matched_168	raw_smoothed	15489	0.6182327573274812	0.653876492967283	0.0	0.5734231874367444	4	random_matched
null_random_matched_169	raw_smoothed	15489	0.6128459845235608	0.6025636294334363	0.0	0.41927216967099096	4	random_matched
null_random_matched_170	raw_smoothed	15489	0.6166804824439559	0.5840042847331501	0.0	0.5147255989878723	4	random_matched
null_random_matched_171	raw_smoothed	15489	0.4820036776559678	0.48049535577509045	0.0	0.40285761332402364	3	random_matched
null_random_matched_172	raw_smoothed	15489	0.6480582718031692	0.631986229817491	0.0	0.540089935264525	4	random_matched
null_random_matched_173	raw_smoothed	15489	0.46894707785053247	0.4714351733933012	0.0	0.38570479249993916	3	random_matched
null_random_matched_174	raw_smoothed	15489	0.4881777756674362	0.5284121981894462	0.0	0.40131725791495737	4	random_matched
null_random_matched_175	raw_smoothed	15489	0.5651700102094065	0.5121346907075284	0.0	0.4423436681084386	4	random_matched
null_random_matched_176	raw_smoothed	15489	0.6077533144099179	0.5418563029919742	0.0	0.48183413842299483	4	random_matched
null_random_matched_177	raw_smoothed	15489	0.6424969562488528	0.6084667492724042	0.0	0.5202736468566266	4	random_matched
null_random_matched_178	raw_smoothed	15489	0.5967298527107876	0.5587180755504366	0.0	0.5302851554934536	4	random_matched
null_random_matched_179	raw_smoothed	15489	0.5240236795909574	0.5503588325307863	0.0	0.4425199376490083	4	random_matched
null_random_matched_180	raw_smoothed	15489	0.5238413822527912	0.5185253143033572	0.0	0.3516396026979104	3	random_matched
null_random_matched_181	raw_smoothed	15489	0.5357301187037449	0.5392548462884509	0.0	0.4214391735981269	4	random_matched
null_random_matched_182	raw_smoothed	15489	0.5667649652583402	0.5348243330102906	0.0	0.40764775778130874	3	random_matched
null_random_matched_183	raw_smoothed	15489	0.5445730498028124	0.5223874971985922	0.0	0.46137005971694994	4	random_matched
null_random_matched_184	raw_smoothed	15489	0.6224394703620506	0.5831337394232027	0.0	0.4455957475113297	4	random_matched
null_random_matched_185	raw_smoothed	15489	0.5879029800807838	0.6020786997171255	0.0	0.5256283512719453	4	random_matched
null_random_matched_186	raw_smoothed	15489	0.5560503532331279	0.5358506467606237	0.0	0.4000950967935253	4	random_matched
null_random_matched_187	raw_smoothed	15489	0.35226615978854103	0.3840314538977758	0.0	0.33381240699548786	3	random_matched
null_random_matched_188	raw_smoothed	15489	0.5597205210663292	0.567840758031875	0.0	0.44971600841771775	4	random_matched
null_random_matched_189	raw_smoothed	15489	0.44775718146117477	0.5553877052909796	0.0	0.3929195067385307	3	random_matched
null_random_matched_190	raw_smoothed	15489	0.5735614103001437	0.5933939581239557	0.0	0.45677948053412476	4	random_matched
null_random_matched_191	raw_smoothed	15489	0.6704311317019235	0.550091535614085	0.0	0.4734508242087453	4	random_matched
null_random_matched_192	raw_smoothed	15489	0.6202153314688377	0.558346645738514	0.0	0.485987544310424	4	random_matched
null_random_matched_193	raw_smoothed	15489	0.5198164288725468	0.5158201903434257	0.0	0.4062410297546588	4	random_matched
null_random_matched_194	raw_smoothed	15489	0.6038414871626827	0.6048852786924358	0.0	0.468498342718093	4	random_matched
null_random_matched_195	raw_smoothed	15489	0.5751613303769492	0.5676446847040931	0.0	0.46592905675277757	4	random_matched
null_random_matched_196	raw_smoothed	15489	0.5327824742460868	0.5128640476219868	0.0	0.37235283065732594	3	random_matched
