cluster_1,,B cell,B cell,B cell,B cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell
IL6,NOTCH3,,,,,,0.348,0.264,0.908,,0.302,0.252,0.898,,,,
IL1B,PTGS2,,,,,,,,,,,,,,,,
IFNG,TPO,,,,,,,,,,,,,,,,
IGF1,HMOX1,,,,,,,,,,,,,,,,
SAA1,MMP9,,,,,,0.0,0.0,0.294,,1.0,0.826,1.0,,1.0,0.996,1.0
CXCL11,CCR7,,,,,,0.004,0.0,,,0.994,0.59,,,1.0,0.894,
CCL4,CXCR6,,,,,,0.168,0.064,0.942,,0.528,0.256,0.84,,0.964,0.744,0.99
CCL2,CXCR6,,,,,,0.6,0.068,0.954,,0.072,0.034,0.47,,0.964,0.61,0.994
COMP,ITGA6,,,,,,,,,,,,,,,,
CXCL3,CXCR6,,,,,,0.262,0.066,0.946,,0.508,0.106,0.932,,,,
CCL20,CXCR6,,,,,,0.608,0.066,0.952,,0.248,0.062,0.924,,,,
CCL18,CCR6,,,,,,,,,,,,,,,,
IFNG,KLRD1,,,,,,0.486,0.132,,,0.094,0.064,,,0.31,0.14,
FLT4,FLT1,,,,,,0.16,0.692,0.582,,0.494,0.718,0.614,,,,
CCL3,CXCR6,,,,,,0.982,0.07,0.968,,0.09,0.028,0.452,,0.004,0.004,0.084
CXCL2,CCR6,,,,,,,,,,,,,,,,
CSF2,CEACAM5,,,,,,,,,,,,,,,,
FGF7,SFTPA1,,,,,,,,,,,,,,,,
VEGFA,PDGFRB,,,,,,0.0,0.672,,,,,,,0.582,0.756,
CCL1,CCR4,,,,,,,,,,,,,,,,
IL1B,MMP9,,,,,,1.0,0.0,0.536,,1.0,0.0,1.0,,0.996,0.0,0.964
CCL3L1,CCR6,,,,,,,,,,,,,,,,
CCL14,CCR6,,,,,,,,,,,,,,,,
CCL2,VEGFA,,,,,,0.114,,0.616,,0.072,,0.174,,0.96,,0.95
XCL1,CXCR6,,,,,,0.5,0.066,0.952,,,,,,,,
XCL2,CCR4,,,,,,,,0.0,,,,0.0,,,,
IL17A,TNF,,,,,,,,,,,,,,,,
CCL18,CXCR6,,,,,,0.72,0.068,0.956,,0.028,0.014,0.298,,0.976,0.608,0.992
TPSAB1,MMP2,,,,,,,,,,0.084,0.008,,,,,
CCL13,CCR7,,,,,,0.998,0.0,,,0.286,0.0,,,0.534,0.002,
IFNG,LOX,,,,,,0.668,0.706,,,0.094,0.206,,,0.312,0.52,
IL17A,MMP9,,,,,,,,,,,,,,,,
CXCL10,CXCR6,,0.004,0.0,0.014,,0.0,0.042,0.896,,0.984,0.866,0.994,,1.0,1.0,1.0
CCL20,CCR4,,,,,,,,0.0,,,,0.0,,,,
CCL7,CXCR6,,,,,,0.614,0.066,0.952,,0.226,0.06,0.938,,,,
CD40LG,VEGFA,,,,,,,,,,0.044,,0.54,,,,
CSF3,BIRC3,,,,,,0.732,0.0,,,0.982,0.026,,,0.786,0.004,
XCL2,CXCR6,,,,,,0.538,0.066,0.952,,0.284,0.07,0.906,,,,
IL20,PTGS2,,,,,,,,,,,,,,,,
IL6,MMP9,,,,,,1.0,0.0,0.59,,0.794,0.0,0.556,,,,
CCL8,CXCR6,,,,,,0.006,0.064,0.936,,0.962,0.52,0.996,,,,
CCL21,CCR4,,,,,,,,0.0,,,,0.0,,,,0.002
IL12B,CXCL9,,,,,,,,,,0.0,0.0,1.0,,,,
NPPA,TNF,,,,,,,,,,,,,,,,
IL1B,MMP3,,,,,,0.0,0.99,,,1.0,1.0,,,0.98,0.996,
CCL7,CCR4,,,,,,,,0.0,,,,0.0,,,,
CCL14,CCR7,,,,,,,,,,0.156,0.0,,,,,
PPBP,CCR6,,,,,,,,,,,,,,,,
TNF,CXCL10,,,,,0.004,0.0,0.984,1.0,0.002,0.138,0.984,1.0,,,,
IL6,HMOX1,,,,,,0.98,0.002,0.464,,0.376,0.004,0.434,,,,
CCL22,CCR6,,,,,,,,,,,,,,,,
CCL2,F3,,,,,0.004,0.004,1.0,0.998,0.0,0.066,0.922,0.858,0.004,0.956,1.0,0.998
MDK,VEGFA,,,,,,0.0,,0.422,,1.0,,1.0,,1.0,,1.0
IL2,FCER2,,,,,,,,,,,,,,,,
LEP,FLT1,,,,,,,,,,0.01,0.466,0.412,,,,
CXCL14,CCR6,,,,,,,,,,,,,,,,
