lr_pair,PT_n,PT_recurrence,PTC_n,PTC_recurrence,LPTC_n,LPTC_recurrence,ATC_n,ATC_recurrence
IL1B__MMP3,3,0.0,4,0.0,4,0.75,4,0.5
IL1B__MMP9,3,0.0,4,0.5,4,0.75,4,0.5
IL1B__PLAUR,3,0.0,4,0.5,4,1.0,4,0.25
IL1B__PTGDS,3,0.0,4,0.5,4,1.0,4,0.5
IL1B__PTGS2,3,0.0,4,0.5,4,0.75,4,0.25
IL1B__VEGFA,3,0.0,4,0.5,4,1.0,4,0.75
IL1RN__IL1B,3,0.0,4,0.5,4,1.0,4,0.5
IL1RN__IL1R2,3,0.0,4,0.5,4,1.0,4,0.25
IL1RN__IL2RA,3,0.0,4,1.0,4,1.0,4,0.75
IL2__C3,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__CES1,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__CXCL12,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__DLK1,3,0.0,4,0.0,4,0.0,4,0.0
IL2__FCER2,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__GZMB,3,0.0,4,0.0,4,0.0,4,0.0
IL2__HSP90AA1,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__IDO1,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__IL2,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__IL2RA,3,0.0,4,0.0,4,0.0,4,0.0
IL2__PRF1,3,0.0,4,0.0,4,0.0,4,0.0
IL2__TNFRSF18,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__TNFRSF4,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL2__TNFRSF9,3,0.3333333333333333,4,0.0,4,0.0,4,0.0
IL20__IL20RA,3,0.0,4,0.0,4,0.0,4,0.0
IL20__PTGS2,3,0.0,4,0.0,4,0.0,4,0.0
IL22__IL20RA,3,0.0,4,0.0,4,0.0,4,0.0
IL22__IL22,3,0.0,4,0.0,4,0.0,4,0.0
IL22__IL22RA2,3,0.0,4,0.0,4,0.0,4,0.0
IL22__MMP1,3,0.0,4,0.0,4,0.0,4,0.0
IL24__IL20RA,3,0.0,4,0.0,4,0.0,4,0.0
IL6__CCR7,3,0.3333333333333333,4,1.0,4,0.75,4,0.75
IL6__CSF1,3,0.3333333333333333,4,1.0,4,0.75,4,0.5
IL6__CXCL12,3,0.3333333333333333,4,1.0,4,0.75,4,0.75
IL6__DCN,3,0.3333333333333333,4,1.0,4,0.75,4,1.0
IL6__F3,3,0.3333333333333333,4,1.0,4,0.75,4,1.0
IL6__GZMB,3,0.0,4,1.0,4,0.75,4,1.0
IL6__HMOX1,3,0.3333333333333333,4,1.0,4,0.75,4,0.75
IL6__IL13RA2,3,0.0,4,0.25,4,0.5,4,1.0
IL6__IL17A,3,0.0,4,0.0,4,0.0,4,0.0
IL6__IL6,3,0.3333333333333333,4,1.0,4,0.75,4,0.5
IL6__INSR,3,0.3333333333333333,4,1.0,4,0.75,4,0.5
IL6__KDR,3,0.3333333333333333,4,1.0,4,0.75,4,0.5
IL6__LIFR,3,0.3333333333333333,4,1.0,4,0.75,4,0.25
IL6__MMP9,3,0.3333333333333333,4,1.0,4,0.75,4,0.75
IL6__NOTCH3,3,0.3333333333333333,4,1.0,4,0.75,4,0.5
IL6__PTGS2,3,0.0,4,1.0,4,0.75,4,0.5
IL6__TSHR,3,0.3333333333333333,4,1.0,4,0.75,4,0.5
IL6__VEGFA,3,0.3333333333333333,4,1.0,4,0.75,4,1.0
JAG1__NOTCH3,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
JAG1__NOTCH4,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
KDR__CDH5,3,1.0,4,1.0,4,1.0,4,0.25
KDR__FLT1,3,1.0,4,1.0,4,1.0,4,0.5
KDR__FLT4,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
KDR__HSP90AA1,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
KDR__PLCG2,3,1.0,4,0.75,4,1.0,4,0.75
KDR__VEGFA,3,1.0,4,1.0,4,1.0,4,1.0
LAIR2__FGFR4,3,0.0,4,0.0,4,0.0,4,0.0
LAMA3__ITGA6,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
LAMA3__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
LAMA4__ITGA6,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
LAMA4__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
LEP__F3,3,0.0,4,0.25,4,0.25,4,0.25
LEP__FLT1,3,0.0,4,0.25,4,0.25,4,0.25
LEP__KDR,3,0.0,4,0.25,4,0.25,4,0.25
LEP__MPL,3,0.0,4,0.0,4,0.0,4,0.0
LY6H__CD36,3,0.0,4,0.5,4,0.5,4,0.5
MDK__ITGA6,3,0.0,4,1.0,4,1.0,4,1.0
MDK__LRP1,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
MDK__PTPRB,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
MDK__TSPAN1,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
MDK__VEGFA,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
MMP9__LRP1,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
MMRN2__CD93,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
MMRN2__CLEC14A,3,1.0,4,1.0,4,1.0,4,0.5
NMU__NMUR2,3,0.0,4,0.75,4,0.0,4,0.0
NPPA__MME,3,0.0,4,0.0,4,0.0,4,0.0
NPPA__TNF,3,0.0,4,0.0,4,0.0,4,0.0
NR0B2__TNF,3,0.0,4,0.0,4,0.0,4,0.0
NTS__GRIA1,3,0.0,4,0.0,4,0.0,4,0.0
OLR1__MMP3,3,0.0,4,0.0,4,0.75,4,0.5
OSM__ADAMTS4,3,0.0,4,0.5,4,0.75,4,0.5
OSM__CXCL10,3,0.0,4,0.25,4,0.75,4,0.5
OSM__F3,3,0.0,4,0.5,4,0.75,4,0.75
OSM__IL13RA2,3,0.0,4,0.25,4,0.5,4,0.75
OSM__LDLR,3,0.0,4,0.5,4,0.75,4,0.5
OSM__LIFR,3,0.0,4,0.25,4,0.75,4,0.5
OSM__PLAT,3,0.0,4,0.5,4,0.75,4,0.5
OSM__PTGS2,3,0.0,4,0.5,4,0.75,4,0.75
PCSK9__CD36,3,0.0,4,0.0,4,0.5,4,0.0
PCSK9__LDLR,3,0.0,4,0.0,4,0.5,4,0.0
PCSK9__LRP1,3,0.0,4,0.0,4,0.5,4,0.0
PI3__TNF,3,0.3333333333333333,4,0.0,4,0.0,4,0.25
PLAUR__PLAU,3,1.0,4,1.0,4,1.0,4,0.75
PPBP__ACKR1,3,0.0,4,0.0,4,0.75,4,0.25
PPBP__CCR4,3,0.0,4,0.0,4,0.0,4,0.0
PPBP__CCR6,3,0.0,4,0.0,4,0.75,4,0.25
PPBP__CCR7,3,0.0,4,0.0,4,0.75,4,0.0
PPBP__CXCR6,3,0.0,4,0.0,4,0.75,4,0.25
PRSS1__F2RL3,3,0.0,4,0.75,4,0.5,4,0.0
PRSS1__PRSS2,3,0.0,4,0.75,4,0.75,4,0.0
PRSS2__F2RL3,3,0.0,4,1.0,4,1.0,4,0.0
PRSS3__F2RL3,3,0.0,4,0.25,4,0.75,4,0.25
PTH2__RAMP2,3,0.0,4,0.0,4,0.0,4,0.0
PTH2__RAMP3,3,0.0,4,0.0,4,0.0,4,0.0
PTH2__TSHR,3,0.0,4,0.0,4,0.0,4,0.0
PTN__PTPRB,3,1.0,4,1.0,4,1.0,4,0.25
RELN__ITGA6,3,0.3333333333333333,4,0.0,4,0.5,4,0.25
RELN__ITGB6,3,0.6666666666666666,4,0.0,4,0.5,4,0.25
RSPO3__LGR5,3,0.0,4,0.0,4,1.0,4,0.0
S100A1__RYR2,3,1.0,4,0.25,4,0.0,4,0.0
S100A12__CD36,3,0.0,4,0.25,4,0.25,4,0.0
S100A8__CD36,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
S100A8__CD68,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
S100A8__MDM2,3,0.3333333333333333,4,1.0,4,0.75,4,1.0
S100A8__MMP1,3,0.0,4,0.5,4,0.75,4,1.0
S100A9__CD36,3,1.0,4,1.0,4,1.0,4,0.75
S100A9__CD68,3,1.0,4,1.0,4,1.0,4,1.0
S100A9__MMP1,3,0.0,4,0.5,4,0.75,4,1.0
S100B__BIRC3,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
S100B__TNF,3,0.3333333333333333,4,0.5,4,0.5,4,0.0
SAA1__CD36,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
SAA1__F3,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
SAA1__FPR2,3,0.0,4,0.0,4,0.25,4,0.75
SAA1__HMOX1,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
SAA1__MMP9,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
SAA1__PTGS2,3,0.3333333333333333,4,1.0,4,0.75,4,0.5
SCGB3A1__MARCO,3,0.0,4,1.0,4,1.0,4,0.0
SCGB3A1__NOTCH3,3,0.3333333333333333,4,1.0,4,1.0,4,0.25
SCT__RAMP2,3,0.3333333333333333,4,0.75,4,0.75,4,0.5
SCT__RAMP3,3,0.0,4,0.75,4,0.75,4,0.5
SCT__TSHR,3,0.6666666666666666,4,0.75,4,0.75,4,0.25
SEMA3G__FCGR2A,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
SFTPA1__SFTPA2,3,0.0,4,0.0,4,0.25,4,0.25
SHH__GAS1,3,0.0,4,0.0,4,0.25,4,0.0
SHH__MDM2,3,0.0,4,0.0,4,0.25,4,0.0
SHH__PTCH1,3,0.0,4,0.0,4,0.25,4,0.0
SLC1A2__GRIA1,3,0.0,4,0.0,4,0.0,4,0.0
SLC1A6__GRIA1,3,0.0,4,0.0,4,0.0,4,0.0
SPARC__MMP14,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
SPP1__ITGA6,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
SPP1__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
SPP1__PLAU,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
SST__F3,3,0.0,4,0.0,4,0.0,4,0.0
SST__SSTR1,3,0.0,4,0.0,4,0.0,4,0.0
SST__SSTR2,3,0.0,4,0.0,4,0.0,4,0.0
STC1__TNF,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TFF1__MUC5AC,3,0.0,4,0.0,4,0.0,4,0.0
TFF2__MUC6,3,0.0,4,0.0,4,0.0,4,0.0
TG__TPO,3,1.0,4,1.0,4,0.75,4,0.25
THBS1__CD36,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
THBS1__ELANE,3,0.0,4,0.0,4,1.0,4,0.0
THBS1__GP9,3,0.0,4,0.0,4,0.0,4,0.0
THBS1__ITGA6,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
THBS1__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
THBS1__LRP1,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
THBS1__MMP2,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
THBS1__MMP9,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
THBS1__VCAM1,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
THBS2__CD36,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
THBS2__ITGA6,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
THBS2__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
THBS2__NOTCH3,3,0.0,4,1.0,4,1.0,4,0.75
THBS2__NOTCH4,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
THBS4__CD36,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
THBS4__ITGA6,3,0.3333333333333333,4,1.0,4,1.0,4,0.5
THBS4__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.25
TNF__CDH11,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TNF__CDH5,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TNF__CDK6,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TNF__CHI3L1,3,0.3333333333333333,4,0.5,4,0.5,4,0.5
TNF__CXCL10,3,0.0,4,0.5,4,0.5,4,0.5
TNF__F3,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TNF__FLT4,3,0.3333333333333333,4,0.5,4,0.5,4,0.0
TNF__GRIA1,3,0.0,4,0.0,4,0.0,4,0.0
TNF__HMOX1,3,0.3333333333333333,4,0.5,4,0.5,4,0.5
TNF__ICOS,3,0.0,4,0.5,4,0.5,4,0.5
TNF__INSR,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TNF__MMP13,3,0.0,4,0.0,4,0.25,4,0.0
TNF__MMP9,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TNF__MUC5AC,3,0.0,4,0.0,4,0.0,4,0.0
TNF__PIGR,3,0.0,4,0.5,4,0.25,4,0.0
TNF__PLAU,3,0.3333333333333333,4,0.5,4,0.5,4,0.25
TNF__PTGS2,3,0.3333333333333333,4,0.5,4,0.5,4,0.0
TNF__VCAM1,3,0.3333333333333333,4,0.5,4,0.5,4,0.5
TNFSF14__TNFRSF6B,3,0.0,4,0.75,4,0.75,4,0.75
TNFSF9__FCRL1,3,0.0,4,0.25,4,0.25,4,0.0
TNFSF9__TNFRSF9,3,0.0,4,0.25,4,0.75,4,0.5
TPO__MPL,3,0.0,4,0.0,4,0.0,4,0.0
TPSAB1__MMP2,3,0.0,4,0.75,4,1.0,4,0.75
TSPAN1__ITGA6,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
VCAM1__CDH5,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
VCAM1__VCAM1,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
VCAN__LDLR,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
VEGFA__CDH5,3,1.0,4,1.0,4,1.0,4,1.0
VEGFA__CSF1,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
VEGFA__FLT1,3,1.0,4,1.0,4,1.0,4,1.0
VEGFA__FLT4,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
VEGFA__KDR,3,1.0,4,1.0,4,1.0,4,1.0
VEGFA__MDM2,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
VEGFA__MMP9,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
VEGFA__PDGFRA,3,1.0,4,1.0,4,1.0,4,1.0
VEGFA__PDGFRB,3,0.3333333333333333,4,1.0,4,1.0,4,1.0
VEGFA__VCAM1,3,0.6666666666666666,4,1.0,4,1.0,4,1.0
VEGFD__FLT1,3,0.0,4,0.0,4,0.25,4,0.25
VEGFD__FLT4,3,0.0,4,0.0,4,0.25,4,0.25
VEGFD__KDR,3,0.0,4,0.0,4,0.25,4,0.25
VEGFD__PDGFRA,3,0.0,4,0.0,4,0.25,4,0.25
VEGFD__PDGFRB,3,0.0,4,0.0,4,0.25,4,0.25
VWF__GP9,3,0.0,4,0.0,4,0.0,4,0.0
VWF__ITGA6,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
VWF__ITGB6,3,0.6666666666666666,4,1.0,4,1.0,4,0.5
VWF__LRP1,3,0.6666666666666666,4,1.0,4,1.0,4,0.75
VWF__SCARA5,3,0.6666666666666666,4,0.75,4,0.75,4,0.25
VWF__THBS1,3,0.3333333333333333,4,1.0,4,1.0,4,0.75
XCL1__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
XCL1__CCR6,3,0.0,4,0.75,4,0.5,4,0.5
XCL1__CCR7,3,0.0,4,0.75,4,0.5,4,0.75
XCL1__CXCR6,3,0.3333333333333333,4,0.75,4,0.5,4,0.75
XCL2__CCR4,3,0.0,4,0.0,4,0.0,4,0.25
XCL2__CCR6,3,0.0,4,0.75,4,0.75,4,0.25
XCL2__CCR7,3,0.0,4,0.75,4,0.75,4,0.5
XCL2__CXCR6,3,0.3333333333333333,4,0.75,4,0.75,4,0.5
