cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
S100A8,CD68,0.06,0.0,0.968,0.0,,0.058,0.0,1.0,0.0,,0.024,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
PTH2,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,FLT4,,,,,,,,,,,,,,,,0.046,0.01,0.002,,,,,,,
THBS2,NOTCH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.926,1.0,0.934,0.174,0.014,0.004,0.004,0.016,0.006,0.0,0.0,0.0,0.0,0.0
SCGB3A1,NOTCH3,0.83,0.004,0.264,0.516,0.058,0.966,0.0,0.686,0.586,0.066,0.96,0.002,0.978,0.574,0.064,,,,,,,,,,
CXCL8,KDR,,,,,,,,,,,0.956,0.946,0.008,,,0.058,0.042,0.024,,,,,,,
CXCL9,FCGR2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.0,0.038,0.0,0.0,1.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,,,,,
VEGFD,FLT1,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,ICOS,,,,,,,,,,,,,,,,,,,0.0,,,,,,
IL6,F3,,,,,,1.0,0.896,0.0,,,,,,,,,,,,,,,,,
CXCL12,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL3,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTN,PTPRB,0.622,0.678,0.072,,,0.224,0.166,0.0,,,0.982,1.0,0.942,,,0.066,0.066,0.024,,,0.0,0.0,0.0,,
CCL8,ACKR1,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,
EDN1,ADGRL4,0.62,0.0,0.036,,,,,,,,,,,,,,,,,,,,,,
