depmap_id	cell_line	v14_prediction	mutation_label	compound	broad_id	dose_uM	moa	phase	logfold_change
ACH-000456	B-CPAP	BRAF_like	BRAF	ezetimibe	BRD-K42260897-001-09-2	2.5	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	0.130706044419
ACH-000456	B-CPAP	BRAF_like	BRAF	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	0.294014835671
ACH-000456	B-CPAP	BRAF_like	BRAF	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	-0.20788782386
ACH-000456	B-CPAP	BRAF_like	BRAF	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	-0.0689558962503
ACH-000456	B-CPAP	BRAF_like	BRAF	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	-0.628654512492
ACH-000456	B-CPAP	BRAF_like	BRAF	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	-0.012533221952
ACH-000456	B-CPAP	BRAF_like	BRAF	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	0.147370146042
ACH-000456	B-CPAP	BRAF_like	BRAF	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	-0.0868029218999
ACH-000456	B-CPAP	BRAF_like	BRAF	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.277584631946
ACH-000456	B-CPAP	BRAF_like	BRAF	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	0.00488223810554
ACH-000456	B-CPAP	BRAF_like	BRAF	topotecan	BRD-K55696337-003-24-4	2.50001813	topoisomerase inhibitor	Launched	-3.82149547156
ACH-000456	B-CPAP	BRAF_like	BRAF	gabexate	BRD-K59256312-066-15-7	2.431061328	serine protease inhibitor	Launched	-0.573339883718
ACH-000456	B-CPAP	BRAF_like	BRAF	resveratrol	BRD-K80738081-001-46-8	2.500037854	cytochrome P450 inhibitor, SIRT activator	Launched	-0.390784661951
