gene	beta_subtype	pvalue_OLS	pvalue_LMM	fdr_OLS	fdr_LMM	status
PHB	0.0712269	0.00356701	0.0448825	0.00875011	0.068595	lost_with_LMM
PHB2	-0.00755369	0.023571	0.820349	0.0394873	0.855642	lost_with_LMM
PHC1	-0.0335867	0.85464	0.607475	0.8795	0.670708	nonsig_both
PHC2	0.097135	0.00297088	0.0060942	0.00747186	0.0109168	same
PHC3	0.0229613	0.0169212	0.675626	0.0308545	0.731132	lost_with_LMM
PHEX	-1.01694	9.86417e-05	1.94107e-05	0.000358391	5.00028e-05	same
PHF1	-0.123559	0.123751	0.00195723	0.164487	0.00381604	gained_with_LMM
PHF10	0.183444	0.000275949	5.58144e-05	0.000906667	0.000134816	same
PHF11	-0.352623	0.0179392	2.68086e-15	0.0321501	1.77561e-14	same
PHF14	0.035042	0.0102878	0.339752	0.0213377	0.41305	lost_with_LMM
PHF2	-0.0180672	0.0333864	0.730747	0.0530181	0.779685	nonsig_both
PHF20	0.154934	0.000263008	9.15378e-05	0.00086829	0.000214897	same
PHF20L1	-0.652677	0.00300205	1.15753e-29	0.00754053	2.24416e-28	same
PHF21A	-0.095735	0.166451	0.0208523	0.213651	0.0341177	gained_with_LMM
PHF3	0.158594	0.00152034	0.00677407	0.00413933	0.0120426	same
PHF7	-0.0600814	0.0808851	0.138003	0.113951	0.187734	nonsig_both
PHF8	0.15157	0.000941963	0.00698274	0.0027249	0.0123872	same
PHGDH	-0.617061	0.0481473	4.50753e-07	0.0727614	1.39417e-06	gained_with_LMM
PHIP	0.26638	8.75987e-06	1.77794e-07	3.90773e-05	5.76244e-07	same
PHKA1	0.189112	0.00015944	0.00154905	0.000550425	0.00306305	same
PHKA2	0.342034	6.7112e-08	4.50432e-08	4.1603e-07	1.55592e-07	same
PHKB	-0.613941	0.0228085	4.2601e-30	0.0384022	8.54208e-29	same
PHKG1	-0.134695	0.000172202	8.20573e-05	0.000590997	0.000193806	same
PHKG2	-0.202411	0.976157	0.000676765	0.980511	0.00141189	gained_with_LMM
PHLDA1	-0.268963	0.532641	0.0166997	0.587641	0.0278407	gained_with_LMM
PHLDA2	0.958318	3.06578e-18	9.03143e-19	6.33162e-17	7.96971e-18	same
PHLDA3	0.452508	1.50936e-06	8.8449e-07	7.6646e-06	2.64759e-06	same
PHLDB1	0.0801896	0.00757448	0.231271	0.0166144	0.296171	lost_with_LMM
PHLPP1	-0.308756	0.359408	3.5827e-09	0.418857	1.38369e-08	gained_with_LMM
PHLPP2	-0.106368	0.910644	0.0973673	0.927999	0.137304	nonsig_both
PHOX2A	-0.0122061	0.0116929	0.00427374	0.0236179	0.00787375	same
PHOX2B	-0.00687582	0.014068	0.104031	0.0271082	0.145806	lost_with_LMM
PHTF1	-0.0967516	0.99773	0.0181397	0.998242	0.0300829	gained_with_LMM
PHTF2	0.195206	8.69362e-06	2.19e-05	3.8841e-05	5.59323e-05	same
PHYH	-0.46986	0.0436975	6.61617e-10	0.0667839	2.75615e-09	gained_with_LMM
PHYHIP	1.13668	1.69004e-17	4.14778e-19	3.17153e-16	3.77101e-18	same
PI15	0.367172	0.0678822	3.58741e-07	0.0978459	1.12232e-06	gained_with_LMM
PI3	0.0899178	0.159197	0.00108374	0.205173	0.00219598	gained_with_LMM
PI4K2A	0.526658	4.13334e-09	5.92483e-15	2.99885e-08	3.85443e-14	same
PI4KA	0.169396	0.000970203	0.00717636	0.00279005	0.0127172	same
PI4KB	-0.0942267	0.095762	0.00352981	0.131632	0.00659552	gained_with_LMM
PIAS1	-0.0788861	0.209437	0.207652	0.260878	0.269191	nonsig_both
PIAS2	-0.463062	0.0262855	1.63265e-30	0.0432551	3.37779e-29	same
PIAS3	0.642287	5.56313e-15	6.9035e-21	8.00298e-14	7.07881e-20	same
PIAS4	-0.0184958	0.0542146	0.56201	0.0805651	0.628511	nonsig_both
PIBF1	-0.153345	0.739614	0.00301826	0.778296	0.00570246	gained_with_LMM
PICALM	0.291151	6.20262e-05	4.42407e-13	0.000235362	2.45409e-12	same
PICK1	0.0315087	0.0156739	0.509186	0.0292403	0.580864	lost_with_LMM
PID1	0.22492	0.245733	0.0260268	0.299774	0.0417556	gained_with_LMM
PIDD1	-0.128573	0.818063	0.0829813	0.846996	0.118995	nonsig_both
PIEZO1	0.0318794	0.0127406	0.473457	0.0252483	0.547304	lost_with_LMM
PIEZO2	-0.62765	4.09418e-06	7.83927e-08	1.93787e-05	2.6409e-07	same
PIGA	0.185909	5.09548e-05	0.000869681	0.000196989	0.00178072	same
PIGB	-0.10275	0.400026	0.0347126	0.459742	0.0543501	nonsig_both
PIGC	0.104279	0.000714973	0.000231324	0.00213471	0.000513711	same
PIGF	0.00848193	0.656615	0.842517	0.703344	0.875255	nonsig_both
PIGG	-0.0970615	0.23672	0.0103064	0.290413	0.0177822	gained_with_LMM
PIGH	-0.394943	0.000271789	1.95252e-12	0.000894756	1.02437e-11	same
PIGK	0.00809187	0.0268653	0.861702	0.0440359	0.890446	lost_with_LMM
PIGL	-0.0452821	0.752713	0.47803	0.789527	0.551718	nonsig_both
PIGN	-0.297841	0.191729	5.32207e-09	0.241647	2.02342e-08	gained_with_LMM
PIGO	-0.212559	0.690599	3.94012e-05	0.734229	9.70729e-05	gained_with_LMM
PIGP	-0.193029	0.053211	2.82196e-06	0.0792757	8.01094e-06	gained_with_LMM
PIGQ	-0.368152	0.924468	2.13602e-09	0.93996	8.43886e-09	gained_with_LMM
PIGR	0.270704	0.37694	0.0450021	0.436465	0.0687597	nonsig_both
PIGT	0.00976213	0.0176582	0.807729	0.0317875	0.84451	lost_with_LMM
PIGV	-0.147409	0.637226	5.96705e-05	0.685775	0.000143685	gained_with_LMM
PIGZ	-0.468432	1.55941e-11	9.5979e-11	1.49801e-10	4.29467e-10	same
PIH1D1	-0.0946832	0.1802	0.0401799	0.22889	0.0620639	nonsig_both
PIK3C2A	-0.258683	0.999346	0.000232679	0.999346	0.000516427	gained_with_LMM
PIK3C2B	-0.440307	0.0175735	6.42805e-12	0.0316837	3.20308e-11	same
PIK3C2G	-0.0194167	0.00946745	0.030196	0.0199503	0.0478738	same
PIK3C3	0.0621185	0.00542714	0.128931	0.0125696	0.17679	lost_with_LMM
PIK3CA	0.462401	3.06668e-10	8.44334e-12	2.53428e-09	4.17174e-11	same
PIK3CB	-0.00963233	0.0330914	0.870725	0.0526138	0.896803	nonsig_both
PIK3CD	1.16541	7.50231e-30	4.90642e-37	4.88067e-28	1.53621e-35	same
PIK3CG	0.422238	4.66097e-06	1.91884e-05	2.18457e-05	4.95034e-05	same
PIK3IP1	0.154797	0.00143667	0.0109273	0.00393806	0.0187844	same
PIK3R1	0.500673	5.45685e-08	3.00185e-12	3.43917e-07	1.54445e-11	same
PIK3R2	-0.029502	0.00809365	0.0661523	0.0174962	0.0970852	lost_with_LMM
PIK3R3	-0.705024	6.85967e-05	2.40958e-19	0.000257953	2.22877e-18	same
PIK3R4	-0.103707	0.179598	0.053332	0.228348	0.0799537	nonsig_both
PIK3R5	0.648839	1.22995e-08	4.37581e-10	8.46719e-08	1.8552e-09	same
PIKFYVE	-0.0064682	0.0608435	0.920073	0.0890263	0.9377	nonsig_both
PILRA	0.327803	0.000170236	0.000138279	0.000585108	0.00031663	same
PIM1	0.642232	2.01795e-11	5.47959e-11	1.91182e-10	2.51041e-10	same
PIM2	0.904404	5.79759e-13	2.28216e-12	6.59124e-12	1.18616e-11	same
PIN1	-0.0949298	0.199398	0.0371009	0.250182	0.0577345	nonsig_both
PIN1P1	-0.0113673	0.0120778	0.0256261	0.0242259	0.041186	same
PIN4	-0.0912557	0.427153	0.0877024	0.486163	0.125003	nonsig_both
PINK1	-0.0695918	0.524545	0.311718	0.579666	0.383025	nonsig_both
PINLYP	0.134334	0.139991	0.194308	0.183202	0.254086	nonsig_both
PIP	-0.322136	4.71457e-08	2.08362e-36	2.9998e-07	6.37056e-35	same
PIP4K2A	0.55044	2.48375e-11	1.13391e-17	2.33051e-10	9.1258e-17	same
PIP4K2B	-0.0439453	0.0409681	0.204725	0.0632724	0.265985	nonsig_both
PIP4K2C	0.0207614	0.0178939	0.647663	0.0320983	0.706947	lost_with_LMM
PIP5K1A	0.112641	0.00236589	0.0333004	0.00610905	0.0523491	lost_with_LMM
