split_name	fold_id	fusion_method	anchor_method	qk_method	anchor_weight	qk_weight	inner_AUPRC	inner_n	selection_status
repeated_stratified_5x5_internal	rs_06	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.4078651485370891	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_06	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.4760421199975111	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_06	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.4389080231026298	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_07	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.434360085136804	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_07	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.4777711954688887	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_07	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.4275980189607428	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_07	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.4674347190294893	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_07	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.4777711954688887	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_08	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5491072493317091	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_08	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5953988748180816	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_08	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.75	0.25	0.5432696480860871	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_08	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.5755645076789497	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_08	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5953988748180816	355	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_09	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.5540056448892267	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_09	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5727828999335766	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_09	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.5	0.5	0.5548107139101447	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_09	nested_lr_qk_quantum_only_train_selected	anchor_lr	qk_quantum_only	0.5	0.5	0.5818941377724981	360	inner_oof_selected
repeated_stratified_5x5_internal	rs_09	rule_gate_rf_qk_fallback_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5727828999335766	360	inner_oof_selected;split_rule
repeated_stratified_5x5_internal	rs_10	nested_rf_qk_no_anchor_train_selected	anchor_rf	qk_no_anchor	0.75	0.25	0.45359060719928046	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_10	nested_rf_qk_quantum_only_train_selected	anchor_rf	qk_quantum_only	0.75	0.25	0.5129245224703864	355	inner_oof_selected
repeated_stratified_5x5_internal	rs_10	nested_lr_qk_no_anchor_train_selected	anchor_lr	qk_no_anchor	0.5	0.5	0.45670918324715876	355	inner_oof_selected
