gene	log2FC_B_vs_A	cohen_d_B_vs_A	p_value	padj
RHOT1P2	-0.03426626979418716	-0.38771751716068864	0.00906321151387145	0.051826576423068295
AC003102.1	-0.2561325679240518	-0.455341636264378	0.009064710730766458	0.05182941802285099
MYLK4	0.21426042232492648	0.48631998520316627	0.009073815356319277	0.05187573973362367
STN1	0.18936441541359716	0.4903377852434169	0.00907496962612541	0.051876603397807995
AC008073.2	-0.0322236578692242	-0.43542570325979607	0.009085171822581834	0.05192918316762785
AP005902.2	-0.00619542460114894	-0.402653683789135	0.00908873408790109	0.05194380287571322
AL133516.1	0.015291026970312135	0.5020018498799658	0.009091301783249194	0.05195273582866605
TCP10L3	-0.007563243210054553	-0.3835536079874896	0.00909616110334679	0.05197294932780685
AP001054.1	0.009660324865866038	0.5190933855284572	0.00909684911074974	0.05197294932780685
AC006449.2	-0.11961469456767859	-0.45161855232971354	0.009099262115601666	0.0519808577005869
LINC00702	0.20224822016632682	0.4652647144021227	0.009100243754006173	0.0519808577005869
AL135844.1	-0.027558053844958276	-0.4000545589416414	0.009109916180608486	0.05202963321789143
CHD1	-0.22875209838297206	-0.450086452158538	0.009111281322259598	0.05202963321789143
AL137003.1	0.2650601410936284	0.4666426478447411	0.009111801327014075	0.05202963321789143
AVL9	0.22604425865713207	0.47061920134707025	0.009113571739329378	0.052033996711103175
AC008429.2	0.07827385325307445	0.5042752889425549	0.00911785697205704	0.05205271603908607
SLC25A21-AS1	-0.2918198101610576	-0.464066069827981	0.009119238583774482	0.05205485665145847
AC006116.1	-0.061695974350011035	-0.43582940155599814	0.009121615177467348	0.05206267576622671
FAM167A	0.570443331200507	0.4432310232617486	0.009122909893615916	0.05206431889512997
TTC30A	0.3042702938092172	0.47652061996947925	0.009126829314286319	0.052080939160346486
ANKRD49P1	-0.03558420008065444	-0.4427132997717066	0.009128560636266278	0.05208507106498571
CNNM4	0.3262853007290918	0.4905642956706294	0.009130840384699721	0.05209233088406965
C2orf72	-0.16146399855034257	-0.39717100276722916	0.009151343660522256	0.05220354462540169
AC010463.3	-0.0484291782641357	-0.4570887288353057	0.009160102827859692	0.05224774733415536
AC069547.2	-0.04068228593045592	-0.4502217941042711	0.009166651102873333	0.052279331110696256
AC003681.1	-0.2637547735608414	-0.4498082824592231	0.009176126299951445	0.052327598929950286
ACADS	0.24405531353593357	0.4898418711184268	0.00917988196796302	0.05234324362612589
SERPINE1	-0.5949095832991196	-0.4683047928317797	0.009182850479487262	0.0523543970391142
NCKAP5-AS2	0.09141364815875891	0.4529988286721173	0.009188077045543641	0.05237842047206562
ZNF660	-0.2738787396861526	-0.46213170405071247	0.00919789604870159	0.05242861580405731
MBL3P	-0.0236932983774272	-0.383513971299877	0.009200499529253219	0.05243767564832064
BLOC1S2	-0.16325689318502157	-0.427380262114158	0.009211021686610808	0.05249186052857962
AC008731.1	-0.05656522225017577	-0.44512840996747244	0.009219386926799203	0.052533742961070364
AL391261.1	0.08181361489018533	0.5371050128543647	0.00923565603998584	0.052620648907416016
RPL36AP43	-0.0751065777348826	-0.43244930549335925	0.009238400063463612	0.052630484265921214
AC016042.1	-0.009838006872040025	-0.42017562344997994	0.009241779054451442	0.052636115122743035
RNA5SP399	-0.00554003834413851	-0.405744729125212	0.009241828697823005	0.052636115122743035
L3MBTL1	-0.3012171393978009	-0.45588922240352214	0.00924423915517258	0.052636115122743035
AC104590.1	0.1288669416747691	0.4881067519526347	0.009245074283065667	0.052636115122743035
AC015922.1	-0.02305444619842073	-0.44094719478420996	0.00924534939620427	0.052636115122743035
OR6C4	-0.004107124815484855	-0.3921405105229838	0.009245495806692483	0.052636115122743035
BICD1	-0.2699589735746546	-0.4568144879774581	0.00924757263776155	0.052642143182660445
AC004967.2	-0.10488055560162529	-0.43396229001338754	0.009249453351540276	0.05264705363362677
LINC01693	-0.009376094196532077	-0.38774942161201115	0.009252396852773036	0.05265801162819134
C11orf95	-0.33681914387638123	-0.4773300630357254	0.009256388993007353	0.05267493465581635
AC022540.1	-0.014384474866275629	-0.4274665680367675	0.009257621149042099	0.052676149564053254
AC104211.3	-0.014597985957828172	-0.4245117698092861	0.009264217457181756	0.05269913150854122
ZNF160	-0.2234843799022519	-0.4678455628456116	0.009264635324988287	0.05269913150854122
AL445248.1	-0.03873767928337318	-0.4490717143857542	0.009264717459421559	0.05269913150854122
DBT	0.2080385404763847	0.44562571010376	0.00927129557233025	0.05273074849766493
KIF9-AS1	-0.18565001159287697	-0.45214919197227615	0.009275856710206434	0.05275088819327889
DUXB	-0.047703902587660094	-0.4409576260180755	0.00928285248228611	0.05278486746332715
AC020651.2	-0.013672117086166984	-0.41024029265732076	0.009293550001385787	0.05283988610463556
GOLGA3	0.18937329135243708	0.45521993742145433	0.009297916336865926	0.052858899702690615
C12orf73	0.2465411693006283	0.48300175957418073	0.009301553617960562	0.05287346313116375
EVX1	-0.04624848742317811	-0.40118634552846677	0.009302811897827074	0.05287346313116375
AC245100.4	0.23275473613367947	0.46543546979818046	0.009303545493810968	0.05287346313116375
ZNF462	-0.283085732895211	-0.4824934609998682	0.009305750984870938	0.05288018562402869
APOA1	0.7690912754406452	0.492775586980393	0.009308732250805148	0.05289131451723821
FP236383.9	-0.010020016671963006	-0.381635164848591	0.009320093107368456	0.052950047756002
AC104841.1	-0.06986024862968548	-0.42635951854593745	0.009327305646740678	0.05298520293294597
AC016930.1	0.004112950259317778	0.4923315318837826	0.00933058801072683	0.052990458062337153
AC145285.6	-0.14822642675922348	-0.4495752988753579	0.009331239742733607	0.052990458062337153
LINC01276	-0.04834929281618336	-0.43464170518268036	0.00933130496636387	0.052990458062337153
TPTE2P5	-0.25363224629550896	-0.46479006700073183	0.009344872105219863	0.05306167579148176
TRIP6	-0.25492471846161635	-0.4846636763028414	0.009346455606365777	0.053064840344837584
AFP	-0.030982595104139678	-0.4415182224192706	0.009349491754909681	0.053076250756189984
BAIAP2L2	-0.2620437959949058	-0.44418599950371823	0.00935419497308649	0.053097121432851314
AL021918.2	-0.004361327840602506	-0.38159979026919877	0.009357566580845071	0.05311042975107886
AC035139.1	-0.012748905561469674	-0.4004380762365211	0.009365102351544596	0.05314736695574216
DCAF13	0.15849081532837062	0.4484121811275982	0.009368394044820857	0.05316021337119844
AL132656.3	-0.014136423035120412	-0.42263535528224283	0.009376071417495746	0.05319397591370367
ARF4	0.2336012506868217	0.43878021230987563	0.009376802531701681	0.05319397591370367
FBXL19	-0.2140088643867566	-0.4645174294029995	0.009377430032861919	0.05319397591370367
GOLGA8K	-0.1437470407539062	-0.4415232729004887	0.009381179697624056	0.05320572946691279
AC069209.2	-0.030715124958358715	-0.42299544332123074	0.009381559847601301	0.05320572946691279
WAC-AS1	0.17811651332243184	0.47484396529913536	0.009385942353090928	0.05322474668501864
LINC02461	-0.061303520271441404	-0.37626299847710976	0.009389391327278807	0.05323846654878447
LINC02219	-0.005087007992198088	-0.37831865998676395	0.009395231677191302	0.05326574117522633
