cluster_1,,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
CTSG,THBD,,,,,,0.0,0.0,0.002,,0.006,,,,,,,,,,,,,,,
CCL2,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
IL13,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,VEGFA,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,
PPBP,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL2,CXCR6,,0.0,0.0,,,,0.002,0.096,,,,0.0,1.0,,,,,,,,,0.012,0.014,,
CXCL13,CCR6,,,,,,,0.006,0.058,,,,,,,,,,,,,,,,,
IL2,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,VEGFA,,0.014,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,
CCL8,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CD40LG,C3,,,,,,0.396,0.0,1.0,0.19,0.0,,,,,,0.086,0.0,0.006,0.066,0.0,,,,,
CXCL14,CCR7,,0.004,,0.0,,,0.0,,0.0,,,1.0,,0.0,,,0.226,,0.008,,,0.0,,0.0,
CXCL11,CCR6,,,,,,,0.004,0.018,,,,,,,,,,,,,,,,,
CXCL11,CXCR6,,,,,,,0.0,0.018,,,,,,,,,,,,,,,,,
CXCL12,CCR6,,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,,,,0.09,0.1,,,,0.0,0.0,,
CXCL9,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,IDO1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL1,CXCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,PIK3C2G,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,PLAUR,,,,,,,0.002,0.252,,,,,,,,,0.002,0.002,,,,,,,
CCL7,CCR7,,,,,,,,,,,,,,,,,,,,,,,,,
XCL1,CCR7,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,
CSF3,MMP9,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,CSF1,,,,,,0.07,0.0,0.508,0.12,,,,,,,0.004,0.002,0.002,0.018,,,,,,
CSF2,CDH11,,,,,,0.122,0.0,1.0,,0.054,0.124,0.0,1.0,,0.058,,,,,,,,,,
ADIPOQ,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,CDK6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL4,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,
CXCL1,CCR7,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,CCR6,,0.018,0.02,,,,0.0,0.0,,,,0.09,1.0,,,,,,,,,0.008,0.01,,
CXCL8,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,
IFNG,PIGR,,,,,,,,,,,,,,,,,,,,,,,,,
CALCA,CDH11,,,,,,,,,,,0.118,0.0,1.0,,0.054,,,,,,,,,,
CCL15,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CSF3,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL2,CCR7,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,0.01,,0.0,
CXCL12,MMP13,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL12,CXCR6,,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,,,,0.086,0.1,,,,0.0,0.0,,
PPBP,CXCR6,,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,
IL22,MMP1,,,,,,,,,,,,,,,,,,,,,,,,,
CD40LG,PTGS2,,,,,,,,0.0,,,,,,,,,,0.006,,,,,,,
CCL5,MMP9,,0.028,0.04,0.006,,,0.0,0.0,0.008,,,0.006,1.0,0.012,,,0.0,0.0,0.0,,,,,,
RELN,ITGB6,,,,,,,,,,,,,,,,,,,,,,,,,
IFNG,CTSL,,,,,,,,,,,,,,,,,,,,,,,,,
CCL17,CCR6,,,,,,,0.0,0.0,,,,0.09,1.0,,,,0.018,0.022,,,,,,,
IFNG,CTSK,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,CXCR6,,0.018,0.02,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,0.008,0.01,,
IFNG,CD40LG,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,PTGS2,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,ITGA6,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,NOTCH3,0.0,0.0,0.0,,0.0,0.116,0.0,0.006,,0.004,,,,,,,,,,,,,,,
IL1B,PTGS2,,,,,,,,0.074,,,,,,,,,,0.002,,,,,,,
IFNG,TPO,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,HMOX1,,0.0,0.004,,,,0.0,0.0,,,,0.064,1.0,,,,0.044,0.054,,,,0.0,0.0,,
SAA1,MMP9,,,,,,,0.0,0.0,0.012,,,,,,,,,,,,,,,,
CXCL11,CCR7,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,
CCL4,CXCR6,,,,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,,
CCL2,CXCR6,,,,,,,0.0,0.0,,,,0.004,1.0,,,,,,,,,0.028,0.04,,
COMP,ITGA6,0.064,0.262,0.266,0.12,,0.0,0.0,0.0,0.0,,0.042,1.0,1.0,0.158,,0.058,0.092,0.096,0.072,,0.028,0.212,0.214,0.094,
CXCL3,CXCR6,,,,,,,0.0,0.018,,,,,,,,,,,,,,,,,
CCL20,CXCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL18,CCR6,,,,,,,0.0,0.0,,,,0.22,1.0,,,,0.0,0.0,,,,0.006,0.016,,
IFNG,KLRD1,,,,,,,,,,,,,,,,,,,,,,,,,
FLT4,FLT1,,,,,,,0.986,0.442,,,,0.988,0.002,,,,,,,,,,,,
CCL3,CXCR6,,0.024,0.028,,,,0.0,0.0,,,,0.006,1.0,,,,,,,,,,,,
CXCL2,CCR6,,0.0,0.0,,,,0.014,0.092,,,,0.072,1.0,,,,,,,,,0.012,0.014,,
CSF2,CEACAM5,,,,,,,,,,,,,,,,,,,,,,,,,
FGF7,SFTPA1,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,PDGFRB,,,,,,0.128,1.0,1.0,0.862,1.0,0.002,0.0,0.0,0.136,0.042,,,,,,,,,,
CCL1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,MMP9,,,,,,,0.002,0.206,0.012,,,,,,,,0.002,0.002,0.008,,,,,,
CCL3L1,CCR6,,,,,,,0.018,0.184,,,,,,,,,0.002,0.002,,,,,,,
CCL14,CCR6,,0.002,0.002,,,,0.0,0.0,,,,0.496,1.0,,,,0.018,0.018,,,,,,,
CCL2,VEGFA,,,,,,,1.0,0.0,,,,1.0,0.0,,,,,,,,,1.0,0.03,,
XCL1,CXCR6,,,,,,,,,,,,0.0,0.964,,,,,,,,,,,,
XCL2,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL17A,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
CCL18,CXCR6,,,,,,,0.0,0.0,,,,0.016,1.0,,,,0.0,0.0,,,,0.004,0.016,,
TPSAB1,MMP2,,,,,,0.006,0.0,1.0,,0.12,,,,,,,,,,,,,,,
CCL13,CCR7,,0.018,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,0.008,,0.0,
IFNG,LOX,,,,,,,,,,,,,,,,,,,,,,,,,
IL17A,MMP9,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL10,CXCR6,,,,,,,0.0,0.004,,,,0.0,1.0,,,,,,,,,,,,
CCL20,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL7,CXCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CD40LG,VEGFA,,,,,,,1.0,0.0,,,,,,,,,0.84,0.006,,,,,,,
CSF3,BIRC3,,,,,,,,,,,,,,,,,,,,,,,,,
XCL2,CXCR6,,,,,,,,,,,,0.0,0.968,,,,,,,,,,,,
IL20,PTGS2,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,MMP9,,0.0,0.0,0.002,,,0.0,0.0,0.012,,,,,,,,,,,,,,,,
CCL8,CXCR6,,0.0,0.002,,,,0.0,0.0,,,,,,,,,,,,,,,,,
CCL21,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL12B,CXCL9,,,,,,,,,,,,,,,,,,,,,,,,,
NPPA,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,MMP3,,,,,,,0.012,,,,,,,,,,0.002,,,,,,,,
CCL7,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL14,CCR7,,0.0,,0.0,,,0.0,,0.0,,,0.002,,0.0,,,0.018,,0.0,,,,,,
PPBP,CCR6,,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,
TNF,CXCL10,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,HMOX1,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,
CCL22,CCR6,,,,,,,0.0,0.0,,,,0.066,1.0,,,,0.0,0.0,,,,,,,
CCL2,F3,,,,,,,0.0,0.0,,,,0.116,1.0,,,,,,,,,0.022,0.04,,
MDK,VEGFA,,,,,,,1.0,0.0,,,,1.0,0.0,,,,0.814,0.646,,,,,,,
IL2,FCER2,,,,,,,,,,,,,,,,,,,,,,,,,
LEP,FLT1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL14,CCR6,,0.004,0.004,,,,0.0,0.0,,,,1.0,1.0,,,,0.232,0.236,,,,0.0,0.0,,
SPARC,MMP14,,0.0,0.002,,,,0.0,0.0,,,,0.0,1.0,,,,0.522,0.666,,,,0.0,0.0,,
IL10,CD14,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,
IL1A,CSF1,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,HSP90AA1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL5,CCR6,,0.036,0.04,,,,0.0,0.0,,,,0.158,1.0,,,,0.0,0.0,,,,,,,
CCL2,CCR6,,,,,,,0.0,0.0,,,,0.15,1.0,,,,,,,,,0.034,0.04,,
CSF2,MMP14,,,,,,,0.0,0.97,,,,0.0,1.0,,,,,,,,,,,,
PI3,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
OSM,PTGS2,,,,,,,,0.0,,,,,,,,,,,,,,,,,
FGF7,PDGFRA,,0.018,0.06,0.024,0.006,,0.0,0.0,0.022,0.0,,0.0,1.0,0.032,0.01,,,,,,,0.0,0.01,0.016,0.0
CCL13,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
COL6A3,ITGA6,0.014,0.176,0.178,0.074,,0.0,0.0,0.0,0.008,,0.032,0.98,1.0,0.142,,0.076,0.198,0.198,0.104,,0.0,0.0,0.0,0.0,
CCL3,CCR7,,0.024,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,
COMP,ITGB6,,0.3,0.262,,,,0.0,0.0,,,,1.0,1.0,,,,0.104,0.096,,,,0.266,0.212,,
IGFBP2,CD24,0.966,1.0,0.01,,0.982,0.998,1.0,0.0,,0.996,1.0,1.0,0.0,,0.998,,,,,,,,,,
IL6,PTGS2,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,
IFNG,CXCL9,,,,,,,,,,,,,,,,,,,,,,,,,
CSF3,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,FLT4,,0.004,0.004,,,,0.0,0.0,,,,1.0,1.0,,,,0.054,0.054,,,,0.0,0.0,,
IL1B,PTGDS,,,,,,,0.0,0.576,0.0,0.0,,,,,,,0.002,0.002,0.0,0.002,,,,,
FGFR4,MMP9,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL9,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,0.002,,0.0,,,0.002,,0.0,
IGF1,PDGFRB,0.0,0.0,0.004,0.014,0.0,0.0,0.0,0.0,0.03,0.0,0.004,0.0,1.0,0.172,0.094,0.02,0.04,0.054,0.076,0.044,0.0,0.0,0.0,0.006,0.002
S100B,BIRC3,,,,,,0.02,0.0,0.024,0.006,0.0,0.052,0.0,1.0,0.008,0.0,,,,,,,,,,
VEGFA,PDGFRA,,,,,,,1.0,1.0,0.848,0.994,,0.0,0.0,0.032,0.002,,,,,,,,,,
IL17A,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
COL6A3,ITGB6,,0.226,0.178,,,,0.0,0.0,,,,1.0,1.0,,,,0.234,0.196,,,,0.0,0.0,,
OLR1,MMP3,,,,,,,0.186,,,,,0.03,,,,,,,,,,,,,
CD160,KLRD1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL22,CXCR6,,,,,,,0.0,0.0,,,,0.0,1.0,,,,0.0,0.0,,,,,,,
CXCL1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
LAMA3,ITGB6,,,,,,,0.866,0.0,,,,,,,,,,,,,,,,,
IL2,TNFRSF9,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,INSR,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,TSHR,0.034,0.024,0.0,0.174,,0.828,1.0,0.0,0.808,,,,,,,,,,,,,,,,
CXCL6,CXCR6,,,,,,,,,,,,,,,,,,,,,,,,,
LEP,F3,,,,,,,,,,,,,,,,,,,,,,,,,
CCL1,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,0.012,,0.0,
CCL26,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL9,CCR6,,,,,,,0.008,0.02,,,,0.064,1.0,,,,0.006,0.006,,,,0.006,0.01,,
CCL8,CCR7,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,
CD40LG,F3,,,,,,,0.028,0.008,,,,,,,,,0.006,0.006,,,,,,,
CXCL10,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,
FGF7,PDGFRB,0.01,0.012,0.06,0.072,0.02,0.0,0.0,0.0,0.076,0.002,0.004,0.0,1.0,0.162,0.072,,,,,,0.0,0.0,0.01,0.066,0.002
CCL17,CXCR6,,,,,,,0.0,0.0,,,,0.0,1.0,,,,0.018,0.022,,,,,,,
CXCL12,MMP9,,0.0,0.0,0.0,,,0.0,0.0,0.002,,,0.388,1.0,0.014,,,0.084,0.1,0.044,,,0.0,0.0,0.004,
CXCL3,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,FLT1,,0.008,0.004,,,,0.0,0.0,,,,1.0,1.0,,,,0.056,0.054,,,,0.0,0.0,,
IL13,MUC5AC,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL14,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
OSM,F3,,,,,,,0.018,0.006,,,,,,,,,,,,,,,,,
CCL4,CCR6,,,,,,,0.0,0.0,,,,0.088,1.0,,,,,,,,,,,,
HLA-G,KLRC2,,,,,,,,,,,,,,,,,,,,,,,,,
CSF2,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,FGFR2,,0.008,0.004,,,,0.0,0.0,,,,1.0,1.0,,,,0.054,0.054,,,,0.0,0.0,,
CCL3,CCR6,,0.024,0.028,,,,0.0,0.0,,,,0.15,1.0,,,,,,,,,,,,
IFNG,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL6,CCR7,,,,,,,,,,,,,,,,,,,,,,,,,
CCL4,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL23,CCR6,,0.0,0.002,,,,,,,,,,,,,,,,,,,,,,
CCL14,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
OSM,ADAMTS4,,,,,,,0.022,0.0,,,,,,,,,,,,,,,,,
ADM,HMOX1,,0.266,0.35,,,,0.848,1.0,,,,0.002,0.076,,,,,,,,,,,,
CCL8,CCR6,,0.0,0.002,,,,0.0,0.0,,,,,,,,,,,,,,,,,
IL6,INSR,,0.0,0.0,,0.0,,1.0,0.0,,0.24,,,,,,,,,,,,,,,
CCL3L1,CCR7,,,,,,,0.0,,0.0,,,,,,,,0.002,,0.0,,,,,,
DKK1,LRP1,,,,,,0.01,0.0,1.0,0.362,0.01,,,,,,,,,,,,,,,
IGF1,KDR,,0.006,0.004,,,,0.0,0.0,,,,1.0,1.0,,,,0.054,0.054,,,,0.0,0.0,,
CXCL6,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL21,CXCL10,,0.002,0.002,,,,0.0,0.0,,,,0.984,1.0,,,,0.0,0.0,,,,0.0,0.0,,
CCL26,CCR6,,,,,,,0.026,0.266,,,,0.04,0.96,,,,,,,,,,,,
CCL7,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,CSF1,,,,,,0.076,0.0,0.884,0.12,,,,,,,,,,,,,,,,
THBS1,ITGB6,,0.014,0.006,,,,0.0,0.0,,,,1.0,1.0,,,,0.102,0.092,,,,,,,
PRSS1,PRSS2,,,,,,,0.984,1.0,,,,0.158,0.0,,,,,,,,,,,,
IL17F,CXCL10,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,CDH5,,,,,,0.118,1.0,1.0,,1.0,0.0,0.0,0.0,,0.046,,,,,,,,,,
THBS4,ITGB6,,0.07,0.046,,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,,,,
TNF,MUC5AC,,,,,,,,,,,,,,,,,,,,,,,,,
CCL5,CXCR6,,0.034,0.04,,,,0.0,0.0,,,,0.008,1.0,,,,0.0,0.0,,,,,,,
CCL18,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,0.002,,0.0,
IL2,C3,,,,,,,,,,,,,,,,,,,,,,,,,
CSF2,CD1C,,,,,,,0.022,0.41,,,,0.018,0.966,,,,,,,,,,,,
IL1A,PLAU,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL5,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1,IL17A,,,,,,,,,,,,,,,,,,,,,,,,,
CCL21,CCR6,,0.002,0.002,,,,0.0,0.0,,,,1.0,1.0,,,,0.0,0.0,,,,0.0,0.0,,
CXCL10,CCR6,,,,,,,0.002,0.004,,,,0.056,0.998,,,,,,,,,,,,
CSF2,CPE,,,,,,,1.0,0.034,0.202,0.95,,1.0,0.0,0.204,0.952,,,,,,,,,,
IL1B,LDLR,,,,,,,0.598,0.082,,,,,,,,,0.002,0.002,,,,,,,
SPP1,ITGA6,,,,,,0.002,0.008,0.0,0.082,,0.028,0.644,0.992,0.132,,0.018,0.044,0.042,0.026,,,,,,
CXCL2,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
VWF,ITGB6,,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,,,,0.258,0.232,,,,0.0,0.0,,
EDN1,MMP1,,0.0,,,,,0.0,,,,,0.094,,,,,,,,,,,,,
VEGFA,VCAM1,,,,,,0.37,1.0,1.0,0.038,1.0,0.0,0.0,0.0,0.006,0.006,,,,,,,,,,
S100B,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
IL13,PTGS2,,,,,,,,,,,,,,,,,,,,,,,,,
CCL26,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,
CD40LG,VCAM1,,,,,,0.0,0.0,0.194,0.006,0.006,,,,,,0.0,0.006,0.006,0.01,0.006,,,,,
TNF,F3,,,,,,,,,,,,,,,,,,,,,,,,,
IL17A,PTGS2,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL1,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL14,CXCR6,,0.004,0.004,,,,0.0,0.0,,,,1.0,1.0,,,,0.232,0.236,,,,0.0,0.0,,
IFNG,VCAM1,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,PIGR,,,,,,,,,,,,,,,,,,,,,,,,,
CCL5,CXCL12,0.0,0.0,0.064,0.052,0.0,0.0,0.0,0.002,0.058,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.01,0.0,,,,,
IL10,DCN,,,,,,0.004,0.0,1.0,0.052,0.0,,,,,,,,,,,,,,,
CXCL8,CXCR6,,,,,,,0.0,0.0,,,,0.0,1.0,,,,,,,,,,,,
EDN1,MCAM,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.008,0.0,0.0,1.0,0.104,0.044,,,,,,,,,,
IL1B,VEGFA,,,,,,,1.0,0.0,,,,,,,,,0.842,0.002,,,,,,,
CSF3,PLAUR,,,,,,,,,,,,,,,,,,,,,,,,,
ADIPOQ,WIF1,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,MMP1,,,,,,,0.004,,,,,,,,,,0.002,,,,,,,,
CSF2,MMP1,,,,,,,0.034,,,,,0.044,,,,,,,,,,,,,
CCL15,CCR7,,,,,,,,,,,,,,,,,,,,,,,,,
CCL23,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFD,PDGFRB,,,,,,,,,,,,,,,,,,,,,,,,,
CSF2,FCER2,,,,,,,,,,,,,,,,,,,,,,,,,
IL12B,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
IGFBP3,MMP14,,0.004,0.016,,,,0.054,0.998,,,,0.0,0.98,,,,,,,,,0.018,0.096,,
THBS2,ITGB6,,,,,,,0.0,0.0,,,,1.0,1.0,,,,,,,,,,,,
CCL23,CCR7,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
SPP1,PLAU,,,,,,,0.0,0.0,,,,0.002,1.0,,,,0.03,0.044,,,,,,,
VEGFA,FLT4,,,,,,,1.0,1.0,,,,0.024,0.0,,,,,,,,,,,,
LAMA4,ITGB6,,0.01,0.004,,,,0.004,0.0,,,,1.0,1.0,,,,,,,,,0.032,0.016,,
CCL11,CXCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL19,CCR6,,0.048,0.064,,,,0.0,0.0,,,,1.0,1.0,,,,0.0,0.0,,,,0.0,0.0,,
IL1A,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,MMP13,,,,,,,,,,,,,,,,,,,,,,,,,
PPBP,CCR7,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,
CXCL12,GZMB,,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,,,,0.096,0.1,,,,0.0,0.0,,
IGF1,PDGFRA,,0.0,0.004,0.002,0.0,,0.0,0.0,0.006,0.0,,0.0,1.0,0.032,0.01,,0.044,0.054,0.034,0.036,,0.0,0.0,0.002,0.0
IFNG,CSF1,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFD,PDGFRA,,,,,,,,,,,,,,,,,,,,,,,,,
SST,F3,,,,,,,,,,,,,,,,,,,,,,,,,
IL12B,GZMB,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,CHI3L1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL5,CCR7,,0.026,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,
IFNG,IDO1,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,GZMB,,,,,,,,,,,,,,,,,,,,,,,,,
IGF1,VEGFA,,0.076,0.004,,,,0.236,0.0,,,,1.0,0.84,,,,0.848,0.044,,,,0.014,0.0,,
CCL11,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL13,CCR7,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,
FGF7,PLAU,,0.024,0.056,,,,0.0,0.0,,,,0.002,1.0,,,,,,,,,0.0,0.008,,
CCL5,TNFRSF4,,0.036,0.04,,,,0.0,0.0,,,,0.056,1.0,,,,0.0,0.0,,,,,,,
IL6,KDR,,0.0,0.0,,,,0.516,0.0,,,,,,,,,,,,,,,,,
IFNG,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,VEGFA,,0.034,0.004,,,,0.0,0.0,,,,1.0,1.0,,,,0.116,0.052,,,,0.0,0.0,,
IL1B,CXCL10,,,,,,,0.0,0.154,,,,,,,,,0.002,0.002,,,,,,,
XCL1,CCR6,,,,,,,,,,,,0.032,0.79,,,,,,,,,,,,
THBS4,ITGA6,0.0,0.056,0.052,0.05,,0.0,0.0,0.0,0.056,,0.032,0.752,1.0,0.134,,,,,,,,,,,
TNF,CDH11,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,CCR7,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,
CXCL3,CCR7,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,
IFNG,CXCL10,,,,,,,,,,,,,,,,,,,,,,,,,
S100A8,MMP1,,,,,,,0.0,,,,,0.054,,,,,,,,,,,,,
FGF7,SFTPA2,,,,,,,,,,,,,,,,,,,,,,,,,
ADIPOQ,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,
SAA1,F3,,,,,,,0.006,0.0,,,,,,,,,,,,,,,,,
IL6,CXCL12,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.55,0.084,0.0,,,,,,,,,,,,,,,
CCL21,CXCR6,,0.002,0.002,,,,0.0,0.0,,,,1.0,1.0,,,,0.0,0.0,,,,0.0,0.0,,
CCL14,CXCR6,,0.002,0.002,,,,0.0,0.0,,,,0.116,1.0,,,,0.018,0.018,,,,,,,
CCL11,CCR7,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL12,CCR7,,0.0,,0.0,,,0.0,,0.0,,,0.27,,0.0,,,0.084,,0.002,,,0.0,,0.0,
CCL17,CCR7,,,,,,,0.0,,0.0,,,0.0,,0.0,,,0.018,,0.0,,,,,,
CCL3L1,CXCR6,,,,,,,0.0,0.206,,,,,,,,,0.002,0.002,,,,,,,
CXCL6,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,C3,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,CSF1,0.0,0.0,0.0,0.006,,0.05,0.0,0.006,0.104,,,,,,,,,,,,,,,,
IL6,GZMB,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,
IL1A,MMP9,,,,,,,,,,,,,,,,,,,,,,,,,
SAA1,PTGS2,,,,,,,,0.0,,,,,,,,,,,,,,,,,
FGFR4,PLAU,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,PLAU,,,,,,,,,,,,,,,,,,,,,,,,,
CSF2,CSF1,,,,,,0.072,0.0,0.918,0.124,,0.078,0.0,1.0,0.126,,,,,,,,,,,
CXCL5,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
VWF,ITGA6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.018,,0.032,0.936,1.0,0.136,,0.088,0.232,0.232,0.118,,0.0,0.0,0.0,0.0,
CXCL8,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,PRF1,,,,,,,,,,,,,,,,,,,,,,,,,
RELN,ITGA6,,,,,,,,,,,,,,,,,,,,,,,,,
FGF7,VEGFA,,1.0,0.042,,,,1.0,0.0,,,,1.0,0.0,,,,,,,,,0.998,0.0,,
CCL2,PTGS2,,,,,,,,0.0,,,,,1.0,,,,,,,,,,0.038,,
NR0B2,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL13,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL13,VEGFA,,,,,,,,,,,,,,,,,,,,,,,,,
S100A9,MMP1,,0.034,,,,,0.0,,,,,0.092,,,,,0.054,,,,,0.014,,,
IL2,CES1,,,,,,,,,,,,,,,,,,,,,,,,,
