claim,dedup_key,sources,n_sources,doi,title,year,venue,first_author,cited_by,influential,composite,topical_relevance,new_score
BCR repertoire / TLS in thyroid cancer,measurement of sigma(pp -> b anti-b x) at \sqrt(s)=7 tev in |,arxiv,1,,Measurement of sigma(pp -> b anti-b X) at \sqrt(s)=7 TeV in the forward region,,, LHCb Collaboration,0.0,0.0,100.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,measurement of the ckm angle $γ$ in $b^{\pm} \rightarrow d(\|,arxiv,1,,Measurement of the CKM angle $γ$ in $B^{\pm} \rightarrow D(\rightarrow K^{0}_{\rm S} h^{\prime+}h^{\prime-})h^{\pm}$ decays with a novel approach,,,The BESIII,0.0,0.0,100.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,observation of the rare $b^0_s\toμ^+μ^-$ decay from the comb|,arxiv,1,,Observation of the rare $B^0_s\toμ^+μ^-$ decay from the combined analysis of CMS and LHCb data,,,The CMS,0.0,0.0,100.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,precise measurement of the ckm angle $γ$ with a novel approa|,arxiv,1,,Precise measurement of the CKM angle $γ$ with a novel approach,,,The BESIII,0.0,0.0,100.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,searches for continuous gravitational waves from fifteen sup|,arxiv,1,,Searches for Continuous Gravitational Waves from Fifteen Supernova Remnants and Fomalhaut b with Advanced LIGO,,, The LIGO Scientific Collaboration,0.0,0.0,100.0,0.0,10.0
BCR repertoire / TLS in thyroid cancer,the physics of the b factories|,arxiv,1,,The Physics of the B Factories,,,A. J. Bevan,0.0,0.0,100.0,0.0,10.0
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1016/j.modpat.2023.100242,"openalex,semantic_scholar_influential",2,10.1016/j.modpat.2023.100242,A Shift in Molecular Drivers of Papillary Thyroid Carcinoma Following the 2017 World Health Organization Classification: Characterization of 554 Consecutive Tumors With Emphasis on BRAF-Negative Cases,2023.0,Modern Pathology,Hang,20.0,0.0,243.0,0.06518887474147336,29.563409911870757
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1016/j.jmoldx.2023.04.007,semantic_scholar_influential,1,10.1016/j.jmoldx.2023.04.007,Molecular and cytogenetic features of NTRK fusions enriched in BRAF and RET double-negative papillary thyroid cancer.,2023.0,Journal of Molecular Diagnostics,Shafei Wu,0.0,0.0,123.0,0.1048252725697832,20.482527256978322
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3389/fendo.2020.00102,openalex,1,10.3389/fendo.2020.00102,Update on Fundamental Mechanisms of Thyroid Cancer,2020.0,,Prete,463.0,0.0,583.0,0.03875142930895606,20.015027483121862
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1097/pas.0000000000002256,openalex,1,10.1097/pas.0000000000002256,Multifocal Papillary Thyroid Carcinomas With Discordant Molecular Drivers,2024.0,,Rivera,6.0,0.0,130.0,0.07493506490593548,19.439416639648858
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1038/s41392-023-01705-z,openalex,1,10.1038/s41392-023-01705-z,Targeting the RAS/RAF/MAPK pathway for cancer therapy: from mechanism to clinical studies,2023.0,,Bahar,723.0,0.0,623.0,0.028416960959330828,19.4264874883188
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3390/cells9010198,openalex,1,10.3390/cells9010198,Targeting Aberrant RAS/RAF/MEK/ERK Signaling for Cancer Therapy,2020.0,,Degirmenci,531.0,0.0,620.0,0.029618603159208702,19.238503805262514
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12885-026-15818-5,semantic_scholar_influential,1,10.1186/s12885-026-15818-5,Diagnostic accuracy in BRAF V600E-negative papillary thyroid cancer via 5-gene expression profiling of residual nucleic acids from mutation testing: a retrospective study,2026.0,BMC Cancer,Liangyi Wang,0.0,0.0,126.0,0.09105944554499323,19.105944554499324
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1016/j.cell.2018.03.035,openalex,1,10.1016/j.cell.2018.03.035,Oncogenic Signaling Pathways in The Cancer Genome Atlas,2018.0,,Sánchez-Vega,3314.0,0.0,618.0,0.009568985217113938,19.063111424331353
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12943-023-01827-6,openalex,1,10.1186/s12943-023-01827-6,PI3K/AKT/mTOR signaling transduction pathway and targeted therapies in cancer,2023.0,,Glaviano,1787.0,0.0,623.0,0.007793813062467924,18.26823426198025
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1186/s12943-018-0782-4,openalex,1,10.1186/s12943-018-0782-4,Mechanisms of receptor tyrosine kinase activation in cancer,2018.0,,Du,1047.0,0.0,618.0,0.010022153118899792,17.956854176770968
BRAF/RAS-negative ('dark matter') PTC subtypes,10.1038/s41416-018-0327-z,openalex,1,10.1038/s41416-018-0327-z,The clinical role of the TME in solid cancer,2018.0,,Giraldo,742.0,0.0,618.0,0.01111024192550029,17.72172023726779
BRAF/RAS-negative ('dark matter') PTC subtypes,10.3892/etm.2020.8454,openalex,1,10.3892/etm.2020.8454,ERK/MAPK signalling pathway and tumorigenesis (Review),2020.0,,Guo,1449.0,0.0,620.0,0.0,17.27931883541462
