gsm	unsup	panel_z	histology	unsup_t
GSM6591236	DM2	0.4383363773607349	PTC	DM2
GSM6591237	DM2	-1.0865002513371065	PTC	DM2
GSM6591238	DM2	-0.37929360456911393	PTC	DM2
GSM6591239	DM2	-0.6850133582359744	PTC	DM2
GSM6591240	DM2	-0.4845834634358209	PTC	DM2
GSM6591241	DM2	-0.8289347717317819	PTC	DM2
GSM6591242	DM1	-4.66841856608027	PTC	DM1
GSM6591243	DM1	-3.7526479535420605	PTC	DM1
GSM6591244	DM2	-0.21090369481330024	PTC	DM2
GSM6591245	DM2	0.12370259216283039	PTC	DM2
GSM6591246	DM2	0.050832802041406736	PTC	DM2
GSM6591247	DM2	-0.0029834769806148043	PTC	DM2
GSM6591248	DM2	-0.7591787426345887	PTC	DM2
GSM6591249	DM2	0.546293387446309	PTC	DM2
GSM6591250	DM2	-0.7918519812411263	PTC	DM2
GSM6591251	DM1	-3.2107584811503664	PTC	DM1
GSM6591252	DM2	-0.8669476990078863	PTC	DM2
GSM6591253	DM2	-0.43482449591059996	PTC	DM2
GSM6591254	DM2	0.8299164955368321	PTC	DM2
GSM6591255	DM2	-0.19781487001333645	PTC	DM2
GSM6591256	DM2	-0.4071074084862301	PTC	DM2
GSM6591257	DM2	0.15280177833200656	PTC	DM2
GSM6591258	DM2	-0.1378543221828465	PTC	DM2
GSM6591259	DM2	0.6416161875310548	PTC	DM2
GSM6591260	DM2	-0.28471361019499125	PTC	DM2
GSM6591261	DM2	-0.8712357809701572	PTC	DM2
GSM6591262	DM2	-0.4466594980715112	PTC	DM2
GSM6591263	DM2	0.6301260949053995	PTC	DM2
GSM6591264	DM2	-0.09895153359241213	PTC	DM2
GSM6591265	DM2	0.7026410534541123	PTC	DM2
GSM6591266	DM2	-0.5740300475282087	PTC	DM2
GSM6591267	DM2	-0.22315308211592738	PTC	DM2
GSM6591268	DM2	0.4384356013576631	PTC	DM2
GSM6591269	DM2	-0.22578341161510845	PTC	DM2
GSM6591270	DM2	-0.18413998177935323	PTC	DM2
