territory_label_set	covariate_set	outcome	scope	n_slides	median_beta	mean_beta	q25_beta	q75_beta	n_positive	sign_test_p	wilcoxon_p
arm_level_expression_cnv	qc_composition	RAI_thyroid_z	condition_PTC	4	-0.0072694485384036155	-0.028803905229508216	-0.05214315902645773	0.016069805258545906	2	1.0	0.875
arm_level_expression_cnv	qc_composition	TACSTD2_z	all_cancer_slides	12	0.009815124517384446	0.0054230634689010375	-0.1542386190170258	0.11112894784290897	7	0.7744140625	0.791015625
arm_level_expression_cnv	qc_composition	TACSTD2_z	condition_ATC	4	0.009815124517384446	0.010308560253351508	0.005404917677868988	0.014718767092866965	3	0.625	0.25
arm_level_expression_cnv	qc_composition	TACSTD2_z	condition_LPTC	4	0.013438526759609853	0.10947203959637741	-0.1542386190170258	0.27714918537301303	2	1.0	0.875
arm_level_expression_cnv	qc_composition	TACSTD2_z	condition_PTC	4	-0.12278381681600684	-0.10351140944302581	-0.3812455134432714	0.15495028718423876	2	1.0	0.875
arm_level_expression_cnv	qc_composition	TLS_B_z	all_cancer_slides	12	0.03940584363983701	0.06870989309324564	-0.015393002660656026	0.16171510060052602	8	0.3876953125	0.38037109375
arm_level_expression_cnv	qc_composition	TLS_B_z	condition_ATC	4	0.120100796078615	0.09691399652466123	0.01701811729869239	0.19999667530458384	3	0.625	0.375
arm_level_expression_cnv	qc_composition	TLS_B_z	condition_LPTC	4	-0.09040712807561463	-0.10394527233314776	-0.23250081460892302	0.03814841420016063	2	1.0	0.625
arm_level_expression_cnv	qc_composition	TLS_B_z	condition_PTC	4	0.09363551644173904	0.21316095508822347	0.027984865448273895	0.27881160608168865	3	0.625	0.25
arm_level_expression_cnv	qc_composition	TROP2_raw	all_cancer_slides	12	-0.003486434617625045	0.05733937464985401	-0.33379649564850855	0.3436313188924199	6	1.0	1.0
arm_level_expression_cnv	qc_composition	TROP2_raw	condition_ATC	4	-0.003486434617625045	-0.05233615161229885	-0.07635382421529674	0.020531237985372843	2	1.0	0.875
arm_level_expression_cnv	qc_composition	TROP2_raw	condition_LPTC	4	0.218802525129516	0.41120692784184304	-0.23100752690241733	0.8610169798737765	2	1.0	0.875
arm_level_expression_cnv	qc_composition	TROP2_raw	condition_PTC	4	-0.14524639961135694	-0.1868526522799822	-0.7234702402773645	0.39137118838602536	2	1.0	0.875
arm_level_expression_cnv	qc_composition	Tcell_cytotoxic_z	all_cancer_slides	12	0.04685857135282054	0.13263148025378746	0.0054732747191108926	0.1889037889707762	9	0.14599609375	0.06396484375
arm_level_expression_cnv	qc_composition	Tcell_cytotoxic_z	condition_ATC	4	0.3013486849909758	0.30729254724444577	0.05456460818694325	0.5540766240484784	3	0.625	0.625
arm_level_expression_cnv	qc_composition	Tcell_cytotoxic_z	condition_LPTC	4	0.014293625014981312	0.025974138638932585	-0.006593194219208086	0.046860957873121986	2	1.0	0.625
arm_level_expression_cnv	qc_composition	Tcell_cytotoxic_z	condition_PTC	4	0.039746108899112356	0.0646277548779841	0.01628083192794208	0.08809303184915437	4	0.125	0.125
gene_bin_infercnv_lite	qc	EMT_stress_z	all_cancer_slides	12	0.00962875838238098	0.021450389454927537	-0.03985672738824627	0.09378399262868928	6	1.0	0.4697265625
gene_bin_infercnv_lite	qc	EMT_stress_z	condition_ATC	4	-0.027036338600277824	-0.019281332064703033	-0.05796863004472337	0.01165095937974251	1	0.625	0.625
gene_bin_infercnv_lite	qc	EMT_stress_z	condition_LPTC	4	0.04614134575693037	0.04426179744058659	-0.012957734881819434	0.1033608780793364	2	1.0	0.625
gene_bin_infercnv_lite	qc	EMT_stress_z	condition_PTC	4	0.0548863406149711	0.039370702988899046	0.0031860550373256497	0.0910709885665445	3	0.625	0.375
gene_bin_infercnv_lite	qc	Macrophage_TAM_z	all_cancer_slides	12	0.09600861877048268	0.19553697804808437	0.05419771823690955	0.2822745611773519	10	0.03857421875	0.02685546875
gene_bin_infercnv_lite	qc	Macrophage_TAM_z	condition_ATC	4	0.0638367042467812	0.28252153948544595	0.021296277866924503	0.32506196586530267	3	0.625	0.375
