	sample	stage	pc1	pc2	cohort
228	TCGA-DJ-A3UQ-01A	pre	7.091154968972942	-7.932106452660433	TCGA-THCA
229	TCGA-BJ-A0ZF-01A	pre	0.5649025558703067	-10.10447095686604	TCGA-THCA
230	TCGA-EM-A3O7-01A	pre	3.2000492744743507	-13.928683562917737	TCGA-THCA
231	TCGA-IM-A3EB-01A	pre	6.161973602449755	-8.440217235928278	TCGA-THCA
232	TCGA-EL-A3ZO-01A	pre	3.4712693304004505	-1.5015434348268641	TCGA-THCA
233	TCGA-EL-A3H5-01A	pre	-8.62267087534589	0.29055995200105517	TCGA-THCA
234	TCGA-EL-A3ZK-11A	pre	3.0459871437495734	-4.749454084686205	TCGA-THCA
235	TCGA-EM-A3AK-01A	pre	6.274747501881884	-12.264391430315708	TCGA-THCA
236	TCGA-ET-A25L-01A	pre	3.0013278170993547	-9.489558509702807	TCGA-THCA
237	TCGA-FY-A3ON-01A	pre	9.825348071915217	-8.670185812093937	TCGA-THCA
238	TCGA-DE-A4MB-01A	pre	4.52614378703264	-6.2341836970499696	TCGA-THCA
239	TCGA-EL-A3CT-01A	pre	7.261776854232848	-9.220186615153011	TCGA-THCA
240	TCGA-ET-A2MZ-01A	pre	5.149668958088665	-15.18474612290624	TCGA-THCA
241	TCGA-EM-A4FU-01A	pre	-2.5732539801851018	-9.714439194731312	TCGA-THCA
242	TCGA-EM-A1CU-01A	pre	7.052561607917665	-12.285484974772944	TCGA-THCA
243	TCGA-FY-A3TY-01A	pre	12.093296257513916	-1.9967942736123445	TCGA-THCA
244	TCGA-EM-A3FN-01A	pre	-9.161561141205203	-7.399912976436322	TCGA-THCA
245	TCGA-E3-A3DZ-01A	pre	0.9742776392695032	-10.010807143718962	TCGA-THCA
246	TCGA-EM-A1YA-01A	pre	-6.9612457379548065	-8.899299197494026	TCGA-THCA
247	TCGA-EL-A4KH-01A	pre	-2.4891565426133337	-11.557423084753852	TCGA-THCA
248	TCGA-E3-A3E0-01A	pre	8.766739777535342	-11.389003159543886	TCGA-THCA
249	TCGA-FE-A232-01A	pre	3.3084033803629396	-10.950573471226472	TCGA-THCA
250	TCGA-EL-A3T3-11A	pre	-0.5835688799484704	-9.922974304718608	TCGA-THCA
251	TCGA-BJ-A0ZC-01A	pre	-4.380520109968179	-12.121365140300142	TCGA-THCA
252	TCGA-EM-A2CU-01A	pre	6.604936796742801	-11.29885382223995	TCGA-THCA
253	TCGA-DJ-A2PV-01A	pre	8.030077899915575	-13.37136998749422	TCGA-THCA
254	TCGA-DJ-A3V3-01A	pre	4.255388011979643	-10.59007838696392	TCGA-THCA
255	TCGA-BJ-A45K-01A	pre	-0.3743472008897643	-12.700126421704574	TCGA-THCA
256	TCGA-EM-A3OB-01A	pre	-0.1895985496972655	-12.50520740713841	TCGA-THCA
257	TCGA-FY-A3R6-01A	pre	9.338219882008984	-5.356068368648926	TCGA-THCA
258	TCGA-E8-A2EA-01A	pre	3.9607284551277187	-3.0055082648746416	TCGA-THCA
259	TCGA-DJ-A3V7-01A	pre	2.5186084747041786	-12.207847679451273	TCGA-THCA
260	TCGA-IM-A41Z-01A	pre	2.2474412526801433	-8.899433679088956	TCGA-THCA
261	TCGA-EL-A3CX-01A	pre	0.5779875414795541	-1.7729541474576755	TCGA-THCA
262	TCGA-EM-A2OX-01A	pre	7.325761474449807	-11.115947259265608	TCGA-THCA
263	TCGA-DJ-A3UT-01A	pre	-2.7496836723458884	-11.079466095604184	TCGA-THCA
264	TCGA-J8-A3YH-01A	pre	5.914872794915077	-12.68190042917426	TCGA-THCA
265	TCGA-FY-A3NN-01A	pre	0.7091484591218031	-12.06160893823082	TCGA-THCA
266	TCGA-EM-A1YB-01A	pre	-17.698591268651846	-6.143394142227158	TCGA-THCA
267	TCGA-DJ-A4V4-01A	pre	1.7320579306214319	-9.973751158928279	TCGA-THCA
268	TCGA-ET-A3DV-01A	pre	-0.29565793904775794	-13.422546725179988	TCGA-THCA
269	TCGA-EM-A4FF-01A	pre	3.618572261128777	-9.92824127767966	TCGA-THCA
270	TCGA-DJ-A13M-01A	pre	-2.8068740027431467	-13.550858251850219	TCGA-THCA
271	TCGA-EL-A3D1-01A	pre	-1.9316866562566555	-11.984969420746124	TCGA-THCA
272	TCGA-BJ-A28V-01A	pre	0.32569314798640264	-13.456661428560638	TCGA-THCA
273	TCGA-BJ-A3EZ-01A	pre	2.8658915792625073	-8.575930551943301	TCGA-THCA
274	TCGA-H2-A3RI-01A	pre	1.8248430669147038	-12.895623786045096	TCGA-THCA
275	TCGA-H2-A3RI-11A	pre	2.677056461795975	-7.6961675784899	TCGA-THCA
276	TCGA-EM-A3FP-01A	pre	0.08501121230807604	-8.305774500451081	TCGA-THCA
277	TCGA-ET-A3DU-01A	pre	-1.6756900588389612	-4.22554804684487	TCGA-THCA
278	TCGA-EM-A22N-01A	pre	-11.810120534087092	-7.045156342177851	TCGA-THCA
279	TCGA-DE-A0Y3-01B	pre	1.0156659973253603	-16.377651266730165	TCGA-THCA
280	TCGA-FY-A3BL-01A	pre	-3.354609269544025	-15.32053556776863	TCGA-THCA
281	TCGA-QD-A8IV-01A	pre	-3.5136035397436904	-11.745678255724703	TCGA-THCA
282	TCGA-FY-A3R8-01A	pre	5.881778251058528	-9.28744172709884	TCGA-THCA
283	TCGA-EM-A22J-01A	pre	-6.844535687124827	-12.125245708952802	TCGA-THCA
284	TCGA-FE-A235-01A	pre	4.777012457695319	-10.679184281261314	TCGA-THCA
285	TCGA-ET-A3BS-01A	pre	3.59142415648573	-6.824027600355256	TCGA-THCA
286	TCGA-J8-A3YE-01A	pre	2.0587883755135845	-10.335218499089773	TCGA-THCA
287	TCGA-EM-A2CT-01A	pre	2.630784110056093	-11.252065723538145	TCGA-THCA
288	TCGA-DJ-A3VL-01A	pre	-0.5506473697001312	-5.834387002752821	TCGA-THCA
289	TCGA-EM-A3FJ-01A	pre	6.142403619018624	-11.401291734577587	TCGA-THCA
