threshold	prev	sens	spec	npv	ppv	unnecessary_surgery	missed_cancer	nb_model	nb_treat_all	nb_treat_none	tp	fp	tn	fn
0.9100000000000003	0.1	0.854	0.9735555555555555	0.9836102379883251	0.782051282051282	0.0238	0.0146	-0.1552444444444452	-9.000000000000028	0.0	854	238	8762	146
0.9200000000000003	0.1	0.854	0.9735555555555555	0.9836102379883251	0.782051282051282	0.0238	0.0146	-0.188300000000001	-10.250000000000037	0.0	854	238	8762	146
0.9300000000000002	0.1	0.854	0.9735555555555555	0.9836102379883251	0.782051282051282	0.0238	0.0146	-0.2308000000000008	-11.857142857142888	0.0	854	238	8762	146
0.9400000000000002	0.1	0.854	0.9735555555555555	0.9836102379883251	0.782051282051282	0.0238	0.0146	-0.28746666666666787	-14.000000000000043	0.0	854	238	8762	146
0.9500000000000002	0.1	0.854	0.9736666666666667	0.983612077674262	0.7827681026581118	0.0237	0.0146	-0.36490000000000167	-17.000000000000064	0.0	854	237	8763	146
0.05	0.15	0.99	0.3850588235294118	0.9954379562043796	0.2212455303933254	0.5227	0.0015	0.12098947368421051	0.10526315789473684	0.0	1485	5227	3273	15
0.060000000000000005	0.15	0.99	0.386	0.9954490291262136	0.2215095465393795	0.5219	0.0015	0.11518723404255318	0.09574468085106382	0.0	1485	5219	3281	15
0.07	0.15	0.9893333333333333	0.3871764705882353	0.9951617780465679	0.22172418945166592	0.5209	0.0016	0.10919247311827956	0.08602150537634407	0.0	1484	5209	3291	16
0.08000000000000002	0.15	0.9893333333333333	0.38835294117647057	0.9951763641845041	0.22205596289091725	0.5199	0.0016	0.10319130434782608	0.07608695652173911	0.0	1484	5199	3301	16
0.09000000000000001	0.15	0.9893333333333333	0.38941176470588235	0.995189416716777	0.22235540905004494	0.519	0.0016	0.09707032967032966	0.06593406593406592	0.0	1484	5190	3310	16
0.1	0.15	0.9893333333333333	0.3910588235294118	0.9952095808383233	0.2228228228228228	0.5176	0.0016	0.0908888888888889	0.05555555555555555	0.0	1484	5176	3324	16
0.11000000000000001	0.15	0.9893333333333333	0.3915294117647059	0.9952153110047847	0.22295673076923078	0.5172	0.0016	0.08447640449438203	0.044943820224719086	0.0	1484	5172	3328	16
0.12000000000000001	0.15	0.9893333333333333	0.39235294117647057	0.9952253058788422	0.22319145736200932	0.5165	0.0016	0.07796818181818183	0.034090909090909075	0.0	1484	5165	3335	16
0.13	0.15	0.9893333333333333	0.3935294117647059	0.9952395120499852	0.22352763970477482	0.5155	0.0016	0.0713712643678161	0.022988505747126436	0.0	1484	5155	3345	16
0.14	0.15	0.9893333333333333	0.39458823529411763	0.9952522255192878	0.22383107088989443	0.5146	0.0016	0.0646279069767442	0.011627906976744179	0.0	1484	5146	3354	16
0.15000000000000002	0.15	0.9886666666666667	0.39541176470588235	0.9949674363528715	0.22395046813651465	0.5139	0.0017	0.05761176470588232	-2.7755575615628914e-17	0.0	1483	5139	3361	17
0.16000000000000003	0.15	0.988	0.39694117647058824	0.9946933962264151	0.22427360774818403	0.5126	0.0018	0.05056190476190475	-0.011904761904761946	0.0	1482	5126	3374	18
0.17000000000000004	0.15	0.988	0.3981176470588235	0.9947089947089947	0.22461351924825704	0.5116	0.0018	0.04341445783132526	-0.024096385542168725	0.0	1482	5116	3384	18
0.18000000000000005	0.15	0.988	0.3991764705882353	0.9947229551451188	0.22492032174836848	0.5107	0.0018	0.03609512195121946	-0.0365853658536586	0.0	1482	5107	3393	18
0.19	0.15	0.988	0.4	0.994733762434172	0.22515952597994532	0.51	0.0018	0.02857037037037037	-0.04938271604938271	0.0	1482	5100	3400	18
0.2	0.15	0.988	0.40094117647058825	0.9947460595446584	0.2254335260115607	0.5092	0.0018	0.020900000000000002	-0.0625	0.0	1482	5092	3408	18
0.21000000000000002	0.15	0.988	0.402	0.994759825327511	0.22574257425742575	0.5083	0.0018	0.013082278481012649	-0.07594936708860761	0.0	1482	5083	3417	18
0.22000000000000003	0.15	0.9873333333333333	0.4036470588235294	0.9944927536231885	0.22610687022900763	0.5069	0.0019	0.00512820512820511	-0.08974358974358979	0.0	1481	5069	3431	19
0.23000000000000004	0.15	0.9873333333333333	0.40388235294117647	0.9944959443800695	0.22617593158216248	0.5067	0.0019	-0.0032519480519480892	-0.10389610389610396	0.0	1481	5067	3433	19
0.24000000000000005	0.15	0.9873333333333333	0.4043529411764706	0.9945023148148148	0.22631418092909536	0.5063	0.0019	-0.011784210526315786	-0.11842105263157895	0.0	1481	5063	3437	19
0.25000000000000006	0.15	0.9873333333333333	0.40494117647058825	0.9945102571511124	0.2264872304633736	0.5058	0.0019	-0.020500000000000046	-0.1333333333333334	0.0	1481	5058	3442	19
0.26000000000000006	0.15	0.9873333333333333	0.4061176470588235	0.9945260731777585	0.22683412467452901	0.5048	0.0019	-0.02926216216216221	-0.1486486486486487	0.0	1481	5048	3452	19
0.27	0.15	0.9406666666666667	0.8434117647058823	0.987737668779278	0.5145878920495989	0.1331	0.0089	0.09187123287671234	-0.16438356164383564	0.0	1411	1331	7169	89
0.28	0.15	0.9406666666666667	0.844	0.9877461104226903	0.515527950310559	0.1326	0.0089	0.08953333333333333	-0.1805555555555556	0.0	1411	1326	7174	89
0.29000000000000004	0.15	0.9406666666666667	0.8449411764705882	0.9877595929033145	0.5170392085012825	0.1318	0.0089	0.08726619718309858	-0.19718309859154934	0.0	1411	1318	7182	89
0.30000000000000004	0.15	0.9406666666666667	0.8456470588235294	0.9877696853098804	0.5181784796180683	0.1312	0.0089	0.08487142857142856	-0.21428571428571433	0.0	1411	1312	7188	89
0.31000000000000005	0.15	0.9406666666666667	0.8469411764705882	0.987788144895719	0.5202802359882006	0.1301	0.0089	0.08264927536231884	-0.2318840579710146	0.0	1411	1301	7199	89
0.32000000000000006	0.15	0.94	0.8478823529411764	0.9876661641770591	0.5216426193118757	0.1293	0.009	0.08015294117647055	-0.2500000000000001	0.0	1410	1293	7207	90
0.33	0.15	0.94	0.8484705882352941	0.9876746096959738	0.5226093402520385	0.1288	0.009	0.07756119402985072	-0.26865671641791056	0.0	1410	1288	7212	90
0.34	0.15	0.94	0.8495294117647059	0.9876897825194911	0.5243584975827446	0.1279	0.009	0.07511212121212119	-0.28787878787878796	0.0	1410	1279	7221	90
0.35000000000000003	0.15	0.94	0.8498823529411764	0.9876948318293683	0.5249441548771407	0.1276	0.009	0.07229230769230767	-0.3076923076923077	0.0	1410	1276	7224	90
0.36000000000000004	0.15	0.94	0.8501176470588235	0.9876981957353745	0.5253353204172876	0.1274	0.009	0.06933749999999997	-0.3281250000000001	0.0	1410	1274	7226	90
0.37000000000000005	0.15	0.9386666666666666	0.8508235294117648	0.9874385581649372	0.5261584454409567	0.1268	0.0092	0.06633015873015873	-0.3492063492063493	0.0	1408	1268	7232	92
0.38000000000000006	0.15	0.9386666666666666	0.8515294117647059	0.9874488403819918	0.5273408239700375	0.1262	0.0092	0.06345161290322578	-0.370967741935484	0.0	1408	1262	7238	92
