sample_id	PC1	PC2	PC3	PC4	PC5	cohort
GSM2024858	3.2174170998344755	-0.5302330095821853	0.20597857244895038	-0.08456305939783494	-0.10344719676710533	GSE76039
GSM2024859	-2.910429889632801	0.3997316928243941	0.3819046030082643	0.24640131109425611	0.18028325392652653	GSE76039
GSM2024860	1.8767202087006225	-0.06798132134094106	1.0296376787421377	-0.24084527347674667	-0.36303271899260625	GSE76039
GSM1588026	0.7606857012050678	-0.7804612300347209	0.6591182075491245	-0.5821367279560951	-0.386249866778848	GSE65144
GSM1588027	-0.0693484051055455	-0.6479483882282654	-0.07244613664009775	0.7377213024066033	0.07260871253580976	GSE65144
GSM1588028	1.412305101560355	-0.6188320790105437	0.141858984682088	1.233924299914576	0.05054128651982198	GSE65144
GSM1588029	2.217720942155769	-0.5673121180272077	0.0720462178441257	0.4116737157506222	1.1158218155817647	GSE65144
GSM1588030	0.7840630059840893	-0.8290415502846186	0.1769193186600635	0.6162855660978751	-0.5777403840946295	GSE65144
GSM1588031	-0.21634434405305822	-0.6829907492303863	0.16417469507481416	-0.2547870066597386	0.5092868992652679	GSE65144
GSM1588032	0.9325423602066432	-0.6593556634303996	0.01447963476302291	1.249567437775611	-0.14521916503655669	GSE65144
GSM1588033	1.1776539699891835	-1.3991233631139623	0.8124359714071517	-0.5420358008376333	-0.2945839317956268	GSE65144
GSM1588034	-1.5180168995101402	-1.260185271792378	-0.5202297986930066	0.04633519640329315	0.17062427224250218	GSE65144
GSM1588035	-0.8467668390339878	-0.8770625024096041	-0.7213864263381371	0.5587045641450551	-0.10627566519682513	GSE65144
GSM1588036	2.0366108386547763	-2.337880256452157	2.583878420143008	0.2704452440429664	0.06318774372104669	GSE65144
GSM1588037	3.3113195633092243	0.3390326405392255	-1.2717843231878039	-0.8177768337227284	1.4428338001706729	GSE65144
GSM1588038	-2.2356852853523237	1.9096979607054538	1.2894231994131273	0.5038407609991031	0.18925379968645742	GSE65144
