	SLC5A5	TPO	TG	TSHR	PAX8	FOXE1	DIO1	group
F7_129C|PDTC	0.4930053	2.0428689	0.4251697	1.6225813	1.136551	1.6910272	0.006907142	PDTC
F7_130N|PDTC	0.7121687	0.6888408	0.8103082	2.7399426	1.181143	0.9047638	0.006907142	PDTC
F8_133C|PDTC	1.052301	1.3897734	0.6655206	0.4348734	0.006907142	1.0952948	0.006907142	PDTC
F9_127C|PDTC	5.756916	1.9311659	0.4607496	0.8940432	0.7933307	1.6054182	0.006907142	PDTC
F9_129N|PDTC	0.7032023	0.69093	0.4121503	0.3235132	0.6331181	0.6100937	0.006907142	PDTC
F9_130N|PDTC	0.6927937	0.6870779	0.3262436	1.0650371	0.4653422	0.9040356	0.006907142	PDTC
F10_127N|PDTC	0.006907142	0.5421411	0.424632	0.6522315	0.9638799	1.2720429	0.006907142	PDTC
F11_129N|PDTC	0.006907142	0.5896928	0.3028021	0.3437005	0.6696102	0.790569	0.006907142	PDTC
F13_127N|PDTC	0.006907142	0.6575359	0.4038991	1.3735608	0.9815318	0.7657546	0.803061	PDTC
F13_130N|PDTC	0.006907142	0.5460698	0.3611703	1.0287466	1.183131	0.8465216	1.090754	PDTC
F13_131N|PDTC	0.006907142	0.9059566	0.4402646	0.604881	1.233327	1.0217526	6.328398	PDTC
F17_131C|PDTC	0.006907142	0.577782	0.3172384	3.6425694	0.6933442	1.2652436	0.006907142	PDTC
F18_128N|PDTC	0.006907142	0.5248251	0.3488892	0.4034432	0.8504864	0.6195061	0.006907142	PDTC
F18_130C|PDTC	0.006907142	1.2090732	0.3265388	2.0357044	1.042118	1.2322487	0.006907142	PDTC
F19_132C|PDTC	0.006907142	0.6772849	0.4836741	1.1679227	0.8811385	1.0811398	0.006907142	PDTC
F22_129C|PDTC	0.8183831	0.6295518	0.4561211	0.4818314	0.6344336	0.4917968	0.006907142	PDTC
F23_127N|PDTC	0.372252	0.4842624	0.33425	0.006907142	0.7264897	0.4895702	0.006907142	PDTC
F24_132N|PDTC	0.006907142	0.6464385	0.3947056	0.8942119	1.213736	1.0134725	0.006907142	PDTC
F24_132C|PDTC	0.006907142	0.5545111	0.3856785	0.4945437	0.9699645	0.5568228	0.006907142	PDTC
F25_127N|PDTC	0.7148475	0.6741376	0.4519858	0.606376	1.088574	1.562208	0.006907142	PDTC
F25_130N|PDTC	0.7237589	0.830854	0.9247024	0.4835137	0.9417539	0.6875775	0.006907142	PDTC
F25_132C|PDTC	2.807765	1.0987802	0.4613401	1.3912014	1.763316	1.6021663	0.006907142	PDTC
F26_133C|PDTC	0.3202743	0.7867287	0.6747973	0.6988361	1.068385	1.046314	0.006907142	PDTC
F27_132C|PDTC	1.095454	0.8679539	0.5909086	0.5367256	1.110547	3.4405221	0.006907142	PDTC
F28_131C|PDTC	1.168852	0.7076256	0.5572349	0.6061922	0.8675218	0.6593718	0.006907142	PDTC
F29_128N|PDTC	3.555712	1.109413	0.6295492	0.9845015	1.230868	1.3769271	0.006907142	PDTC
F29_129N|PDTC	7.228041	1.4486385	0.5031015	1.1833599	1.072033	1.3374352	0.006907142	PDTC
F29_133N|PDTC	0.8203363	0.9261527	0.7250827	1.0742669	0.9456582	0.7925619	0.006907142	PDTC
F29_133C|PDTC	0.9972908	3.2920967	0.4134976	1.8994457	1.102713	1.2583569	0.006907142	PDTC
F30_130N|PDTC	0.006907142	1.2429563	0.3172897	2.0261592	0.006907142	1.1446083	0.006907142	PDTC
F31_133C|PDTC	0.006907142	0.7228808	0.4120015	0.547501	0.9696051	1.024301	0.006907142	PDTC
F32_127C|PDTC	0.006907142	1.2568562	0.6555674	1.805888	1.188613	0.8072454	0.006907142	PDTC
