query_id	query_term	pmid	year	journal	authors	title	relevance	abstract_500
H	(SN-38 AND mutation AND selectivity)	28549783	2017	The Lancet. Oncology	Mody R; Naranjo A; Van Ryn C	Irinotecan-temozolomide with temsirolimus or dinutuximab in children with refractory or relapsed neuroblastoma (COG ANBL1221): an open-label, randomised, phase 2 trial.	LOW	Outcomes for children with relapsed and refractory neuroblastoma are dismal. The combination of irinotecan and temozolomide has activity in these patients, and its acceptable toxicity profile makes it an excellent backbone for study of new agents. We aimed to test the addition of temsirolimus or dinutuximab to irinotecan-temozolomide in patients with relapsed or refractory neuroblastoma. For this open-label, randomised, phase 2 selection design trial of the Children's Oncology Group (COG; ANBL12
H	(SN-38 AND mutation AND selectivity)	35078817	2022	Cancer research	Wilson Z; Odedra R; Wallez Y	ATR Inhibitor AZD6738 (Ceralasertib) Exerts Antitumor Activity as a Monotherapy and in Combination with Chemotherapy and the PARP Inhibitor Olaparib.	LOW	AZD6738 (ceralasertib) is a potent and selective orally bioavailable inhibitor of ataxia telangiectasia and Rad3-related (ATR) kinase. ATR is activated in response to stalled DNA replication forks to promote G2-M cell-cycle checkpoints and fork restart. Here, we found AZD6738 modulated CHK1 phosphorylation and induced ATM-dependent signaling (pRAD50) and the DNA damage marker γH2AX. AZD6738 inhibited break-induced replication and homologous recombination repair. In vitro sensitivity to AZD6738 w
H	(SN-38 AND mutation AND selectivity)	38466804	2024	Molecular cancer therapeutics	Jo U; Arakawa Y; Zimmermann A	The Novel ATR Inhibitor M1774 Induces Replication Protein Overexpression and Broad Synergy with DNA-targeted Anticancer Drugs.	LOW	Ataxia telangiectasia and Rad3-related (ATR) checkpoint kinase inhibitors are in clinical trials. Here we explored the molecular pharmacology and therapeutic combination strategies of the oral ATR inhibitor M1774 (Tuvusertib) with DNA-damaging agents (DDA). As single agent, M1774 suppressed cancer cell viability at nanomolar concentrations, showing greater activity than ceralasertib and berzosertib, but less potency than gartisertib and elimusertib in the small cell lung cancer H146, H82, and DM
H	(SN-38 AND mutation AND selectivity)	30476968	2019	JAMA oncology	Cremolini C; Rossini D; Dell'Aquila E	Rechallenge for Patients With RAS and BRAF Wild-Type Metastatic Colorectal Cancer With Acquired Resistance to First-line Cetuximab and Irinotecan: A Phase 2 Single-Arm Clinical Trial.	HIGH	Based on a small retrospective study, rechallenge with cetuximab-based therapy for patients with KRAS wild-type metastatic colorectal cancer (mCRC) who were previously treated with the same anti-epidermal growth factor receptor-based regimen might be efficacious. Recent data suggest the role of liquid biopsy as a tool to track molecular events in circulating tumor DNA (ctDNA). To prospectively assess the activity of cetuximab plus irinotecan as third-line treatment for patients with RAS and BRAF
H	(SN-38 AND mutation AND selectivity)	10903787	2000	Bulletin du cancer	Ychou M; Senesse P; Quénet F	[Update on gastroenterology].	LOW	In the field of mass detection of colorectal cancer by Hemoccul test, the results of the Burgundy study confirm the two european studies previously published and encourage to extend this training to the whole country. In oncogenetic field, a recent publication suggest some different clinical criteria that Amsterdam criteria to define a Lynch syndrome. When genetic markers are performed in a population selected according to these type I criteria, HNPCC mutation could be detected in 28% of cases. 
H	(SN-38 AND mutation AND selectivity)	40973093	2026	Neuro-oncology	Jiang Z; Xie L; Zhou H	Transcriptomics-guided high-throughput drug screening identifies potent therapies for P53 pathway altered DIPG/DMG.	LOW	Diffuse midline gliomas (DMGs), particularly diffuse intrinsic pontine gliomas (DIPGs), are aggressive pediatric brain tumors with a median survival of less than 12 months. Notably, approximately 70% of these tumors harbor P53 pathway alterations, including TP53 or PPM1D mutations. Identifying precision therapies for this subset is crucial. This study aims to employ transcriptomics-guided high-throughput drug screening to identify effective treatments for DIPG/DMG with P53 pathway alterations. T
H	(SN-38 AND mutation AND selectivity)	15075385	2004	The Journal of pharmacology and experimental therapeutics	Bates SE; Medina-Pérez WY; Kohlhagen G	ABCG2 mediates differential resistance to SN-38 (7-ethyl-10-hydroxycamptothecin) and homocamptothecins.	LOW	One activity potentially limiting the efficacy of camptothecin anticancer agents is their cellular efflux by the ATP-binding cassette half-transporter, ABCG2. Homocamptothecins are novel anticancer drugs that inhibit topoisomerase 1 with a greater potency than camptothecins. Homocamptothecins differ from camptothecins by their E-ring, which is seven-membered instead of the six-membered ring of camptothecins. We report herein that, like camptothecins, homocamptothecin and its difluoro derivative 
H	(SN-38 AND mutation AND selectivity)	40531821	2025	Cancer research	Totiger TM; Chiraphapphaiboon W; Baca Y	XPO1 R749Q Mutations Co-occur with POLE Mutations in Cancer and Can Be Targeted to Overcome Chemoresistance.	LOW	Exportin-1 (XPO1) is a nuclear export receptor that is essential for cell survival. Previous genomic analyses have identified recurrent XPO1 hotspot mutations in cancer. In this study, we conducted a large-scale genomic analysis of 217,570 patients with cancer to identify and characterize XPO1 variants from real-world patient tumors. XPO1 harbored an R749Q mutation in various solid tumors, with a clear enrichment in endometrial and colorectal cancers, and XPO1R749Q mutations significantly co-occ
H	(SN-38 AND mutation AND selectivity)	33069191	2021	Current medicinal chemistry	Morelli C; Formica V; Riondino S	Irinotecan or Oxaliplatin: Which is the First Move for the Mate?	MEDIUM	The aim of the present review is to discuss the potential link between RAS, BRAF and microsatellite instability (MSI) mutational patterns and chemotherapeutic agent efficacy [Irinotecan (IRI) vs. Oxaliplatin (OXA)], and how this can potentially influence the choice of the chemotherapy backbone. Following a review of the research literature, all pertinent articles published in the core journals were selected for the study. The inclusion criteria regarded relevant clinical and pre-clinical studies
H	(SN-38 AND mutation AND selectivity)	20719167	2009	Zhongguo fei ai za zhi = Chinese journal of lung cancer	Osawa K	Gene Polymorphisms and Chemotherapy in Non-small Cell Lung Cancer.	LOW	The phamacogenetics is being used to predict whether the selected chemotherapy will be really effective and tolerable to the patient. Irinotecan, oxidized by CYP3A4 to produce inactive compounds, is used for treatment of various cancers including advanced non small cell lung cancer (NSCLC) patients. CYP3A4(*)16B polymorphism was associated with decreased metabolism of irrinotecan. Irinotecan is also metabolized by carboxylesterase to its principal active metabolite, SN-38, which is subsequently 
H	(SN-38 AND mutation AND selectivity)	40115936	2025	Journal of gastrointestinal oncology	Sotirchos VS; Silk MT; Camacho JC	Selective intra-arterial mitomycin-C infusions for treatment-refractory colorectal liver metastases.	LOW	Mitomycin-C is an older drug which has a synergistic mechanism of action with irinotecan. This study evaluated the outcomes of selective intra-arterial mitomycin-C infusions in combination with bi-weekly systemic irinotecan for treatment of liver-dominant metastatic colorectal cancer (CRC) which progressed after hepatic arterial infusion (HAI) pump chemotherapy with floxuridine and at least two lines of systemic chemotherapy. An IRB-approved retrospective review of patients receiving at least tw
H	(SN-38 AND mutation AND selectivity)	40462147	2025	Molecular cancer	Kim JS; Park CH; Kim E	Establishing 3D organoid models from patient-derived conditionally reprogrammed cells to bridge preclinical and clinical insights in pancreatic cancer.	LOW	Pancreatic cancer is a highly lethal malignancy with limited treatment response. Despite advancements in treatment, systemic chemotherapy remains the primary therapeutic approach for over 80% of patients, with no established biomarkers to guide drug selection. Traditional two-dimensional (2D) culture models fail to replicate the tumor microenvironment, necessitating the development of more advanced models, such as three-dimensional (3D) organoid models. We established 3D organoid cultures using 
H	(SN-38 AND mutation AND selectivity)	37727377	2023	Frontiers in genetics	Nie Y; Xu L; Bai Z	Prognostic utility of TME-associated genes in pancreatic cancer.	LOW	
H	(SN-38 AND mutation AND selectivity)	39874630	2025	European journal of medicinal chemistry	Li T; Yu X; Wan X	Exploiting synthetic lethality in PDAC with antibody drug conjugates and ATR inhibition.	MEDIUM	Pancreatic ductal adenocarcinoma (PDAC) remains a highly lethal malignancy with poor prognosis. Antibody-drug conjugates (ADCs) and their combinations with various anti-tumor drugs have made great progress. Camptothecin, and its derivatives (Dxd, SN-38 or exatecan) targeted TOP1 are effective payloads due to their potent anti-tumor activity. ADCs offer a promising avenue, particularly when integrated with synthetic lethality strategies. In this study, the ADC SA-7-49 is engineered by conjugating
H	(SN-38 AND mutation AND selectivity)	32173280	2020	Clinical colorectal cancer	Thomas J; Leal A; Overman MJ	Clinical Development of Immunotherapy for Deficient Mismatch Repair Colorectal Cancer.	LOW	Colorectal cancer (CRC) is the second most common cause of cancer-related death in the United States. Despite excellent prognosis for early stage disease, 5-year survival rates in metastatic disease remain low. A small subset of CRC is defined by a deficiency in mismatch repair (dMMR) resulting in high levels of microsatellite instability and are responsive to immunotherapy. Immune checkpoint inhibitors (ICIs) targeting the programmed death 1 (PD-1)/programmed death ligand 1 axis and cytotoxic T
