lineage	hallmark	n	n_genes	spearman_r	p	fdr
bladder urothelial carcinoma	Wnt-beta Catenin Signaling	427	42	0.288856780949216	1.1902592394817229e-09	1.700370342116747e-09
bladder urothelial carcinoma	Myogenesis	427	198	0.26214017674300744	3.854166650275345e-08	5.353009236493535e-08
bladder urothelial carcinoma	Bile Acid Metabolism	427	112	-0.24542012300553745	2.8179205137496334e-07	3.808000694256261e-07
bladder urothelial carcinoma	Estrogen Response Late	427	196	0.20399707884198096	2.1589485322490952e-05	2.8407217529593355e-05
bladder urothelial carcinoma	KRAS Signaling Dn	427	188	0.20260015740220394	2.463955146596949e-05	3.1589168546114726e-05
bladder urothelial carcinoma	Fatty Acid Metabolism	427	154	-0.19267389228892584	6.1404375916262e-05	7.67554698953275e-05
bladder urothelial carcinoma	Protein Secretion	427	95	0.1916616906895641	6.722611186812972e-05	8.198306325381673e-05
bladder urothelial carcinoma	Adipogenesis	427	189	-0.1768744842272572	0.00023951525832847673	0.00028513721229580564
bladder urothelial carcinoma	Notch Signaling	427	32	0.15878972317126291	0.0009929300463047326	0.0011545698212845727
bladder urothelial carcinoma	Myc Targets V2	427	58	0.1436097818718655	0.00293675028768418	0.00333721623600475
bladder urothelial carcinoma	Oxidative Phosphorylation	427	182	-0.14006006315200842	0.0037313701508195243	0.004145966834243915
bladder urothelial carcinoma	Spermatogenesis	427	132	0.1374524148106041	0.004434100987504945	0.004819674986418418
bladder urothelial carcinoma	Estrogen Response Early	427	192	0.11672671235009259	0.015812169577875127	0.016821456997739497
bladder urothelial carcinoma	DNA Repair	427	140	0.0708911042476708	0.14362106461527177	0.1496052756409081
bladder urothelial carcinoma	Xenobiotic Metabolism	427	197	0.02687844548522944	0.5796557883499331	0.5914854983162583
bladder urothelial carcinoma	Cholesterol Homeostasis	427	72	0.023250272278685133	0.6318678137046079	0.6318678137046079
brain lower grade glioma	Allograft Rejection	542	195	0.7045305343193584	1.8135474840675956e-82	9.067737420337977e-81
brain lower grade glioma	IL-6/JAK/STAT3 Signaling	542	87	0.7000438225222894	5.241158965244498e-81	1.3102897413111246e-79
brain lower grade glioma	PI3K/AKT/mTOR  Signaling	542	104	0.6932572667701791	7.551589948423668e-79	1.258598324737278e-77
brain lower grade glioma	TGF-beta Signaling	542	54	0.6920086508500359	1.856347299804928e-78	2.32043412475616e-77
brain lower grade glioma	Inflammatory Response	542	197	0.6893738730416045	1.2201713273446656e-77	1.2201713273446655e-76
brain lower grade glioma	Complement	542	195	0.6731423182856663	8.653663903598331e-73	7.211386586331944e-72
brain lower grade glioma	KRAS Signaling Up	542	193	0.6552965391211069	8.410807374181223e-68	6.007719552986588e-67
brain lower grade glioma	Epithelial Mesenchymal Transition	542	194	0.6462903305975755	2.067338405424342e-65	1.2920865033902137e-64
brain lower grade glioma	TNF-alpha Signaling via NF-kB	542	197	0.6413979147202185	3.806109885944179e-64	2.1145054921912107e-63
brain lower grade glioma	Apoptosis	542	158	0.6395611296299905	1.1207352598443954e-63	5.603676299221977e-63
brain lower grade glioma	IL-2/STAT5 Signaling	542	194	0.6345124766063513	2.1005640838938334e-62	9.548018563153788e-62
brain lower grade glioma	Interferon Gamma Response	542	196	0.6337972375719964	3.167708572097779e-62	1.3198785717074079e-61
brain lower grade glioma	Angiogenesis	542	36	0.6330013551480989	4.997107435452667e-62	1.921964398251026e-61
brain lower grade glioma	Coagulation	542	136	0.5488777134569285	5.732039507922331e-44	2.047156967115118e-43
brain lower grade glioma	Hypoxia	542	190	0.5183939092685746	1.3163239887350514e-38	4.387746629116838e-38
brain lower grade glioma	Androgen Response	542	96	0.5177518522260384	1.6846945144476833e-38	5.26467035764901e-38
brain lower grade glioma	Interferon Alpha Response	542	92	0.5164249293136197	2.800658126360803e-38	8.237229783414126e-38
