agent_query	nct	title	phase	status	start	sponsor	conditions	thyroid_relevant
sacituzumab tirumotecan	NCT06312176	A Study of Sacituzumab Tirumotecan (MK-2870) as a Single Agent and in Combination With Pembrolizumab (MK-3475) Versus Treatment of Physician's Choice in Participants With HR+/HER2-	PHASE3	RECRUITING	2024-04-14	Merck Sharp & Dohme LLC	Breast Neoplasms	False
sacituzumab tirumotecan	NCT07318558	A Clinical Trial of Sac-TMT in People With Non-HRD Positive Advanced Ovarian Cancer (MK-2870-021)	PHASE3	RECRUITING	2026-02-16	Merck Sharp & Dohme LLC	Ovarian Neoplasms; Ovarian Cancer	False
sacituzumab tirumotecan	NCT07501169	Sacituzumab Tirumotecan in Combination With Anlotinib in Previously Treated Patients With Extensive-Stage Small Cell Lung Cancer (ES-SCLC)	PHASE2	NOT_YET_RECRUITING	2026-04-01	Sichuan University	Extensive-stage Small Cell Lung Cancer (ES-SCLC)	False
sacituzumab tirumotecan	NCT06992739	Trilaciclib in Patients Receiving Sacituzumab Tirumotecan for EGFR-mutated, Advanced Non-Small Cell Lung Cancer (NSCLC)	PHASE2	RECRUITING	2025-12-08	The First Affiliated Hospital of Xiamen University	NSCLC (Advanced Non-small Cell Lung Cancer); EGFR; Myelosuppression	False
sacituzumab tirumotecan	NCT07521670	Sacituzumab Tirumotecan in Recurrent/Metastatic Adenoid Cystic Carcinoma and Papillary Thyroid Carcinoma (STRAP)	PHASE2	NOT_YET_RECRUITING	2026-05	National Cancer Centre, Singapore	Recurrent Adenoid Cystic Carcinoma; Adenoid Cystic Carcinoma Metastatic; Papillary Thyroid Carcinoma	True
sacituzumab tirumotecan	NCT07419295	A Clinical Trial of Sacituzumab Tirumotecan (Sac-TMT, MK-2870) to Treat Urothelial Cancer (MK-2870-031)	PHASE3	RECRUITING	2026-04-30	Merck Sharp & Dohme LLC	Bladder Cancer	False
datopotamab deruxtecan	NCT07129993	Study of Datopotamab Deruxtecan Plus Carboplatin or Cisplatin Versus Gemcitabine Plus Carboplatin or Cisplatin in Participants With Locally Advanced or Metastatic Urothelial Carcin	PHASE2,PHASE3	RECRUITING	2025-09-26	Daiichi Sankyo	Urothelial Cancer; Bladder Cancer	False
datopotamab deruxtecan	NCT01042379	I-SPY TRIAL: Neoadjuvant and Personalized Adaptive Novel Agents to Treat Breast Cancer	PHASE2	RECRUITING	2010-03-01	QuantumLeap Healthcare Collaborative	Breast Neoplasms; Breast Cancer; Breast Tumors; Angiosarcoma; TNBC - Triple-Negative Breast Cancer; HER2-positive Breast Cancer; HER2-negative Breast Cancer; Hormone Receptor Positive Tumor; Hormone R	False
datopotamab deruxtecan	NCT04644068	Study of AZD5305 as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Malignancies	PHASE1,PHASE2	ACTIVE_NOT_RECRUITING	2020-11-12	AstraZeneca	Ovarian Cancer; Breast Cancer; Pancreatic Cancer; Prostate Cancer; Additional Indications Below for Module 4 and 5; Non-small Cell Lung Cancer; Colorectal Cancer; Bladder Cancer; Gastric Cancer; Bilia	False
datopotamab deruxtecan	NCT03742102	A Study of Novel Anti-cancer Agents in Patients With Metastatic Triple Negative Breast Cancer	PHASE1,PHASE2	ACTIVE_NOT_RECRUITING	2018-12-21	AstraZeneca	Triple Negative Breast Neoplasms	False
datopotamab deruxtecan	NCT03401385	First-in-human Study of DS-1062a for Advanced Solid Tumors (TROPION-PanTumor01)	PHASE1	ACTIVE_NOT_RECRUITING	2018-01-31	Daiichi Sankyo Co., Ltd.	Hormone Receptor Positive Breast Cancer; Triple Negative Breast Cancer; Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT06564844	A Phase III, Randomised Study of Adjuvant Dato-DXd in Combination With Rilvegostomig or Rilvegostomig Monotherapy Versus Standard of Care, Following Complete Tumour Resection, in P	PHASE3	ACTIVE_NOT_RECRUITING	2024-10-15	AstraZeneca	Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT06533826	TReatment of ADC-Refractory Breast CancEr With Dato-DXd or T-DXd: TRADE DXd	PHASE2	RECRUITING	2024-10-29	Ana C Garrido-Castro, MD	Breast Cancer; HER2-low Breast Cancer; Metastatic Breast Cancer; HER2-negative Breast Cancer	False
datopotamab deruxtecan	NCT05687266	Phase III, Open-label, First-line Study of Dato-DXd in Combination With Durvalumab and Carboplatin for Advanced NSCLC Without Actionable Genomic Alterations	PHASE3	ACTIVE_NOT_RECRUITING	2022-12-29	AstraZeneca	NSCLC	False
datopotamab deruxtecan	NCT06676917	Datopotamab Deruxtecan (Dato-DXd) for Non-Small Cell Lung Cancer (NSCLC) Patients With Active Brain Metastases	PHASE2	WITHDRAWN	2025-06	MedSIR	Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT07069595	PREDICT-RD: ctDNA Surveillance in TNBC With Residual Disease	PHASE2	RECRUITING	2026-02-26	UNC Lineberger Comprehensive Cancer Center	Breast Cancer; Residual Disease; Triple Negative Breast Cancer (TNBC); Stage II/III	False
datopotamab deruxtecan	NCT06357533	Phase III, Open-label, Study of First-line Dato-DXd in Combination With Rilvegostomig for Advanced Non-squamous NSCLC With High PD-L1 Expression (TC ≥ 50%) and Without Actionable G	PHASE3	RECRUITING	2024-04-11	AstraZeneca	Non-Small Cell Lung Cancer	False
datopotamab deruxtecan	NCT07291037	Phase III Study of Datopotamab Deruxtecan Versus Docetaxel in Previously Treated TROP2-positive Advanced or Metastatic Non-squamous NSCLC Without Actionable Genomic Alterations	PHASE3	RECRUITING	2025-10-31	AstraZeneca	Non-small Cell Lung Cancer (NSCLC)	False
datopotamab deruxtecan	NCT05215340	Study of Dato-DXd Plus Pembrolizumab vs Pembrolizumab Alone in the First-line Treatment of Subjects With Advanced or Metastatic NSCLC Without Actionable Genomic Alterations	PHASE3	RECRUITING	2022-03-04	Daiichi Sankyo	Metastatic Non Small Cell Lung Cancer	False
datopotamab deruxtecan	NCT04940325	Datopotamab Deruxtecan (Dato-DXd, DS-1062a) in Advanced and/or Unresectable Non-Small Cell Lung Cancer	PHASE2	ACTIVE_NOT_RECRUITING	2021-05-12	Gustave Roussy, Cancer Campus, Grand Paris	Metastatic Lung Cancer; Advanced Non Small Cell Lung Cancer; Unresectable Non-small Lung Cancer	False
datopotamab deruxtecan	NCT06244485	A Study of Valemetostat Tosylate in Combination With DXd ADCs in Subjects With Solid Tumors	PHASE1	RECRUITING	2024-02-16	Daiichi Sankyo	Advanced Solid Tumor	False
datopotamab deruxtecan	NCT05555732	Datopotamab Deruxtecan (Dato-DXd) and Pembrolizumab With or Without Platinum Chemotherapy in 1L Non-Small Cell Lung Cancer (TROPION-Lung07)	PHASE3	ACTIVE_NOT_RECRUITING	2023-01-11	Daiichi Sankyo	Metastatic Non Small Cell Lung Cancer	False
datopotamab deruxtecan	NCT05489211	Study of Dato-DXd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03)	PHASE2	RECRUITING	2022-09-06	AstraZeneca	Endometrial Cancer; Gastric Cancer; Metastatic Castration-resistant Prostate Cancer; Ovarian Cancer; Colorectal Cancer; Urothelial Cancer; Biliary Tract Cancer	False
datopotamab deruxtecan	NCT06103864	A Phase III Study of Dato-DXd With or Without Durvalumab Compared With Investigator's Choice of Chemotherapy in Combination With Pembrolizumab in Patients With PD-L1 Positive Local	PHASE3	RECRUITING	2023-11-23	AstraZeneca	Breast Cancer	False
datopotamab deruxtecan	NCT06508216	A Study to Explore Safety, Tolerability, Pharmacokinetics, and Anti-tumor Activity of Novel Therapeutics in Patients With Early Relapsed Metastatic Triple-negative Breast Cancer	PHASE1,PHASE2	RECRUITING	2024-07-05	Gustave Roussy, Cancer Campus, Grand Paris	Breast Cancer	False
datopotamab deruxtecan	NCT04612751	Phase 1b Study of Dato-DXd in Combination With Immunotherapy With or Without Carboplatin in Advanced or Metastatic Non-Small Cell Lung Cancer	PHASE1	ACTIVE_NOT_RECRUITING	2021-02-02	AstraZeneca	Advanced or Metastatic NSCLC	False
datopotamab deruxtecan	NCT07357597	An Open-label, Single-arm Study of Prophylaxis for Datopotamab Deruxtecan (Dato-DXd) -Related Stomatitis in Eligible Patients With Metastatic or Inoperable Locally Recurrent Breast	PHASE4	NOT_YET_RECRUITING	2026-02-27	AstraZeneca	Stomatitis	False
datopotamab deruxtecan	NCT05866432	Phase II Study of Dato-DXd in Triple-negative Breast Cancer Patients With Newly Diagnosed or Progressing Brain Metastases	PHASE2	RECRUITING	2023-07-01	Medical University of Vienna	Breast Cancer Stage IV	False
datopotamab deruxtecan	NCT06176261	DATO-BASE: DATOpotamab-deruxtecan for Breast Cancer Brain metAstaSEs	PHASE2	RECRUITING	2024-01-08	Sarah Sammons, MD	Breast Cancer; Breast Cancer Female; Metastatic Triple-Negative Breast Carcinoma; ER Positive Breast Cancer; HER2-negative Breast Cancer; HER2 Negative Breast Carcinoma; ER-negative Breast Cancer	False
datopotamab deruxtecan	NCT06417814	A Study to Investigate the Efficacy and Safety of Dato-DXd With or Without Osimertinib Compared With Platinum Based Doublet Chemotherapy in Participants With EGFR-Mutated Locally A	PHASE3	RECRUITING	2024-10-04	AstraZeneca	Metastatic Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT04656652	Study of DS-1062a Versus Docetaxel in Previously Treated Advanced or Metastatic Non-small Cell Lung Cancer With or Without Actionable Genomic Alterations (TROPION-LUNG01)	PHASE3	ACTIVE_NOT_RECRUITING	2020-12-21	Daiichi Sankyo	Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT04484142	Study of DS-1062a in Advanced or Metastatic Non-small Cell Lung Cancer With Actionable Genomic Alterations (TROPION-Lung05)	PHASE2	COMPLETED	2021-03-30	Daiichi Sankyo	Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT06112379	A Phase III Randomised Study to Evaluate Dato-DXd and Durvalumab for Neoadjuvant/Adjuvant Treatment of Triple-Negative or Hormone Receptor-low/HER2-negative Breast Cancer	PHASE3	ACTIVE_NOT_RECRUITING	2023-11-14	AstraZeneca	Breast Cancer	False
datopotamab deruxtecan	NCT06954480	Investigating Datopotamab Deruxtecan Plus Durvalumab Versus Datopotamab Deruxtecan in Patients With PDL1-negative Metastatic Triple-negative Breast Cancer	PHASE2	RECRUITING	2025-10-27	Queen Mary University of London	Triple Negative Breast Cancer	False
datopotamab deruxtecan	NCT05117476	A Study of CLN-619 Alone and in Combination With Pembrolizumab in Advanced Solid Tumors	PHASE1	ACTIVE_NOT_RECRUITING	2021-10-29	Cullinan Therapeutics Inc.	Advanced Solid Tumor; NSCLC	False
datopotamab deruxtecan	NCT05460273	A Study of Dato-DXd in Chinese Patients With Advanced Non-Small Cell Lung Cancer, Triple-negative Breast Cancer and Other Solid Tumors (TROPION-PanTumor02)	PHASE1,PHASE2	ACTIVE_NOT_RECRUITING	2022-07-11	AstraZeneca	Carcinoma, Non-Small-Cell Lung; Triple Negative Breast Cancer	False
datopotamab deruxtecan	NCT05417594	Study of AZD9574 as Monotherapy and in Combination With Anti-cancer Agents in Participants With Advanced Solid Malignancies	PHASE1,PHASE2	RECRUITING	2022-06-24	AstraZeneca	Advanced Solid Malignancies	False
datopotamab deruxtecan	NCT03944772	Phase 2 Platform Study in Patients With Advanced Non-Small Lung Cancer Who Progressed on First-Line Osimertinib Therapy (ORCHARD)	PHASE2	ACTIVE_NOT_RECRUITING	2019-06-25	AstraZeneca	Non-Small Cell Lung Cancer	False
datopotamab deruxtecan	NCT05629585	A Study of Dato-DXd With or Without Durvalumab Versus Investigator's Choice of Therapy in Patients With Stage I-III Triple-negative Breast Cancer Without Pathological Complete Resp	PHASE3	ACTIVE_NOT_RECRUITING	2022-11-28	AstraZeneca	Breast Cancer	False
datopotamab deruxtecan	NCT05374512	A Study of Dato-DXd Versus Investigator's Choice Chemotherapy in Patients With Locally Recurrent Inoperable or Metastatic Triple-negative Breast Cancer, Who Are Not Candidates for 	PHASE3	ACTIVE_NOT_RECRUITING	2022-05-16	AstraZeneca	Breast Cancer	False
datopotamab deruxtecan	NCT05061550	Neoadjuvant and Adjuvant Treatment in Resectable Non-small Cell Lung Cancer	PHASE2	RECRUITING	2022-04-14	AstraZeneca	Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT06350097	Phase III, Open-label Study of First-line Osimertinib With or Without Datopotamab Deruxtecan for EGFRm Locally Advanced or Metastatic Non-small Cell Lung Cancer	PHASE3	RECRUITING	2024-04-29	AstraZeneca	Non-small Cell Lung Cancer	False
datopotamab deruxtecan	NCT06974604	Preventing Dato-DXd Associated Stomatitis With Dexamethasone Mouthwash, TROPION-DM	PHASE2	RECRUITING	2025-10-22	Brown University	Breast Neoplasms; Lung Neoplasms	False
datopotamab deruxtecan	NCT05104866	A Phase-3, Open-Label, Randomized Study of Dato-DXd Versus Investigator's Choice of Chemotherapy (ICC) in Participants With Inoperable or Metastatic HR-Positive, HER2-Negative Brea	PHASE3	ACTIVE_NOT_RECRUITING	2021-10-18	AstraZeneca	Breast Cancer	False
datopotamab deruxtecan	NCT06279728	Medical Access Program for Datopotamab Deruxtecan in EGFRm NSCLC Patients		APPROVED_FOR_MARKETING		Daiichi Sankyo	EGFRm Advanced Non-Small Cell Lung Cancer; EGFRm Metastatic Non-Small Cell Lung Cancer	False
datopotamab deruxtecan	NCT04526691	Datopotamab Deruxtecan (Dato-DXd) in Combination With Pembrolizumab With or Without Platinum Chemotherapy in Subjects With Advanced or Metastatic Non-Small Cell Lung Cancer (TROPIO	PHASE1	ACTIVE_NOT_RECRUITING	2020-09-15	Daiichi Sankyo	Advanced or Metastatic NSCLC	False
datopotamab deruxtecan	NCT06822543	A Single Arm, Phase 2 Study of Datopotamab Deruxtecan, Carboplatin, and Pembrolizumab for Treatment-naive Brain Metastases From NSCLC (Non-small Cell Lung Cancer)	PHASE2	RECRUITING	2025-09-30	Latin American Cooperative Oncology Group	Lung Cancer; Non Small Cell Lung Cancer; Brain Metastases	False
SKB264	NCT06081959	Study of SKB264 for Locally Advanced, Recurrent or Metastatic HR+/HER2- Breast Cancer	PHASE3	RECRUITING	2023-10-31	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Metastatic Breast Cancer	False
SKB264	NCT05870319	A Phase III Study of SKB264 for EGFR Mutant NSCLC Patients	PHASE3	ACTIVE_NOT_RECRUITING	2023-06-26	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Non-small Cell Lung Cancer	False
SKB264	NCT07466927	Study of Multi-mode Thermal Therapy Combined With Immunotherapy In Patients With HER2-negative Breast Cancer With Liver Metastases	PHASE2	NOT_YET_RECRUITING	2026-03-15	Fudan University	HER2-negative Breast Cancer	False
SKB264	NCT05351788	SKB264 Combinatiton Therapy in Patients With Advanced or Metastatic Non-small Cell Lung Cancer.	PHASE2	RECRUITING	2022-05-20	Sichuan Kelun Pharmaceutical Research Institute Co., Ltd.	Non-small Cell Lung Cancer	False
SKB264	NCT07341100	Study to Evaluate the Preliminary Efficacy of SKB264 and the Effect of Clarithromycin on the PK of SKB264 in OC	PHASE2	NOT_YET_RECRUITING	2026-01	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Ovarian Epithelial Cancer	False
SKB264	NCT06279364	A Study of SKB264 Versus Investigator's Choice Chemotherapy in Patients With Unresectable Recurrent or Metastatic Triple-Negative Breast Cancer	PHASE3	RECRUITING	2024-02-28	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Triple Negative Breast Cancer	False
SKB264	NCT05347134	SKB264 Injection vs Investigator Selected Regimens to Treat Locally Advanced, Recurrent or Metastatic Triple-negative Breast Cancer	PHASE3	ACTIVE_NOT_RECRUITING	2022-06-10	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Triple Negative Breast Cancer	False
SKB264	NCT05631262	SKB264 Monotherapy in Selected Subjects With Advanced Solid Tumors	PHASE2	ACTIVE_NOT_RECRUITING	2022-11-30	Sichuan Kelun Pharmaceutical Research Institute Co., Ltd.	Selected Subjects With Advanced Solid Tumors	False
SKB264	NCT06448312	A Study of SKB264 in Combination With Pembrolizumab Versus Pembrolizumab in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer	PHASE3	ACTIVE_NOT_RECRUITING	2024-06-07	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Non-Small Cell Lung Cancer	False
SKB264	NCT07071337	A Study of SKB264 Versus Investigator's Choice of Chemotherapy in Subjects With Unresectable Locally Advanced, Relapsed, or Metastatic HR+/HER2- Breast Cancer Who Have Previously F	PHASE3	RECRUITING	2025-07-18	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Metastatic Breast Cancer	False
SKB264	NCT05445908	SKB264 +/- KL-A167 in Recurrent or Metastatic HER2-negative Breast Cancer	PHASE2	ACTIVE_NOT_RECRUITING	2022-08-17	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Triple-negative Breast Cancer and HR+/HER2- BC	False
SKB264	NCT06877416	Analysis of Exploring Optimized Sequential Treatment Strategies of Antibody-Drug Conjugates (ADCs) in HER2-Low-Expressing Breast Cancer		RECRUITING	2020-01-01	Sun Yat-sen University	Antibody-drug Conjugates; HER2-low Breast Cancer; Breast Neoplasms	False
SKB264	NCT07182721	SKB264 Plus Inetetamab in HER2-Positive Metastatic Breast Cancer Patients Progressing After T-DXd Treatment	PHASE2	RECRUITING	2025-09-30	Fudan University	HER2-positive, Unresectable, Locally Advanced or Metastatic Breast Cancer; SKB264; Inetetamab	False
SKB264	NCT05642780	SKB264 in Combination With Pembrolizumab in Subjects With Selected Solid Tumors	PHASE2	ACTIVE_NOT_RECRUITING	2023-01-17	Klus Pharma Inc.	Solid Tumor	False
SKB264	NCT06849492	HIM Typing Guides the Treatment of Advanced First-Line Triple-Negative Breast Cancer	PHASE2	NOT_YET_RECRUITING	2025-04-01	Fudan University	Advanced Triple Negative Breast Cancer	False
SKB264	NCT07068542	Sacituzumab Tirumotecan Combined With Immunotherapy in Advanced Thyroid Cancer	NA	RECRUITING	2025-07-01	Zhejiang Provincial People's Hospital	Advanced Thyroid Carcinoma; Radioiodine-refractory Differentiated Thyroid Cancer; Poorly Differentiated Thyroid Carcinoma	True
SKB264	NCT07216703	A Clinical Study of Sacituzumab Tirumotecan (MK-2870) in Combination With Pembrolizumab (MK-3475) as First-line Maintenance Treatment of Cervical Cancer (MK-2870-036/TroFuse-036/GO	PHASE3	RECRUITING	2026-01-19	Merck Sharp & Dohme LLC	Cervical Cancer	False
SKB264	NCT06788912	Pembrolizumab (MK-3475) Plus Investigational Agents in Resectable Non-small Cell Lung Cancer (NSCLC) (MK-3475-01E/KEYMAKER-U01)	PHASE2	RECRUITING	2025-03-20	Merck Sharp & Dohme LLC	Lung Neoplasm Malignant	False
SKB264	NCT06074588	Sacituzumab Tirumotecan (MK-2870) Versus Chemotherapy in Previously Treated Advanced or Metastatic Nonsquamous Non-small Cell Lung Cancer (NSCLC) With EGFR Mutations or Other Genom	PHASE3	RECRUITING	2023-11-12	Merck Sharp & Dohme LLC	Non-small Cell Lung Cancer (NSCLC)	False
SKB264	NCT07193160	Sacituzumab Tirumotecan in Combination With Furmonertinib as Second-line Treatment for EGFR-mutant Advanced or Metastatic NSCLC After Failure of First-line Third-generation EGFR-TK	PHASE2	NOT_YET_RECRUITING	2025-11-01	Fudan University	NSCLC (Non-small Cell Lung Cancer)	False
SKB264	NCT06711900	A Study of SKB264 in Combination With Pembrolizumab Versus Chemotherapy in Combination With Pembrolizumab as First-Line Treatment for PD-L1 Negative Patients With Locally Advanced 	PHASE3	RECRUITING	2024-10-30	Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.	Non-Small Cell Lung Cancer	False
SKB264	NCT06305754	Sacituzumab Tirumotecan (MK-2870) Versus Pemetrexed and Carboplatin Combination Therapy in Participants With Epidermal Growth Factor (EGFR)-Mutated, Advanced Nonsquamous Non-small 	PHASE3	RECRUITING	2024-06-11	Merck Sharp & Dohme LLC	Non-small Cell Lung Cancer (NSCLC)	False
SKB264	NCT06230055	Intrathecal Chemotherapy Through Ommaya Reservoir Upon Her-2 Negative Breast Cancer With Leptomeningeal Metastasis	PHASE4	RECRUITING	2024-01-05	Fudan University	HER2-negative Breast Cancer; Leptomeningeal Metastasis	False
SKB264	NCT06637423	A Clinical Study of Sacituzumab Tirumotecan (MK-2870) in Patients With Bladder Cancer (MK-2870-027)	PHASE1,PHASE2	RECRUITING	2024-12-20	Merck Sharp & Dohme LLC	Non-Muscle Invasive Bladder Cancer	False
SKB264	NCT06780111	Substudy 06E: Umbrella Study of Combination Therapies in Esophageal Cancer (MK-3475-06E/KEYMAKER-U06)	PHASE1,PHASE2	RECRUITING	2025-07-30	Merck Sharp & Dohme LLC	Esophageal Squamous Cell Carcinoma	False
SKB264	NCT07545213	Efficacy and Safety of SKB264 Plus Anlotinib in EGFR-TKI-Resistant Advanced NSCLC With Liver Metastasis	PHASE2	NOT_YET_RECRUITING	2026-04-20	The Fourth Affiliated Hospital of Zhejiang University School of Medicine	Non-small Cell Lung Cancer; EGFR Mutant Advanced Non-small Cell Lung Cancer	False
BNT323	NCT06827236	A Clinical Study to Find the Optimal Dose of an Investigational Treatment Called BNT323 When Used in Combination With Another Investigational Treatment, BNT327, and to Test if That	PHASE1,PHASE2	RECRUITING	2025-04-23	BioNTech SE	Locally Advanced Breast Cancer; Unresectable Breast Carcinoma; Metastatic Breast Cancer	False
BNT323	NCT06265428	A Study to Compare DB-1303/BNT323 Versus T-DM1 in Breast Cancer	PHASE3	ACTIVE_NOT_RECRUITING	2024-01-29	DualityBio Inc.	HER2-positive Breast Cancer	False
BNT323	NCT06018337	A Study of DB-1303/BNT323 vs Investigator's Choice Chemotherapy in HER2-Low, Hormone Receptor Positive Metastatic Breast Cancer (DYNASTY-Breast02)	PHASE3	ACTIVE_NOT_RECRUITING	2024-01-18	DualityBio Inc.	Metastatic Breast Cancer	False
BNT323	NCT06340568	A Clinical Study of the Anti-cancer Effects of an Investigational Therapy or Chemotherapy in Patients With Recurring Uterine Cancer	PHASE3	RECRUITING	2025-06-10	BioNTech SE	Endometrial Cancer	False
BNT323	NCT05150691	A Phase 1/2a Study of DB-1303/BNT323 in Advanced/Metastatic Solid Tumors	PHASE1,PHASE2	RECRUITING	2022-01-31	DualityBio Inc.	HER2-positive Advanced Solid Tumor	False
TROP2 ADC	NCT06439771	A Phase 2 Study to Evaluate the Efficacy, Safety and Pharmacokinetics of YL202 in Patients With BC	PHASE2	RECRUITING	2024-04-23	MediLink Therapeutics (Suzhou) Co., Ltd.	Locally Advanced or Metastatic Breast Cancer	False
TROP2 ADC	NCT03901469	A Study of ZEN003694 and Talazoparib in Patients With Triple Negative Breast Cancer	PHASE2	TERMINATED	2019-06-26	Zenith Epigenetics	Triple Negative Breast Cancer	False
TROP2 ADC	NCT06885645	First-In-Human Study in Participants With Advanced Solid Tumors	PHASE1	NOT_YET_RECRUITING	2025-04-30	Chengdu Kanghong Biotech Co., Ltd.	Advanced Solid Tumors	False
TROP2 ADC	NCT07509515	QLC5513 Alone or in Combination With QL1706 in Previously Treated Advanced or Metastatic TNBC.	PHASE2	NOT_YET_RECRUITING	2026-04-15	Fudan University	Triple-negative Breast Cancer (TNBC)	False
TROP2 ADC	NCT07151898	PET/CT for Trop2 ADC Response Evaluation NSCLC		RECRUITING	2025-05-01	The First Affiliated Hospital of Xiamen University	NSCLC; Trop2; PET/CT	False
TROP2 ADC	NCT05749588	FUSCC Refractory TNBC Platform Study (FUTURE2.0)	PHASE2	RECRUITING	2023-03-30	Fudan University	Triple-negative Breast Cancer	False
TROP2 ADC	NCT05320588	A Study in Patients With Advanced Cancers	PHASE1,PHASE2	RECRUITING	2022-03-25	BiOneCure Therapeutics Inc.	Advanced Cancer; Advanced Solid Tumor; Cancer; Oncology	False
TROP2 ADC	NCT05941507	A Study to Evaluate TROP2 ADC LCB84 Single Agent and in Combination With an Anti-PD-1 Ab in Advanced Solid Tumors	PHASE1,PHASE2	RECRUITING	2023-10-05	LigaChem Biosciences, Inc.	Advanced Solid Tumors	False
TROP2 ADC	NCT03725761	Sacituzumab Govitecan in Patients With Metastatic Castration-Resistant Prostate Cancer Progressing on Second Generation AR-Directed Therapy	PHASE2	ACTIVE_NOT_RECRUITING	2018-10-24	University of Wisconsin, Madison	Prostate Cancer	False
TROP2 ADC	NCT05594095	SNF Platform Study of HR+/ HER2-advanced Breast Cancer	PHASE2	RECRUITING	2022-12-30	Fudan University	Breast Neoplasm; Breast Cancer; Hormone Receptor Positive Tumor; HER2-negative Breast Cancer; Advanced Breast Cancer	False
TROP2 ADC	NCT06470672	Study of SHR-A1921 Combined Adebrelimab in HR-positive, HER2-negative Advanced Breast Cancer	PHASE2	NOT_YET_RECRUITING	2024-12	Fudan University	Advanced Breast Cancer; Hormone-receptor-positive Breast Cancer; Human Epidermal Growth Factor 2 Negative Carcinoma of Breast	False
TROP2 ADC	NCT07401537	Efficacy and Safety of Extended-Dose Interval Immunotherapy Versus Standard-Dose Interval Immunotherapy for Advanced Triple-Negative Breast Cancer	PHASE2	RECRUITING	2025-12-31	Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University	Triple -Negative Breast Cancer; Breast Cancer	False
TROP2 ADC	NCT07251868	Evaluation of Trop-2 ADC in Breast Cancer Patients With Brain Metastases: A Real-World Study		RECRUITING	2024-08-01	Peking University Cancer Hospital & Institute	Breast Cancer; Brain Metastases From Breast Cancer; Trop2	False
TROP2 ADC	NCT05582499	Fudan University Shanghai Cancer Center Breast Cancer Precision Platform Series Study- Neoadjuvant Therapy	PHASE2	RECRUITING	2022-11-01	Fudan University	Breast Neoplasm; Breast Cancer; Breast Tumors; Triple-Negative Breast Cancer (TNBC); HER2-positive Breast Cancer; HER2-negative Breast Cancer; Hormone Receptor Positive Tumor; Hormone Receptor Negativ	False
TROP2 ADC	NCT06851299	The Clinical Study of the Efficacy and Safety of Trop2-ADC Monotherapy or Combination Immunotherapy Strategy in the Treatment of Advanced Triple-negative Breast Cancer.	PHASE2	RECRUITING	2025-03-01	Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University	Metastatic Triple-negative Breast Cancer	False
TROP2 ADC	NCT07475559	JSKN016HC in Patients With Advanced or Metastatic Solid Malignant Tumors	PHASE1	NOT_YET_RECRUITING	2026-03-01	Jiangsu Alphamab Biopharmaceuticals Co., Ltd	Advanced Solid Tumor Malignancies	False
TROP2 ADC	NCT06865677	Sacituzumab Govitecan for Relapsed Ovarian, Endometrial, and Cervical Carcinomas	PHASE2	TERMINATED	2025-06-09	National Cancer Institute (NCI)	Recurrent Platinum Resistant Epithelial Ovarian Carcinoma; Recurrent Epithelial Endometrial Carcinoma; Recurrent Epithelial Cervical Carcinoma	False
TROP2 ADC	NCT07419867	A Platform Study Based on Specific Tracer for Evaluating the Therapeutic Efficacy of Systemic Treatment for Breast Cancer Using PET/MRI	PHASE2	NOT_YET_RECRUITING	2026-03-01	Fudan University	Breast Cancer	False
TROP2 ADC	NCT06311214	Personalized Antibody-Drug Conjugate Therapy Based on RNA and Protein Testing for the Treatment of Advanced or Metastatic Solid Tumors (The ADC MATCH Screening and Treatment Trial)	PHASE2	RECRUITING	2025-03-18	National Cancer Institute (NCI)	Advanced Malignant Solid Neoplasm; Metastatic Malignant Solid Neoplasm	False
TROP2 ADC	NCT04319198	Rollover Study in Participants With Metastatic Solid Tumors Benefiting From Therapy With Sacituzumab Govitecan-hziy	PHASE4	COMPLETED	2020-08-04	Gilead Sciences	Metastatic Solid Tumors	False
TROP2 ADC	NCT06144723	Study of HS-20105 for Injection in Patients With Advanced Solid Tumors.	PHASE1,PHASE2	NOT_YET_RECRUITING	2024-03-01	Hansoh BioMedical R&D Company	Advanced Solid Tumor	False
