query,nct_id,title,status,start_date,phase,enrollment,study_type,intervention_types,intervention_names,conditions,lead_sponsor,sponsor_class,primary_outcome,min_age,sex
anaplastic thyroid carcinoma,NCT02834013,Nivolumab and Ipilimumab in Treating Patients With Rare Tumors,ACTIVE_NOT_RECRUITING,2017-01-30,PHASE2,818,INTERVENTIONAL,"BIOLOGICAL,PROCEDURE",Biospecimen Collection; Computed Tomography; Echocardiography Test; Ipilimumab; Magnetic Resonance Imaging; Nivolumab,"Acinar Cell Carcinoma,Adenoid Cystic Carcinoma,Adrenal Cortical Carcinoma,Adrenal Gland Pheochromocytoma,Anal Canal Neuroendocrine Carcinoma,Anal Canal Undifferentiated Carcinoma,Angiosarcoma,Apocrine Neoplasm,Appendix Mucinous Adenocarcinoma,Bartholin Gland Transitional Cell Carcinoma,Basal Cell Carcinoma,Bladder Adenocarcinoma,Breast Metaplastic Carcinoma,Cervical Adenocarcinoma,Cholangiocarcinoma,Chordoma,Colorectal Squamous Cell Carcinoma,Desmoid Fibromatosis,Endometrial Transitional Cell Carcinoma,Endometrioid Adenocarcinoma,Esophageal Neuroendocrine Carcinoma,Esophageal Undifferentiated Carcinoma,Extrahepatic Bile Duct Carcinoma,Extramammary Paget Disease,Fallopian Tube Adenocarcinoma,Fallopian Tube Transitional Cell Carcinoma,Fibromyxoid Tumor,Gallbladder Carcinoma,Gastric Neuroendocrine Carcinoma,Gastric Squamous Cell Carcinoma,Gastric Undifferentiated Carcinoma,Gastrointestinal Stromal Tumor,Gestational Trophoblastic Tumor,Giant Cell Carcinoma,Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type,Intestinal Neuroendocrine Carcinoma,Intrahepatic Cholangiocarcinoma,Lung Neuroendocrine Tumor,Lung Sarcomatoid Carcinoma,Major Salivary Gland Carcinoma,Malignant Neoplasm of Unknown Primary,Malignant Odontogenic Neoplasm,Malignant Peripheral Nerve Sheath Tumor,Malignant Solid Neoplasm,Malignant Testicular Sex Cord-Stromal Tumor,Metastatic Pituitary Neuroendocrine Tumor,Minimally Invasive Lung Adenocarcinoma,Mixed Mesodermal (Mullerian) Tumor,Mucinous Adenocarcinoma,Mucinous Cystadenocarcinoma,Nasal Cavity Adenocarcinoma,Nasal Cavity Carcinoma,Nasopharyngeal Carcinoma,Nasopharyngeal Low Grade Papillary Adenocarcinoma,Nasopharyngeal Undifferentiated Carcinoma,Oral Cavity Carcinoma,Oropharyngeal Undifferentiated Carcinoma,Ovarian Adenocarcinoma,Ovarian Germ Cell Tumor,Ovarian Mucinous Adenocarcinoma,Ovarian Squamous Cell Carcinoma,Ovarian Transitional Cell Carcinoma,Pancreatic Acinar Cell Carcinoma,Pancreatic Neuroendocrine Carcinoma,Paraganglioma,Paranasal Sinus Adenocarcinoma,Paranasal Sinus Carcinoma,Parathyroid Gland Carcinoma,PEComa,Penile Squamous Cell Carcinoma,Peritoneal Mesothelial Neoplasm,Placental Choriocarcinoma,Primary Peritoneal High Grade Serous Adenocarcinoma,Pseudomyxoma Peritonei,Rare Disorder,Scrotal Squamous Cell Carcinoma,Seminal Vesicle Adenocarcinoma,Seminoma,Serous Cystadenocarcinoma,Small Intestinal Adenocarcinoma,Small Intestinal Squamous Cell Carcinoma,Spindle Cell Neoplasm,Teratoma With Somatic-Type Malignancy,Testicular Non-Seminomatous Germ Cell Tumor,Thyroid Gland Carcinoma,Tracheal Carcinoma,Transitional Cell Carcinoma,Ureter Adenocarcinoma,Ureter Squamous Cell Carcinoma,Urethral Adenocarcinoma,Urethral Squamous Cell Carcinoma,Vaginal Adenocarcinoma,Vaginal Squamous Cell Carcinoma, Not Otherwise Specified,Vulvar Carcinoma",National Cancer Institute (NCI),NIH,Overall response rate (ORR),18 Years,ALL
anaplastic thyroid carcinoma,NCT03765333,GETNE Registration of Thyroid Cancer,RECRUITING,2019-05-28,,20,OBSERVATIONAL,,,Thyroid Cancer,Grupo Espanol de Tumores Neuroendocrinos,OTHER,Hystopathological characteristics of the tumor; Situation of the tumor at first-diagnosis; Tumor-Node-Metastasis classification; Tumor Stage,18 Years,ALL
anaplastic thyroid carcinoma,NCT06007924,A Study of Avutometinib and Defactinib in People With Thyroid Cancer,RECRUITING,2023-08-16,PHASE2,30,INTERVENTIONAL,DRUG,Avutometinib; Defactinib,Thyroid Cancer,Memorial Sloan Kettering Cancer Center,OTHER,overall response rate (ORR) cohort A; overall response rate (ORR) cohort B,18 Years,ALL
anaplastic thyroid carcinoma,NCT03085056,Trametinib in Combination With Paclitaxel in the Treatment of Anaplastic Thyroid Cancer,ACTIVE_NOT_RECRUITING,2017-03-15,EARLY_PHASE1,13,INTERVENTIONAL,DRUG,Trametinib; Paclitaxel,Anaplastic Thyroid Cancer,Memorial Sloan Kettering Cancer Center,OTHER,Progression-Free Survival (PFS),18 Years,ALL
anaplastic thyroid carcinoma,NCT06235216,Sacituzumab govitEcan in THYroid Cancers,RECRUITING,2024-09-13,PHASE2,42,INTERVENTIONAL,DRUG,Sacituzumab govitecan,"Differentiated Thyroid Cancer,Anaplastic Thyroid Cancer",Grupo Espanol de Tumores Neuroendocrinos,OTHER,Objective response rate (ORR),18 Years,ALL
anaplastic thyroid carcinoma,NCT05541380,A Taiwanese Oncogenetic Panel and Integrated Clinical Data Registry Study for Advanced Thyroid Cancer Patients (TOPICS-THYROID),ACTIVE_NOT_RECRUITING,2022-08-29,,300,OBSERVATIONAL,OTHER,A Taiwanese Oncogenetic Panel and Integrated Clinical Data Registry Study for Advanced Thyroid Cancer Patients,Thyroid Cancer,"National Health Research Institutes, Taiwan",OTHER,To evaluate the genetic profiles in advanced thyroid cancer patients in Taiwan.,20 Years,ALL
anaplastic thyroid carcinoma,NCT07068542,Sacituzumab Tirumotecan Combined With Immunotherapy in Advanced Thyroid Cancer,RECRUITING,2025-07-01,NA,94,INTERVENTIONAL,DRUG,Sacituzumab Tirumotecan (SKB264) plus Tislelizumab; Sacituzumab Tirumotecan (SKB264),"Advanced Thyroid Carcinoma,Radioiodine-refractory Differentiated Thyroid Cancer,Poorly Differentiated Thyroid Carcinoma",Zhejiang Provincial People's Hospital,OTHER,Overall Survival (OS) - ATC Cohort; Progression-Free Survival (PFS) - PDTC and RAIR-DTC Cohorts,18 Years,ALL
anaplastic thyroid carcinoma,NCT07181720,CD70-Targeted CAR-T Therapy in CD70-Positive Advanced Solid Tumors,RECRUITING,2025-09-12,PHASE1,90,INTERVENTIONAL,BIOLOGICAL,CD70-targeted CAR-T cells; CD70-targeted CAR-T cells; CD70-targeted CAR-T cells,"Renal Cell Carcinoma (RCC),Lung Cancer,Anaplastic Thyroid Carcinomas,Ovarian Cancer,Cervical Cancer,Thymic Carcinoma","Chongqing Precision Biotech Co., Ltd",INDUSTRY,To evaluate the safety of CAR-T cell preparations in the treatment of CD70-positive advanced malignancies [Safety and Tolerability]; Obtained the recommended dose and infusion regimen of CAR-T cells for the treatment of patients with CD70-positive advanced malignancies [Safety and Tolerability],18 Years,ALL
anaplastic thyroid carcinoma,NCT03975231,"Dabrafenib, Trametinib, and IMRT in Treating Patients With BRAF Mutated Anaplastic Thyroid Cancer",RECRUITING,2020-09-14,PHASE1,6,INTERVENTIONAL,"DRUG,RADIATION",Dabrafenib; Intensity-Modulated Radiation Therapy; Trametinib,"BRAF NP_004324.2:p.V600E,BRAF V600K Mutation Present,Thyroid Gland Anaplastic Carcinoma",City of Hope Medical Center,OTHER,Maximum tolerated dose of combination therapy of dabrafenib and trametinib administered concurrently with intensity-modulated radiation therapy (IMRT),18 Years,ALL
anaplastic thyroid carcinoma,NCT06970353,Phase II Trial of Tunlametinib in NRAS-Mutant Advanced Thyroid Cancer,RECRUITING,2025-05-27,PHASE2,40,INTERVENTIONAL,DRUG,Tunlametinib; Tunlametinib+PD-1 mAb,"Radioactive Iodine-refractory, Differentiated Thyroid Cancer With NRAS Mutation,Advanced PDTC or ATC With NRAS Mutation",Fudan University,OTHER,Objective Response Rate,18 Years,ALL
anaplastic thyroid carcinoma,NCT03449108,"LN-145 or LN-145-S1 in Treating Patients With Relapsed or Refractory Ovarian Cancer, Triple Negative Breast Cancer (TNBC), Anaplastic Thyroid Cancer, Osteosarcoma, or Other Bone and Soft Tissue Sarcomas",ACTIVE_NOT_RECRUITING,2018-04-27,PHASE2,30,INTERVENTIONAL,"BIOLOGICAL,DRUG,OTHER",Aldesleukin; Autologous Tumor Infiltrating Lymphocytes LN-145; Autologous Tumor Infiltrating Lymphocytes LN-145-S1; Cyclophosphamide; Fludarabine; Ipilimumab; Nivolumab; Quality-of-Life Assessment; Questionnaire Administration,"Bone Sarcoma,Dedifferentiated Chondrosarcoma,Giant Cell Tumor of Bone,Malignancy in Giant Cell Tumor of Bone,Malignant Solid Neoplasm,Ovarian Carcinosarcoma,Platinum-Resistant Ovarian Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Recurrent Osteosarcoma,Recurrent Ovarian Carcinoma,Refractory Osteosarcoma,Soft Tissue Sarcoma,Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Squamous Cell Carcinoma,Undifferentiated High Grade Pleomorphic Sarcoma of Bone,Triple Negative Breast Cancer",M.D. Anderson Cancer Center,OTHER,Objective response rate,16 Years,ALL
anaplastic thyroid carcinoma,NCT06639191,[177Lu]Lu-AKIR001 First-in-human Study,RECRUITING,2026-01-28,EARLY_PHASE1,15,INTERVENTIONAL,DRUG,[177Lu]Lu-AKIR001,"Thyroid Gland Anaplastic Carcinoma,Poorly Differentiated Thyroid Carcinoma,Cancer Head and Neck,Cervix Carcinoma,Vulvar Cancer, Stage IV,Non-small Cell Lung Cancer Stage IV",Karolinska University Hospital,OTHER,Primary Endpoint - rate of dose limiting toxicities,18 Years,ALL
anaplastic thyroid carcinoma,NCT03181100,Atezolizumab With Chemotherapy in Treating Patients With Anaplastic or Poorly Differentiated Thyroid Cancer,ACTIVE_NOT_RECRUITING,2017-07-27,PHASE2,50,INTERVENTIONAL,"BIOLOGICAL,DRUG",Atezolizumab; Bevacizumab; Cobimetinib; Nab-paclitaxel; Paclitaxel; Vemurafenib,"Metastatic Thyroid Gland Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Stage IVA Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVB Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVC Thyroid Gland Anaplastic Carcinoma AJCC v8,Thyroid Gland Anaplastic Carcinoma,Unresectable Thyroid Gland Carcinoma",M.D. Anderson Cancer Center,OTHER,Overall survival (OS) with targeted therapy + atezolizumab in cohorts 1 and 3 with anaplastic thyroid carcinoma (ATC),18 Years,ALL
anaplastic thyroid carcinoma,NCT05696548,Nivolumab Plus Lenvatinib Against Anaplastic Thyroid Cancer (NAVIGATION),ACTIVE_NOT_RECRUITING,2019-07-02,PHASE2,51,INTERVENTIONAL,DRUG,Lenvatinib; Nivolumab,Anaplastic Thyroid Cancer,National Cancer Center Hospital East,OTHER,Step 1: Proportion of subjects with Dose-Limiting Toxicities (DLT); Step 2: Objective Response Rate (ORR),20 Years,ALL
anaplastic thyroid carcinoma,NCT06790706,IMMUNORARE5: A National Platform of 5 Academic Phase II Trials Coordinated by Lyon University Hospital to Assess the Safety and the Efficacy of the IMMUNOtherapy With Domvanalimab + Zimberelimab Combination in Patients With Advanced RARE Cancers,RECRUITING,2025-10-01,PHASE2,154,INTERVENTIONAL,DRUG,DOMVANALIMAB + ZIMBERELIMAB; DOMVANALIMAB + ZIMBERELIMAB + FOLFOX-4,"Peritoneal Mesothelioma,Gestational Trophoblastic Tumor,Thymoma and Thymic Carcinoma,Anaplastic Thyroid Carcinomas,Gastroenteropancreatic Neuroendocrine Tumor,Carcinoid Tumor",Hospices Civils de Lyon,OTHER,"Progression-free survival rate (cohort 1, 3 and 5); Successful hCG normalization rate (cohort 2); Survival rate (cohort 4)",18 Years,ALL
anaplastic thyroid carcinoma,NCT06374602,Efficacy of Pembrolizumab and Lenvatinib in Patients With Anaplastic Thyroid Cancer,RECRUITING,2024-03-25,PHASE2,20,INTERVENTIONAL,DRUG,Pembrolizumab + Lenvatinib,Anaplastic Thyroid Cancer,"Saint Petersburg State University, Russia",OTHER,Objective response rate; Progression-Free Survival; Safety and Tolerability assessment (Incidence of Treatment-Emergent Adverse Events),18 Years,ALL
anaplastic thyroid carcinoma,NCT06220656,TRAIL Study: Feasibility and Pilot,RECRUITING,2025-05-01,NA,20,INTERVENTIONAL,PROCEDURE,Biopsy; Active Monitoring,"Thyroid Nodule,Thyroid Neoplasms,Thyroid Cancer",Dartmouth-Hitchcock Medical Center,OTHER,Rate of Anxiety at 6 months,18 Years,ALL
anaplastic thyroid carcinoma,NCT05668962,Restor. I-131 Upt. + Selpercatinib in RET F-P RAI-R TC,RECRUITING,2023-03-01,PHASE2,30,INTERVENTIONAL,DRUG,Selpercatinib; Sodium Iodine I-131; rhTSH,"Thyroid Cancer,Thyroid Carcinoma,Metastatic Thyroid Cancer,Follicular Thyroid Cancer,Unresectable Thyroid Gland Carcinoma,Papillary Thyroid Cancer",Massachusetts General Hospital,OTHER,Objective Response Rate,12 Years,ALL
anaplastic thyroid carcinoma,NCT04759911,Selpercatinib Before Surgery for the Treatment of RET-Altered Thyroid Cancer,ACTIVE_NOT_RECRUITING,2021-02-26,PHASE2,30,INTERVENTIONAL,"DRUG,OTHER,PROCEDURE",Quality-of-Life Assessment; Questionnaire Administration; Selpercatinib; Therapeutic Conventional Surgery,"Malignant Thyroid Gland Neoplasm,Poorly Differentiated Thyroid Gland Carcinoma,Recurrent Thyroid Gland Carcinoma,Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Medullary Carcinoma,Thyroid Gland Papillary Carcinoma,Thyroid Gland Squamous Cell Carcinoma",M.D. Anderson Cancer Center,OTHER,Objective response rate (ORR); Tumor response,12 Years,ALL
anaplastic thyroid carcinoma,NCT04238624,Study of Cemiplimab Combined With Dabrafenib and Trametinib in People With Anaplastic Thyroid Cancer,ACTIVE_NOT_RECRUITING,2020-01-20,PHASE2,16,INTERVENTIONAL,DRUG,Dabrafenib; Trametinib,"Anaplastic Thyroid Cancer,Thyroid Cancer,BRAF Gene Mutation,BRAF Mutation-Related Tumors",Memorial Sloan Kettering Cancer Center,OTHER,Overall Response Rate per RECIST 1.1 Criteria,18 Years,ALL
anaplastic thyroid carcinoma,NCT04171622,Lenvatinib and Pembrolizumab for the Treatment of Stage IVB Locally Advanced and Unresectable or Stage IVC Metastatic Anaplastic Thyroid Cancer,ACTIVE_NOT_RECRUITING,2021-11-04,PHASE2,25,INTERVENTIONAL,"BIOLOGICAL,DRUG",Lenvatinib; Pembrolizumab,"Metastatic Thyroid Gland Carcinoma,Poorly Differentiated Thyroid Gland Carcinoma,Stage IVB Thyroid Gland Anaplastic Carcinoma AJCC v8,Stage IVC Thyroid Gland Anaplastic Carcinoma AJCC v8,Thyroid Gland Squamous Cell Carcinoma,Unresectable Thyroid Gland Carcinoma",M.D. Anderson Cancer Center,OTHER,Overall survival; Progression free survival; Tumor response,18 Years,ALL
anaplastic thyroid carcinoma,NCT02650401,Study Of Entrectinib (Rxdx-101) in Children and Adolescents With Locally Advanced Or Metastatic Solid Or Primary CNS Tumors And/Or Who Have No Satisfactory Treatment Options,ACTIVE_NOT_RECRUITING,2016-05-03,"PHASE1,PHASE2",69,INTERVENTIONAL,DRUG,Entrectinib,"Solid Tumors,CNS Tumors",Hoffmann-La Roche,INDUSTRY,Maximum Tolerated Dose (MTD); Recommended Phase 2 Dose (RP2D) of F1 Formulation In Pediatric Participants Able To Swallow Intact Capsules; Recommended Phase 2 Dose (RP2D) of F06 Formulation In Pediatric Participants Able To Swallow Intact Capsules; Recommended Phase 2 Dose (RP2D) of F06 Formulation In Pediatric In Participants Dosed Via Feeding Tube (Nasogastric Tube Or Gastric Tube); Recommended Phase 2 Dose (RP2D) Of Minitablets/F15 Formulation In Pediatric Participants Unable To Swallow Intact Capsules; Cohort B: Objective Response Rate (ORR); Cohort D: ORR,0 Years,ALL
anaplastic thyroid carcinoma,NCT06079333,NEO- and Adjuvant Targeted Therapy in Braf-mutated Anaplastic Cancer of the Thyroid (NEO-ATACT Study),RECRUITING,2023-01-01,PHASE2,20,INTERVENTIONAL,DRUG,dabrafenib/trametinib,Anaplastic Thyroid Cancer,Leiden University Medical Center,OTHER,primary endpoint of the study will be R0 resection rate (efficacy).,18 Years,ALL
anaplastic thyroid carcinoma,NCT06362694,Study of the Rechallenge Concept in Patients With BRAF-positive Anaplastic Thyroid Cancer After Progression on Anti-BRAF Therapy,RECRUITING,2024-03-25,PHASE2,10,INTERVENTIONAL,DRUG,Dabrafenib + Trametinib,Anaplastic Thyroid Cancer,"Saint Petersburg State University, Russia",OTHER,Objective response rate; Progression-Free Survival; Safety and Tolerability assessment (Incidence of Treatment-Emergent Adverse Events),18 Years,ALL
anaplastic thyroid carcinoma,NCT02568267,"Basket Study of Entrectinib (RXDX-101) for the Treatment of Patients With Solid Tumors Harboring NTRK 1/2/3 (Trk A/B/C), ROS1, or ALK Gene Rearrangements (Fusions)",ACTIVE_NOT_RECRUITING,2015-11-19,PHASE2,534,INTERVENTIONAL,DRUG,Entrectinib,"Breast Cancer,Cholangiocarcinoma,Colorectal Cancer,Head and Neck Neoplasms,Lymphoma, Large-Cell, Anaplastic,Melanoma,Neuroendocrine Tumors,Non-Small Cell Lung Cancer,Ovarian Cancer,Pancreatic Cancer,Papillary Thyroid Cancer,Primary Brain Tumors,Renal Cell Carcinoma,Sarcomas,Salivary Gland Cancers,Adult Solid Tumor",Hoffmann-La Roche,INDUSTRY,Objective Response Rate,18 Years,ALL
anaplastic thyroid carcinoma,NCT04420754,Study of AIC100 CAR T Cells in Relapsed/Refractory Thyroid Cancer,ACTIVE_NOT_RECRUITING,2020-09-28,PHASE1,70,INTERVENTIONAL,BIOLOGICAL,AIC100 CAR T Cells,"Anaplastic Thyroid Cancer,Relapsed/Refractory Poorly Differentiated Thyroid Cancer","AffyImmune Therapeutics, Inc.",INDUSTRY,"Incidence of overall Grade >=3 Adverse Events (AE) and Serious Adverse Events (SAE); Incidence of anticipated AIC100 CAR T Cell related AEs, SAEs and adverse events of special interest (AESI) (infusion-related reactions, CRS, ICANS, HLH/MAS, TLS, new malignancies, AEs leading to death and DLT AEs); Determine recommended phase 2 dose",18 Years,ALL
anaplastic thyroid carcinoma,NCT04675710,"Pembrolizumab, Dabrafenib, and Trametinib Before Surgery for the Treatment of BRAF-Mutated Anaplastic Thyroid Cancer",ACTIVE_NOT_RECRUITING,2021-06-24,PHASE2,30,INTERVENTIONAL,"BIOLOGICAL,DRUG,OTHER,PROCEDURE,RADIATION",Conventional Surgery; Dabrafenib; Intensity-Modulated Radiation Therapy; Pembrolizumab; Quality-of-Life Assessment; Trametinib,"Thyroid Gland Anaplastic Carcinoma,Thyroid Gland Squamous Cell Carcinoma",M.D. Anderson Cancer Center,OTHER,Complete gross surgical resection (R0 or R1 resection); Overall survival (OS),18 Years,ALL
anaplastic thyroid carcinoma,NCT05768178,DETERMINE Trial Treatment Arm 05: Vemurafenib in Combination With Cobimetinib in Adult Patients With BRAF Positive Cancers.,RECRUITING,2023-03-01,"PHASE2,PHASE3",30,INTERVENTIONAL,DRUG,Vemurafenib; Cobimetinib,"Haematological Malignancy,Melanoma,Thyroid Cancer, Papillary,Ovarian Neoplasms,Colorectal Neoplasms,Laryngeal Neoplasms,Carcinoma, Non-Small-Cell Lung,Glioma,Multiple Myeloma,Erdheim-Chester Disease,Thyroid Carcinoma, Anaplastic,Solid Tumour",Cancer Research UK,OTHER,Objective Response (OR); Durable Clinical Benefit (DCB),18 Years,ALL
thyroid cancer Hashimoto,NCT07296575,Ultrasound Large-scale Model in Thyroid Field: A Multi-center Study on Medical-Engineering Integration,ACTIVE_NOT_RECRUITING,2025-10-01,,2000,OBSERVATIONAL,DIAGNOSTIC_TEST,No intervention,"Thyroid Abnormalities,Thyroid,Thyroid Cancer",Second Affiliated Hospital of Nanchang University,OTHER,Predictive Performance of Large Models in Ultrasound Thyroid Applications for Thyroid Diseases,,ALL
thyroid cancer Hashimoto,NCT06083636,Improvement of Laboratory Diagnostics in Hypothyroid Patients Using Levothyroxine,RECRUITING,2022-07-26,,500,OBSERVATIONAL,OTHER,Single extra blood draw and completion of single questionnaire; Single blood draw and completion of single questionnaire,Hypothyroidism,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,TSH concentration; fT4 concentration; fT3 concentration; fT3/fT4 ratio,18 Years,ALL
thyroid cancer Hashimoto,NCT07247279,Epidemiological Study of Treatment Approaches in AChR-Antibody Positive Generalized Myasthenia Gravis in Russia,RECRUITING,2025-12-23,,450,OBSERVATIONAL,,,"Rare Diseases,Generalized Myasthenia Gravis (gMG)",AstraZeneca,INDUSTRY,Age at baseline (years); Age at gMG diagnosis (years); Sex and ethnicity distribution; Body Mass Index (BMI); Disease duration (days); Clinical symptom profile of gMG; Comorbidity profile; Number and proportion of patients with gMG-related hospitalizations; Duration of gMG-related hospitalizations (days),18 Years,ALL
thyroid cancer Hashimoto,NCT07181018,Metabolic Syndrome Among Polish Twins,RECRUITING,2025-09-01,,1500,OBSERVATIONAL,OTHER,Trial within cohort (TWIC),"Twins,Metabolic Syndrome",Poznan University of Medical Sciences,OTHER,"De novo occurrence of metabolic steatosis, hepatic fibrosis, or cirrhosis.; Progression of hepatic steatosis or fibrosis to more advanced stages or cirrhosis.",15 Years,ALL
