gene	beta_subtype	abs_beta	pvalue_LMM	fdr_LMM	log2FC_raw_DESeq2	padj_raw_DESeq2	is_druggable	is_original_biomarker
DCSTAMP	5.6098	5.6098	1.10467e-136	1.29356e-132	5.11928	1.34861e-93	False	False
SFTPB	5.39421	5.39421	9.44188e-73	2.16793e-70	5.85026	4.55089e-104	False	True
FN1	4.95437	4.95437	1.01939e-109	1.98951e-106	5.90623	2.534e-232	False	False
SYT12	4.9417	4.9417	4.64464e-111	1.08777e-107	6.90986	5.85441e-257	False	False
TACSTD2	4.77376	4.77376	5.3062e-129	3.10678e-125	5.29007	1.77097e-222	True	True
SLC34A2	4.75605	4.75605	1.80845e-88	1.05885e-85	4.43677	3.54076e-107	False	True
TMPRSS6	4.38459	4.38459	4.44525e-93	3.062e-90	5.9143	1.25403e-158	False	False
MT1G	-4.26817	4.26817	8.89205e-55	7.33281e-53	-4.15859	8.02658e-39	False	True
TPO	-4.24666	4.24666	4.94738e-43	2.18618e-41	-3.06244	1.83747e-21	False	False
TMPRSS4	4.0191	4.0191	8.45687e-74	2.02102e-71	4.91048	9.92862e-109	True	True
KLK7	3.99502	3.99502	3.02613e-73	7.08719e-71	6.07247	9.74678e-143	False	False
SERPINA1	3.93421	3.93421	2.86519e-90	1.76586e-87	3.9368	2.10145e-130	False	False
DIO1	-3.87893	3.87893	2.11433e-43	9.5594e-42	-3.2903	2.17587e-22	False	False
CHI3L1	3.86957	3.86957	2.53305e-45	1.29933e-43	4.58042	2.04691e-68	False	True
SLC27A6	3.85234	3.85234	2.52339e-78	7.9862e-76	4.46995	4.55469e-104	False	True
KCNN4	3.81228	3.81228	7.40181e-101	9.63057e-98	5.07305	8.33407e-163	False	False
B3GNT3	3.76781	3.76781	1.62167e-65	2.63746e-63	4.67696	2.39298e-84	True	True
CST6	3.69753	3.69753	1.49592e-75	3.98119e-73	4.22831	1.19222e-84	False	True
GABRB2	3.65753	3.65753	2.07887e-74	5.07157e-72	4.42882	1.47767e-141	True	True
CYP1B1	3.35269	3.35269	1.54175e-80	5.47086e-78	4.09722	4.96866e-122	True	True
LAMB3	3.32813	3.32813	7.60476e-76	2.12028e-73	3.28923	5.47059e-78	False	True
CXCL14	3.30885	3.30885	2.05406e-22	2.3651e-21	3.40442	1.2268e-26	False	True
CLDN10	3.19374	3.19374	8.0154e-55	6.65676e-53	6.76847	1.77095e-152	False	False
KLK10	3.18177	3.18177	2.53385e-50	1.68587e-48	3.24788	4.84851e-44	False	False
PDLIM4	3.17623	3.17623	8.54731e-104	1.42984e-100	3.47603	4.99694e-139	False	True
IGKC	3.11339	3.11339	1.68484e-12	8.87515e-12	3.61419	5.10717e-18	False	True
MGAT3	3.04357	3.04357	3.27723e-69	6.31137e-67	4.23196	3.03365e-138	False	False
ST6GALNAC5	3.0214	3.0214	4.31343e-49	2.73028e-47	5.61771	3.94668e-107	False	False
CRLF1	2.9921	2.9921	3.49567e-29	6.54949e-28	3.48864	4.88317e-36	False	True
MT1H	-2.9895	2.9895	8.35283e-48	4.86625e-46	-4.48044	2.30859e-40	False	True
KCNAB1	-2.9567	2.9567	5.91883e-63	8.66369e-61	-2.94595	3.02175e-48	False	True
COMP	2.93307	2.93307	2.04499e-31	4.50128e-30	3.66205	4.74734e-39	False	True
IGHG1	2.93157	2.93157	2.71211e-10	1.16461e-09	3.11753	3.00739e-13	False	True
MUC1	2.91637	2.91637	1.0387e-59	1.19083e-57	3.20143	6.63667e-62	False	True
ALOX5	2.90577	2.90577	1.55292e-39	5.77292e-38	3.94072	3.62453e-69	False	True
KRT19	2.90422	2.90422	2.32684e-86	1.18467e-83	2.74649	4.1591e-69	False	False
SCNN1A	2.83907	2.83907	1.42591e-84	6.42209e-82	2.37821	9.55941e-54	False	False
LUM	2.82593	2.82593	2.54298e-32	5.95566e-31	3.12283	1.99765e-35	False	True
HGD	-2.81145	2.81145	4.41627e-68	7.83553e-66	-2.72005	1.34101e-32	False	True
MT1F	-2.78908	2.78908	1.11071e-59	1.25061e-57	-2.76504	6.61292e-41	False	True
BMP8A	-2.78569	2.78569	7.16752e-28	1.20418e-26	-3.2732	4.39951e-26	False	True
SPOCK2	2.78244	2.78244	6.99356e-56	6.11154e-54	3.65072	4.66027e-92	False	False
SFN	2.76279	2.76279	8.01301e-49	4.96467e-47	3.80005	5.90787e-67	False	True
IL1RL1	2.75831	2.75831	6.78404e-23	8.08973e-22	4.73197	3.74751e-55	False	True
CA12	-2.74673	2.74673	2.07614e-38	7.30078e-37	-2.69431	6.88185e-30	False	True
COL8A2	2.73849	2.73849	3.26558e-103	4.78e-100	3.07231	1.5221e-127	False	True
TNC	2.71227	2.71227	4.15782e-46	2.20482e-44	2.86121	1.00074e-46	False	True
GRIN2C	-2.67329	2.67329	6.9168e-40	2.61277e-38	-2.89794	5.37519e-27	False	False
GABRB3	-2.67054	2.67054	1.06322e-57	1.02052e-55	-3.00187	1.32834e-40	False	True
ABCC8	-2.66634	2.66634	8.46468e-59	9.01104e-57	-3.33444	3.93258e-33	False	True
PIWIL1	-2.65084	2.65084	6.16943e-44	2.88976e-42	-2.8845	9.43752e-27	False	True
CARTPT	-2.6349	2.6349	2.3267e-41	9.52645e-40	-5.07564	1.31045e-16	False	False
CLDN16	2.62804	2.62804	4.56858e-35	1.28911e-33	3.01939	1.46744e-47	False	True
ITGB8	2.60329	2.60329	2.69536e-115	7.89067e-112	3.06478	1.71666e-144	False	True
DTX4	2.56543	2.56543	1.2303e-96	1.02906e-93	2.86752	4.99951e-145	False	True
SLPI	2.55965	2.55965	1.23262e-29	2.38578e-28	3.70326	1.40091e-54	False	True
SLC4A4	-2.5446	2.5446	5.73258e-46	2.99681e-44	-2.17672	6.0492e-20	False	True
AHNAK2	2.52768	2.52768	5.09511e-48	2.99818e-46	3.32551	8.39612e-72	False	True
EDN3	-2.50057	2.50057	1.27072e-23	1.58806e-22	-1.88681	4.81281e-07	False	False
CDH11	2.48192	2.48192	3.43552e-44	1.61566e-42	3.37732	1.49841e-66	False	True
TRIM29	2.47357	2.47357	1.59252e-39	5.90139e-38	3.4752	1.28811e-49	False	False
CEACAM6	2.47323	2.47323	2.72339e-28	4.75275e-27	6.51687	3.16541e-102	False	False
CFH	2.47094	2.47094	5.55551e-68	9.7097e-66	2.62456	1.4345e-67	False	True
IGFBP5	2.44982	2.44982	9.6933e-50	6.27119e-48	2.78764	2.51506e-67	False	True
LCN2	2.44905	2.44905	1.98662e-23	2.45135e-22	2.84387	8.3543e-26	False	True
STRA6	2.44392	2.44392	7.766e-34	2.02539e-32	2.33923	1.74893e-24	False	True
CNTFR	-2.43075	2.43075	3.87547e-59	4.24129e-57	-4.69153	8.31349e-47	False	False
NELL2	2.42831	2.42831	1.64459e-28	2.92677e-27	1.0283	8.48732e-06	False	True
C3	2.42445	2.42445	2.64457e-40	1.02204e-38	2.41348	1.91787e-36	False	True
IGHM	2.4159	2.4159	9.95668e-15	6.37119e-14	3.94937	5.31302e-31	False	True
FAM155B	-2.38798	2.38798	1.67474e-35	4.85425e-34	-2.06573	1.85014e-21	False	False
KCNQ3	2.38644	2.38644	2.84908e-57	2.64784e-55	3.16782	1.19237e-100	False	True
TFF3	-2.38515	2.38515	5.6989e-15	3.70951e-14	-1.29141	0.00128001	False	True
PLEKHA6	2.3769	2.3769	2.15089e-124	8.39565e-121	3.17909	1.77092e-179	True	True
MPPED2	-2.36904	2.36904	2.61547e-44	1.24501e-42	-2.23119	1.76112e-19	False	True
NGFR	2.33946	2.33946	3.12079e-35	8.89158e-34	2.8914	4.36496e-46	False	True
RASGRF1	2.32782	2.32782	2.97876e-43	1.33645e-41	3.18552	1.32527e-49	False	True
WSCD2	-2.32091	2.32091	1.76827e-23	2.18653e-22	-1.82863	1.04601e-06	False	False
WNT4	-2.31855	2.31855	9.91179e-88	5.27578e-85	-3.409	8.26946e-62	False	True
PDE5A	2.31761	2.31761	1.20076e-97	1.17174e-94	2.63675	5.85458e-137	False	True
COL1A1	2.30493	2.30493	8.19865e-24	1.03791e-22	3.28649	8.60555e-39	False	False
ALOX15B	2.29957	2.29957	1.41606e-37	4.58068e-36	2.34738	4.37104e-31	False	True
SIGLEC6	2.2934	2.2934	4.61295e-21	4.82731e-20	5.88202	1.67821e-71	False	False
STXBP5L	-2.28217	2.28217	1.53701e-48	9.27752e-47	-2.53751	2.06908e-17	False	True
S100A10	2.28083	2.28083	3.44636e-63	5.10846e-61	2.71351	1.64542e-72	False	True
KLK11	2.27645	2.27645	3.25473e-14	1.99335e-13	1.53747	6.6137e-05	False	False
LGALS3	2.24357	2.24357	3.90673e-77	1.20389e-74	2.14561	2.53774e-69	False	False
C7	2.23265	2.23265	3.21408e-20	3.17879e-19	2.08292	1.38896e-14	False	True
ELF3	2.22427	2.22427	3.67696e-71	7.97356e-69	2.73969	4.76399e-81	False	True
GJB3	2.21805	2.21805	1.54842e-53	1.19289e-51	2.75205	6.08579e-61	False	True
CBLN1	2.21151	2.21151	9.43851e-26	1.36282e-24	4.08074	3.94523e-61	False	True
GAP43	2.20891	2.20891	2.9699e-25	4.12545e-24	5.12512	1.9494e-62	False	True
SLC26A4	-2.20837	2.20837	2.72227e-20	2.7061e-19	-1.89974	4.50645e-15	False	False
PTPRE	2.20504	2.20504	1.01211e-97	1.07744e-94	2.57553	1.1858e-139	True	True
MXRA8	2.20437	2.20437	5.91225e-79	1.92312e-76	2.23284	2.01995e-81	False	True
LY6E	2.20357	2.20357	4.63457e-94	3.39192e-91	2.43149	3.62853e-97	False	True
RUNX2	2.19807	2.19807	6.5278e-84	2.83113e-81	2.93742	8.78001e-139	False	True
LDLR	2.19166	2.19166	9.89312e-62	1.34707e-59	2.86583	4.88609e-83	True	True
ANXA3	2.18206	2.18206	4.56748e-82	1.78284e-79	1.85892	2.92735e-50	False	True
LAMP5	2.16721	2.16721	4.44681e-24	5.72221e-23	3.75994	2.12709e-41	False	True
EHF	2.16695	2.16695	8.12309e-39	2.91783e-37	2.96155	4.79051e-56	False	True
CAMK2N1	2.16515	2.16515	2.14587e-54	1.7094e-52	2.42217	1.76033e-71	False	True
CUX2	-2.16145	2.16145	2.53125e-38	8.79552e-37	-3.74262	3.34666e-21	False	False
AQP4	-2.15989	2.15989	7.80963e-32	1.78615e-30	-2.38989	4.46942e-27	False	False
ADCY8	2.15501	2.15501	3.23587e-25	4.48427e-24	5.14475	1.01111e-63	False	True
PLAU	2.1483	2.1483	8.14472e-35	2.24411e-33	2.5939	1.49008e-42	False	True
DUSP5	2.14044	2.14044	4.28142e-61	5.50938e-59	2.60164	1.44977e-73	False	False
C1orf116	2.13488	2.13488	4.91049e-77	1.4744e-74	2.33306	1.31543e-79	False	True
FHL1	-2.13036	2.13036	8.94e-38	2.95727e-36	-1.99758	2.26135e-28	False	True
PROS1	2.12031	2.12031	1.16296e-60	1.40395e-58	2.49364	4.15635e-93	False	True
STAC	2.11768	2.11768	6.08872e-69	1.14998e-66	3.95736	1.08426e-129	False	False
TIMP1	2.11682	2.11682	1.41903e-49	9.08024e-48	2.22067	2.08006e-52	False	False
LOX	2.11304	2.11304	5.78031e-41	2.31015e-39	3.20651	4.74236e-65	False	False
SEMA3D	-2.10524	2.10524	9.4277e-19	8.30063e-18	-2.19568	9.09425e-10	False	True
CCL18	2.08644	2.08644	2.24943e-23	2.76399e-22	1.85818	1.21344e-12	False	True
CTSE	2.08352	2.08352	4.01473e-22	4.53351e-21	2.63653	5.35092e-27	False	True
DCN	2.08308	2.08308	1.17368e-17	9.4329e-17	1.78958	1.15934e-12	False	True
CLU	2.08114	2.08114	7.44461e-62	1.0256e-59	2.15597	1.91023e-64	False	True
PRSS2	2.07915	2.07915	5.10553e-20	4.99046e-19	4.65038	3.08109e-50	False	True
SPX	-2.07567	2.07567	7.36295e-42	3.07929e-40	-2.16225	1.41221e-21	False	False
HLF	-2.07269	2.07269	9.15138e-43	3.95434e-41	-2.04927	2.46968e-27	False	True
SCARA3	2.06884	2.06884	3.22992e-58	3.20528e-56	2.17583	1.85564e-60	False	True
ARNTL	2.06608	2.06608	3.64942e-68	6.57457e-66	2.41627	1.88404e-90	False	True
S100A4	2.05736	2.05736	1.25218e-36	3.86886e-35	2.5535	9.73995e-38	False	True
NFE2L3	2.05472	2.05472	6.03636e-33	1.48188e-31	2.21522	3.17956e-29	False	True
ZMAT4	-2.04114	2.04114	1.02924e-33	2.64307e-32	-2.30077	3.35953e-08	False	True
NQO1	-2.03655	2.03655	9.16294e-83	3.69993e-80	-2.4388	4.47964e-93	False	True
MARCO	2.03618	2.03618	3.61868e-29	6.76912e-28	2.73059	3.13828e-28	False	True
SCEL	2.03118	2.03118	4.50139e-34	1.19256e-32	1.94128	5.77975e-29	False	True
IGFBP6	2.031	2.031	1.10192e-34	3.0078e-33	2.26113	6.05075e-36	False	True
GPNMB	2.02987	2.02987	4.94001e-28	8.51952e-27	1.9427	1.37446e-21	False	True
ESPN	2.02362	2.02362	4.6776e-35	1.3167e-33	4.02235	1.00429e-73	False	False
C1S	2.01886	2.01886	8.87826e-24	1.12273e-22	2.01263	2.07186e-20	False	True
ERBB3	2.01789	2.01789	1.57405e-97	1.41786e-94	2.25693	7.83552e-120	False	False
HLA-G	2.0172	2.0172	9.06143e-26	1.31161e-24	3.93791	1.10009e-58	False	False
DSC3	2.01468	2.01468	4.38597e-27	6.99724e-26	5.26966	1.48909e-80	False	False
NOD1	2.00654	2.00654	1.6807e-54	1.35731e-52	2.13167	3.47924e-59	False	True
LYZ	2.00141	2.00141	6.83473e-23	8.14188e-22	1.87718	1.61079e-16	False	True
CYSLTR2	2.00109	2.00109	1.04224e-27	1.72383e-26	1.9025	4.77023e-23	False	True
CD55	1.99961	1.99961	1.96066e-40	7.70449e-39	2.74496	1.02443e-59	False	True
SYT1	1.9908	1.9908	4.66948e-27	7.42929e-26	4.58768	5.09765e-70	False	False
NEB	-1.98901	1.98901	3.94627e-31	8.49464e-30	-1.89464	1.96237e-09	False	True
MET	1.98757	1.98757	1.1058e-84	5.17955e-82	2.30904	2.72698e-113	False	False
OGDHL	-1.98361	1.98361	1.38727e-35	4.04102e-34	-2.07582	4.78142e-26	False	True
HLA-DQB2	1.98327	1.98327	7.78523e-26	1.13956e-24	2.55849	1.34979e-33	False	True
PPARGC1A	-1.97846	1.97846	2.73732e-31	5.99141e-30	-1.88017	2.98157e-18	False	True
MMP7	1.97208	1.97208	1.08731e-16	8.06868e-16	3.86283	8.81536e-32	False	True
GNA14	-1.97105	1.97105	2.46462e-65	3.95352e-63	-2.1179	2.53001e-43	False	True
MISP	1.96248	1.96248	1.02721e-34	2.81702e-33	3.27407	5.36103e-47	False	True
EPHB3	1.95846	1.95846	2.87959e-55	2.46132e-53	2.41496	6.1603e-65	False	True
CTSC	1.95641	1.95641	1.00954e-59	1.17047e-57	2.4328	1.00922e-74	False	True
DUOX2	-1.95405	1.95405	4.33479e-38	1.48422e-36	-2.17499	2.46199e-47	False	False
SLC6A20	1.94889	1.94889	8.04077e-18	6.5478e-17	5.2674	4.78508e-62	False	False
HSPB7	-1.93064	1.93064	1.69702e-33	4.32001e-32	-2.67641	4.84954e-36	False	True
TCEAL2	-1.92799	1.92799	6.08269e-20	5.88664e-19	-1.95616	2.28675e-12	False	False
S100A2	1.92333	1.92333	1.75415e-36	5.39137e-35	2.88123	2.38874e-45	False	True
VCAN	1.92148	1.92148	7.22608e-22	8.00543e-21	3.04407	4.43276e-39	False	True
SDC4	1.92005	1.92005	2.54467e-86	1.24159e-83	2.21274	2.25723e-125	False	True
GBP2	1.91367	1.91367	9.98743e-60	1.16953e-57	2.02776	2.17017e-50	False	True
JAK3	1.91016	1.91016	7.28707e-56	6.32086e-54	2.07961	1.88505e-46	False	True
IL1RAP	1.90745	1.90745	1.10565e-57	1.05261e-55	2.32943	2.01914e-75	False	True
IQGAP2	-1.89439	1.89439	3.76012e-38	1.29503e-36	-1.90274	7.26263e-30	False	True
ELMO1	-1.8899	1.8899	6.74265e-49	4.22227e-47	-1.86205	3.50951e-30	False	True
ECM1	-1.8828	1.8828	2.36647e-17	1.84865e-16	-2.77415	3.25652e-26	False	False
PDE8B	-1.88165	1.88165	5.37596e-58	5.29013e-56	-1.95788	3.47924e-59	False	False
QPRT	-1.87939	1.87939	1.55377e-32	3.69809e-31	-2.6391	1.36956e-45	False	True
ABTB2	1.8777	1.8777	2.82535e-63	4.24165e-61	2.42304	3.46795e-94	False	True
MAMLD1	1.87626	1.87626	1.89852e-58	1.95014e-56	2.35793	6.5158e-72	False	True
SORBS2	-1.87144	1.87144	9.60954e-52	6.90354e-50	-1.83675	6.64565e-35	False	True
DPP4	1.87099	1.87099	1.15507e-25	1.64949e-24	1.71312	2.72876e-24	False	True
DSC2	1.87069	1.87069	4.18328e-81	1.53082e-78	2.32176	4.58289e-91	False	True
PDZK1IP1	1.86849	1.86849	2.62579e-15	1.74012e-14	2.07773	9.19887e-16	False	True
SPTBN2	1.86589	1.86589	1.43697e-47	8.2485e-46	2.19743	3.90554e-56	False	True
SEL1L3	1.86363	1.86363	1.80312e-70	3.64044e-68	2.15358	1.32195e-87	False	True
BIRC3	1.84933	1.84933	2.25962e-32	5.30264e-31	2.37397	9.52864e-36	False	True
VAV3	-1.84897	1.84897	2.1227e-56	1.94194e-54	-2.13094	7.27753e-61	False	False
PLAUR	1.84522	1.84522	3.14932e-36	9.48035e-35	2.42151	9.39509e-47	False	True
IVL	1.83523	1.83523	1.10977e-22	1.29824e-21	5.96491	6.28704e-75	False	False
CXXC4	-1.83177	1.83177	3.89093e-57	3.58762e-55	-2.13229	1.12337e-47	False	True
KCNJ2	1.83136	1.83136	1.01605e-29	1.98298e-28	2.06098	6.57382e-29	False	True
RARRES2	1.82388	1.82388	1.56781e-32	3.72395e-31	1.87347	9.39735e-23	False	True
THBS2	1.82212	1.82212	2.15379e-18	1.82628e-17	3.13461	4.85554e-35	False	True
COL10A1	1.81077	1.81077	7.32169e-16	5.07319e-15	4.07246	9.03935e-41	False	True
CA4	-1.8085	1.8085	1.82072e-19	1.70429e-18	-2.03008	1.40182e-11	False	False
TM4SF1	1.80675	1.80675	1.46105e-32	3.4845e-31	2.49614	7.50985e-50	False	True
BAIAP3	1.80419	1.80419	5.26748e-31	1.12354e-29	2.05347	2.36204e-33	False	True
RAC2	1.79788	1.79788	2.81863e-44	1.33089e-42	2.23623	4.58193e-53	False	True
ICAM5	1.79094	1.79094	1.95298e-35	5.63286e-34	1.86857	2.29598e-30	False	True
VTCN1	1.79005	1.79005	3.68633e-18	3.07895e-17	6.82611	2.6919e-92	False	False
PRSS23	1.78794	1.78794	1.47514e-47	8.42628e-46	2.02212	5.42385e-52	False	True
KIF1A	-1.78745	1.78745	1.2553e-39	4.71141e-38	-3.46696	3.7356e-43	False	False
PLXNC1	1.78536	1.78536	2.83421e-37	9.0432e-36	1.99069	9.31738e-43	False	True
PALM	1.78006	1.78006	5.26258e-71	1.12045e-68	2.11206	1.8651e-91	False	True
CACNG4	1.77969	1.77969	6.54798e-27	1.02922e-25	4.02636	5.74587e-56	False	False
GNLY	1.7792	1.7792	1.20338e-22	1.40494e-21	3.2184	1.38525e-42	False	True
ICAM1	1.77855	1.77855	3.83731e-53	2.80843e-51	2.11289	1.26337e-68	False	True
NBL1	1.77455	1.77455	3.56511e-39	1.29249e-37	2.02454	6.31188e-41	False	True
TM4SF4	1.77359	1.77359	8.75074e-28	1.4597e-26	4.28058	2.80661e-64	False	False
ARHGEF38	1.77263	1.77263	1.66234e-27	2.70362e-26	2.96517	2.01419e-48	False	True
LAMA1	1.77188	1.77188	2.31952e-35	6.65724e-34	1.74974	5.66445e-28	False	False
SFRP4	1.7692	1.7692	7.71756e-13	4.18005e-12	3.04649	3.04935e-25	False	True
ALDH3B1	1.76888	1.76888	7.70427e-58	7.45595e-56	1.77745	9.74899e-47	False	True
BNC1	1.76539	1.76539	1.49102e-48	9.04654e-47	4.55411	1.08336e-114	False	False
PBX3	-1.76442	1.76442	1.44302e-50	9.71134e-49	-2.20076	3.6582e-68	False	False
TNFRSF21	1.76284	1.76284	2.23334e-58	2.25452e-56	2.18244	3.87298e-69	False	True
ITPR1	-1.7619	1.7619	1.54874e-36	4.77256e-35	-1.69007	3.70569e-23	False	True
STK17B	1.752	1.752	7.3884e-75	1.84081e-72	2.23851	8.14341e-94	False	True
HLA-DPA1	1.73939	1.73939	6.18366e-28	1.05095e-26	2.09846	1.31328e-31	False	True
FGFBP1	1.73911	1.73911	5.19667e-19	4.69544e-18	4.68495	7.70662e-58	False	False
SLIT2	1.73735	1.73735	4.8621e-41	1.97008e-39	2.14519	3.75433e-51	False	True
HLA-DOA	1.73692	1.73692	8.54698e-23	1.00892e-21	2.50167	1.72835e-33	False	False
HLA-DRA	1.73165	1.73165	1.10311e-31	2.48891e-30	1.89348	1.71197e-30	False	False
CDH3	1.72836	1.72836	1.45593e-28	2.60289e-27	1.57376	4.63751e-28	False	True
G0S2	1.72687	1.72687	4.42376e-26	6.63282e-25	2.11529	7.75059e-27	False	True
TMEM100	1.72607	1.72607	1.34613e-23	1.67694e-22	2.48993	2.68619e-31	False	True
CXCL2	1.72315	1.72315	1.68974e-21	1.82032e-20	2.35864	8.60755e-25	False	True
COL11A1	1.71872	1.71872	4.76609e-11	2.19382e-10	6.32579	1.44789e-60	False	False
MRC1	1.71669	1.71669	8.81303e-33	2.13666e-31	2.20347	2.30739e-36	False	True
APOD	1.70661	1.70661	8.3958e-20	8.01262e-19	1.97956	2.01552e-17	False	True
MDK	1.70357	1.70357	8.00529e-31	1.69209e-29	1.67944	1.37325e-26	False	True
PPL	1.70327	1.70327	8.95245e-77	2.55691e-74	2.02188	1.11021e-86	False	True
CTSH	1.70032	1.70032	3.03833e-43	1.35797e-41	1.84085	1.41062e-48	False	True
ANXA2	1.69933	1.69933	8.27988e-95	6.46383e-92	1.8258	5.03125e-81	False	True
BEX1	-1.69842	1.69842	1.5889e-21	1.71643e-20	-1.79904	7.11112e-13	False	True
EPPK1	1.69597	1.69597	2.55206e-45	1.29933e-43	2.14668	4.17656e-51	False	True
RAB27B	1.69119	1.69119	2.69276e-18	2.26687e-17	4.75341	1.3041e-64	False	False
POSTN	1.69064	1.69064	2.42671e-13	1.37545e-12	2.87209	2.38355e-28	False	False
BRINP1	1.6873	1.6873	2.11352e-29	3.99827e-28	2.50273	3.3819e-38	False	True
CACNB4	-1.68197	1.68197	8.39907e-91	5.46406e-88	-2.68484	2.03895e-77	False	True
ARHGAP24	-1.67843	1.67843	7.32701e-41	2.90845e-39	-1.89274	1.06769e-30	False	True
PTPRU	1.67739	1.67739	5.42576e-60	6.41775e-58	2.04682	7.08635e-73	False	True
RAMP1	1.67699	1.67699	8.10112e-23	9.57257e-22	2.43095	8.05529e-29	False	True
GRM4	1.67531	1.67531	1.00967e-17	8.17084e-17	2.36035	8.33433e-19	False	False
RGS4	1.67322	1.67322	6.69413e-17	5.03781e-16	3.31416	1.30098e-35	False	True
RND3	1.67156	1.67156	1.67376e-79	5.76463e-77	1.97333	3.91817e-74	False	True
DUSP2	1.66421	1.66421	8.08167e-30	1.59053e-28	2.83126	4.48942e-45	False	True
FSTL3	1.66117	1.66117	1.63032e-63	2.47935e-61	2.01	3.04334e-74	False	True
SOD3	-1.65948	1.65948	1.75284e-29	3.33211e-28	-1.79607	9.88894e-24	False	True
HLA-DQA1	1.65455	1.65455	2.38923e-22	2.74293e-21	1.88924	1.64938e-22	False	True
LIPG	-1.64727	1.64727	7.80409e-32	1.78615e-30	-1.66626	1.44494e-33	False	True
S100B	1.6443	1.6443	5.92862e-22	6.60553e-21	2.73844	1.50552e-28	False	True
LRP2	-1.64252	1.64252	1.07132e-18	9.38304e-18	-1.5484	2.46233e-15	False	True
NMU	1.64003	1.64003	2.80919e-11	1.32324e-10	2.15494	4.45249e-11	False	False
PNP	1.63623	1.63623	1.01141e-25	1.45858e-24	2.14644	2.21765e-28	False	True
PELI1	1.63526	1.63526	9.32936e-42	3.88779e-40	2.14526	5.4764e-55	False	True
KRT15	1.63052	1.63052	1.25879e-34	3.42801e-33	2.77012	1.289e-41	False	True
INHBB	1.62909	1.62909	4.11165e-40	1.5786e-38	1.82826	5.81341e-49	False	True
CCL13	1.62223	1.62223	7.0472e-37	2.18893e-35	3.84949	6.35053e-69	False	True
PCSK2	-1.6215	1.6215	5.86632e-10	2.45689e-09	-1.89973	8.30186e-15	False	False
TRIM58	-1.61943	1.61943	4.56454e-34	1.20656e-32	-1.53638	8.65372e-23	False	True
PKP2	1.6184	1.6184	5.75419e-41	2.30759e-39	2.74106	2.9234e-57	False	True
TRPC5	1.61757	1.61757	4.75617e-11	2.19098e-10	2.20766	8.75782e-13	False	True
FCHO1	1.61717	1.61717	8.56247e-54	6.68443e-52	2.59286	8.22988e-69	False	False
TNFRSF12A	1.61522	1.61522	4.44682e-45	2.23486e-43	1.67722	1.88028e-45	False	True
TG	-1.6125	1.6125	2.43598e-24	3.19433e-23	-1.64726	1.24295e-25	False	False
PTGS2	1.60756	1.60756	9.95376e-29	1.79045e-27	2.30016	8.60729e-36	False	True
BCAT1	1.60188	1.60188	8.3354e-27	1.30491e-25	2.40143	2.64048e-40	False	True
ITGA2	1.59808	1.59808	2.07402e-25	2.9226e-24	2.06611	1.31469e-36	False	True
PDK4	-1.59731	1.59731	1.88924e-15	1.26562e-14	-1.52488	7.89788e-13	False	True
C1R	1.59607	1.59607	2.77064e-21	2.94145e-20	1.78807	1.69967e-21	False	True
ADTRP	1.59439	1.59439	1.55539e-22	1.80155e-21	3.24906	4.12882e-53	False	False
SPON1	1.59285	1.59285	3.55056e-18	2.96979e-17	3.44104	1.7325e-41	False	False
MUC16	1.59062	1.59062	3.97728e-13	2.21464e-12	4.72974	9.95144e-45	False	False
ITGB4	1.59061	1.59061	2.06913e-40	8.10351e-39	2.03676	1.77165e-48	False	True
IGLV1-44	1.58317	1.58317	1.95938e-08	7.0065e-08	3.57226	4.13604e-18	False	True
TGM2	1.58091	1.58091	3.68562e-30	7.42833e-29	2.14679	2.82421e-42	False	True
ST3GAL6	-1.58015	1.58015	2.10721e-83	8.81266e-81	-2.23321	1.09732e-110	False	False
PGF	-1.57692	1.57692	2.16024e-29	4.08006e-28	-1.81592	8.89588e-31	False	False
CAV1	1.57426	1.57426	8.13386e-38	2.69823e-36	1.69723	1.03934e-37	False	True
COL3A1	1.57237	1.57237	3.31291e-14	2.02264e-13	2.68645	5.20045e-29	False	True
MT1E	-1.57221	1.57221	1.72963e-29	3.30407e-28	-1.78738	1.16412e-30	False	True
BEAN1	1.57036	1.57036	1.26831e-46	6.8442e-45	2.52042	1.13866e-69	False	True
S100A6	1.56209	1.56209	4.14e-43	1.84333e-41	1.80176	1.83081e-39	False	True
CDON	-1.5601	1.5601	2.2551e-27	3.64741e-26	-1.72122	7.32336e-22	False	True
PKNOX2	-1.54638	1.54638	3.59078e-12	1.83296e-11	-1.47907	2.12171e-06	False	True
CDH6	1.54167	1.54167	1.86518e-22	2.14973e-21	2.25161	4.8367e-37	False	True
NCAM1	-1.54011	1.54011	5.38454e-14	3.22852e-13	-1.28566	7.77323e-08	False	True
EPHA4	1.53237	1.53237	3.4463e-42	1.4675e-40	1.69245	1.18295e-43	False	True
ARSJ	1.53142	1.53142	4.17122e-47	2.29319e-45	2.89054	2.83345e-82	False	False
DIO2	-1.52804	1.52804	1.21114e-25	1.72326e-24	-1.64137	2.80207e-25	False	False
MMP16	1.52541	1.52541	4.69618e-22	5.25739e-21	1.73353	1.53633e-20	False	False
CD52	1.52402	1.52402	8.86035e-28	1.47589e-26	1.69033	1.01622e-17	False	True
BASP1	1.51959	1.51959	2.95041e-64	4.60658e-62	1.78421	5.90589e-71	False	True
