sample	lineage	DM1_portable	HLA1_module	HLA2_module
TCGA-AB-2904-03	acute myeloid leukemia	0.4319909019785972	-0.45998242988028654	-0.45220087229302225
TCGA-AB-2908-03	acute myeloid leukemia	0.6461022020784188	0.7284050791448005	-0.21939515937643797
TCGA-AB-2909-03	acute myeloid leukemia	-0.9560539662571236	0.31016205222708865	0.6415269180551927
TCGA-AB-2910-03	acute myeloid leukemia	-0.1269301595585261	0.25800917667312734	-0.6143815323818108
TCGA-AB-2911-03	acute myeloid leukemia	0.6335573281762581	-0.05645397191885832	0.33215456348593575
TCGA-AB-2912-03	acute myeloid leukemia	0.8883777381873452	-0.2920741475199118	0.24604343109068952
TCGA-AB-2913-03	acute myeloid leukemia	-1.1776630571299125	-1.2702581408801799	-1.0406332045095132
TCGA-AB-2914-03	acute myeloid leukemia	0.6460345899715187	-0.5759267085566598	0.528607642624592
TCGA-AB-2915-03	acute myeloid leukemia	0.8958238147105942	0.41044655714196643	0.7631260143737123
TCGA-AB-2916-03	acute myeloid leukemia	1.6748841878065024	0.4665579943092277	0.7271204527650825
TCGA-AB-2917-03	acute myeloid leukemia	0.4131033704468257	0.0014915210248708291	-0.7296933761382416
TCGA-AB-2918-03	acute myeloid leukemia	-0.9056236187177678	-0.4624406736632934	0.7554901325616887
TCGA-AB-2919-03	acute myeloid leukemia	-1.7967908455703328	-0.9501850367077096	-1.8438653537504353
TCGA-AB-2920-03	acute myeloid leukemia	-2.443228014396316	-0.6206037490121724	-0.08335819744977081
TCGA-AB-2921-03	acute myeloid leukemia	-0.5387184335405937	0.22188447466302327	0.8562580599674199
TCGA-AB-2924-03	acute myeloid leukemia	-0.462917118392169	0.12616763439935352	-0.041947275165232924
TCGA-AB-2925-03	acute myeloid leukemia	-0.8134798987315346	0.09727214449625214	0.5058802205912618
TCGA-AB-2927-03	acute myeloid leukemia	0.930158799176854	0.7903130118586995	1.654322297077518
TCGA-AB-2928-03	acute myeloid leukemia	-1.1200232812321091	-0.6061139039496491	0.5832331227233302
TCGA-AB-2929-03	acute myeloid leukemia	1.9657426550503083	0.1935742678797076	0.05526003036179413
TCGA-AB-2930-03	acute myeloid leukemia	-0.5985890610742667	-0.19462081554907004	0.8801878492049128
TCGA-AB-2931-03	acute myeloid leukemia	-1.1445938099654536	-0.06748462261031371	-0.2940254986602599
TCGA-AB-2932-03	acute myeloid leukemia	-0.2110135495870184	0.7575876159048082	0.2038879177398882
TCGA-AB-2933-03	acute myeloid leukemia	1.2210558704310903	0.43008789710805173	1.32206538351038
TCGA-AB-2934-03	acute myeloid leukemia	0.9025448251175668	0.1880966907192394	0.8228654756479825
